Time (msec),A/F Sensor #1 (AFR),Battery Voltage (V),Coolant Temperature (F),Engine Speed (rpm),Fuel Pump Duty (%),Ignition Total Timing (degrees),Injector Duty Cycle (%),Intake Air Temperature (C),Knock Correction Advance (degrees),Manifold Absolute Pressure (psi),Throttle Opening Angle (%),Vehicle Speed (mph),Engine Load*  (g/rev),Feedback Knock Correction* (degrees),Knock Count (Combined) (Knock Events),MAF/SD Blend Percentage (%),Manifold Relative Pressure (psi),Mass Airflow (g/s),Primary Wastegate Duty Cycle (%),Throttle Sensor Voltage (V)
2938,14.93,13.52,178,894,74.90,14.00,1.91,55,0.00,5.66,0.00,0,0.33,0.00,0,0.0,-9.14,4.88,0.00,0.54
3013,14.93,13.52,176,894,74.90,14.00,1.91,55,0.00,5.66,0.00,0,0.33,0.00,0,0.0,-9.14,4.91,0.00,0.54
3088,14.81,13.52,176,890,74.90,14.00,1.91,55,0.00,5.66,0.00,0,0.33,0.00,0,0.0,-9.14,4.91,0.00,0.54
3166,14.93,13.60,176,894,74.90,14.00,1.91,55,0.00,5.66,0.00,0,0.33,0.00,0,0.0,-9.14,4.91,0.00,0.54
3240,14.81,13.52,176,892,74.90,14.50,1.90,55,0.00,5.66,0.00,0,0.33,0.00,0,0.0,-9.14,4.91,0.00,0.54
3315,14.81,13.60,176,887,74.90,15.00,1.89,55,0.00,5.66,0.00,0,0.34,0.00,0,0.0,-9.14,4.94,0.00,0.54
3390,14.81,13.60,176,885,74.90,15.50,1.89,56,0.00,5.66,0.00,0,0.34,0.00,0,0.0,-9.14,4.97,0.00,0.54
3464,14.81,13.44,176,881,74.90,15.00,1.88,56,0.00,5.66,0.00,0,0.34,0.00,0,0.0,-9.14,4.94,0.00,0.54
3541,14.93,13.60,176,884,74.90,14.50,1.88,56,0.00,5.66,0.00,0,0.34,0.00,0,0.0,-9.14,4.97,0.00,0.54
3615,14.81,13.52,176,886,74.90,14.00,1.90,56,0.00,5.66,0.00,0,0.34,0.00,0,0.0,-9.14,4.94,0.00,0.54
3691,14.93,13.52,176,886,74.90,14.50,1.89,56,0.00,5.66,0.00,0,0.33,0.00,0,0.0,-9.14,4.91,0.00,0.54
3767,14.81,13.52,176,888,74.90,14.00,1.89,56,0.00,5.66,0.00,0,0.33,0.00,0,0.0,-9.14,4.88,0.00,0.54
3842,14.81,13.52,176,888,74.90,14.00,1.89,56,0.00,5.66,0.00,0,0.34,0.00,0,0.0,-9.14,4.97,0.00,0.54
3917,14.81,13.52,176,886,74.90,14.00,1.89,56,0.00,5.66,0.00,0,0.34,0.00,0,0.0,-9.14,4.94,0.00,0.54
3991,14.70,13.52,176,887,74.90,14.50,1.89,56,0.00,5.66,0.00,0,0.34,0.00,0,0.0,-9.14,4.97,0.00,0.54
4067,14.70,13.52,176,887,74.90,14.50,1.88,56,0.00,5.66,0.00,0,0.34,0.00,0,0.0,-9.14,4.97,0.00,0.54
4143,14.70,13.52,176,879,74.90,15.00,1.88,56,0.00,5.66,0.00,0,0.34,0.00,0,0.0,-9.14,4.97,0.00,0.54
4218,14.70,13.60,176,882,74.90,14.50,1.88,56,0.00,5.80,0.00,0,0.34,0.00,0,0.0,-9.00,4.97,0.00,0.54
4293,14.70,13.52,176,884,74.90,14.00,1.88,56,0.00,5.66,0.00,0,0.34,0.00,0,0.0,-9.14,4.97,0.00,0.54
4369,14.70,13.52,176,885,74.90,15.50,1.89,56,0.00,5.66,0.00,0,0.34,0.00,0,0.0,-9.00,4.97,0.00,0.54
4444,14.70,13.60,176,876,74.90,15.00,1.87,56,0.00,5.80,0.00,0,0.34,0.00,0,0.0,-9.14,4.97,0.00,0.54
4519,14.81,13.52,176,876,74.90,15.50,1.87,56,0.00,5.80,0.00,0,0.33,0.00,0,0.0,-9.00,4.91,0.00,0.54
4595,14.70,13.52,176,874,74.90,15.00,1.87,56,0.00,5.80,0.00,0,0.34,0.00,0,0.0,-9.00,4.91,0.00,0.54
4670,14.81,13.60,176,873,74.90,15.50,1.86,56,0.00,5.80,0.00,0,0.34,0.00,0,0.0,-9.00,4.91,0.00,0.54
4745,14.70,13.52,176,873,74.90,15.00,1.86,56,0.00,5.80,0.00,0,0.34,0.00,0,0.0,-9.00,4.91,0.00,0.54
4820,14.81,13.52,176,870,74.90,15.50,1.86,56,0.00,5.80,0.00,0,0.34,0.00,0,0.0,-9.00,4.97,0.00,0.54
4896,14.70,13.60,176,876,74.90,14.50,1.87,56,0.00,5.80,0.00,0,0.34,0.00,0,0.0,-9.00,4.94,0.00,0.54
4971,14.70,13.60,176,875,74.90,14.50,1.87,56,0.00,5.80,0.00,0,0.34,0.00,0,0.0,-9.00,4.94,0.00,0.54
5046,14.81,13.60,176,875,74.90,14.50,1.87,56,0.00,5.80,0.00,0,0.34,0.00,0,0.0,-9.00,4.97,0.00,0.54
5123,14.70,13.60,176,875,74.90,14.50,1.87,56,0.00,5.80,0.00,0,0.34,0.00,0,0.0,-9.00,4.94,0.00,0.54
5198,14.81,13.60,176,876,74.90,14.00,1.87,56,0.00,5.80,0.00,0,0.34,0.00,0,0.0,-9.00,4.94,0.00,0.54
5273,14.81,13.60,176,878,74.90,14.00,1.87,56,0.00,5.80,0.00,0,0.34,0.00,0,0.0,-9.00,4.94,0.00,0.54
5348,14.93,13.60,176,877,74.90,14.00,1.87,56,0.00,5.80,0.00,0,0.33,0.00,0,0.0,-9.00,4.91,0.00,0.54
5423,14.81,13.52,176,882,74.90,13.00,1.88,56,0.00,5.95,0.00,0,0.33,0.00,0,0.0,-8.85,4.91,0.00,0.54
5498,14.70,13.52,176,887,74.90,13.00,1.89,56,0.00,5.95,0.00,0,0.33,0.00,0,0.0,-8.85,4.91,0.00,0.54
5576,14.81,13.52,176,890,74.90,12.00,1.78,56,0.00,5.95,0.00,0,0.33,0.00,0,0.0,-8.85,4.91,0.00,0.54
5649,14.81,13.52,176,896,74.90,11.50,1.92,56,0.00,5.95,0.00,0,0.33,0.00,0,0.0,-8.85,4.91,0.00,0.54
5724,15.04,13.52,176,905,74.90,12.00,1.93,56,0.00,5.95,0.00,0,0.33,0.00,0,0.0,-8.85,4.91,0.00,0.54
5799,15.04,13.44,176,906,74.90,12.00,1.93,56,0.00,5.95,0.00,0,0.33,0.00,0,0.0,-8.85,4.91,0.00,0.54
5875,15.16,13.52,176,903,74.90,12.50,1.93,56,0.00,5.80,0.00,0,0.34,0.00,0,0.0,-9.00,4.94,0.00,0.56
5949,15.39,13.52,176,899,74.90,12.50,1.92,56,0.00,5.80,0.39,0,0.36,0.00,0,0.0,-9.00,5.22,0.00,0.58
6026,15.50,13.52,176,902,74.90,12.50,2.12,56,0.00,5.95,1.18,0,0.35,0.00,0,0.0,-8.85,5.52,0.00,0.58
6101,15.50,13.60,176,902,74.90,14.00,2.34,56,0.00,5.95,1.18,0,0.40,0.00,0,0.0,-8.85,5.83,0.00,0.60
6176,15.39,13.52,176,962,74.90,15.00,2.87,56,0.00,6.24,1.57,0,0.43,0.00,0,0.0,-8.56,6.73,0.00,0.60
6251,15.50,13.60,176,991,74.90,16.50,2.75,56,0.00,6.53,2.35,0,0.44,0.00,0,0.0,-8.27,7.15,0.00,0.64
6327,15.04,13.52,176,1029,74.90,17.00,2.85,56,0.00,6.67,2.75,0,0.46,0.00,0,0.0,-8.13,5.55,0.00,0.64
6402,15.04,13.52,176,1070,74.90,20.50,2.97,56,0.00,7.11,3.53,0,0.47,0.00,0,0.0,-7.84,8.69,0.00,0.68
6477,14.01,13.60,176,1133,74.90,22.50,3.14,56,0.00,7.25,4.71,0,0.50,0.00,0,0.0,-7.69,9.31,0.00,0.70
6554,14.36,13.52,176,1171,74.90,24.50,3.50,56,0.00,7.55,5.10,0,0.51,0.00,0,0.0,-7.25,10.28,0.00,0.72
6629,14.47,13.52,176,1238,74.90,25.00,3.64,56,0.00,7.84,5.49,0,0.51,0.00,0,0.0,-6.96,10.99,0.00,0.72
6703,14.59,13.52,176,1337,74.90,25.50,4.28,56,0.00,7.98,5.49,0,0.50,0.00,0,0.0,-6.82,11.35,0.00,0.74
6779,14.70,13.60,176,1376,74.90,26.00,4.40,56,0.00,7.98,5.88,0,0.50,0.00,0,0.0,-6.82,11.56,0.00,0.74
6854,14.93,13.52,176,1421,74.90,26.00,4.55,56,0.00,7.98,5.88,0,0.50,0.00,0,0.0,-6.82,11.93,0.00,0.74
6930,14.93,13.52,176,1426,74.90,26.50,4.56,56,0.00,7.98,5.88,0,0.51,0.00,0,0.0,-6.82,12.10,0.00,0.74
7005,15.04,13.60,176,1431,74.90,26.00,4.58,56,0.00,7.98,5.88,0,0.52,0.00,0,0.0,-6.82,12.04,0.00,0.74
7079,15.04,13.52,176,1408,74.90,26.00,4.47,56,0.00,8.13,5.88,0,0.52,0.00,0,0.0,-6.67,11.99,0.00,0.74
7155,14.93,13.60,176,1363,74.90,26.00,4.65,56,0.00,8.13,5.88,0,0.54,0.00,0,0.0,-6.67,12.04,0.00,0.74
7230,14.70,13.52,176,1341,74.90,26.00,4.58,56,0.00,8.27,5.88,0,0.56,0.00,0,0.0,-6.53,12.04,0.00,0.74
7305,14.70,13.60,176,1303,74.90,26.00,4.45,56,0.00,8.27,5.88,0,0.56,0.00,0,0.0,-6.53,12.10,0.00,0.74
7380,14.59,13.60,176,1279,74.90,25.00,4.36,56,0.00,8.56,5.88,0,0.58,0.00,0,0.0,-6.38,12.15,0.00,0.74
7456,14.36,13.52,176,1260,74.90,25.00,4.57,56,0.00,8.85,5.88,0,0.59,0.00,0,0.0,-6.24,12.04,0.00,0.74
7531,14.13,13.60,176,1223,74.90,24.50,4.44,56,0.00,9.00,5.88,0,0.61,0.00,0,0.0,-5.80,12.04,0.00,0.74
7606,14.01,13.60,176,1208,74.90,24.00,4.33,56,0.00,9.14,5.88,0,0.61,0.00,0,0.0,-5.66,11.99,0.00,0.74
7681,13.78,13.60,176,1164,74.90,24.00,3.97,56,0.00,9.29,1.18,0,0.49,0.00,0,0.0,-5.51,11.47,0.00,0.54
7756,14.24,13.52,176,1153,74.90,30.50,2.95,56,0.00,8.27,0.00,0,0.44,0.00,0,0.0,-6.53,7.79,0.00,0.54
7832,14.01,13.60,176,1098,74.90,28.00,2.81,56,0.00,7.40,0.00,0,0.41,0.00,0,0.0,-7.40,5.19,0.00,0.54
7907,14.24,13.60,176,1022,74.90,25.00,2.40,56,0.00,7.11,0.00,0,0.40,0.00,0,0.0,-7.40,5.71,0.00,0.54
7983,14.24,13.60,176,932,74.90,25.00,2.38,56,0.00,7.25,0.00,0,0.42,0.00,0,0.0,-7.69,6.29,0.00,0.54
8059,14.59,13.60,176,906,74.90,21.50,2.51,56,0.00,7.25,0.00,0,0.39,0.00,0,0.0,-7.55,6.37,0.00,0.54
8135,14.59,13.60,176,964,74.90,13.00,2.28,56,0.00,7.11,0.00,0,0.38,0.00,0,0.0,-7.69,6.18,0.00,0.54
8209,14.81,13.60,176,1094,74.90,6.00,2.57,56,0.00,6.67,0.00,1,0.36,0.00,0,0.0,-8.13,5.74,0.00,0.54
8285,15.04,13.60,176,1102,74.90,6.00,2.59,56,0.00,6.53,0.00,1,0.34,0.00,0,0.0,-8.27,5.77,0.00,0.54
8360,15.27,13.60,176,1120,74.90,6.00,2.39,56,0.00,6.09,0.00,1,0.33,0.00,0,0.0,-8.71,5.71,0.00,0.54
8434,15.39,13.60,176,1110,74.90,7.00,2.37,56,0.00,5.95,0.00,1,0.33,0.00,0,0.0,-8.85,5.80,0.00,0.54
8510,15.16,13.60,176,1105,74.90,9.50,2.36,56,0.00,5.80,0.00,1,0.32,0.00,0,0.0,-8.85,5.83,0.00,0.54
8586,15.27,13.60,176,1090,74.90,10.50,2.44,56,0.00,5.80,0.00,1,0.32,0.00,0,0.0,-9.00,5.87,0.00,0.54
8660,15.27,13.60,176,1080,74.90,11.00,2.30,56,0.00,5.80,0.00,1,0.33,0.00,0,0.0,-9.00,5.87,0.00,0.54
8736,15.16,13.60,176,1068,74.90,12.00,2.28,56,0.00,5.80,0.00,1,0.33,0.00,0,0.0,-9.00,5.87,0.00,0.54
8811,15.50,13.60,176,1070,74.90,11.50,2.28,56,0.00,5.80,0.00,1,0.33,0.00,0,0.0,-9.00,6.00,0.00,0.54
8886,15.62,13.60,176,1061,74.90,13.50,2.26,56,0.00,5.80,0.00,1,0.33,0.00,0,0.0,-9.00,5.87,0.00,0.54
8962,15.85,13.52,176,1058,74.90,12.00,2.26,56,0.00,5.80,0.00,1,0.33,0.00,0,0.0,-9.00,5.87,0.00,0.54
9037,15.62,13.52,176,1068,74.90,11.00,2.28,56,0.00,5.66,0.00,1,0.32,0.00,0,0.0,-9.14,5.80,0.00,0.54
9112,15.85,13.52,176,1080,74.90,11.00,2.31,56,0.00,5.66,0.00,2,0.32,0.00,0,0.0,-9.14,5.74,0.00,0.54
9187,15.50,13.60,176,1070,74.90,12.50,2.28,56,0.00,5.66,0.00,2,0.32,0.00,0,0.0,-9.14,5.67,0.00,0.54
9262,15.50,13.52,176,1064,74.90,13.00,2.27,56,0.00,5.66,0.00,2,0.32,0.00,0,0.0,-9.14,5.65,0.00,0.54
9339,15.39,13.60,176,1063,74.90,13.50,2.27,56,0.00,5.66,0.00,2,0.31,0.00,0,0.0,-9.14,5.58,0.00,0.54
9414,15.39,13.60,176,1052,74.90,14.00,2.25,56,0.00,5.51,0.00,2,0.31,0.00,0,0.0,-9.29,5.48,0.00,0.54
9490,15.27,13.44,176,1062,74.90,14.00,2.26,56,0.00,5.51,0.00,2,0.32,0.00,0,0.0,-9.29,5.52,0.00,0.54
9565,15.39,13.60,176,1057,74.90,14.00,2.25,56,0.00,5.51,0.00,2,0.32,0.00,0,0.0,-9.29,5.54,0.00,0.54
9640,15.16,13.52,176,1054,74.90,15.00,2.23,56,0.00,5.51,0.00,2,0.32,0.00,0,0.0,-9.29,5.52,0.00,0.54
9715,15.27,13.60,176,1038,74.90,15.50,2.21,56,0.00,5.51,0.00,2,0.33,0.00,0,0.0,-9.29,5.58,0.00,0.56
9791,15.27,13.52,176,1039,74.90,15.50,2.44,56,0.00,5.51,0.78,2,0.35,0.00,0,0.0,-9.29,5.74,0.00,0.58
9866,15.27,13.60,176,1033,74.90,16.00,2.64,56,0.00,5.66,1.18,2,0.37,0.00,0,0.0,-9.14,6.37,0.00,0.58
9940,15.39,13.60,176,1042,74.90,14.00,2.44,56,0.00,5.80,1.18,2,0.37,0.00,0,0.0,-9.00,6.33,0.00,0.60
10016,15.27,13.52,176,1056,74.90,14.50,2.48,56,0.00,5.95,1.18,2,0.38,0.00,0,0.0,-9.00,6.73,0.00,0.60
10092,14.93,13.52,176,1070,74.90,15.50,2.74,56,0.00,6.09,1.96,2,0.40,0.00,0,0.0,-8.71,7.03,0.00,0.62
10167,14.93,13.52,176,1084,74.90,17.00,2.77,56,0.00,6.24,1.96,2,0.42,0.00,0,0.0,-8.56,7.33,0.00,0.62
10241,14.70,13.60,176,1080,74.90,18.00,3.00,56,0.00,6.38,3.14,2,0.45,0.00,0,0.0,-8.42,7.66,0.00,0.66
10318,14.36,13.52,176,1077,74.90,20.50,3.68,56,0.00,6.67,3.92,2,0.52,0.00,0,0.0,-8.13,9.39,0.00,0.70
10392,14.36,13.52,176,1070,74.90,23.00,3.65,56,0.00,7.69,4.71,2,0.59,0.00,0,0.0,-7.69,10.33,0.00,0.72
10467,14.01,13.60,176,1071,74.90,22.50,4.11,56,0.00,8.13,5.49,2,0.60,0.00,0,0.0,-7.11,11.15,0.00,0.72
10544,13.78,13.52,176,1065,74.90,22.00,4.09,56,0.00,8.71,5.49,2,0.64,0.00,0,0.0,-6.09,11.40,0.00,0.74
10618,12.63,13.60,176,1065,74.90,22.00,4.11,56,0.00,8.85,5.88,2,0.64,0.00,0,0.0,-5.95,11.46,0.00,0.74
10694,12.63,13.52,176,1089,74.90,22.50,3.72,56,0.00,9.29,5.88,2,0.63,0.00,0,0.0,-5.51,11.46,0.00,0.74
10769,12.52,13.60,176,1099,74.90,22.50,3.75,56,0.00,9.43,5.88,2,0.64,0.00,0,0.0,-5.37,11.56,0.00,0.74
10844,12.86,13.60,176,1109,74.90,22.50,3.78,56,0.00,9.58,5.88,2,0.64,0.00,0,0.0,-5.22,11.82,0.00,0.74
10920,13.44,13.60,176,1107,74.90,22.50,4.01,56,0.00,9.87,5.88,2,0.64,0.00,0,0.0,-5.08,11.82,0.00,0.74
10995,14.70,13.52,176,1109,74.90,22.50,4.02,56,0.00,9.87,5.88,2,0.64,0.00,0,0.0,-4.93,11.77,0.00,0.74
11070,14.81,13.60,176,1123,74.90,23.00,4.31,56,0.00,10.01,5.88,2,0.65,0.00,0,0.0,-4.79,11.82,0.00,0.74
11146,14.81,13.52,176,1131,74.90,23.00,4.09,56,0.00,10.01,5.88,2,0.62,0.00,0,0.0,-4.79,11.77,0.00,0.74
11221,14.81,13.60,176,1134,74.90,23.00,4.11,56,0.00,10.01,5.88,2,0.60,0.00,0,0.0,-4.79,11.45,0.00,0.72
