Time (msec),A/F Sensor #1 (AFR),Battery Voltage (V),Coolant Temperature (F),Engine Speed (rpm),Fuel Pump Duty (%),Ignition Total Timing (degrees),Injector Duty Cycle (%),Intake Air Temperature (C),Knock Correction Advance (degrees),Manifold Absolute Pressure (psi),Throttle Opening Angle (%),Vehicle Speed (mph),Engine Load*  (g/rev),Feedback Knock Correction* (degrees),Knock Count (Combined) (Knock Events),MAF/SD Blend Percentage (%),Manifold Relative Pressure (psi),Mass Airflow (g/s),Primary Wastegate Duty Cycle (%),Throttle Sensor Voltage (V)
0,14.47,14.00,165,2310,74.90,31.00,4.42,20,0.00,5.08,4.31,22,0.31,0.00,0,0.0,-9.72,11.93,0.00,0.70
76,14.47,14.08,165,2304,74.90,31.00,4.43,20,0.00,5.08,4.31,22,0.31,0.00,0,0.0,-9.72,11.88,0.00,0.70
150,14.47,14.08,165,2308,74.90,31.00,4.41,20,0.00,5.08,4.31,22,0.31,0.00,0,0.0,-9.72,11.88,0.00,0.70
226,14.36,14.08,165,2300,74.90,31.00,4.42,20,0.00,5.08,4.31,22,0.32,0.00,0,0.0,-9.72,12.04,0.00,0.70
301,14.36,14.00,165,2298,74.90,31.00,4.41,20,0.00,5.08,4.31,22,0.31,0.00,0,0.0,-9.72,11.93,0.00,0.70
376,14.47,14.08,165,2309,74.90,31.00,4.43,20,0.00,5.08,4.31,22,0.31,0.00,0,0.0,-9.72,11.82,0.00,0.70
452,14.47,14.08,165,2278,74.90,30.50,4.41,20,0.00,5.08,4.31,22,0.31,0.00,0,0.0,-9.72,11.88,0.00,0.70
526,14.36,14.08,165,2297,74.90,30.50,4.41,20,0.00,5.08,4.31,22,0.30,0.00,0,0.0,-9.72,11.77,0.00,0.70
602,14.36,14.08,165,2298,74.90,31.00,4.39,20,0.00,5.08,4.31,22,0.32,0.00,0,0.0,-9.72,11.93,0.00,0.70
678,14.47,14.00,165,2272,74.90,31.00,4.36,20,0.00,5.08,4.31,22,0.31,0.00,0,0.0,-9.72,11.88,0.00,0.70
752,14.59,14.08,165,2286,74.90,30.50,4.39,20,0.00,5.08,4.31,22,0.31,0.00,0,0.0,-9.72,11.82,0.00,0.70
828,14.36,14.00,165,2272,74.90,31.00,4.36,20,0.00,5.08,4.31,22,0.31,0.00,0,0.0,-9.72,11.93,0.00,0.70
903,14.47,14.00,165,2270,74.90,31.00,4.35,20,0.00,5.08,4.31,22,0.31,0.00,0,0.0,-9.72,11.82,0.00,0.70
979,14.36,14.08,165,2266,74.90,31.00,4.37,20,0.00,5.08,4.31,22,0.32,0.00,0,0.0,-9.72,11.93,0.00,0.70
1053,14.36,14.00,165,2274,74.90,31.00,4.36,20,0.00,5.08,4.31,22,0.31,0.00,0,0.0,-9.72,11.93,0.00,0.70
1130,14.47,14.00,165,2270,74.90,30.50,4.36,20,0.00,5.22,4.31,22,0.31,0.00,0,0.0,-9.58,11.66,0.00,0.70
1205,14.47,14.00,165,2255,74.90,30.50,4.33,20,0.00,5.08,4.31,22,0.32,0.00,0,0.0,-9.72,11.71,0.00,0.70
1281,14.47,14.00,165,2252,74.90,30.50,4.32,20,0.00,5.22,4.31,22,0.31,0.00,0,0.0,-9.58,11.82,0.00,0.70
1354,14.47,14.00,167,2267,74.90,30.50,4.35,20,0.00,5.22,4.31,22,0.32,0.00,0,0.0,-9.58,11.82,0.00,0.70
1431,14.59,14.00,167,2239,74.90,30.50,4.33,20,0.00,5.22,4.31,22,0.31,0.00,0,0.0,-9.58,12.04,0.00,0.70
1506,14.59,14.08,167,2257,74.90,31.00,4.33,20,0.00,5.22,4.31,22,0.32,0.00,0,0.0,-9.58,11.71,0.00,0.70
1582,14.59,14.00,167,2254,74.90,30.50,4.32,20,0.00,5.22,4.31,22,0.32,0.00,0,0.0,-9.58,11.88,0.00,0.70
1656,14.47,14.08,167,2255,74.90,31.00,4.33,20,0.00,5.22,4.31,22,0.31,0.00,0,0.0,-9.58,11.93,0.00,0.70
1732,14.47,14.00,167,2256,74.90,30.50,4.33,20,0.00,5.22,4.31,22,0.32,0.00,0,0.0,-9.58,11.82,0.00,0.70
1807,14.59,14.08,167,2235,74.90,31.00,4.29,20,0.00,5.22,4.31,22,0.32,0.00,0,0.0,-9.58,11.93,0.00,0.70
1882,14.59,14.00,167,2261,74.90,31.00,4.76,20,0.00,5.22,4.31,22,0.32,0.00,0,0.0,-9.58,11.93,0.00,0.70
1959,14.47,14.00,167,2231,74.90,31.00,4.28,20,0.00,5.22,4.31,22,0.32,0.00,0,0.0,-9.58,12.04,0.00,0.70
2033,14.36,14.00,167,2231,74.90,30.50,4.33,20,0.00,5.22,4.31,22,0.32,0.00,0,0.0,-9.58,11.71,0.00,0.70
2109,14.36,14.00,167,2255,74.90,31.00,4.29,20,0.00,5.22,4.31,22,0.32,0.00,0,0.0,-9.58,11.99,0.00,0.70
2183,14.36,14.00,167,2232,74.90,31.00,4.29,20,0.00,5.22,4.31,22,0.32,0.00,0,0.0,-9.58,11.93,0.00,0.70
2259,14.47,14.00,167,2238,74.90,30.50,4.30,20,0.00,5.22,4.31,22,0.32,0.00,0,0.0,-9.58,11.82,0.00,0.70
2335,14.59,14.08,167,2246,74.90,30.50,4.31,20,0.00,5.22,4.31,22,0.32,0.00,0,0.0,-9.58,11.82,0.00,0.70
2410,14.59,14.00,167,2232,74.90,30.50,4.29,20,0.00,5.22,4.31,22,0.31,0.00,0,0.0,-9.58,11.93,0.00,0.70
