Time (msec),A/F Learning #1 (%),A/F Sensor #1 (AFR),Battery Voltage (V),Coolant Temperature (F),Engine Load*  (g/rev),Engine Speed (rpm),Feedback Knock Correction* (degrees),Ignition Total Timing (degrees),Injector Duty Cycle (%),Intake Air Temperature (F),Knock Correction Advance (degrees),Knock Count (Combined) (Knock Events),Manifold Absolute Pressure (psi),Manifold Relative Pressure (psi),Mass Airflow (g/s),Mass Airflow Sensor Voltage (V),Primary Wastegate Duty Cycle (%),Throttle Opening Angle (%),Throttle Sensor Voltage (V),Volumetric Efficiency* (Load Multiplier)
0,-14.06,14.81,13.52,167,0.38,920,0.00,13.00,1.96,117,0.00,0,6.24,-8.42,5.74,1.46,0.00,0.00,0.54,68.1061
75,-14.06,14.93,13.68,169,0.38,914,0.00,13.50,2.15,117,0.00,0,6.24,-8.42,5.77,1.46,0.00,0.00,0.54,68.0786
151,-14.06,14.81,13.68,169,0.38,918,0.00,13.00,1.96,117,0.00,0,6.24,-8.42,5.80,1.44,0.00,0.00,0.54,68.1274
226,-14.06,14.81,13.52,169,0.38,916,0.00,13.00,1.95,117,0.00,0,6.24,-8.42,5.77,1.46,0.00,0.00,0.54,68.1000
301,-14.06,14.93,13.68,169,0.38,919,0.00,13.00,1.96,117,0.00,0,6.24,-8.42,5.80,1.44,0.00,0.00,0.54,68.1366
377,-14.06,14.81,13.60,169,0.38,920,0.00,13.00,1.96,117,0.00,0,6.24,-8.42,5.77,1.46,0.00,0.00,0.54,68.0939
451,-14.06,14.93,13.68,169,0.38,921,0.00,13.00,1.96,117,0.00,0,6.24,-8.42,5.77,1.46,0.00,0.00,0.54,68.0603
527,-14.06,14.70,13.60,169,0.38,919,0.00,13.00,1.96,117,0.00,0,6.24,-8.42,5.77,1.46,0.00,0.00,0.54,68.1213
602,-14.06,14.93,13.60,169,0.38,915,0.00,13.50,1.95,117,0.00,0,6.24,-8.42,5.77,1.46,0.00,0.00,0.54,68.0847
677,-14.06,14.93,13.68,169,0.38,917,0.00,13.00,1.96,117,0.00,0,6.24,-8.42,5.74,1.46,0.00,0.00,0.54,68.1122
752,-14.06,14.70,13.60,169,0.38,916,0.00,13.00,1.95,117,0.00,0,6.24,-8.42,5.77,1.46,0.00,0.00,0.54,68.0939
828,-14.06,14.81,13.68,169,0.38,914,0.00,13.00,1.95,117,0.00,0,6.24,-8.42,5.80,1.46,0.00,0.00,0.54,67.9962
905,-14.06,14.70,13.60,169,0.38,917,0.00,13.00,1.95,117,0.00,0,6.24,-8.42,5.77,1.46,0.00,0.00,0.54,68.0908
978,-14.06,14.81,13.68,169,0.38,915,0.00,13.50,1.96,117,0.00,0,6.24,-8.42,5.80,1.46,0.00,0.00,0.54,68.0176
1053,-14.06,14.70,13.60,169,0.38,919,0.00,13.00,1.96,117,0.00,0,6.24,-8.42,5.77,1.44,0.00,0.00,0.54,68.0878
1129,-14.06,14.81,13.60,169,0.37,924,0.00,12.50,1.97,117,0.00,0,6.24,-8.42,5.77,1.44,0.00,0.00,0.54,68.1854
1205,-14.06,14.81,13.68,169,0.37,920,0.00,13.00,1.96,117,0.00,0,6.24,-8.42,5.74,1.44,0.00,0.00,0.54,68.1396
1280,-14.06,14.70,13.60,169,0.38,923,0.00,12.50,1.97,117,0.00,0,6.24,-8.42,5.77,1.46,0.00,0.00,0.54,68.1793
1355,-14.06,14.81,13.68,169,0.38,920,0.00,14.50,1.96,117,0.00,0,6.24,-8.42,5.80,1.46,0.00,0.00,0.54,68.7073
1430,-14.06,14.70,13.60,169,0.39,908,0.00,14.00,1.93,117,0.00,0,6.24,-8.42,5.77,1.46,0.00,0.00,0.54,67.9504
1505,-14.06,14.93,13.68,169,0.38,917,0.00,13.00,2.13,117,0.00,0,6.24,-8.42,5.83,1.46,0.00,0.00,0.54,67.9657
1581,-14.06,14.81,13.68,169,0.38,923,0.00,12.50,1.97,117,0.00,0,6.24,-8.42,5.80,1.46,0.00,0.00,0.54,68.1091
1657,-14.06,15.04,13.68,169,0.38,924,0.00,12.50,1.97,117,0.00,0,6.24,-8.42,5.77,1.44,0.00,0.00,0.54,68.1854
1734,-14.06,14.93,13.60,169,0.37,927,0.00,12.00,1.98,117,0.00,0,6.24,-8.42,5.77,1.44,0.00,0.00,0.54,68.2220
1808,-14.06,14.70,13.68,169,0.38,917,0.00,13.00,1.96,117,0.00,0,6.24,-8.42,5.74,1.44,0.00,0.00,0.54,68.1091
1882,-14.06,14.81,13.68,169,0.38,916,0.00,13.00,1.96,117,0.00,0,6.24,-8.42,5.77,1.46,0.00,0.00,0.54,68.0420
1958,-14.06,14.59,13.68,169,0.38,922,0.00,13.00,1.97,117,0.00,0,6.24,-8.42,5.77,1.46,0.00,0.00,0.54,68.1702
2032,-14.06,14.81,13.60,169,0.38,914,0.00,13.50,1.95,117,0.00,0,6.24,-8.42,5.77,1.46,0.00,0.00,0.54,68.0145
2109,-14.06,14.70,13.68,169,0.38,922,0.00,13.00,1.97,117,0.00,0,6.24,-8.42,5.77,1.46,0.00,0.00,0.54,68.1610
2183,-14.06,14.81,13.68,169,0.38,922,0.00,13.00,1.97,117,0.00,0,6.24,-8.42,5.80,1.46,0.00,0.00,0.54,68.1610
2259,-14.06,14.93,13.68,169,0.38,916,0.00,13.50,1.95,117,0.00,0,6.24,-8.42,5.77,1.46,0.00,0.00,0.54,68.0969
2339,-14.06,14.81,13.68,169,0.38,908,0.00,13.50,1.94,117,0.00,0,6.24,-8.42,5.77,1.46,0.00,0.00,0.54,68.0115
2409,-14.06,14.93,13.68,169,0.38,921,0.00,13.00,2.14,117,0.00,0,6.24,-8.42,5.80,1.46,0.00,0.00,0.54,68.0237
2484,-14.06,14.81,13.68,169,0.38,921,0.00,13.00,1.96,117,0.00,0,6.24,-8.42,5.80,1.46,0.00,0.00,0.54,68.1427
2560,-14.06,14.93,13.60,169,0.38,920,0.00,13.00,1.96,117,0.00,0,6.24,-8.42,5.77,1.46,0.00,0.00,0.54,68.0756
2635,-14.06,14.70,13.60,169,0.38,924,0.00,12.50,1.97,117,0.00,0,6.24,-8.42,5.77,1.46,0.00,0.00,0.54,68.1854
2710,-14.06,14.59,13.68,169,0.38,921,0.00,13.00,1.96,117,0.00,0,6.24,-8.42,5.80,1.46,0.00,0.00,0.54,68.1549
2790,-14.06,14.81,13.60,169,0.38,913,0.00,13.50,1.95,117,0.00,0,6.24,-8.42,5.77,1.46,0.00,0.00,0.54,68.0664
2862,-14.06,14.70,13.60,169,0.38,911,0.00,13.00,1.94,117,0.00,0,6.24,-8.42,5.77,1.46,0.00,0.00,0.54,68.0450
