Time (msec),A/F Sensor #1 (AFR),Battery Voltage (V),Coolant Temperature (F),Engine Speed (rpm),Fuel Pump Duty (%),Ignition Total Timing (degrees),Injector Duty Cycle (%),Intake Air Temperature (C),Knock Correction Advance (degrees),Manifold Absolute Pressure (psi),Throttle Opening Angle (%),Vehicle Speed (mph),Engine Load*  (g/rev),MAF/SD Blend Percentage (%),Manifold Relative Pressure (psi),Mass Airflow (g/s),Primary Wastegate Duty Cycle (%)
0,14.70,13.52,189,935,74.90,14.50,2.00,45,0.00,5.95,0.00,0,0.32,0.0,-8.71,4.94,0.00
68,14.81,13.60,189,938,74.90,13.00,2.00,45,0.00,5.95,0.00,0,0.32,0.0,-8.71,4.91,0.00
137,14.70,13.52,189,938,74.90,13.00,2.00,45,0.00,5.95,0.00,0,0.32,0.0,-8.71,4.94,0.00
206,14.81,13.60,189,938,74.90,13.00,2.00,45,0.00,5.95,0.00,0,0.32,0.0,-8.71,4.91,0.00
275,14.70,13.60,189,940,74.90,13.00,2.00,45,0.00,5.95,0.00,0,0.32,0.0,-8.71,4.94,0.00
343,14.81,13.60,189,938,74.90,13.00,2.00,45,0.00,5.95,0.00,0,0.32,0.0,-8.71,4.88,0.00
410,14.70,13.52,189,936,74.90,13.50,2.00,45,0.00,5.95,0.00,0,0.32,0.0,-8.71,4.88,0.00
479,14.81,13.60,189,934,74.90,13.50,1.99,45,0.00,5.95,0.00,0,0.31,0.0,-8.71,4.88,0.00
547,14.70,13.60,189,938,74.90,13.00,2.00,45,0.00,5.95,0.00,0,0.29,0.0,-8.71,4.88,0.00
616,14.70,13.60,189,939,74.90,13.00,2.00,45,0.00,5.95,0.00,0,0.32,0.0,-8.71,4.88,0.00
685,14.81,13.60,189,938,74.90,13.00,2.00,45,0.00,5.80,0.00,0,0.31,0.0,-8.85,4.88,0.00
754,14.70,13.60,189,936,74.90,14.00,2.00,45,0.00,5.80,0.00,0,0.32,0.0,-8.71,4.85,0.00
821,14.81,13.60,189,934,74.90,13.50,1.99,45,0.00,5.95,0.00,0,0.32,0.0,-8.85,4.91,0.00
890,14.70,13.60,189,934,74.90,14.00,1.99,45,0.00,5.80,0.00,0,0.32,0.0,-8.71,4.91,0.00
959,14.81,13.68,189,931,74.90,14.00,1.99,45,0.00,5.95,0.00,0,0.32,0.0,-8.71,4.91,0.00
1027,14.70,13.68,189,933,74.90,13.50,1.99,45,0.00,5.95,0.00,0,0.32,0.0,-8.71,4.91,0.00
1095,14.70,13.60,189,936,74.90,13.00,1.99,45,0.00,5.95,0.00,0,0.32,0.0,-8.71,4.94,0.00
1164,14.70,13.60,189,935,74.90,13.50,1.99,45,0.00,5.95,0.00,0,0.32,0.0,-8.71,4.91,0.00
1232,14.81,13.60,189,934,74.90,13.50,1.99,45,0.00,5.95,0.00,0,0.31,0.0,-8.71,4.91,0.00
1300,14.70,13.68,189,929,74.90,14.00,1.98,45,0.00,5.95,0.00,0,0.32,0.0,-8.71,4.88,0.00
1369,14.81,13.60,189,930,74.90,14.00,1.98,45,0.00,5.95,0.00,0,0.32,0.0,-8.71,4.97,0.00
1439,14.70,13.60,189,930,74.90,14.00,1.99,45,0.00,5.95,0.00,0,0.32,0.0,-8.71,4.97,0.00
1506,14.81,13.60,189,932,74.90,13.50,1.99,45,0.00,5.95,0.00,0,0.32,0.0,-8.71,4.94,0.00
1575,14.70,13.60,189,936,74.90,13.00,2.00,45,0.00,5.95,0.00,0,0.31,0.0,-8.71,4.94,0.00
1643,14.81,13.60,189,938,74.90,13.00,2.00,45,0.00,5.95,0.00,0,0.32,0.0,-8.71,4.91,0.00
1711,14.70,13.60,189,936,74.90,13.00,2.00,45,0.00,5.95,0.00,0,0.31,0.0,-8.71,4.94,0.00
1779,14.81,13.60,189,935,74.90,13.00,1.99,45,0.00,5.95,0.00,0,0.32,0.0,-8.71,4.97,0.00
1847,14.70,13.60,189,939,74.90,13.00,2.00,45,0.00,5.95,0.00,0,0.31,0.0,-8.71,4.91,0.00
1915,14.81,13.60,189,936,74.90,13.50,2.00,45,0.00,5.95,0.00,0,0.32,0.0,-8.71,4.94,0.00
1985,14.70,13.60,189,934,74.90,14.00,1.99,45,0.00,5.95,0.00,0,0.32,0.0,-8.71,4.91,0.00
2053,14.70,13.60,189,933,74.90,14.00,1.99,45,0.00,5.95,0.00,0,0.32,0.0,-8.71,4.94,0.00
2122,14.81,13.60,189,934,74.90,14.00,1.99,45,0.00,5.95,0.00,0,0.32,0.0,-8.71,4.97,0.00
2191,14.70,13.60,189,934,74.90,14.00,1.99,45,0.00,5.95,0.00,0,0.32,0.0,-8.71,4.97,0.00
2259,14.81,13.60,189,934,74.90,14.00,1.99,45,0.00,5.95,0.00,0,0.31,0.0,-8.71,4.94,0.00
2328,14.81,13.60,189,934,74.90,13.00,1.99,45,0.00,5.95,0.00,0,0.31,0.0,-8.71,4.97,0.00
2396,14.81,13.52,189,938,74.90,13.50,2.00,45,0.00,5.95,0.00,0,0.31,0.0,-8.71,4.88,0.00
2464,14.81,13.60,189,936,74.90,14.00,2.00,45,0.00,5.95,0.00,0,0.31,0.0,-8.71,4.88,0.00
2533,14.81,13.52,189,929,74.90,14.50,2.00,45,0.00,5.80,0.00,0,0.31,0.0,-8.85,4.88,0.00
2601,14.81,13.60,189,926,74.90,15.00,1.98,45,0.00,5.95,0.00,0,0.32,0.0,-8.71,4.88,0.00
2669,14.81,13.52,189,918,74.90,15.50,2.15,45,0.00,5.95,0.00,0,0.32,0.0,-8.71,4.91,0.00
2740,14.81,13.60,189,920,74.90,15.50,2.16,45,0.00,5.95,0.00,0,0.32,0.0,-8.71,4.97,0.00
2810,14.81,13.52,189,914,74.90,15.50,2.14,45,0.00,5.95,0.00,0,0.32,0.0,-8.71,4.91,0.00
2875,14.81,13.60,189,918,74.90,15.50,1.96,45,0.00,5.95,0.00,0,0.32,0.0,-8.71,4.91,0.00
2944,14.81,13.52,189,916,74.90,15.50,2.15,45,0.00,5.95,0.00,0,0.32,0.0,-8.71,4.91,0.00
3013,14.81,13.60,189,920,74.90,15.00,1.96,45,0.00,5.95,0.00,0,0.32,0.0,-8.71,4.91,0.00
3080,14.81,13.52,189,921,74.90,14.50,2.16,45,0.00,5.95,0.00,0,0.32,0.0,-8.71,4.97,0.00
3149,14.70,13.60,189,924,74.90,14.00,1.97,45,0.00,5.95,0.00,0,0.32,0.0,-8.71,4.94,0.00
3218,14.81,13.60,189,923,74.90,14.00,2.17,45,0.00,5.95,0.00,0,0.32,0.0,-8.71,4.97,0.00
3286,14.70,13.60,189,922,74.90,14.00,1.97,45,0.00,5.95,0.00,0,0.33,0.0,-8.71,4.97,0.00
3354,14.81,13.60,189,916,74.90,15.00,2.15,45,0.00,5.95,0.00,0,0.32,0.0,-8.71,4.97,0.00
3424,14.81,13.60,189,919,74.90,14.50,2.16,45,0.00,5.95,0.00,0,0.32,0.0,-8.71,4.97,0.00
3491,14.81,13.60,189,918,74.90,14.50,2.15,45,0.00,5.95,0.00,0,0.32,0.0,-8.71,4.97,0.00
3560,14.70,13.52,189,920,74.90,14.50,2.16,45,0.00,5.95,0.00,0,0.32,0.0,-8.71,5.04,0.00
3628,14.70,13.60,189,920,74.90,14.00,2.16,45,0.00,5.95,0.00,0,0.32,0.0,-8.71,4.97,0.00
3697,14.70,13.52,189,924,74.90,14.00,1.97,45,0.00,5.95,0.00,0,0.32,0.0,-8.71,4.97,0.00
3767,14.59,13.52,189,927,74.90,13.50,1.98,45,0.00,5.95,0.00,0,0.32,0.0,-8.71,4.97,0.00
3835,14.59,13.52,189,928,74.90,13.50,1.98,45,0.00,5.95,0.00,0,0.32,0.0,-8.71,4.94,0.00
3903,14.70,13.60,189,936,74.90,13.00,2.00,45,0.00,5.95,0.00,0,0.32,0.0,-8.71,4.94,0.00
3971,14.59,13.52,189,933,74.90,13.50,1.99,45,0.00,5.95,0.00,0,0.32,0.0,-8.71,4.97,0.00
4039,14.81,13.60,189,930,74.90,13.50,1.98,45,0.00,5.95,0.00,0,0.32,0.0,-8.71,4.97,0.00
4108,14.70,13.52,189,935,74.90,13.00,1.99,45,0.00,5.95,0.00,0,0.32,0.0,-8.71,4.97,0.00
4176,14.81,13.60,189,934,74.90,13.00,1.99,45,0.00,5.95,0.00,0,0.32,0.0,-8.71,4.97,0.00
4244,14.70,13.52,189,934,74.90,13.00,2.19,45,0.00,5.95,0.00,0,0.32,0.0,-8.71,5.04,0.00
4313,14.81,13.60,189,935,74.90,13.00,1.99,45,0.00,5.95,0.00,0,0.32,0.0,-8.71,4.97,0.00
4381,14.70,13.52,189,935,74.90,13.00,1.99,45,0.00,5.95,0.00,0,0.32,0.0,-8.71,4.97,0.00
4449,14.81,13.60,189,935,74.90,13.00,1.99,45,0.00,5.95,0.00,0,0.32,0.0,-8.71,4.97,0.00
4518,14.59,13.60,189,935,74.90,13.00,1.99,45,0.00,5.95,0.00,0,0.32,0.0,-8.71,4.97,0.00
4586,14.70,13.60,189,938,74.90,13.00,2.00,45,0.00,5.95,0.00,0,0.32,0.0,-8.71,4.94,0.00
4655,14.59,13.60,189,935,74.90,13.00,1.99,45,0.00,5.95,0.00,0,0.32,0.0,-8.71,4.97,0.00
4723,14.70,13.60,189,934,74.90,13.00,1.99,45,0.00,5.95,0.00,0,0.32,0.0,-8.71,5.00,0.00
4791,14.70,13.60,189,926,74.90,14.00,1.98,45,0.00,5.95,0.00,0,0.33,0.0,-8.71,5.00,0.00
4860,14.81,13.60,189,928,74.90,14.00,2.18,45,0.00,5.95,0.00,0,0.33,0.0,-8.71,5.04,0.00
4933,14.70,13.60,189,928,74.90,14.00,2.18,45,0.00,5.95,0.00,0,0.33,0.0,-8.71,5.04,0.00
4996,14.70,13.60,189,928,74.90,14.00,2.18,45,0.00,5.95,0.00,0,0.33,0.0,-8.71,5.04,0.00
5067,14.81,13.60,189,929,74.90,13.50,2.18,45,0.00,5.95,0.00,0,0.32,0.0,-8.71,5.00,0.00
5137,14.70,13.60,189,933,74.90,13.00,1.99,45,0.00,5.95,0.00,0,0.33,0.0,-8.71,5.04,0.00
5203,14.81,13.60,189,931,74.90,13.50,1.99,45,0.00,5.95,0.00,0,0.33,0.0,-8.71,5.04,0.00
5270,14.70,13.60,189,934,74.90,13.00,2.19,45,0.00,5.95,0.00,0,0.33,0.0,-8.71,5.04,0.00
5339,14.70,13.60,189,934,74.90,13.00,1.99,45,0.00,5.95,0.00,0,0.32,0.0,-8.71,5.04,0.00
5408,14.59,13.60,189,936,74.90,13.00,2.00,45,0.00,5.95,0.00,0,0.33,0.0,-8.71,5.04,0.00
5476,14.70,13.60,189,932,74.90,13.50,1.99,45,0.00,5.95,0.00,0,0.32,0.0,-8.71,5.04,0.00
5544,14.59,13.60,189,930,74.90,13.50,2.19,45,0.00,5.95,0.00,0,0.33,0.0,-8.71,5.07,0.00
5612,14.70,13.52,189,930,74.90,13.50,2.18,45,0.00,5.95,0.00,0,0.33,0.0,-8.71,5.04,0.00
5682,14.59,13.60,189,930,74.90,13.50,2.18,45,0.00,5.95,0.00,0,0.32,0.0,-8.71,5.04,0.00
5750,14.70,13.52,189,932,74.90,13.50,2.19,45,0.00,5.95,0.00,0,0.33,0.0,-8.71,5.04,0.00
5817,14.70,13.60,189,934,74.90,13.00,2.19,45,0.00,5.95,0.00,0,0.33,0.0,-8.71,5.10,0.00
5887,14.81,13.44,189,932,74.90,13.50,2.19,45,0.00,5.95,0.00,0,0.33,0.0,-8.71,5.07,0.00
5955,14.70,13.52,189,932,74.90,13.00,2.19,45,0.00,5.95,0.00,0,0.32,0.0,-8.71,5.04,0.00
6025,14.81,13.52,189,932,74.90,13.50,2.19,45,0.00,5.95,0.00,0,0.32,0.0,-8.71,5.07,0.00
6092,14.70,13.60,189,932,74.90,13.50,2.19,45,0.00,5.95,0.00,0,0.32,0.0,-8.71,5.07,0.00
6160,14.70,13.44,189,932,74.90,13.50,2.19,45,0.00,5.95,0.00,0,0.33,0.0,-8.71,5.04,0.00
6229,14.70,13.60,189,930,74.90,14.00,2.18,45,0.00,5.95,0.00,0,0.33,0.0,-8.71,5.04,0.00
6299,14.70,13.52,189,929,74.90,14.00,2.18,45,0.00,5.95,0.00,0,0.33,0.0,-8.71,5.10,0.00
6366,14.70,13.60,189,929,74.90,14.00,2.18,45,0.00,5.95,0.00,0,0.33,0.0,-8.71,5.07,0.00
6436,14.81,13.52,189,931,74.90,14.00,2.19,45,0.00,5.95,0.00,0,0.33,0.0,-8.71,5.07,0.00
6504,14.70,13.60,189,936,74.90,13.00,2.00,45,0.00,5.95,0.00,0,0.33,0.0,-8.71,5.07,0.00
6572,14.59,13.60,189,931,74.90,14.00,2.18,45,0.00,5.95,0.00,0,0.32,0.0,-8.71,5.07,0.00
6639,14.59,13.44,189,935,74.90,13.50,2.00,45,0.00,5.95,0.00,0,0.32,0.0,-8.71,5.07,0.00
6707,14.59,13.60,189,935,74.90,13.50,2.19,45,0.00,5.95,0.00,0,0.32,0.0,-8.71,5.07,0.00
6777,14.59,13.52,189,933,74.90,14.00,1.99,45,0.00,5.95,0.00,0,0.33,0.0,-8.71,5.10,0.00
6845,14.59,13.60,189,931,74.90,14.00,2.18,45,0.00,5.95,0.00,0,0.32,0.0,-8.71,5.07,0.00
6913,14.70,13.60,189,933,74.90,14.00,1.99,45,0.00,5.95,0.00,0,0.32,0.0,-8.71,5.00,0.00
6982,14.70,13.60,189,932,74.90,13.50,1.99,45,0.00,5.95,0.00,0,0.32,0.0,-8.71,5.07,0.00
7050,14.81,13.60,189,932,74.90,14.00,2.19,45,0.00,5.95,0.00,0,0.32,0.0,-8.71,5.07,0.00
7118,14.70,13.60,189,934,74.90,13.50,1.99,45,0.00,5.95,0.00,0,0.33,0.0,-8.71,5.07,0.00
7187,14.70,13.60,189,934,74.90,14.00,2.19,45,0.00,5.95,0.00,0,0.33,0.0,-8.71,5.07,0.00
7255,14.70,13.60,189,939,74.90,13.00,2.00,45,0.00,5.95,0.00,0,0.33,0.0,-8.71,5.10,0.00
7324,14.70,13.52,189,935,74.90,14.00,2.19,45,0.00,5.95,0.00,0,0.33,0.0,-8.71,5.07,0.00
7392,14.81,13.52,189,938,74.90,13.50,2.00,45,0.00,5.95,0.00,0,0.33,0.0,-8.71,5.07,0.00
7461,14.70,13.60,189,938,74.90,14.00,2.00,45,0.00,5.95,0.00,0,0.33,0.0,-8.71,5.07,0.00
7529,14.81,13.60,189,939,74.90,13.00,2.00,45,0.00,5.95,0.00,0,0.33,0.0,-8.71,5.07,0.00
7597,14.81,13.60,189,936,74.90,13.50,2.20,45,0.00,5.95,0.00,0,0.32,0.0,-8.71,5.07,0.00
7665,14.81,13.60,189,940,74.90,13.00,2.01,45,0.00,5.95,0.00,0,0.32,0.0,-8.71,5.07,0.00
7735,14.70,13.60,189,942,74.90,13.00,2.01,45,0.00,5.95,0.00,0,0.32,0.0,-8.71,5.04,0.00
7802,14.81,13.60,189,942,74.90,13.00,2.01,45,0.00,5.95,0.00,0,0.33,0.0,-8.71,5.07,0.00
7871,14.70,13.60,189,939,74.90,13.50,2.20,45,0.00,5.95,0.00,0,0.32,0.0,-8.71,5.13,0.00
7939,14.81,13.60,189,941,74.90,13.00,2.01,45,0.00,5.95,0.00,0,0.33,0.0,-8.71,5.07,0.00
8007,14.70,13.60,189,940,74.90,13.00,2.01,45,0.00,5.95,0.00,0,0.32,0.0,-8.71,5.07,0.00
8076,14.81,13.60,189,942,74.90,13.00,2.01,45,0.00,5.95,0.00,0,0.32,0.0,-8.71,5.07,0.00
8145,14.81,13.60,189,940,74.90,13.00,2.01,45,0.00,6.09,0.00,0,0.32,0.0,-8.56,5.07,0.00
8213,14.70,13.60,189,943,74.90,13.00,2.01,45,0.00,6.09,0.00,0,0.32,0.0,-8.56,5.04,0.00
8280,14.70,13.60,189,945,74.90,13.00,2.02,45,0.00,6.24,0.00,0,0.32,0.0,-8.42,5.00,0.00
8350,14.70,13.60,189,948,74.90,13.00,2.02,45,0.00,6.24,0.00,0,0.32,0.0,-8.42,5.04,0.00
8418,14.81,13.60,189,947,74.90,13.00,2.02,45,0.00,6.24,0.00,0,0.32,0.0,-8.42,5.07,0.00
8487,14.93,13.60,189,944,74.90,13.50,2.01,45,0.00,6.24,0.00,0,0.32,0.0,-8.42,5.07,0.00
8555,15.16,13.60,189,946,74.90,13.00,2.21,45,0.00,6.24,0.00,0,0.32,0.0,-8.42,5.07,0.00
8623,15.27,13.60,189,947,74.90,13.00,2.22,45,0.00,6.24,0.00,0,0.32,0.0,-8.42,5.07,0.00
8692,15.39,13.52,189,944,74.90,13.00,2.22,45,0.00,6.09,0.00,0,0.32,0.0,-8.56,5.07,0.00
8759,15.39,13.60,189,945,74.90,13.00,2.22,45,0.00,6.09,0.00,0,0.32,0.0,-8.56,5.07,0.00
8829,15.39,13.52,189,947,74.90,13.00,2.22,45,0.00,6.09,0.00,0,0.32,0.0,-8.56,5.10,0.00
8897,15.27,13.60,189,952,74.90,12.50,2.24,45,0.00,6.09,0.00,0,0.32,0.0,-8.56,5.10,0.00
8965,15.27,13.52,189,954,74.90,12.50,2.24,45,0.00,6.09,0.39,0,0.33,0.0,-8.56,5.13,0.00
9033,15.16,13.60,189,957,74.90,12.50,2.25,45,0.00,6.09,1.18,0,0.37,0.0,-8.56,5.29,0.00
9103,15.16,13.52,189,950,74.90,14.00,2.63,45,0.00,6.24,1.18,0,0.40,0.0,-8.42,5.87,0.00
9171,15.04,13.60,189,955,74.90,14.00,2.65,45,0.00,6.38,1.96,0,0.41,0.0,-8.27,6.37,0.00
9239,15.04,13.60,189,979,74.90,15.00,2.72,45,0.00,6.53,1.96,0,0.41,0.0,-8.13,6.66,0.00
9307,15.04,13.60,189,1024,74.90,15.50,2.84,45,0.00,6.82,2.35,0,0.41,0.0,-7.84,7.06,0.00
9376,14.47,13.52,189,1060,74.90,17.00,2.94,45,0.00,6.96,2.75,0,0.41,0.0,-7.69,7.29,0.00
9443,14.36,13.60,189,1093,74.90,17.50,3.03,45,0.00,7.11,2.75,0,0.40,0.0,-7.55,5.14,0.00
9512,13.90,13.60,189,1144,74.90,19.00,2.93,45,0.00,7.11,3.14,0,0.40,0.0,-7.55,7.86,0.00
9582,13.67,13.60,189,1170,74.90,20.00,3.00,45,0.00,7.11,3.14,0,0.40,0.0,-7.55,8.11,0.00
9650,14.01,13.52,189,1216,74.90,21.00,3.11,45,0.00,7.11,3.53,0,0.40,0.0,-7.55,8.31,0.00
9718,14.47,13.60,189,1227,74.90,21.00,3.14,45,0.00,7.11,3.53,0,0.41,0.0,-7.55,8.44,0.00
9786,14.81,13.60,189,1228,74.90,21.00,3.41,45,0.00,7.11,3.53,0,0.43,0.0,-7.55,8.60,0.00
9855,15.04,13.52,189,1232,74.90,21.50,3.42,45,0.00,7.25,3.92,0,0.41,0.0,-7.40,8.82,0.00
9923,15.16,13.60,189,1212,74.90,21.00,3.62,45,0.00,7.40,3.92,0,0.45,0.0,-7.40,8.87,0.00
9991,15.27,13.60,189,1197,74.90,21.00,3.58,45,0.00,7.55,4.71,0,0.48,0.0,-7.25,9.26,0.00
10059,14.93,13.60,189,1196,74.90,21.00,3.83,45,0.00,7.69,5.10,0,0.51,0.0,-7.11,9.75,0.00
10128,14.81,13.60,189,1193,74.90,21.00,4.06,45,0.00,7.98,5.49,0,0.50,0.0,-6.67,10.43,0.00
10197,14.70,13.60,189,1220,74.90,21.00,3.82,45,0.00,8.42,5.88,0,0.54,0.0,-6.24,10.85,0.00
10266,14.13,13.52,189,1240,74.90,21.50,3.91,45,0.00,8.56,5.88,0,0.54,0.0,-6.09,11.09,0.00
10333,13.55,13.60,189,1262,74.90,22.00,4.04,45,0.00,8.71,6.27,0,0.55,0.0,-5.95,11.45,0.00
10402,13.78,13.60,189,1304,74.90,22.50,4.17,45,0.00,8.85,6.27,0,0.56,0.0,-5.80,11.99,0.00
10470,14.13,13.60,189,1317,74.90,23.00,4.49,45,0.00,9.00,6.67,0,0.57,0.0,-5.66,12.42,0.00
10539,14.47,13.60,189,1341,74.90,23.50,4.58,45,0.00,9.00,6.67,0,0.57,0.0,-5.66,12.70,0.00
10607,14.81,13.60,189,1347,74.90,23.50,4.60,45,0.00,9.14,7.06,0,0.58,0.0,-5.51,13.07,0.00
10675,14.93,13.52,189,1361,74.90,23.50,4.94,45,0.00,9.29,7.06,0,0.58,0.0,-5.37,13.07,0.00
10744,14.81,13.60,189,1341,74.90,23.50,4.86,45,0.00,9.29,7.06,0,0.60,0.0,-5.37,13.07,0.00
10813,14.81,13.60,189,1326,74.90,23.50,4.81,45,0.00,9.43,7.06,0,0.62,0.0,-5.22,13.31,0.00
10881,14.81,13.60,189,1310,74.90,23.00,4.75,45,0.00,9.43,7.06,0,0.62,0.0,-5.22,13.36,0.00
10950,14.81,13.60,189,1280,74.90,22.50,4.64,45,0.00,9.72,7.06,0,0.63,0.0,-4.93,13.19,0.00
11018,14.70,13.60,189,1266,74.90,22.00,4.86,45,0.00,9.72,7.06,0,0.64,0.0,-4.93,13.19,0.00
11088,14.59,13.60,189,1240,74.90,21.50,4.76,45,0.00,10.01,7.06,0,0.64,0.0,-4.64,13.07,0.00
11156,14.70,13.68,189,1232,74.90,21.50,4.73,45,0.00,10.01,7.06,0,0.65,0.0,-4.64,13.01,0.00
11223,14.47,13.60,189,1216,74.90,21.00,4.67,45,0.00,10.16,7.06,0,0.66,0.0,-4.50,12.96,0.00
11291,14.59,13.68,189,1185,74.90,20.50,4.55,45,0.00,10.30,7.06,0,0.66,0.0,-4.35,12.90,0.00
11361,14.59,13.60,189,1172,74.90,20.50,4.50,45,0.00,10.45,7.06,0,0.67,0.0,-4.21,12.70,0.00
11429,14.70,13.68,189,1155,74.90,20.00,4.44,45,0.00,10.74,7.06,0,0.67,0.0,-4.06,12.59,0.00
11498,14.70,13.60,189,1142,74.90,20.00,4.39,45,0.00,10.88,7.06,0,0.68,0.0,-3.92,12.64,0.00
11566,14.47,13.60,189,1117,74.90,20.00,4.53,45,0.00,10.88,7.06,1,0.69,0.0,-3.77,12.59,0.00
11634,14.70,13.60,189,1089,74.90,19.50,4.46,45,0.00,11.03,7.06,1,0.70,0.0,-3.63,12.42,0.00
11702,14.70,13.60,189,1077,74.90,19.50,4.41,45,0.00,11.03,7.06,1,0.70,0.0,-3.63,12.42,0.00
11770,14.81,13.68,189,1065,74.90,19.00,4.36,45,0.00,11.17,7.06,1,0.70,0.0,-3.48,12.37,0.00
11839,14.70,13.60,189,1054,74.90,19.00,4.27,45,0.00,11.17,7.06,1,0.70,0.0,-3.48,12.31,0.00
11908,14.70,13.68,189,1038,74.90,19.00,4.21,45,0.00,11.32,7.06,1,0.70,0.0,-3.34,12.20,0.00
11976,14.81,13.68,189,1046,74.90,19.00,4.24,45,0.00,11.32,7.06,3,0.68,0.0,-3.34,12.20,0.00
12046,14.70,13.60,189,1073,74.90,19.50,4.12,45,0.00,11.46,7.06,3,0.67,0.0,-3.19,12.15,0.00
12114,14.81,13.60,189,1144,74.90,20.00,4.64,45,0.00,11.32,7.06,3,0.66,0.0,-3.34,12.15,0.00
12183,14.70,13.60,189,1175,74.90,20.50,4.51,45,0.00,11.17,7.06,3,0.65,0.0,-3.48,12.48,0.00
12251,14.81,13.68,189,1199,74.90,21.00,4.60,45,0.00,11.03,7.06,3,0.64,0.0,-3.63,12.59,0.00
12318,15.04,13.52,189,1232,74.90,21.50,4.21,45,0.00,10.88,7.06,3,0.61,0.0,-3.77,12.53,0.00
12387,15.04,13.60,189,1268,74.90,22.00,4.60,45,0.00,10.59,7.06,3,0.61,0.0,-4.06,12.85,0.00
12456,15.04,13.60,189,1286,74.90,22.50,4.67,45,0.00,10.59,7.06,6,0.60,0.0,-4.06,12.96,0.00
12525,15.27,13.60,189,1336,74.90,23.50,4.85,45,0.00,10.30,7.06,6,0.59,0.0,-4.35,13.24,0.00
12594,15.62,13.60,189,1364,74.90,24.00,4.95,45,0.00,10.16,7.06,6,0.59,0.0,-4.50,13.24,0.00
12661,15.27,13.52,189,1385,74.90,24.50,5.02,45,0.00,10.01,7.06,6,0.58,0.0,-4.64,13.31,0.00
12730,15.16,13.60,189,1390,74.90,24.50,5.04,45,0.00,9.87,7.06,6,0.58,0.0,-4.79,13.54,0.00
12799,14.93,13.60,189,1424,74.90,25.00,5.16,45,0.00,9.72,7.06,6,0.57,0.0,-4.93,13.36,0.00
12867,14.81,13.60,189,1473,74.90,25.50,5.03,45,0.00,9.58,7.06,6,0.54,0.0,-5.08,13.48,0.00
12936,14.81,13.60,189,1498,74.90,27.00,5.11,45,0.00,9.29,7.06,7,0.54,0.0,-5.22,13.72,0.00
13005,14.81,13.60,189,1528,74.90,27.00,5.21,45,0.00,9.29,7.06,7,0.53,0.0,-5.37,13.67,0.00
13073,14.93,13.60,189,1528,74.90,27.50,5.22,45,0.00,9.14,7.06,7,0.52,0.0,-5.37,13.54,0.00
13142,15.04,13.60,189,1592,74.90,28.50,4.98,45,0.00,9.00,7.06,7,0.52,0.0,-5.66,13.84,0.00
13211,15.27,13.60,189,1620,74.90,28.50,5.09,45,0.00,8.85,7.06,7,0.51,0.0,-5.80,13.84,0.00
13279,15.16,13.60,189,1628,74.90,28.50,5.21,45,0.00,8.71,7.06,7,0.51,0.0,-5.95,13.78,0.00
13348,15.27,13.60,189,1646,74.90,28.50,5.27,45,0.00,8.56,7.06,7,0.50,0.0,-6.09,13.72,0.00
13416,15.16,13.60,189,1664,74.90,29.00,5.33,45,0.00,8.42,7.06,8,0.50,0.0,-6.24,13.72,0.00
13485,15.04,13.60,189,1691,74.90,29.50,5.41,45,0.00,8.42,7.06,8,0.49,0.0,-6.24,13.67,0.00
13553,14.93,13.68,189,1719,74.90,29.50,5.50,45,0.00,8.27,7.06,8,0.49,0.0,-6.38,13.90,0.00
13621,14.81,13.60,189,1737,74.90,29.50,5.19,45,0.00,8.13,7.06,8,0.47,0.0,-6.53,13.72,0.00
13690,14.81,13.68,189,1748,74.90,29.50,5.22,45,0.00,7.98,7.06,8,0.47,0.0,-6.67,13.67,0.00
13758,14.81,13.52,189,1745,74.90,29.50,5.21,45,0.00,7.84,7.06,8,0.46,0.0,-6.82,13.48,0.00
13827,14.93,13.60,189,1760,74.90,30.00,5.26,45,0.00,7.69,7.06,8,0.46,0.0,-6.96,13.42,0.00
13895,14.93,13.52,189,1782,74.90,30.00,5.32,45,0.00,7.69,7.06,9,0.44,0.0,-6.96,13.43,0.00
13964,14.93,13.60,189,1800,74.90,30.50,4.99,45,0.00,7.55,6.67,9,0.44,0.0,-7.11,13.12,0.00
14032,15.04,13.52,189,1819,74.90,30.50,5.05,45,0.00,7.40,6.67,9,0.43,0.0,-7.25,13.07,0.00
14101,14.93,13.60,189,1835,74.90,30.50,5.09,45,0.00,7.25,6.67,9,0.42,0.0,-7.40,15.35,0.00
14170,14.81,13.60,189,1846,74.90,30.50,5.12,45,0.00,7.11,6.67,9,0.41,0.0,-7.55,12.74,0.00
14239,14.81,13.60,189,1857,74.90,31.00,5.15,45,0.00,7.11,6.67,9,0.40,0.0,-7.55,12.74,0.00
14307,14.70,13.60,189,1873,74.90,31.00,5.20,45,0.00,6.96,6.67,9,0.40,0.0,-7.69,12.64,0.00
14375,14.70,13.68,189,1885,74.90,31.50,5.23,45,0.00,6.96,6.67,9,0.40,0.0,-7.69,12.79,0.00
14445,14.70,13.60,189,1903,74.90,31.50,5.28,45,0.00,6.82,6.67,9,0.40,0.0,-7.84,12.70,0.00
14512,14.70,13.68,189,1908,74.90,32.00,5.29,45,0.00,6.82,6.67,9,0.39,0.0,-7.84,12.64,0.00
14580,14.59,13.60,189,1928,74.90,32.00,4.91,45,0.00,6.67,6.67,9,0.39,0.0,-7.98,12.37,0.00
