Time (msec),A/F Sensor #1 (AFR),Battery Voltage (V),Coolant Temperature (F),Engine Speed (rpm),Fuel Pump Duty (%),Ignition Total Timing (degrees),Injector Duty Cycle (%),Intake Air Temperature (C),Knock Correction Advance (degrees),Manifold Absolute Pressure (psi),Throttle Opening Angle (%),Vehicle Speed (mph),Manifold Relative Pressure (psi),Mass Airflow (g/s),Primary Wastegate Duty Cycle (%)
34332,14.93,13.68,187,1073,74.90,19.00,1.83,40,0.00,4.50,0.00,3,-10.16,4.00,0.00
34391,14.93,13.68,187,1071,74.90,17.50,2.06,40,0.00,4.64,0.00,3,-10.01,4.39,0.00
34449,14.70,13.76,187,1080,74.90,17.00,1.84,40,0.00,4.64,0.00,3,-10.01,4.47,0.00
34510,14.36,13.68,187,1086,74.90,17.00,1.85,40,0.00,4.64,0.00,3,-10.01,4.44,0.00
34569,14.47,13.68,187,1083,74.90,16.00,1.85,40,0.00,4.64,0.00,2,-10.01,4.44,0.00
34627,14.47,13.68,187,1092,74.90,15.50,1.86,40,0.00,4.64,0.00,2,-10.01,4.14,0.00
34687,14.59,13.76,187,1091,74.90,15.50,1.86,40,0.00,4.50,0.00,2,-10.16,3.85,0.00
34747,14.59,13.68,187,1091,74.90,15.50,1.86,40,0.00,4.50,0.00,2,-10.16,3.75,0.00
34806,14.59,13.68,187,1080,74.90,16.50,1.95,40,0.00,4.35,0.00,2,-10.30,3.80,0.00
34864,14.47,13.68,187,1079,74.90,16.50,1.84,40,0.00,4.35,0.00,2,-10.30,3.85,0.00
34924,14.59,13.68,187,1062,74.90,18.00,1.84,40,0.00,4.35,0.00,2,-10.30,3.88,0.00
34984,14.47,13.76,187,1062,74.90,20.00,1.81,40,0.00,4.35,0.00,2,-10.30,3.88,0.00
35044,14.47,13.68,187,1041,74.90,19.00,1.78,40,0.00,4.35,0.00,2,-10.30,3.88,0.00
35103,14.47,13.68,187,1043,74.90,19.00,1.78,40,0.00,4.35,0.00,2,-10.30,3.92,0.00
35162,14.59,13.76,187,1052,74.90,19.00,2.02,40,0.00,4.50,0.00,2,-10.16,4.28,0.00
35222,14.70,13.76,187,1058,74.90,17.00,1.81,40,0.00,4.50,0.00,2,-10.16,4.42,0.00
35281,14.70,13.76,187,1052,74.90,17.50,1.80,40,0.00,4.50,0.00,2,-10.16,4.36,0.00
35340,14.81,13.68,187,1064,74.90,15.50,1.82,40,0.00,4.64,0.00,2,-10.01,4.31,0.00
35399,14.81,13.68,187,1063,74.90,15.50,1.81,40,0.00,4.64,0.00,2,-10.01,4.20,0.00
35459,14.81,13.76,187,1067,74.90,15.00,1.82,40,0.00,4.50,0.00,2,-10.16,4.06,0.00
35518,15.04,13.76,187,1073,74.90,14.00,1.82,40,0.00,4.50,0.00,2,-10.16,3.95,0.00
35578,14.70,13.76,187,1073,74.90,15.50,1.83,40,0.00,4.50,0.00,2,-10.16,3.95,0.00
35636,14.47,13.76,187,1060,74.90,16.50,1.81,40,0.00,4.50,0.00,2,-10.16,3.88,0.00
35696,14.70,13.76,187,1054,74.90,17.50,1.80,40,0.00,4.50,0.00,2,-10.16,3.91,0.00
35755,14.59,13.68,187,1041,74.90,17.50,1.78,40,0.00,4.50,0.00,2,-10.16,3.91,0.00
35815,14.70,13.68,187,1031,74.90,18.00,1.76,40,0.00,4.50,0.00,2,-10.16,4.00,0.00
35874,14.70,13.68,187,1034,74.90,17.50,1.76,40,0.00,4.50,0.00,2,-10.16,3.98,0.00
35934,14.81,13.68,187,1029,74.90,17.50,1.76,40,0.00,4.50,0.00,2,-10.16,3.92,0.00
35992,14.93,13.68,187,1032,74.90,17.00,1.76,40,0.00,4.50,0.00,2,-10.16,3.88,0.00
36051,14.93,13.68,187,1026,74.90,17.50,1.75,40,0.00,4.50,0.00,2,-10.16,3.85,0.00
36110,15.04,13.68,187,1029,74.90,17.00,1.76,40,0.00,4.50,0.00,2,-10.16,3.85,0.00
36171,15.27,13.68,187,1086,74.90,17.50,1.76,40,0.00,4.50,0.00,2,-10.16,3.82,0.00
36230,15.16,13.68,187,1022,74.90,16.50,1.74,40,0.00,4.50,0.00,2,-10.16,3.82,0.00
36289,15.39,13.68,187,1026,74.90,17.00,1.75,40,0.00,4.50,0.00,2,-10.16,3.82,0.00
36348,15.27,13.68,187,1020,74.90,17.50,1.74,40,0.00,4.50,0.00,2,-10.16,3.82,0.00
36408,15.39,13.68,187,1014,74.90,17.50,1.73,40,0.00,4.50,0.00,2,-10.16,3.78,0.00
36467,15.16,13.68,187,1012,74.90,17.50,1.73,40,0.00,4.50,0.00,2,-10.16,3.78,0.00
36527,15.39,13.68,187,1004,74.90,18.00,1.71,40,0.00,4.50,0.00,2,-10.16,3.78,0.00
36585,15.27,13.68,187,1002,74.90,18.00,1.71,40,0.00,4.50,0.00,2,-10.16,3.80,0.00
36645,15.27,13.68,187,1000,74.90,17.50,1.71,40,0.00,4.50,0.00,2,-10.16,3.80,0.00
36703,15.27,13.68,187,1002,74.90,17.50,1.71,40,0.00,4.50,0.00,2,-10.16,3.85,0.00
36763,15.27,13.68,187,998,74.90,17.50,1.71,40,0.00,4.50,0.00,2,-10.16,3.82,0.00
36822,15.16,13.68,187,1000,74.90,17.00,1.70,40,0.00,4.50,0.00,2,-10.16,3.85,0.00
36882,15.16,13.76,187,1000,74.90,17.00,1.71,40,0.00,4.50,0.00,2,-10.16,3.85,0.00
36941,15.04,13.68,187,998,74.90,16.50,1.70,40,0.00,4.50,0.00,1,-10.16,3.80,0.00
37000,15.16,13.68,187,999,74.90,16.50,1.70,40,0.00,4.50,0.00,1,-10.16,3.85,0.00
37059,14.93,13.68,187,992,74.90,17.00,1.69,40,0.00,4.64,0.00,1,-10.01,3.80,0.00
37119,15.04,13.68,187,990,74.90,17.00,1.69,40,0.00,4.64,0.00,1,-10.01,3.82,0.00
37178,14.81,13.68,187,993,74.90,16.50,1.69,40,0.00,4.50,0.00,1,-10.16,3.80,0.00
37237,14.81,13.68,187,991,74.90,16.50,1.69,40,0.00,4.50,0.00,1,-10.16,3.78,0.00
37296,14.81,13.68,187,988,74.90,16.50,1.69,40,0.00,4.50,0.00,1,-10.16,3.80,0.00
37356,14.70,13.68,187,980,74.90,17.50,1.67,40,0.00,4.50,0.00,1,-10.16,3.80,0.00
37415,14.81,13.68,187,986,74.90,16.50,1.67,40,0.00,4.64,0.00,1,-10.01,3.80,0.00
37475,14.70,13.68,187,986,74.90,17.50,1.68,40,0.00,4.64,0.00,1,-10.01,3.80,0.00
37534,14.59,13.68,187,975,74.90,17.00,1.66,40,0.00,4.64,0.00,1,-10.01,3.81,0.00
37593,14.70,13.68,187,975,74.90,17.50,1.66,40,0.00,4.64,0.00,1,-10.01,3.78,0.00
37652,14.59,13.68,187,970,74.90,17.50,1.66,40,0.00,4.64,0.00,1,-10.01,3.78,0.00
37712,14.70,13.68,187,970,74.90,17.00,1.86,40,0.00,4.64,0.00,1,-10.01,4.13,0.00
37771,14.59,13.68,187,965,74.90,17.50,2.47,40,0.00,4.93,0.00,1,-9.72,5.29,0.00
37829,14.70,13.68,187,974,74.90,16.50,2.49,40,0.00,5.22,0.00,1,-9.43,5.65,0.00
37890,14.59,13.68,187,985,74.90,15.00,2.31,40,0.00,5.51,0.00,0,-9.14,5.71,0.00
37948,14.59,13.68,187,1008,74.90,12.50,2.15,40,0.00,5.66,0.00,0,-9.00,5.41,0.00
38009,14.47,13.68,187,961,74.90,10.50,2.15,40,0.00,5.66,0.00,0,-9.00,5.19,0.00
38068,14.13,13.76,187,1042,74.90,9.00,2.19,40,0.00,5.51,0.00,0,-9.14,5.00,0.00
38126,13.44,13.68,187,1042,74.90,8.00,2.22,40,0.00,5.51,0.00,0,-9.14,5.00,0.00
38186,13.09,13.68,187,1064,74.90,8.50,2.04,40,0.00,5.51,0.00,0,-9.14,4.88,0.00
38245,12.63,13.68,187,1056,74.90,9.00,2.03,40,0.00,5.37,0.00,0,-9.29,4.69,0.00
38304,12.75,13.68,187,1054,74.90,9.00,2.02,40,0.00,5.37,0.39,0,-9.29,4.82,0.00
38363,12.98,13.68,187,1043,74.90,10.50,2.23,40,0.00,5.37,1.18,0,-9.29,5.22,0.00
38423,13.67,13.76,187,1014,74.90,14.00,2.38,40,0.00,5.51,1.57,0,-9.14,5.87,0.00
38482,14.01,13.76,187,1029,74.90,14.50,2.41,40,0.00,5.80,1.96,0,-8.85,6.11,0.00
38541,14.01,13.76,187,1062,74.90,15.50,2.72,40,0.00,5.95,1.96,0,-8.71,6.59,0.00
38601,14.36,13.68,187,1122,74.90,16.50,2.48,40,0.00,6.24,2.75,0,-8.42,7.14,0.00
38659,14.70,13.68,187,1095,74.90,17.50,2.63,40,0.00,6.38,3.14,0,-8.27,7.57,0.00
38719,14.47,13.68,187,1159,74.90,20.00,2.97,40,0.00,6.53,3.14,0,-8.13,7.57,0.00
38778,14.81,13.68,187,1211,74.90,21.00,3.10,40,0.00,6.53,3.14,0,-8.13,7.94,0.00
38838,14.47,13.68,187,1284,74.90,23.50,3.01,40,0.00,6.67,3.53,0,-7.98,8.11,0.00
38897,14.24,13.68,187,1326,74.90,23.50,3.11,40,0.00,6.67,3.53,0,-7.98,8.19,0.00
38957,14.24,13.68,187,1372,74.90,24.00,3.22,40,0.00,6.53,3.53,0,-8.13,8.23,0.00
39016,14.70,13.76,187,1424,74.90,25.00,3.34,40,0.00,6.53,3.53,0,-8.13,8.39,0.00
39075,14.93,13.76,187,1455,74.90,25.50,3.41,40,0.00,6.38,3.53,0,-8.27,8.39,0.00
39135,15.27,13.76,187,1463,74.90,26.00,3.43,40,0.00,6.38,3.53,0,-8.27,8.56,0.00
39194,15.27,13.76,187,1473,74.90,26.00,3.31,40,0.00,6.24,3.53,0,-8.42,8.52,0.00
39253,15.62,13.68,187,1536,74.90,26.00,3.46,40,0.00,6.24,3.92,0,-8.42,8.65,0.00
39313,15.85,13.68,187,1410,74.90,26.00,3.45,40,0.00,6.24,3.92,0,-8.42,8.91,0.00
39372,15.85,13.68,187,1474,74.90,26.00,3.46,40,0.00,6.38,4.31,0,-8.27,8.91,0.00
39432,15.73,13.76,187,1487,74.90,26.00,3.49,40,0.00,6.38,4.71,0,-8.27,9.04,0.00
39491,15.50,13.68,187,1481,74.90,26.00,4.11,40,0.00,6.53,5.10,0,-8.13,9.66,0.00
39550,15.16,13.68,187,1489,74.90,26.00,4.13,40,0.00,6.67,5.10,0,-7.98,10.17,0.00
39610,14.93,13.68,187,1493,74.90,26.00,4.14,40,0.00,6.82,5.10,0,-7.84,10.45,0.00
39669,14.70,13.68,187,1483,74.90,26.00,4.11,40,0.00,6.96,5.10,0,-7.69,10.64,0.00
39727,14.36,13.68,187,1483,74.90,26.00,4.11,40,0.00,7.11,5.49,0,-7.55,10.64,0.00
39788,14.01,13.68,187,1459,74.90,26.00,4.05,40,0.00,7.25,5.49,0,-7.40,10.69,0.00
39847,14.01,13.68,187,1446,74.90,25.50,4.01,40,0.00,7.25,5.49,0,-7.40,10.64,0.00
39907,14.01,13.68,187,1418,74.90,25.00,4.01,40,0.00,7.40,5.49,0,-7.25,10.79,0.00
39966,14.24,13.68,187,1418,74.90,25.00,3.93,40,0.00,7.55,5.49,0,-7.11,10.79,0.00
40025,14.59,13.68,187,1391,74.90,24.50,4.15,40,0.00,7.69,5.49,0,-6.96,10.79,0.00
40083,14.70,13.68,187,1385,74.90,24.00,4.14,40,0.00,7.69,5.49,0,-6.96,10.74,0.00
40144,14.70,13.68,187,1366,74.90,24.00,4.08,40,0.00,7.69,5.49,0,-6.96,10.85,0.00
40203,14.59,13.68,187,1363,74.90,23.50,4.07,40,0.00,7.84,5.49,0,-6.82,10.85,0.00
40262,14.59,13.68,187,1344,74.90,23.50,4.01,40,0.00,7.84,5.49,0,-6.82,10.79,0.00
40322,14.70,13.68,187,1333,74.90,23.50,3.98,40,0.00,7.84,5.49,0,-6.82,10.85,0.00
40380,14.47,13.68,187,1313,74.90,23.00,3.92,40,0.00,7.98,5.49,0,-6.67,10.85,0.00
40440,14.47,13.68,187,1274,74.90,22.50,4.00,40,0.00,7.98,5.49,0,-6.67,10.79,0.00
40499,14.47,13.68,187,1248,74.90,22.00,3.99,40,0.00,8.27,5.49,0,-6.38,10.85,0.00
40559,14.70,13.68,187,1279,74.90,21.00,3.99,40,0.00,8.42,5.49,0,-6.24,10.79,0.00
40617,14.59,13.68,187,1215,74.90,20.00,3.89,40,0.00,8.56,5.49,0,-6.09,10.79,0.00
40676,14.47,13.68,187,1163,74.90,20.00,3.97,40,0.00,8.85,5.49,0,-5.80,10.79,0.00
40737,14.70,13.68,187,1133,74.90,19.50,3.87,40,0.00,8.85,5.49,1,-5.80,10.79,0.00
40796,14.24,13.68,187,1102,74.90,19.50,3.76,40,0.00,9.14,5.49,1,-5.51,10.74,0.00
40856,14.36,13.68,187,1080,74.90,19.00,3.68,41,0.00,9.29,5.49,1,-5.37,10.69,0.00
40914,14.47,13.60,187,1049,74.90,19.00,3.80,41,0.00,9.43,5.49,1,-5.22,10.69,0.00
40974,13.90,13.68,187,1035,74.90,18.50,3.75,41,0.00,9.72,5.49,1,-4.93,10.74,0.00
41033,14.36,13.68,187,1029,74.90,18.00,3.73,41,0.00,9.87,5.49,1,-4.79,10.89,0.00
41092,14.36,13.68,187,1017,74.90,18.00,3.92,41,0.00,10.01,5.49,1,-4.64,10.94,0.00
41151,14.01,13.68,187,1023,74.90,18.00,3.69,41,0.00,10.30,5.49,1,-4.35,10.85,0.00
41211,14.59,13.60,187,961,74.90,18.00,3.71,41,0.00,10.45,5.49,2,-4.21,10.94,0.00
41270,14.47,13.68,187,1025,74.90,18.50,3.72,41,0.00,10.45,5.49,2,-4.21,10.94,0.00
41329,14.70,13.68,187,1036,74.90,18.50,3.76,41,0.00,10.45,5.49,2,-4.21,10.85,0.00
41388,14.70,13.68,187,1042,74.90,18.50,3.56,41,0.00,10.30,5.49,2,-4.35,10.17,0.00
41447,14.59,13.68,187,1043,74.90,18.50,3.56,41,0.00,10.16,5.49,2,-4.50,10.13,0.00
41507,14.70,13.68,187,1048,74.90,18.50,3.58,41,0.00,10.16,5.49,2,-4.50,10.08,0.00
41567,14.70,13.68,187,1050,74.90,18.50,3.36,41,0.00,10.01,5.49,2,-4.64,10.03,0.00
41625,14.93,13.68,187,1048,74.90,18.50,3.58,41,0.00,10.01,5.49,2,-4.64,10.08,0.00
41684,14.93,13.68,187,1054,74.90,18.50,3.60,41,0.00,9.87,5.49,4,-4.79,10.08,0.00
41744,14.93,13.68,187,1108,74.90,19.50,3.57,41,0.00,9.87,5.49,4,-4.79,10.17,0.00
41803,15.27,13.76,187,1118,74.90,20.50,3.78,41,0.00,9.58,5.49,4,-5.08,10.23,0.00
41862,15.62,13.92,187,1182,74.90,21.00,4.03,41,0.00,9.43,5.49,4,-5.22,10.23,0.00
41921,15.27,13.68,187,1191,74.90,21.00,3.81,41,0.00,9.29,5.49,4,-5.37,10.17,0.00
41981,15.50,13.76,187,1192,74.90,21.00,3.81,41,0.00,9.29,5.49,4,-5.37,10.13,0.00
42040,15.27,13.68,187,1202,74.90,21.00,3.85,41,0.00,9.14,5.49,4,-5.51,10.23,0.00
42100,14.93,13.68,187,1242,74.90,21.50,3.97,41,0.00,9.14,5.49,5,-5.51,10.17,0.00
42159,15.16,13.68,187,1314,74.90,23.00,3.92,41,0.00,8.85,5.49,5,-5.80,10.13,0.00
42218,14.93,13.68,187,1333,74.90,23.50,3.98,41,0.00,8.56,5.49,5,-6.09,10.23,0.00
42278,14.93,13.68,187,1336,74.90,23.50,3.99,41,0.00,8.27,5.49,5,-6.38,10.23,0.00
42337,14.93,13.68,187,1331,74.90,23.50,3.98,41,0.00,8.13,5.49,5,-6.53,10.23,0.00
42396,14.93,13.76,187,1318,74.90,24.50,3.98,41,0.00,7.98,5.49,5,-6.67,9.79,0.00
42455,15.04,13.76,187,1355,74.90,25.00,3.83,41,0.00,7.69,5.49,5,-6.96,9.56,0.00
42515,14.93,13.76,187,1419,74.90,25.50,3.94,41,0.00,7.55,5.49,5,-7.11,9.56,0.00
42574,14.81,13.68,187,1444,74.90,25.00,4.00,41,0.00,7.55,5.49,6,-7.11,9.48,0.00
42633,14.81,13.68,187,1430,74.90,25.50,3.66,41,0.00,7.40,5.49,6,-7.25,9.53,0.00
42693,14.70,13.68,187,1446,74.90,25.50,3.70,41,0.00,7.25,5.49,6,-7.40,9.56,0.00
42752,14.70,13.68,187,1490,74.90,26.00,3.50,41,0.00,7.11,5.49,6,-7.55,9.61,0.00
42810,14.70,13.68,187,1509,74.90,26.50,3.54,41,0.00,6.96,5.49,6,-7.69,9.66,0.00
42871,14.70,13.68,187,1485,74.90,26.00,3.80,41,0.00,6.96,5.49,6,-7.69,9.61,0.00
42930,14.70,13.68,187,1479,74.90,26.00,3.79,41,0.00,6.96,5.49,6,-7.69,9.53,0.00
42990,14.93,13.68,187,1508,74.90,26.50,3.79,41,0.00,6.82,5.49,6,-7.84,9.70,0.00
43048,15.16,13.68,187,1478,74.90,27.00,3.86,41,0.00,6.82,5.49,7,-7.84,9.61,0.00
43108,15.39,13.68,187,1542,74.90,27.00,3.95,41,0.00,6.82,5.49,7,-7.84,9.61,0.00
43166,15.27,13.68,187,1538,74.90,27.00,3.61,41,0.00,6.67,5.49,7,-7.98,9.61,0.00
43227,15.27,13.68,187,1527,74.90,27.00,3.91,41,0.00,6.67,5.49,7,-7.98,9.56,0.00
43285,15.16,13.68,187,1532,74.90,27.00,3.92,41,0.00,6.67,5.49,7,-7.98,9.70,0.00
43346,15.04,13.60,187,1538,74.90,27.00,3.61,41,0.00,6.67,5.49,7,-7.98,9.61,0.00
43405,15.04,13.68,187,1556,74.90,27.50,3.65,41,0.00,6.67,5.49,7,-7.98,9.56,0.00
43464,14.93,13.68,187,1570,74.90,27.50,3.68,41,0.00,6.67,5.49,7,-7.98,9.61,0.00
43522,14.93,13.68,187,1568,74.90,27.50,3.68,41,0.00,6.53,5.49,8,-8.13,9.66,0.00
43582,14.93,13.68,187,1564,74.90,27.50,3.67,41,0.00,6.53,5.49,8,-8.13,9.61,0.00
43641,14.93,13.60,187,1577,74.90,28.00,3.67,41,0.00,6.53,5.49,8,-8.13,9.61,0.00
43701,14.93,13.68,187,1592,74.90,28.50,3.70,41,0.00,6.53,5.49,8,-8.13,9.61,0.00
43760,15.04,13.68,187,1592,74.90,28.00,3.74,41,0.00,6.53,5.49,8,-8.13,9.61,0.00
43819,15.04,13.68,187,1584,74.90,28.50,3.72,41,0.00,6.53,5.49,8,-8.13,9.56,0.00
43878,15.04,13.68,187,1592,74.90,28.50,3.74,41,0.00,6.53,5.49,8,-8.13,9.66,0.00
43938,15.04,13.68,187,1605,74.90,28.50,3.77,41,0.00,6.53,5.49,8,-8.13,9.70,0.00
43997,15.04,13.68,187,1610,74.90,28.50,3.78,41,0.00,6.53,5.49,9,-8.13,9.75,0.00
44057,14.93,13.68,187,1608,74.90,28.50,3.77,41,0.00,6.53,5.49,9,-8.13,9.88,0.00
44115,14.93,13.68,187,1620,74.90,28.50,3.80,41,0.00,6.38,5.49,9,-8.27,9.93,0.00
44176,14.93,13.68,187,1624,74.90,28.50,4.16,41,0.00,6.38,5.49,9,-8.27,10.03,0.00
44234,14.93,13.68,187,1635,74.90,28.50,3.84,41,0.00,6.38,5.88,9,-8.27,10.08,0.00
44294,14.93,13.68,187,1644,74.90,28.50,3.84,41,0.00,6.38,5.88,9,-8.27,10.28,0.00
44354,14.93,13.68,187,1644,74.90,28.50,4.21,41,0.00,6.38,5.88,9,-8.27,10.28,0.00
44413,14.93,13.60,187,1644,74.90,29.00,4.21,41,0.00,6.53,5.88,9,-8.13,10.38,0.00
44472,14.93,13.68,187,1652,74.90,29.00,4.23,41,0.00,6.53,6.27,9,-8.13,10.48,0.00
44532,14.93,13.68,187,1658,74.90,29.00,4.25,41,0.00,6.53,6.27,9,-8.13,10.64,0.00
44591,14.81,13.68,187,1672,74.90,29.00,4.28,41,0.00,6.53,6.27,9,-8.13,10.89,0.00
44651,14.81,13.68,187,1682,74.90,29.00,4.31,41,0.00,6.67,6.67,9,-7.98,10.99,0.00
44710,14.81,13.68,187,1696,74.90,29.00,4.34,41,0.00,6.67,6.67,9,-7.98,11.25,0.00
44770,14.81,13.60,187,1698,74.90,29.50,4.35,41,0.00,6.67,6.67,9,-7.98,11.35,0.00
44829,14.81,13.60,187,1704,74.90,29.50,4.36,41,0.00,6.82,6.67,9,-7.84,11.61,0.00
44887,14.70,13.68,187,1709,74.90,29.50,4.36,41,0.00,6.82,6.67,9,-7.84,11.61,0.00
44946,14.70,13.76,187,1721,74.90,29.50,4.37,41,0.00,6.82,6.67,9,-7.84,11.66,0.00
45006,14.59,13.68,187,1721,74.90,29.50,4.41,41,0.00,6.82,7.06,9,-7.84,11.66,0.00
45065,14.59,13.60,187,1731,74.90,29.50,4.43,41,0.00,6.82,6.67,9,-7.84,11.82,0.00
45124,14.70,13.68,187,1744,74.90,30.00,4.47,41,0.00,6.82,6.67,9,-7.84,11.77,0.00
45184,14.70,13.68,187,1761,74.90,30.00,4.51,41,0.00,6.82,6.67,9,-7.84,11.82,0.00
45243,14.81,13.68,187,1771,74.90,30.00,4.53,41,0.00,6.82,7.06,9,-7.84,11.71,0.00
45302,14.70,13.68,187,1774,74.90,30.00,4.54,41,0.00,6.67,7.06,9,-7.98,11.71,0.00
45361,14.81,13.60,187,1768,74.90,30.00,4.52,41,0.00,6.67,6.67,9,-7.98,11.71,0.00
45422,14.81,13.68,187,1778,74.90,30.00,4.55,41,0.00,6.67,6.67,9,-7.98,11.71,0.00
45480,14.81,13.68,187,1792,74.90,30.50,4.59,41,0.00,6.67,6.27,9,-7.98,11.71,0.00
45539,14.93,13.68,187,1740,74.90,30.50,4.59,41,0.00,6.38,5.49,9,-8.27,10.49,0.00
45599,14.93,13.68,187,1810,74.90,30.50,4.62,41,0.00,6.09,5.10,9,-8.56,9.44,0.00
45658,14.93,13.68,187,1810,74.90,30.50,4.25,41,0.00,5.80,4.71,9,-8.85,9.44,0.00
45718,14.70,13.68,187,1808,74.90,30.50,3.86,41,0.00,5.80,4.71,9,-8.85,8.78,0.00
45776,14.36,13.68,187,1806,74.90,30.50,3.85,41,0.00,5.51,4.71,9,-9.14,8.56,0.00
45836,14.01,13.68,187,1807,74.90,30.50,3.47,41,0.00,5.37,4.71,9,-9.29,8.65,0.00
45895,14.01,13.68,187,1812,74.90,30.50,3.48,41,0.00,5.22,4.71,10,-9.43,8.60,0.00
45954,14.24,13.68,187,1814,74.90,30.50,3.48,41,0.00,5.08,4.71,10,-9.58,8.65,0.00
46013,14.47,13.68,187,1810,74.90,30.50,3.48,41,0.00,5.08,4.71,10,-9.58,8.60,0.00
46074,14.47,13.68,187,1804,74.90,30.50,3.46,41,0.00,5.08,4.71,10,-9.58,8.65,0.00
46132,14.70,13.68,187,1802,74.90,30.50,3.46,41,0.00,5.08,4.71,10,-9.58,8.64,0.00
46192,14.81,13.68,187,1801,74.90,30.50,3.46,41,0.00,5.08,4.71,10,-9.58,8.69,0.00
46252,15.04,13.68,187,1801,74.90,30.50,3.46,41,0.00,5.08,4.71,10,-9.58,8.69,0.00
46311,15.04,13.68,187,1801,74.90,30.50,3.46,41,0.00,5.08,4.71,10,-9.58,8.60,0.00
46370,15.16,13.68,187,1800,74.90,30.50,3.46,41,0.00,5.08,4.71,10,-9.58,8.65,0.00
46429,15.16,13.68,187,1800,74.90,30.50,3.46,41,0.00,5.08,4.71,10,-9.58,8.65,0.00
46489,15.04,13.68,187,1804,74.90,30.50,3.46,41,0.00,5.08,4.71,10,-9.58,8.56,0.00
46549,15.04,13.60,187,1810,74.90,30.50,3.47,41,0.00,5.08,4.71,10,-9.58,8.69,0.00
46608,14.93,13.68,187,1808,74.90,30.50,3.47,41,0.00,5.08,4.71,10,-9.58,8.60,0.00
46667,14.93,13.60,187,1805,74.90,30.50,3.47,41,0.00,5.08,4.71,10,-9.58,8.65,0.00
46726,14.93,13.60,187,1807,74.90,30.50,3.47,41,0.00,4.93,4.71,10,-9.72,8.56,0.00
46785,14.81,13.68,187,1795,74.90,30.50,3.47,41,0.00,5.08,4.71,10,-9.58,8.56,0.00
46844,14.81,13.60,187,1792,74.90,30.50,3.45,41,0.00,5.08,4.71,10,-9.58,8.65,0.00
46903,14.81,13.68,187,1792,74.90,30.50,3.44,41,0.00,5.08,4.71,10,-9.58,8.65,0.00
46963,14.81,13.68,187,1796,74.90,30.50,3.45,41,0.00,5.08,4.71,10,-9.58,8.60,0.00
47022,14.81,13.68,187,1796,74.90,30.50,3.45,41,0.00,5.08,4.71,10,-9.58,8.64,0.00
47081,14.81,13.60,187,1800,74.90,30.50,3.46,41,0.00,5.08,4.71,10,-9.58,8.56,0.00
47141,14.81,13.68,187,1797,74.90,30.50,3.45,41,0.00,5.08,4.71,10,-9.58,8.56,0.00
47202,14.81,13.68,187,1792,74.90,30.50,3.44,41,0.00,5.08,4.71,10,-9.58,8.65,0.00
47261,14.70,13.68,187,1784,74.90,30.50,3.42,41,0.00,5.08,4.71,10,-9.58,8.56,0.00
47319,14.70,13.68,187,1780,74.90,30.00,3.42,41,0.00,5.08,4.71,9,-9.58,8.64,0.00
47379,14.81,13.68,187,1774,74.90,30.00,3.41,41,0.00,5.08,4.71,9,-9.58,8.60,0.00
47438,14.81,13.60,187,1778,74.90,30.00,3.41,41,0.00,5.08,4.71,9,-9.58,8.56,0.00
47497,14.93,13.60,187,1779,74.90,30.00,3.41,41,0.00,5.08,4.71,9,-9.58,8.60,0.00
47556,14.81,13.68,189,1779,74.90,30.00,3.42,41,0.00,5.08,4.71,9,-9.58,8.60,0.00
47615,14.81,13.60,189,1776,74.90,30.00,3.79,41,0.00,5.08,4.71,9,-9.58,8.65,0.00
47675,14.81,13.68,189,1765,74.90,30.00,3.77,41,0.00,5.08,4.71,9,-9.58,8.65,0.00
47735,14.81,13.68,189,1759,74.90,30.00,3.75,41,0.00,5.08,4.71,9,-9.58,8.65,0.00
47793,14.81,13.68,189,1758,74.90,30.00,3.75,41,0.00,5.08,4.71,10,-9.58,8.69,0.00
47852,14.81,13.68,189,1763,74.90,30.00,3.76,41,0.00,5.08,4.71,10,-9.58,8.65,0.00
47912,14.81,13.68,189,1771,74.90,30.00,3.78,41,0.00,5.08,4.71,10,-9.58,8.61,0.00
47971,14.81,13.68,189,1771,74.90,30.00,3.78,41,0.00,5.08,4.71,10,-9.58,8.69,0.00
48030,14.81,13.60,189,1761,74.90,30.00,3.76,41,0.00,5.08,4.71,10,-9.58,8.64,0.00
48090,14.81,13.68,189,1756,74.90,30.00,3.76,41,0.00,5.08,4.71,10,-9.58,8.65,0.00
48149,14.81,13.60,189,1756,74.90,30.00,3.75,41,0.00,5.08,4.71,10,-9.58,8.65,0.00
48208,14.70,13.68,189,1754,74.90,30.00,3.74,41,0.00,5.08,4.71,10,-9.58,8.65,0.00
48267,14.70,13.68,189,1756,74.90,29.50,3.75,41,0.00,5.08,4.71,10,-9.58,8.60,0.00
48327,14.70,13.68,189,1748,74.90,29.50,3.73,41,0.00,5.08,4.71,10,-9.58,8.65,0.00
48386,14.70,13.60,189,1748,74.90,29.50,3.73,41,0.00,5.08,4.71,10,-9.58,8.64,0.00
48445,14.70,13.68,189,1746,74.90,29.50,3.72,41,0.00,5.08,4.71,10,-9.58,8.60,0.00
48505,14.70,13.68,189,1742,74.90,29.50,3.72,41,0.00,5.08,4.71,10,-9.58,8.56,0.00
48565,14.70,13.68,189,1735,74.90,29.50,3.70,41,0.00,5.08,4.71,10,-9.58,8.65,0.00
48624,14.70,13.68,189,1735,74.90,29.50,3.70,41,0.00,5.08,4.71,10,-9.58,8.60,0.00
