Time (msec),A/F Sensor #1 (AFR),Battery Voltage (V),Coolant Temperature (F),Engine Speed (rpm),Fuel Pump Duty (%),Ignition Total Timing (degrees),Injector Duty Cycle (%),Intake Air Temperature (C),Knock Correction Advance (degrees),Manifold Absolute Pressure (psi),Throttle Opening Angle (%),Vehicle Speed (mph),Engine Load*  (g/rev),Feedback Knock Correction* (degrees),Knock Count (Combined) (Knock Events),MAF/SD Blend Percentage (%),Manifold Relative Pressure (psi),Mass Airflow (g/s),Primary Wastegate Duty Cycle (%),Throttle Sensor Voltage (V)
0,14.93,13.84,181,1866,74.90,32.00,5.57,18,0.00,7.84,7.45,9,0.51,0.00,0,0.0,-6.96,15.83,0.00,0.80
75,14.93,13.92,181,1896,74.90,32.50,5.68,18,0.00,7.69,7.84,9,0.52,0.00,0,0.0,-6.82,16.11,0.00,0.80
150,14.81,13.92,181,1900,74.90,33.00,5.72,18,0.00,7.84,7.84,9,0.51,0.00,0,0.0,-6.82,16.52,0.00,0.80
227,14.81,13.84,181,1915,74.90,33.00,5.80,18,0.00,7.84,8.24,9,0.51,0.00,0,0.0,-6.82,16.52,0.00,0.80
301,14.70,13.84,181,1968,74.90,33.50,5.88,18,0.00,7.84,8.24,9,0.52,0.00,0,0.0,-6.82,16.80,0.00,0.82
376,14.70,13.92,181,2006,74.90,34.00,5.99,18,0.00,7.84,8.63,9,0.53,0.00,0,0.0,-6.82,17.36,0.00,0.82
452,14.81,14.00,181,2024,74.90,34.00,6.05,18,0.00,7.98,9.41,10,0.56,0.00,0,0.0,-6.38,18.05,0.00,0.86
527,14.93,13.84,181,2043,74.90,33.50,7.07,18,0.00,8.27,10.20,10,0.59,0.00,0,0.0,-6.24,19.49,0.00,0.88
603,14.81,13.84,181,2073,74.90,33.50,7.24,18,0.00,8.42,10.20,10,0.60,0.00,0,0.0,-5.95,20.50,0.00,0.88
677,14.70,13.92,181,2121,74.90,33.50,7.29,18,0.00,8.71,10.59,10,0.62,0.00,0,0.0,-5.80,21.89,0.00,0.88
