Time (msec),A/F Sensor #1 (AFR),Battery Voltage (V),Coolant Temperature (F),Engine Speed (rpm),Fuel Pump Duty (%),Ignition Total Timing (degrees),Injector Duty Cycle (%),Intake Air Temperature (C),Knock Correction Advance (degrees),Manifold Absolute Pressure (psi),Throttle Opening Angle (%),Vehicle Speed (mph),Engine Load*  (g/rev),Feedback Knock Correction* (degrees),Manifold Relative Pressure (psi),Mass Airflow (g/s),Primary Wastegate Duty Cycle (%)
0,14.81,13.68,192,965,74.90,13.50,1.65,39,0.00,4.64,0.00,0,0.23,0.00,-10.16,3.62,0.00
66,14.81,13.68,192,962,74.90,13.00,1.64,39,0.00,4.64,0.00,0,0.23,0.00,-10.16,3.62,0.00
133,14.81,13.68,192,964,74.90,13.00,1.65,39,0.00,4.64,0.00,0,0.23,0.00,-10.16,3.62,0.00
199,14.81,13.68,192,961,74.90,13.50,1.64,39,0.00,4.64,0.00,0,0.23,0.00,-10.16,3.62,0.00
265,14.70,13.68,192,963,74.90,13.00,1.64,39,0.00,4.64,0.00,0,0.23,0.00,-10.16,3.62,0.00
332,14.81,13.60,192,958,74.90,14.00,1.63,39,0.00,4.64,0.00,0,0.23,0.00,-10.16,3.62,0.00
398,14.81,13.68,190,962,74.90,13.00,1.64,39,0.00,4.64,0.00,0,0.23,0.00,-10.16,3.62,0.00
463,14.81,13.60,190,958,74.90,14.00,1.64,39,0.00,4.64,0.00,0,0.23,0.00,-10.16,3.62,0.00
530,14.81,13.68,192,965,74.90,13.00,1.65,39,0.00,4.64,0.00,0,0.23,0.00,-10.16,3.62,0.00
594,14.70,13.60,192,955,74.90,14.00,1.63,39,0.00,4.64,0.00,0,0.22,0.00,-10.16,3.62,0.00
661,14.81,13.68,192,962,74.90,13.00,1.64,39,0.00,4.64,0.00,0,0.23,0.00,-10.16,3.60,0.00
727,14.70,13.60,192,954,74.90,14.00,1.63,39,0.00,4.64,0.00,0,0.23,0.00,-10.16,3.62,0.00
794,14.81,13.68,192,950,74.90,14.50,1.62,39,0.00,4.64,0.00,0,0.23,0.00,-10.16,3.62,0.00
861,14.70,13.52,192,959,74.90,13.50,1.64,39,0.00,4.64,0.00,0,0.23,0.00,-10.16,3.62,0.00
927,14.81,13.68,190,954,74.90,14.00,1.63,39,0.00,4.64,0.00,0,0.23,0.00,-10.16,3.62,0.00
993,14.70,13.60,190,959,74.90,13.50,1.64,39,0.00,4.64,0.00,0,0.23,0.00,-10.16,3.62,0.00
1059,14.81,13.68,192,950,74.90,14.50,1.62,39,0.00,4.64,0.00,0,0.23,0.00,-10.16,3.62,0.00
1125,14.70,13.20,192,955,74.90,14.00,1.63,39,0.00,4.64,0.00,0,0.23,0.00,-10.16,3.65,0.00
