Time (msec),A/F Sensor #1 (AFR),Battery Voltage (V),Coolant Temperature (F),Engine Speed (rpm),Fuel Pump Duty (%),Ignition Total Timing (degrees),Injector Duty Cycle (%),Intake Air Temperature (C),Knock Correction Advance (degrees),Manifold Absolute Pressure (psi),Throttle Opening Angle (%),Vehicle Speed (mph),Manifold Relative Pressure (psi),Mass Airflow (g/s),Primary Wastegate Duty Cycle (%),Engine Load*  (g/rev),Feedback Knock Correction* (degrees)
0,14.81,13.68,187,2339,74.90,31.50,7.98,27,0.00,9.14,10.59,45,-5.66,21.63,0.00,0.56,0.00
67,14.93,13.76,187,2322,74.90,31.50,7.93,27,0.00,9.14,10.59,45,-5.66,21.71,0.00,0.56,0.00
133,14.81,13.76,187,2340,74.90,31.50,7.99,27,0.00,9.14,10.59,45,-5.66,21.80,0.00,0.56,0.00
200,14.81,13.76,187,2330,74.90,31.50,7.95,27,0.00,9.14,10.59,45,-5.66,21.88,0.00,0.56,0.00
265,14.81,13.76,187,2344,74.90,31.50,8.00,27,0.00,9.14,10.59,45,-5.66,21.80,0.00,0.56,0.00
333,14.81,13.76,187,2344,74.90,31.50,8.00,27,0.00,9.14,10.59,45,-5.66,21.98,0.00,0.56,0.00
398,14.70,13.84,187,2335,74.90,31.50,7.97,27,0.00,9.14,10.59,45,-5.66,21.89,0.00,0.56,0.00
464,14.81,13.76,187,2348,74.90,31.50,7.97,27,0.00,9.14,10.59,45,-5.66,21.89,0.00,0.56,0.00
531,14.70,13.84,187,2335,74.90,31.50,8.03,27,0.00,9.14,10.59,45,-5.66,21.98,0.00,0.56,0.00
598,14.70,13.76,187,2354,74.90,31.50,7.96,27,0.00,9.14,10.59,45,-5.66,21.89,0.00,0.56,0.00
662,14.81,13.84,187,2333,74.90,31.50,8.04,27,0.00,9.14,10.59,45,-5.66,21.98,0.00,0.56,0.00
729,14.70,13.76,187,2357,74.90,31.50,7.98,27,0.00,9.14,10.59,45,-5.66,21.89,0.00,0.56,0.00
795,14.70,13.84,187,2338,74.90,31.50,7.99,27,0.00,9.29,10.59,45,-5.66,22.06,0.00,0.57,0.00
862,14.81,13.76,187,2341,74.90,31.50,8.04,27,0.00,9.14,10.59,45,-5.51,22.06,0.00,0.56,0.00
928,14.70,13.84,187,2356,74.90,31.50,8.01,27,0.00,9.29,10.59,45,-5.66,22.06,0.00,0.56,0.00
995,14.70,13.84,187,2346,74.90,31.50,8.04,27,0.00,9.14,10.59,45,-5.51,22.06,0.00,0.57,0.00
1059,14.81,13.84,187,2357,74.90,31.50,8.01,27,0.00,9.14,10.59,45,-5.66,22.14,0.00,0.56,0.00
1127,14.81,13.76,187,2347,74.90,31.50,8.08,27,0.00,9.14,10.59,45,-5.66,21.80,0.00,0.56,0.00
1192,14.70,13.76,187,2366,74.90,31.50,8.01,27,0.00,9.14,10.59,45,-5.66,21.89,0.00,0.56,0.00
1259,14.81,13.76,187,2346,74.90,31.50,8.04,27,0.00,9.14,10.59,45,-5.66,22.33,0.00,0.57,0.00
1326,14.81,13.84,187,2356,74.90,31.50,8.07,27,0.00,9.14,10.59,45,-5.66,22.41,0.00,0.57,0.00
1392,14.70,13.76,187,2365,74.90,31.50,8.05,27,0.00,9.14,10.59,45,-5.66,22.22,0.00,0.56,0.00
1457,14.59,13.76,187,2359,74.90,31.50,8.06,27,0.00,9.14,10.59,45,-5.66,22.14,0.00,0.56,0.00
1524,14.70,13.76,187,2363,74.90,31.50,8.08,27,0.00,9.14,10.59,45,-5.66,22.22,0.00,0.56,0.00
1590,14.81,13.76,187,2366,74.90,31.50,8.09,27,0.00,9.14,10.59,45,-5.66,22.22,0.00,0.56,0.00
1655,14.81,13.76,187,2370,74.90,31.50,8.06,27,0.00,9.14,10.59,45,-5.66,22.22,0.00,0.56,0.00
1723,14.81,13.76,187,2361,74.90,31.50,8.08,27,0.00,9.14,10.59,45,-5.66,22.22,0.00,0.56,0.00
1787,14.81,13.84,187,2366,74.90,31.50,8.12,27,0.00,9.14,10.59,45,-5.66,22.22,0.00,0.56,0.00
1855,14.81,13.76,187,2379,74.90,31.50,8.07,27,0.00,9.14,10.59,45,-5.66,22.06,0.00,0.56,0.00
1920,14.70,13.76,187,2364,74.90,31.50,8.12,27,0.00,9.14,10.59,45,-5.66,22.32,0.00,0.56,0.00
1987,14.81,13.76,187,2372,74.90,31.50,8.10,27,0.00,9.14,10.59,45,-5.66,22.22,0.00,0.56,0.00
2054,14.81,13.76,187,2372,74.90,31.50,8.08,27,0.00,9.14,10.59,45,-5.66,22.06,0.00,0.56,0.00
2119,14.81,13.76,187,2366,74.90,31.50,8.14,27,0.00,9.14,10.59,45,-5.66,22.22,0.00,0.55,0.00
2187,14.81,13.76,187,2373,74.90,31.50,8.10,27,0.00,9.14,10.59,45,-5.66,22.41,0.00,0.56,0.00
2252,14.81,13.76,187,2385,74.90,31.50,8.14,27,0.00,9.14,10.59,45,-5.66,22.33,0.00,0.56,0.00
2319,14.93,13.76,187,2378,74.90,31.50,8.12,27,0.00,9.14,10.59,45,-5.66,22.22,0.00,0.56,0.00
2384,14.81,13.76,187,2379,74.90,31.50,8.63,27,0.00,9.14,10.59,45,-5.66,22.79,0.00,0.57,0.00
2450,14.81,13.76,187,2394,74.90,31.50,8.17,27,0.00,9.14,10.59,45,-5.66,22.60,0.00,0.57,0.00
2518,14.70,13.76,187,2380,74.90,31.50,8.12,27,0.00,9.14,10.59,45,-5.66,22.70,0.00,0.56,0.00
2583,14.70,13.76,187,2398,74.90,31.50,8.18,27,0.00,9.14,10.59,45,-5.66,22.33,0.00,0.57,0.00
2649,14.70,13.76,187,2384,74.90,31.50,8.14,27,0.00,9.29,10.98,45,-5.51,22.99,0.00,0.58,0.00
2717,14.81,13.76,187,2386,74.90,31.50,8.65,27,0.00,9.29,10.98,46,-5.51,23.18,0.00,0.59,0.00
2781,14.81,13.76,187,2401,74.90,31.50,8.71,27,0.00,9.43,10.98,46,-5.37,23.27,0.00,0.58,0.00
2848,14.81,13.68,187,2389,74.90,31.00,9.17,27,0.00,9.43,11.37,46,-5.37,24.04,0.00,0.60,0.00
2913,14.70,13.76,187,2405,74.90,31.00,8.72,27,0.00,9.58,11.37,46,-5.22,24.32,0.00,0.61,0.00
2979,14.47,13.76,187,2405,74.90,31.00,8.72,27,0.00,9.58,11.37,46,-5.22,24.04,0.00,0.61,0.00
3046,14.59,13.76,187,2400,74.90,31.00,8.71,27,0.00,9.72,11.76,46,-5.08,24.60,0.00,0.61,0.00
3113,14.70,13.76,187,2408,74.90,31.00,8.73,27,0.00,9.72,11.76,46,-5.08,24.69,0.00,0.63,0.00
3179,14.81,13.76,187,2404,74.90,31.00,9.23,27,0.00,9.87,12.16,47,-4.93,25.18,0.00,0.64,0.00
3247,14.70,13.76,187,2405,74.90,31.00,9.24,27,0.00,10.01,12.16,47,-4.79,25.78,0.00,0.65,0.00
3313,14.70,13.76,187,2415,74.90,31.00,9.27,27,0.00,10.16,12.16,47,-4.64,25.78,0.00,0.65,0.00
3379,14.70,13.68,187,2412,74.90,30.50,9.26,27,0.00,10.16,12.16,47,-4.64,26.20,0.00,0.67,0.00
3445,14.47,13.76,187,2417,74.90,30.50,9.28,27,0.00,10.30,12.55,47,-4.50,26.72,0.00,0.66,0.00
3510,14.70,13.76,187,2429,74.90,30.50,9.85,27,0.00,10.45,12.55,47,-4.35,27.13,0.00,0.68,0.00
3575,14.59,13.76,187,2412,74.90,30.50,9.78,27,0.00,10.45,12.94,47,-4.35,27.44,0.00,0.68,0.00
3641,14.47,13.68,187,2439,74.90,30.50,9.89,27,0.00,10.59,12.94,47,-4.21,27.75,0.00,0.68,0.00
3708,14.70,13.84,187,2430,74.90,30.50,9.85,27,0.00,10.74,12.94,47,-4.06,27.33,0.00,0.69,0.00
3774,14.70,13.76,187,2428,74.90,30.50,9.84,27,0.00,10.74,12.94,47,-4.06,27.95,0.00,0.69,0.00
3839,14.70,13.76,187,2436,74.90,30.50,9.87,27,0.00,10.74,12.94,47,-4.06,28.49,0.00,0.68,0.00
3906,14.81,13.76,187,2453,74.90,30.50,9.94,27,0.00,10.74,12.94,47,-4.06,28.06,0.78,0.70,0.00
3973,14.59,13.76,187,2428,74.90,30.50,9.84,27,0.00,10.88,12.94,47,-3.92,28.17,0.78,0.70,0.00
4038,14.70,13.76,187,2451,74.90,30.50,10.46,27,0.00,10.88,12.94,47,-3.92,28.69,0.78,0.70,0.00
4105,14.81,13.76,187,2450,74.90,30.50,9.93,27,0.00,10.88,12.94,47,-3.92,28.27,0.78,0.70,0.00
4171,14.59,13.84,187,2446,74.90,30.50,9.91,27,0.00,10.88,12.94,47,-3.92,28.27,0.78,0.69,0.00
4237,14.59,13.76,187,2452,74.90,30.50,9.94,27,0.00,10.88,12.94,47,-3.92,28.27,0.78,0.69,0.00
4304,14.81,13.84,187,2462,74.90,30.50,9.98,27,0.00,10.88,12.94,47,-3.92,28.16,0.78,0.70,0.00
4371,14.81,13.76,187,2446,74.90,30.50,9.91,27,0.00,10.88,12.94,47,-3.92,28.49,0.78,0.70,0.00
4436,14.70,13.76,187,2462,74.90,30.50,9.98,27,0.00,10.88,12.94,47,-3.92,28.58,0.78,0.69,0.00
4503,14.81,13.76,187,2465,74.90,30.50,9.99,27,0.00,10.88,12.94,47,-3.92,28.17,0.78,0.69,0.00
4568,14.81,13.84,187,2460,74.90,30.50,9.97,27,0.00,10.88,12.94,47,-3.92,28.49,0.78,0.69,0.00
4636,14.70,13.76,187,2460,74.90,30.50,9.97,27,0.00,10.88,12.94,47,-3.92,28.59,0.78,0.69,0.00
4702,14.81,13.84,187,2478,74.90,30.50,10.04,27,0.00,10.88,12.94,47,-3.92,28.38,0.00,0.69,0.00
4768,14.81,13.76,187,2468,74.90,30.50,10.01,27,0.00,10.88,12.94,47,-3.92,28.38,0.00,0.70,0.00
4834,14.81,13.84,187,2468,74.90,30.50,10.00,27,0.00,10.74,12.94,47,-4.06,28.38,0.00,0.69,0.00
4900,14.81,13.76,187,2478,74.90,30.50,10.04,27,0.00,10.74,12.94,47,-4.06,28.38,0.00,0.68,0.00
4966,14.81,13.76,187,2484,74.90,30.50,10.07,27,0.00,10.74,12.55,47,-4.06,27.75,0.00,0.68,0.00
5032,14.81,13.84,187,2474,74.90,31.00,10.03,27,0.00,10.74,12.16,47,-4.06,27.02,0.00,0.66,0.00
5099,14.81,13.76,187,2492,74.90,31.00,9.57,27,0.00,10.59,11.37,47,-4.21,25.27,0.00,0.64,0.00
5164,14.81,13.84,187,2486,74.90,31.50,9.55,27,0.00,10.16,10.98,47,-4.64,24.13,0.00,0.61,0.00
5232,14.81,13.84,187,2486,74.90,31.50,9.02,27,0.00,9.72,10.59,47,-5.08,23.08,0.00,0.59,0.00
5298,14.59,13.76,187,2482,74.90,32.00,8.47,27,0.00,9.43,10.20,47,-5.37,22.79,0.00,0.57,0.00
5363,14.47,13.84,187,2494,74.90,32.00,8.51,27,0.00,9.29,9.41,47,-5.51,21.20,0.00,0.55,0.00
5430,14.70,13.76,187,2497,74.90,32.00,7.99,27,0.00,8.85,8.63,47,-5.95,20.08,0.00,0.52,0.00
5495,14.70,13.76,187,2485,74.90,32.50,7.95,27,0.00,8.42,8.24,47,-6.38,18.88,0.00,0.49,0.00
5562,14.59,13.76,187,2499,74.90,33.00,7.46,27,0.00,8.13,8.24,48,-6.67,18.20,0.00,0.47,0.00
5628,14.70,13.76,187,2502,74.90,33.00,6.94,27,0.00,7.69,8.24,48,-7.11,18.13,0.00,0.44,0.00
5695,14.59,13.84,187,2489,74.90,33.00,6.90,27,0.00,7.55,7.84,48,-7.25,17.52,0.00,0.42,0.00
5761,14.70,13.76,187,2490,74.90,33.00,6.37,27,0.00,7.40,7.84,48,-7.40,17.37,0.00,0.42,0.00
5827,15.04,13.84,187,2506,74.90,33.00,6.41,27,0.00,7.25,7.84,48,-7.55,17.44,0.00,0.42,0.00
5894,15.27,13.84,187,2496,74.90,33.00,6.39,27,0.00,7.11,7.84,48,-7.69,17.44,0.00,0.42,0.00
5960,15.16,13.76,187,2496,74.90,33.00,6.39,27,0.00,7.11,7.45,48,-7.69,17.08,0.00,0.41,0.00
6025,15.27,13.76,187,2478,74.90,33.00,6.34,27,0.00,6.96,7.45,48,-7.84,16.86,0.00,0.41,0.00
6092,15.04,13.76,187,2505,74.90,33.00,6.41,27,0.00,6.96,7.45,48,-7.84,16.93,0.00,0.41,0.00
6158,15.16,13.84,187,2492,74.90,33.00,6.38,27,0.00,6.96,7.45,48,-7.84,16.66,0.00,0.40,0.00
6224,15.04,13.76,187,2494,74.90,33.00,6.38,27,0.00,6.82,7.45,48,-7.98,16.66,0.00,0.40,0.00
6291,14.93,13.84,187,2492,74.90,33.00,6.38,27,0.00,6.82,7.45,48,-7.98,16.66,0.00,0.40,0.00
6356,14.93,13.76,187,2502,74.90,33.00,6.41,27,0.00,6.82,7.45,48,-7.98,16.73,0.00,0.40,0.00
6422,14.93,13.76,187,2484,74.90,33.00,6.36,27,0.00,6.82,7.45,48,-7.98,16.38,0.00,0.40,0.00
6488,14.81,13.84,187,2488,74.90,33.00,6.38,27,0.00,6.67,7.45,48,-7.98,16.52,0.00,0.40,0.00
6554,14.81,13.76,187,2493,74.90,33.00,6.38,27,0.00,6.67,7.45,48,-8.13,16.38,0.00,0.39,0.00
6621,14.81,13.84,187,2504,74.90,33.00,6.36,27,0.00,6.67,7.45,48,-8.13,16.31,0.00,0.39,0.00
6688,14.93,13.76,187,2486,74.90,33.00,6.37,27,0.00,6.67,7.45,48,-8.13,16.19,0.00,0.39,0.00
6753,14.81,13.76,187,2488,74.90,33.00,6.39,27,0.00,6.53,7.45,48,-8.13,16.12,0.00,0.39,0.00
6819,14.81,13.76,187,2498,74.90,33.00,6.36,27,0.00,6.53,7.45,48,-8.27,16.11,0.00,0.39,0.00
6885,14.81,13.76,187,2486,74.90,33.00,6.37,27,0.00,6.53,7.06,48,-8.27,15.98,0.00,0.39,0.00
6952,14.81,13.68,187,2488,74.90,33.00,6.38,27,0.00,6.53,7.06,48,-8.27,16.05,0.00,0.38,0.00
7018,14.81,13.84,187,2492,74.90,33.00,6.40,27,0.00,6.53,7.06,48,-8.27,15.78,0.00,0.38,0.00
7084,14.81,13.76,187,2502,74.90,33.00,6.34,27,0.00,6.38,7.06,48,-8.27,15.43,0.00,0.37,0.00
7151,14.59,13.76,187,2478,74.90,33.50,5.84,27,0.00,6.24,6.67,48,-8.42,15.37,0.00,0.37,0.00
7217,14.70,13.76,187,2491,74.90,33.00,5.83,27,0.00,6.38,6.67,48,-8.56,15.16,0.00,0.37,0.00
7283,14.81,13.76,187,2486,74.90,33.00,5.84,27,0.00,6.24,6.67,48,-8.56,14.96,0.00,0.36,0.00
7349,14.81,13.76,187,2490,74.90,33.00,5.82,27,0.00,6.24,6.67,48,-8.56,15.03,0.00,0.36,0.00
7415,14.93,13.84,187,2479,74.90,33.50,5.85,27,0.00,6.24,6.67,48,-8.56,14.66,0.00,0.36,0.00
7482,14.93,13.84,187,2495,74.90,33.50,5.84,27,0.00,6.09,6.27,48,-8.56,14.61,0.00,0.35,0.00
7547,14.81,13.76,187,2488,74.90,33.50,5.84,27,0.00,5.95,5.88,48,-8.85,14.48,0.00,0.35,0.00
7614,14.81,13.84,187,2488,74.90,33.50,5.80,27,0.00,5.95,5.88,48,-8.85,14.01,0.00,0.34,0.00
7680,14.81,13.76,187,2473,74.90,33.50,5.33,27,0.00,5.80,5.88,48,-9.00,13.71,0.00,0.33,0.00
7746,14.81,13.84,187,2496,74.90,33.50,5.30,27,0.00,5.66,5.49,48,-9.14,13.48,0.00,0.33,0.00
7813,14.81,13.84,187,2482,74.90,33.50,5.29,27,0.00,5.66,5.49,48,-9.14,13.18,0.00,0.32,0.00
7879,14.93,13.84,187,2480,74.90,33.50,5.30,27,0.00,5.51,5.49,48,-9.29,13.12,0.00,0.32,0.00
7946,14.93,13.84,187,2484,74.90,33.50,5.30,27,0.00,5.51,5.49,48,-9.29,13.01,0.00,0.31,0.00
8012,15.04,13.84,187,2486,74.90,33.50,5.28,27,0.00,5.51,5.10,48,-9.29,12.69,0.00,0.31,0.00
8077,14.81,13.76,187,2475,74.90,33.50,5.27,27,0.00,5.37,5.10,48,-9.43,12.53,0.00,0.30,0.00
8143,14.81,13.84,187,2470,74.90,33.50,5.30,27,0.00,5.37,5.10,48,-9.43,12.48,0.00,0.30,0.00
8209,14.81,13.76,187,2472,74.90,33.50,5.27,27,0.00,5.37,5.10,48,-9.43,12.42,0.00,0.30,0.00
8276,14.81,13.84,187,2472,74.90,33.50,5.27,27,0.00,5.22,4.71,48,-9.58,12.41,0.00,0.30,0.00
8342,14.81,13.84,187,2480,74.90,33.50,5.29,27,0.00,5.22,4.71,48,-9.58,12.14,0.00,0.30,0.00
8408,14.81,13.84,187,2482,74.90,33.50,4.76,27,0.00,5.22,4.71,48,-9.58,12.20,0.00,0.29,0.00
8474,14.81,13.76,187,2474,74.90,33.50,4.75,27,0.00,5.08,4.71,48,-9.72,12.04,0.00,0.29,0.00
8540,14.81,13.84,187,2472,74.90,33.50,4.75,27,0.00,5.08,4.71,48,-9.72,11.93,0.00,0.29,0.00
8606,14.81,13.84,187,2473,74.90,34.00,4.75,27,0.00,5.08,4.71,48,-9.72,11.82,0.00,0.29,0.00
8673,14.81,13.84,187,2467,74.90,33.50,4.74,27,0.00,5.08,4.71,48,-9.72,11.82,0.00,0.28,0.00
8738,14.81,13.84,187,2456,74.90,34.00,4.72,27,0.00,5.08,4.71,48,-9.72,11.71,0.00,0.28,0.00
8805,14.81,13.84,187,2464,74.90,34.00,4.73,27,0.00,5.08,4.71,48,-9.72,11.50,0.00,0.28,0.00
8871,14.70,13.76,187,2467,74.90,34.00,4.74,27,0.00,4.93,4.31,48,-9.87,11.39,0.00,0.28,0.00
8938,14.81,13.84,187,2456,74.90,34.00,4.72,27,0.00,4.93,4.31,48,-9.87,11.35,0.00,0.28,0.00
9004,14.81,13.84,187,2463,74.90,34.00,4.73,27,0.00,4.93,4.31,48,-9.87,11.25,0.00,0.27,0.00
9070,14.81,13.84,187,2472,74.90,34.00,4.75,27,0.00,4.79,4.31,48,-10.01,11.09,0.00,0.27,0.00
9135,14.81,13.84,187,2452,74.90,34.00,4.71,27,0.00,4.79,3.92,48,-10.01,11.05,0.00,0.27,0.00
9203,14.70,13.84,187,2459,74.90,34.00,4.72,27,0.00,4.79,3.92,48,-10.01,10.89,0.00,0.27,0.00
9268,14.70,13.84,187,2463,74.90,34.00,4.73,27,0.00,4.79,3.92,48,-10.01,10.79,0.00,0.26,0.00
9335,14.70,13.84,187,2451,74.90,34.00,4.71,27,0.00,4.79,3.92,48,-10.01,10.69,0.00,0.26,0.00
9401,14.70,13.76,187,2455,74.90,34.00,4.71,27,0.00,4.79,3.92,48,-10.01,10.58,0.00,0.26,0.00
9467,14.81,13.84,187,2459,74.90,34.00,4.72,27,0.00,4.64,3.92,48,-10.16,10.54,0.00,0.26,0.00
9534,14.70,13.84,187,2444,74.90,34.00,4.17,27,0.00,4.64,3.92,48,-10.16,10.45,0.00,0.26,0.00
9601,14.81,13.76,187,2452,74.90,34.00,4.71,27,0.00,4.64,3.92,48,-10.16,10.49,0.00,0.26,0.00
9666,14.93,13.84,187,2460,74.90,34.00,4.72,27,0.00,4.64,3.92,48,-10.16,10.49,0.00,0.26,0.00
9732,14.93,13.84,187,2435,74.90,34.00,4.67,27,0.00,4.64,3.92,48,-10.16,10.45,0.00,0.26,0.00
9798,14.93,13.76,187,2445,74.90,34.00,4.69,27,0.00,4.64,3.92,48,-10.16,10.54,0.00,0.26,0.00
9864,14.81,13.84,187,2451,74.90,34.00,4.71,27,0.00,4.64,3.92,48,-10.16,10.48,0.00,0.26,0.00
9931,14.70,13.84,187,2428,74.90,34.00,4.66,27,0.00,4.64,3.92,48,-10.16,10.48,0.00,0.26,0.00
9998,14.59,13.76,187,2438,74.90,34.00,4.68,27,0.00,4.64,3.92,48,-10.16,10.49,0.00,0.26,0.00
10063,14.47,13.84,187,2456,74.90,34.00,4.19,27,0.00,4.64,3.92,48,-10.16,10.45,0.00,0.26,0.00
10130,14.59,13.84,187,2425,74.90,34.00,4.66,27,0.00,4.64,3.92,48,-10.16,10.47,0.00,0.26,0.00
10196,14.59,13.76,187,2438,74.90,34.00,4.68,27,0.00,4.64,3.92,48,-10.16,10.49,0.00,0.26,0.00
10262,14.70,13.84,187,2443,74.90,34.00,4.69,27,0.00,4.64,3.53,47,-10.16,10.49,0.00,0.26,0.00
10327,14.70,13.84,187,2424,74.90,34.00,4.65,27,0.00,4.64,3.53,47,-10.16,10.48,0.00,0.26,0.00
10393,14.70,13.76,187,2444,74.90,34.00,4.17,27,0.00,4.64,3.92,47,-10.16,10.27,0.00,0.26,0.00
10460,14.70,13.84,187,2439,74.90,34.00,4.68,27,0.00,4.64,3.53,47,-10.16,10.43,0.00,0.26,0.00
10526,14.70,13.84,187,2427,74.90,34.00,4.14,27,0.00,4.64,3.53,47,-10.16,10.38,0.00,0.26,0.00
10593,14.70,13.76,187,2433,74.90,34.00,4.67,27,0.00,4.64,3.92,47,-10.16,10.48,0.00,0.26,0.00
10658,14.59,13.84,187,2437,74.90,34.00,4.16,27,0.00,4.64,3.53,47,-10.16,10.38,0.00,0.26,0.00
10725,14.70,13.84,187,2422,74.90,34.00,4.65,27,0.00,4.64,3.92,47,-10.16,10.47,0.00,0.26,0.00
10791,14.70,13.76,187,2428,74.90,34.00,4.66,27,0.00,4.64,3.92,47,-10.16,10.48,0.00,0.26,0.00
10858,14.59,13.76,187,2437,74.90,34.00,4.16,27,0.00,4.64,3.92,47,-10.16,10.38,0.00,0.26,0.00
10924,14.70,13.84,187,2410,74.90,34.00,4.63,27,0.00,4.64,3.92,47,-10.16,10.45,0.00,0.26,0.00
10989,14.70,13.76,187,2428,74.90,33.50,4.14,27,0.00,4.64,3.53,47,-10.16,10.48,0.00,0.26,0.00
11056,14.70,13.76,187,2412,74.90,33.50,4.63,27,0.00,4.64,3.92,47,-10.16,10.48,0.00,0.26,0.00
11122,14.70,13.76,187,2421,74.90,33.50,4.65,27,0.00,4.64,3.92,47,-10.16,10.47,0.00,0.26,0.00
11188,14.70,13.84,187,2417,74.90,34.00,4.64,27,0.00,4.64,3.92,47,-10.16,10.33,0.00,0.26,0.00
11254,14.59,13.76,187,2415,74.90,34.00,4.12,27,0.00,4.64,3.92,47,-10.16,10.33,0.00,0.26,0.00
11320,14.70,13.84,187,2412,74.90,33.50,4.12,27,0.00,4.64,3.92,47,-10.16,10.38,0.00,0.26,0.00
11387,14.81,13.76,187,2418,74.90,33.50,4.64,27,0.00,4.64,3.92,47,-10.16,10.43,0.00,0.26,0.00
11454,14.70,13.84,187,2404,74.90,34.00,4.10,27,0.00,4.64,3.92,47,-10.16,10.38,0.00,0.26,0.00
11520,14.70,13.68,187,2427,74.90,33.50,4.14,27,0.00,4.64,3.53,47,-10.16,10.33,0.00,0.26,0.00
11586,14.70,13.84,187,2410,74.90,33.50,4.11,27,0.00,4.64,3.92,47,-10.16,10.48,0.00,0.26,0.00
11652,14.81,13.76,187,2398,74.90,34.00,4.60,27,0.00,4.64,3.92,47,-10.16,10.38,0.00,0.26,0.00
11718,14.70,13.84,187,2420,74.90,33.50,4.13,27,0.00,4.64,3.92,47,-10.16,10.33,0.00,0.26,0.00
11785,14.70,13.76,187,2406,74.90,33.50,4.11,27,0.00,4.64,3.92,47,-10.16,10.48,0.00,0.26,0.00
11851,14.70,13.76,187,2399,74.90,33.50,4.61,27,0.00,4.64,3.92,47,-10.16,10.47,0.00,0.26,0.00
11916,14.70,13.84,187,2412,74.90,33.50,4.63,27,0.00,4.64,3.92,47,-10.16,10.38,0.00,0.26,0.00
11983,14.70,13.76,187,2390,74.90,33.50,4.08,27,0.00,4.64,3.53,47,-10.16,10.27,0.00,0.26,0.00
12048,14.81,13.84,187,2404,74.90,33.50,4.10,27,0.00,4.64,3.92,47,-10.16,10.38,0.00,0.26,0.00
12115,14.81,13.84,187,2401,74.90,33.50,4.10,27,0.00,4.64,3.53,47,-10.16,10.38,0.00,0.26,0.00
12181,14.81,13.84,187,2387,74.90,33.50,4.07,27,0.00,4.64,3.92,47,-10.16,10.28,0.00,0.26,0.00
12247,14.81,13.76,187,2400,74.90,33.50,4.10,27,0.00,4.64,3.53,47,-10.16,10.38,0.00,0.26,0.00
12312,14.81,13.84,187,2385,74.90,33.50,4.58,27,0.00,4.64,3.53,47,-10.16,10.28,0.00,0.26,0.00
12380,14.70,13.84,187,2383,74.90,33.50,4.07,27,0.00,4.64,3.92,47,-10.16,10.23,0.00,0.26,0.00
12446,14.81,13.84,187,2396,74.90,33.50,4.09,27,0.00,4.64,3.92,47,-10.16,10.27,0.00,0.26,0.00
12512,14.81,13.84,187,2382,74.90,33.50,4.06,27,0.00,4.64,3.92,47,-10.16,10.28,0.00,0.26,0.00
12579,14.81,13.84,187,2397,74.90,33.50,4.09,27,0.00,4.64,3.53,46,-10.16,10.13,0.00,0.25,0.00
12645,14.81,13.84,187,2390,74.90,33.50,4.08,27,0.00,4.64,3.92,46,-10.16,10.27,0.00,0.26,0.00
12711,14.81,13.84,187,2382,74.90,33.50,4.08,27,0.00,4.64,3.53,46,-10.16,10.28,0.00,0.26,0.00
12777,14.81,13.92,187,2390,74.90,33.50,4.06,27,0.00,4.64,3.92,46,-10.16,10.17,0.00,0.26,0.00
12843,14.93,13.76,187,2381,74.90,33.50,4.06,27,0.00,4.64,3.92,46,-10.16,10.17,0.00,0.26,0.00
12910,14.93,13.84,187,2379,74.90,33.50,4.08,27,0.00,4.64,3.53,46,-10.16,10.27,0.00,0.26,0.00
12976,14.81,13.84,187,2393,74.90,33.50,4.05,27,0.00,4.64,3.92,46,-10.16,10.28,0.00,0.26,0.00
13042,14.81,13.84,187,2373,74.90,33.50,4.05,27,0.00,4.64,3.92,47,-10.16,10.27,0.00,0.26,0.00
13108,14.81,13.84,187,2372,74.90,33.50,4.57,27,0.00,4.64,3.53,47,-10.16,10.17,0.00,0.25,0.00
13174,14.81,13.84,187,2378,74.90,33.50,4.06,27,0.00,4.64,3.53,47,-10.16,10.17,0.00,0.26,0.00
13241,14.81,13.76,187,2379,74.90,33.50,4.03,27,0.00,4.64,3.92,47,-10.16,10.08,0.00,0.26,0.00
13308,14.70,13.84,187,2359,74.90,33.50,4.06,27,0.00,4.64,3.53,47,-10.16,10.23,0.00,0.26,0.00
13373,14.81,13.84,187,2380,74.90,33.50,4.05,27,0.00,4.64,3.92,47,-10.16,10.17,0.00,0.26,0.00
13440,14.81,13.84,187,2375,74.90,33.50,4.02,27,0.00,4.64,3.92,47,-10.16,10.17,0.00,0.26,0.00
13506,14.81,13.84,187,2358,74.90,33.50,4.07,27,0.00,4.79,3.92,47,-10.01,10.13,0.00,0.25,0.00
13572,14.81,13.76,187,2382,74.90,33.50,4.52,27,0.00,4.64,3.92,47,-10.16,10.17,0.00,0.26,0.00
13639,14.81,13.84,187,2354,74.90,33.50,4.53,27,0.00,4.64,3.53,47,-10.16,10.17,0.00,0.26,0.00
13705,14.81,13.84,187,2358,74.90,33.50,4.04,27,0.00,4.79,3.92,47,-10.01,10.08,0.00,0.26,0.00
13770,14.81,13.84,187,2369,74.90,33.50,4.51,27,0.00,4.64,3.53,47,-10.16,10.17,0.00,0.26,0.00
13836,14.70,13.84,187,2347,74.90,33.50,4.04,27,0.00,4.64,3.92,47,-10.16,10.17,0.00,0.26,0.00
13902,14.70,13.84,187,2369,74.90,33.50,4.00,27,0.00,4.79,3.53,47,-10.01,9.97,0.00,0.25,0.00
13969,14.70,13.76,187,2346,74.90,33.50,4.03,27,0.00,4.64,3.92,47,-10.16,10.03,0.00,0.26,0.00
