Time (msec),A/F Correction #1 (%),A/F Learning #1 (%),A/F Sensor #1 (AFR),Battery Voltage (V),Coolant Temperature (F),Engine Load (Calculated) (g/rev),Engine Speed (rpm),Feedback Knock Correction* (degrees),Fine Learning Knock Correction* (degrees),Fuel Pump Duty (%),IAM* (raw ecu value),Ignition Total Timing (degrees),Injector Duty Cycle (%),Intake Air Temperature (F),Manifold Absolute Pressure (psi),Manifold Relative Pressure (psi),Mass Airflow Sensor Voltage (V),Primary Wastegate Duty Cycle (%),Throttle Opening Angle (%),Ignition Base Timing* (degrees)
188002,0.00,1.56,24.23,13.52,176,0.16,3475,0.00,0.00,66.67,16,15.50,0.00,93,3.34,-11.32,1.68,0.00,0.00,15.86
188268,0.00,-0.78,23.77,13.52,176,0.16,3400,0.00,0.00,66.67,16,15.50,0.00,93,3.34,-11.32,1.68,0.00,0.00,15.86
188534,0.00,-0.78,23.54,13.52,176,0.16,3345,0.00,0.00,66.67,16,15.50,0.00,93,3.34,-11.32,1.66,0.00,0.00,15.86
188800,0.00,-0.78,23.77,13.44,176,0.17,3246,0.00,0.00,66.67,16,13.00,0.00,93,3.34,-11.32,1.66,0.00,0.00,13.05
189066,0.00,-0.78,23.66,13.44,176,0.15,3147,0.00,0.00,66.67,16,13.00,0.00,93,3.34,-11.32,1.62,0.00,0.00,13.05
189332,0.00,-0.78,23.89,13.28,176,0.17,3045,0.00,0.00,66.67,16,13.00,0.00,93,3.34,-11.32,1.62,0.00,0.00,15.86
189598,0.00,-0.78,24.00,13.44,176,0.16,2940,0.00,0.00,66.67,16,15.50,0.00,93,3.34,-11.32,1.60,0.00,0.00,15.86
189864,0.00,-0.78,23.66,13.44,176,0.18,2764,0.00,0.00,66.67,16,15.50,0.00,93,3.34,-11.32,1.56,0.00,0.00,15.86
190130,0.00,-0.78,23.77,13.52,176,0.22,2329,0.00,0.00,33.33,16,13.00,0.00,93,3.63,-10.74,1.62,0.00,0.00,13.05
190396,0.00,-0.78,23.89,13.52,176,0.17,1935,0.00,0.00,33.33,16,13.00,0.00,93,4.06,-10.88,1.34,0.00,0.00,13.05
190661,0.00,0.00,24.12,13.44,176,0.15,1550,0.00,0.00,33.33,16,15.00,0.00,93,3.34,-11.17,1.28,0.00,0.00,13.40
190927,0.00,0.00,24.35,13.44,176,0.17,1204,0.00,0.00,33.33,16,21.00,1.28,93,3.92,-10.74,1.22,0.00,0.00,13.05
191193,0.00,0.78,23.54,13.68,176,0.15,1392,0.00,0.00,33.33,16,4.50,1.48,93,3.77,-10.88,1.30,0.00,0.00,13.75
191458,0.00,2.34,13.21,13.68,176,0.12,1725,0.00,0.00,33.33,16,15.50,1.84,93,3.05,-11.61,1.28,0.00,0.00,15.86
191724,0.00,2.34,12.63,13.60,176,0.10,2158,0.00,0.00,33.33,16,15.50,2.20,93,2.90,-11.75,1.28,0.00,0.00,15.86
191990,0.00,2.34,12.75,13.60,176,0.10,2516,0.00,0.00,33.33,16,15.50,0.00,93,2.47,-12.19,1.32,0.00,0.00,15.86
192256,0.00,2.34,13.32,13.60,176,0.10,2436,0.00,0.00,33.33,16,15.50,0.00,93,2.32,-12.33,1.32,0.00,0.00,15.86
192523,0.00,2.34,16.88,13.44,176,0.11,2265,0.00,0.00,33.33,16,15.50,0.00,93,2.61,-12.04,1.34,0.00,0.00,13.05
192788,0.00,2.34,25.27,13.36,176,0.11,2098,0.00,0.00,33.33,16,15.50,0.00,93,2.90,-11.75,1.32,0.00,0.00,15.86
193054,0.00,2.34,23.66,13.36,176,0.13,1940,0.00,0.00,33.33,16,15.50,0.00,93,3.05,-11.61,1.34,0.00,0.00,15.86
193320,0.00,2.34,23.89,13.36,176,0.15,1780,0.00,0.00,33.33,16,15.50,0.00,93,3.05,-11.61,1.34,0.00,0.00,15.86
193586,0.00,2.34,23.43,13.44,176,0.16,1624,0.00,0.00,33.33,16,15.50,0.00,93,3.05,-11.61,1.32,0.00,0.00,15.16
193852,0.00,2.34,23.77,13.44,176,0.18,1452,0.00,0.00,33.33,16,13.50,0.00,93,3.48,-11.17,1.34,0.00,0.00,13.40
194118,0.00,2.34,23.66,13.44,176,0.20,1292,0.00,0.00,33.33,16,-4.00,1.38,93,3.77,-10.88,1.36,0.00,0.00,13.05
194384,0.00,2.34,23.54,13.60,176,0.21,1216,0.00,0.00,33.33,16,21.00,1.30,93,3.92,-10.59,1.34,0.00,0.00,13.05
194650,0.00,2.34,23.31,13.52,176,0.23,1146,0.00,0.00,33.33,16,21.00,1.22,93,4.06,-10.45,1.34,0.00,0.00,13.05
194916,0.00,2.34,21.48,13.52,176,0.23,1120,0.00,0.00,33.33,16,21.00,1.19,93,4.35,-10.30,1.34,0.00,0.00,13.05
195182,-0.78,2.34,14.36,13.60,176,0.24,1096,0.00,0.00,33.33,16,21.00,1.17,93,4.35,-10.16,1.34,0.00,0.00,13.05
195448,-0.78,2.34,14.01,13.52,176,0.24,1101,0.00,0.00,33.33,16,21.00,1.17,93,4.50,-10.16,1.34,0.00,0.00,13.05
195714,0.00,2.34,14.36,13.60,176,0.24,1102,0.00,0.00,33.33,16,18.00,1.18,95,4.50,-10.16,1.34,0.00,0.00,13.05
195980,0.78,2.34,14.59,13.60,176,0.24,1081,0.00,0.00,33.33,16,18.50,1.15,95,4.50,-10.16,1.34,0.00,0.00,13.05
196246,0.00,2.34,14.47,13.68,176,0.24,1091,0.00,0.00,33.33,16,15.00,1.18,95,4.50,-10.16,1.34,0.00,0.00,13.05
196512,0.00,2.34,14.13,13.60,176,0.25,1107,0.00,0.00,33.33,16,13.50,1.18,95,4.50,-10.16,1.38,0.00,0.00,13.05
196777,-0.78,2.34,14.24,13.28,176,0.38,1010,0.00,0.00,33.33,16,4.50,1.36,95,5.22,-9.43,1.50,0.00,1.96,22.89
197042,-3.12,1.56,14.13,13.36,176,0.60,980,0.00,0.00,33.33,16,6.50,1.68,95,7.55,-7.11,1.70,0.00,5.10,33.44
197309,-3.12,1.56,14.47,13.60,176,0.48,1236,0.00,0.00,33.33,16,10.00,1.95,95,8.42,-6.24,1.70,0.00,5.10,41.52
197574,-4.69,0.78,14.47,13.52,176,0.47,1300,0.00,0.00,33.33,16,14.00,2.22,95,7.55,-7.11,1.72,0.00,5.49,26.41
197840,1.56,-0.78,15.85,13.44,176,0.58,1038,0.00,0.00,33.33,16,17.50,1.99,95,8.27,-6.38,1.70,0.00,5.49,40.47
198106,-2.34,-0.78,15.04,13.68,176,0.68,858,0.00,0.00,33.33,16,20.00,1.65,95,9.58,-5.08,1.68,0.00,5.49,31.68
198372,-9.38,-0.78,13.32,13.60,176,0.58,1013,0.00,0.00,33.33,16,23.50,1.73,95,9.87,-4.79,1.70,0.00,5.49,40.47
198638,-5.47,-0.78,14.47,13.68,176,0.55,1076,0.00,0.00,33.33,16,26.50,1.84,95,9.43,-5.22,1.86,0.00,8.24,26.41
198904,-2.34,-0.78,15.50,13.60,176,0.50,1164,0.00,0.00,33.33,16,30.00,1.99,95,9.29,-5.51,1.70,0.00,5.10,30.62
199170,-3.91,0.78,14.93,13.68,176,0.50,1244,0.00,0.00,33.33,16,32.00,2.12,95,8.56,-6.24,1.72,0.00,5.49,26.41
199435,-3.91,0.78,14.81,13.68,176,0.47,1327,0.00,0.00,33.33,16,26.50,2.26,95,7.98,-6.82,1.72,0.00,5.49,30.98
199701,-3.12,0.78,14.81,13.68,176,0.45,1412,0.00,0.00,33.33,16,40.50,2.11,95,7.40,-7.25,1.74,0.00,5.49,26.41
199967,-3.12,0.78,14.70,13.68,174,0.43,1475,0.00,0.00,33.33,16,26.50,2.20,95,7.11,-7.55,1.72,0.00,5.10,30.27
200233,-3.12,0.78,14.59,13.68,174,0.42,1557,0.00,0.00,33.33,16,26.00,2.33,95,6.82,-7.84,1.74,0.00,5.10,32.03
200499,-4.69,0.78,14.59,13.68,174,0.40,1634,0.00,0.00,33.33,16,29.50,2.44,95,6.38,-8.27,1.74,0.00,5.10,40.47
200765,-6.25,0.78,14.47,13.68,174,0.39,1697,0.00,0.00,33.33,16,26.00,2.47,97,6.09,-8.56,1.74,0.00,5.49,26.41
201031,-6.25,0.78,14.59,13.68,174,0.38,1726,0.00,0.00,33.33,16,41.50,2.63,97,5.80,-8.85,1.74,0.00,5.10,26.41
201297,-7.03,0.78,14.59,13.68,174,0.38,1774,0.00,0.00,33.33,16,11.00,2.28,97,5.66,-9.00,1.74,0.00,5.49,34.14
201562,-7.03,0.78,14.70,13.52,174,0.37,1808,0.00,0.00,33.33,16,26.00,2.32,97,5.51,-9.14,1.74,0.00,5.49,26.41
201827,-7.03,0.78,14.59,13.60,174,0.36,1833,0.00,0.00,33.33,16,32.00,2.35,97,5.51,-9.14,1.74,0.00,5.49,32.73
202094,-7.81,0.78,14.59,13.60,174,0.37,1872,0.00,0.00,33.33,16,33.00,2.40,97,5.51,-9.14,1.76,0.00,5.49,33.44
202360,-7.03,0.78,14.70,13.60,174,0.36,1954,0.00,0.00,33.33,16,29.50,2.50,97,5.66,-9.00,1.76,0.00,5.49,32.38
202626,-6.25,0.78,14.81,13.68,174,0.37,1946,0.00,0.00,33.33,16,26.00,2.49,97,5.66,-9.00,1.78,0.00,5.88,29.92
202892,-2.34,0.78,15.16,13.68,174,0.37,1916,0.00,0.00,33.33,16,29.50,2.45,97,5.80,-8.85,1.78,0.00,5.88,29.92
203158,0.78,0.78,15.04,13.68,174,0.36,1965,0.00,0.00,33.33,16,32.00,2.52,97,5.80,-8.85,1.78,0.00,5.88,31.68
203423,1.56,0.78,14.81,13.60,174,0.36,2005,0.00,0.00,33.33,16,40.00,2.57,99,5.66,-9.00,1.78,0.00,5.88,40.47
203689,1.56,0.78,14.59,13.68,174,0.36,2021,0.00,0.00,33.33,16,26.00,2.59,99,5.66,-9.00,1.78,0.00,5.88,26.41
203955,1.56,0.78,14.59,13.68,174,0.36,2052,0.00,0.00,33.33,16,26.00,2.63,99,5.66,-9.00,1.80,0.00,6.27,26.41
204221,0.00,0.78,14.47,13.68,174,0.35,2112,0.00,0.00,33.33,16,30.50,2.70,99,5.66,-9.00,1.80,0.00,6.27,31.68
204487,0.78,0.78,14.59,13.68,176,0.34,2176,0.00,0.00,33.33,16,34.00,2.78,99,5.51,-9.14,1.80,0.00,6.27,41.17
204753,0.78,0.78,14.70,13.68,176,0.33,2168,0.00,0.00,33.33,16,26.00,2.77,99,5.51,-9.29,1.80,0.00,6.27,26.41
205018,1.56,0.78,14.70,13.68,176,0.33,2227,0.00,0.00,33.33,16,30.50,2.85,99,5.22,-9.43,1.80,0.00,6.27,31.68
205284,1.56,0.78,14.70,13.60,176,0.33,2290,0.00,0.00,33.33,16,41.50,2.93,99,5.08,-9.58,1.80,0.00,6.27,26.41
205550,1.56,0.78,14.70,13.60,176,0.32,2332,0.00,0.00,33.33,16,26.00,3.00,99,4.93,-9.72,1.80,0.00,6.27,30.98
205816,0.00,-0.78,14.70,13.52,176,0.12,2281,0.00,0.00,33.33,16,25.00,2.50,99,3.05,-11.61,1.36,0.00,0.00,32.03
206082,0.00,0.00,13.09,13.44,176,0.15,1911,0.00,0.00,33.33,16,17.50,0.00,99,3.05,-11.61,1.38,0.00,0.00,20.43
206348,0.00,0.00,13.55,13.44,176,0.20,1524,0.00,0.00,33.33,16,14.50,0.00,99,3.34,-11.32,1.44,0.00,1.57,15.86
206614,0.00,-0.78,24.92,13.68,176,0.41,1371,0.00,0.00,33.33,16,41.50,2.05,99,5.37,-9.29,1.68,0.00,4.71,41.17
206880,0.00,-0.78,18.95,13.68,176,0.40,1443,0.00,0.00,33.33,16,30.50,2.15,99,6.53,-8.13,1.70,0.00,4.71,29.22
207146,2.34,0.78,14.93,13.52,176,0.43,1407,0.00,0.00,33.33,16,26.00,2.10,99,6.82,-7.84,1.72,0.00,5.49,33.44
207412,8.59,0.78,15.16,13.60,176,0.43,1460,0.00,0.00,33.33,16,8.00,2.49,99,7.11,-7.55,1.74,0.00,5.49,26.41
207677,9.38,0.78,14.24,13.60,176,0.43,1497,0.00,0.00,33.33,16,28.50,2.56,99,7.11,-7.55,1.74,0.00,5.49,28.87
207944,7.03,0.78,13.78,13.60,176,0.42,1522,0.00,0.00,33.33,16,39.50,2.27,99,6.96,-7.69,1.74,0.00,5.49,26.41
208210,2.34,0.78,13.78,13.60,176,0.41,1566,0.00,0.00,33.33,16,28.50,2.34,99,6.82,-7.98,1.74,0.00,5.49,32.38
208475,0.00,0.78,14.13,13.60,176,0.40,1625,0.00,0.00,33.33,16,26.00,2.43,99,6.53,-8.13,1.76,0.00,5.49,26.41
208741,0.00,0.78,14.59,13.52,176,0.39,1646,0.00,0.00,33.33,16,30.00,2.46,99,6.24,-8.42,1.74,0.00,5.49,31.33
209007,0.00,0.78,14.70,13.44,176,0.38,1728,0.00,0.00,33.33,16,41.50,2.58,99,6.09,-8.71,1.76,0.00,5.49,26.41
209273,0.00,0.78,14.81,13.44,176,0.38,1735,0.00,0.00,33.33,16,29.50,2.59,99,5.80,-8.85,1.74,0.00,5.49,32.73
209538,0.00,0.78,14.70,13.36,176,0.37,1794,0.00,0.00,33.33,16,26.00,2.68,99,5.66,-9.00,1.74,0.00,5.49,26.41
209803,0.00,0.78,14.70,13.36,176,0.36,1822,0.00,0.00,33.33,16,29.50,2.72,99,5.51,-9.14,1.74,0.00,5.49,32.38
210069,0.00,-0.78,14.70,13.36,176,0.28,1846,0.00,0.00,33.33,16,41.00,2.37,99,4.93,-9.72,1.62,0.00,3.53,33.79
210336,-2.34,-0.78,14.24,13.36,176,0.16,1857,0.00,0.00,33.33,16,28.00,2.39,100,3.63,-11.03,1.38,0.00,0.00,23.59
210602,0.00,0.00,13.44,13.28,176,0.15,1874,0.00,0.00,33.33,16,22.50,2.39,100,2.90,-11.75,1.36,0.00,0.00,18.32
210867,0.00,0.00,11.94,13.60,176,0.15,1833,0.00,0.00,33.33,16,15.50,0.00,100,3.05,-11.61,1.38,0.00,0.00,15.86
211133,0.00,0.78,12.29,13.60,176,0.16,1813,0.00,0.00,33.33,16,15.50,0.00,100,3.05,-11.61,1.38,0.00,0.00,15.86
211398,0.00,2.34,19.64,13.60,176,0.16,1800,0.00,0.00,33.33,16,15.50,0.00,100,3.05,-11.61,1.38,0.00,0.00,15.86
211664,0.00,2.34,23.54,13.60,176,0.16,1761,0.00,0.00,33.33,16,15.50,0.00,100,3.05,-11.61,1.38,0.00,0.00,15.86
211930,0.00,2.34,23.31,13.60,176,0.16,1722,0.00,0.00,33.33,16,15.50,0.00,100,3.05,-11.61,1.38,0.00,0.00,15.86
212196,0.00,2.34,23.31,13.60,176,0.17,1710,0.00,0.00,33.33,16,15.50,0.00,100,3.05,-11.61,1.38,0.00,0.00,15.86
212462,0.00,2.34,23.66,13.44,176,0.18,1630,0.00,0.00,33.33,16,15.50,0.00,100,3.19,-11.46,1.38,0.00,0.00,15.86
212728,0.00,2.34,23.66,13.44,176,0.17,1626,0.00,0.00,33.33,16,15.50,0.00,100,3.34,-11.32,1.38,0.00,0.00,15.86
212994,0.00,2.34,23.77,13.36,176,0.18,1574,0.00,0.00,33.33,16,15.00,0.00,100,3.34,-11.17,1.38,0.00,0.00,15.86
213260,0.00,2.34,23.20,13.36,176,0.18,1566,0.00,0.00,33.33,16,15.00,0.00,100,3.63,-11.03,1.38,0.00,0.00,15.16
213526,0.00,2.34,23.66,13.28,176,0.18,1529,0.00,0.00,33.33,16,14.50,0.00,100,3.63,-10.88,1.38,0.00,0.00,14.80
213792,0.00,2.34,23.31,13.36,176,0.20,1507,0.00,0.00,33.33,16,14.00,0.00,100,3.77,-10.74,1.44,0.00,0.78,14.10
214058,0.00,2.34,23.31,13.44,176,0.30,1484,0.00,0.00,33.33,16,18.50,1.90,100,4.64,-10.01,1.58,0.00,2.75,24.65
214324,0.00,1.56,23.20,13.36,176,0.34,1443,0.00,0.00,33.33,16,30.00,1.85,100,5.22,-9.43,1.64,0.00,3.92,32.73
214590,0.00,1.56,17.69,13.44,176,0.36,1525,0.00,0.00,33.33,16,40.00,2.21,100,5.80,-8.85,1.68,0.00,4.71,26.41
214855,0.00,-0.78,15.39,13.52,176,0.39,1514,0.00,0.00,33.33,16,40.00,2.23,100,6.24,-8.42,1.70,0.00,4.71,31.33
215121,10.94,-0.78,15.62,13.52,176,0.39,1528,0.00,0.00,33.33,16,26.00,2.25,100,6.38,-8.27,1.70,0.00,5.10,26.41
215387,13.28,0.78,14.81,13.60,176,0.41,1528,0.00,0.00,33.33,16,26.00,2.31,100,6.53,-8.13,1.74,0.00,5.49,26.41
215653,11.72,0.78,14.01,13.60,176,0.43,1536,0.00,0.00,33.33,16,26.00,2.66,100,6.82,-7.84,1.76,0.00,5.49,26.41
215919,3.91,0.78,13.44,13.52,176,0.42,1567,0.00,0.00,33.33,16,26.00,2.34,100,6.82,-7.84,1.76,0.00,5.49,26.41
216185,1.56,0.78,14.13,13.44,176,0.42,1599,0.00,0.00,33.33,16,26.00,2.39,100,6.67,-7.98,1.76,0.00,5.49,26.41
216450,0.78,0.78,14.47,13.44,176,0.42,1619,0.00,0.00,33.33,16,26.00,2.42,100,6.53,-8.13,1.76,0.00,5.49,26.41
216716,0.00,0.78,14.59,13.36,176,0.42,1630,0.00,0.00,33.33,16,28.50,2.43,100,6.38,-8.27,1.76,0.00,5.49,29.92
216982,0.00,0.78,14.70,13.36,176,0.41,1668,0.00,0.00,33.33,16,32.50,2.49,100,6.38,-8.27,1.76,0.00,5.49,33.09
217248,-0.78,0.78,14.70,13.36,176,0.40,1692,0.00,0.00,33.33,16,41.00,2.53,100,6.24,-8.42,1.76,0.00,5.49,26.41
217514,0.00,0.78,14.81,13.44,176,0.40,1699,0.00,0.00,33.33,16,26.00,2.54,100,6.09,-8.56,1.76,0.00,5.49,26.41
217780,0.78,0.78,14.70,13.52,176,0.40,1735,0.00,0.00,33.33,16,26.00,2.59,100,5.95,-8.71,1.76,0.00,5.49,26.41
218045,0.78,0.78,14.70,13.52,176,0.39,1721,0.00,0.00,33.33,16,28.50,2.57,100,5.95,-8.71,1.76,0.00,5.49,29.57
218311,1.56,0.78,14.81,13.52,176,0.39,1776,0.00,0.00,33.33,16,30.50,2.65,100,5.95,-8.85,1.76,0.00,5.49,33.09
218576,3.12,0.78,14.81,13.60,176,0.39,1791,0.00,0.00,33.33,16,40.00,2.67,100,5.80,-8.85,1.78,0.00,5.49,33.79
218842,2.34,0.78,14.59,13.60,176,0.39,1804,0.00,0.00,33.33,16,39.50,2.69,100,5.66,-9.00,1.78,0.00,5.49,40.82
219108,2.34,0.78,14.59,13.60,176,0.39,1825,0.00,0.00,33.33,16,26.00,2.72,100,5.66,-9.00,1.76,0.00,5.49,26.41
219374,1.56,0.78,14.59,13.60,176,0.38,1826,0.00,0.00,33.33,16,26.00,2.70,100,5.66,-9.00,1.78,0.00,5.49,26.41
219639,0.78,0.78,14.47,13.60,176,0.38,1844,0.00,0.00,33.33,16,28.50,2.74,100,5.66,-9.00,1.76,0.00,5.49,32.03
219905,0.78,0.78,14.59,13.60,176,0.38,1871,0.00,0.00,33.33,16,32.50,2.36,100,5.66,-9.00,1.78,0.00,5.49,33.09
220171,0.00,0.78,14.59,13.44,176,0.38,1873,0.00,0.00,33.33,16,31.50,2.39,100,5.66,-9.00,1.78,0.00,6.27,30.62
220437,0.00,0.78,14.59,13.36,176,0.46,1880,0.00,0.00,33.33,16,32.00,2.81,100,6.38,-8.27,1.92,0.00,8.63,40.47
220702,3.12,0.78,15.04,13.36,176,0.51,1897,0.00,0.00,33.33,16,28.00,3.23,100,7.40,-7.25,1.96,0.00,9.02,40.82
220968,2.34,0.78,14.59,13.44,176,0.49,1958,0.00,0.00,33.33,16,26.00,3.34,100,7.69,-6.96,1.96,0.00,9.02,26.41
221234,2.34,0.78,14.70,13.52,176,0.50,1956,0.00,0.00,33.33,16,28.00,3.34,100,7.69,-6.96,1.96,0.00,9.02,26.41
221500,3.12,0.78,14.81,13.52,176,0.49,2012,0.00,0.00,33.33,16,30.50,3.43,100,7.69,-6.96,1.96,0.00,9.02,31.68
221766,3.91,0.78,14.81,13.52,176,0.48,2040,0.00,0.00,33.33,16,27.50,3.48,100,7.55,-7.11,1.96,0.00,8.63,26.41
222031,3.91,0.78,14.70,13.52,176,0.45,2057,0.00,0.00,33.33,16,42.50,3.51,100,7.25,-7.55,1.92,0.00,7.84,31.68
222297,4.69,0.78,14.59,13.52,176,0.29,2089,0.00,0.00,33.33,16,26.00,3.12,100,5.95,-9.58,1.42,0.00,0.00,32.38
222563,0.00,-0.78,13.32,13.52,176,0.13,2032,0.00,0.00,33.33,16,20.50,0.00,100,3.34,-11.46,1.36,0.00,0.00,18.67
222829,0.00,0.00,12.29,13.52,176,0.18,1648,0.00,0.00,33.33,16,17.50,0.00,100,3.05,-11.46,1.38,0.00,0.00,14.80
223095,0.00,0.78,13.67,13.44,176,0.24,1271,0.00,0.00,33.33,16,21.00,1.36,99,3.63,-10.74,1.38,0.00,0.00,13.05
223361,0.00,0.78,19.52,13.68,176,0.47,1482,0.00,0.00,33.33,16,4.50,2.21,99,5.80,-8.85,1.74,0.00,5.49,23.95
223627,-0.78,0.78,14.01,13.68,176,0.45,1469,0.00,0.00,33.33,16,10.50,2.19,99,6.67,-7.98,1.64,0.00,2.35,26.41
223893,0.00,-0.78,14.13,13.60,176,0.19,1370,0.00,0.00,33.33,16,23.50,1.75,99,4.64,-10.01,1.38,0.00,0.00,28.52
224159,-0.78,0.00,13.21,13.68,176,0.20,1400,0.00,0.00,33.33,16,15.50,1.47,99,3.92,-10.74,1.36,0.00,0.00,14.10
224425,-1.56,0.00,12.86,13.60,176,0.20,1394,0.00,0.00,33.33,16,11.50,1.49,99,3.77,-10.88,1.36,0.00,0.00,13.05
224691,0.00,2.34,12.52,13.44,178,0.20,1376,0.00,0.00,33.33,16,13.50,1.45,99,3.63,-11.03,1.38,0.00,0.00,13.05
224957,0.00,2.34,12.17,13.44,178,0.21,1323,0.00,0.00,33.33,16,17.50,1.42,99,3.77,-10.88,1.38,0.00,0.00,13.05
225224,0.00,2.34,12.17,13.44,178,0.22,1238,0.00,0.00,33.33,16,21.00,1.38,99,3.77,-10.88,1.38,0.00,0.00,13.05
225489,-0.78,2.34,12.75,13.44,178,0.23,1200,0.00,0.00,33.33,16,21.00,1.28,99,3.92,-10.74,1.38,0.00,0.00,13.05
225755,-2.34,2.34,12.86,13.44,178,0.24,1155,0.00,0.00,33.33,16,21.00,1.23,99,4.21,-10.45,1.36,0.00,0.00,13.05
226021,-3.91,2.34,13.09,13.52,178,0.23,1189,0.00,0.00,33.33,16,18.00,1.27,99,4.35,-10.30,1.38,0.00,0.00,13.05
226287,-4.69,2.34,13.55,13.52,178,0.23,1198,0.00,0.00,33.33,16,15.50,1.28,99,4.21,-10.45,1.38,0.00,0.00,13.05
226553,-4.69,2.34,14.13,13.60,178,0.24,1183,0.00,0.00,33.33,16,15.50,1.26,99,4.35,-10.30,1.38,0.00,0.00,13.05
226819,-5.47,2.34,14.24,13.60,178,0.23,1179,0.00,0.00,33.33,16,15.50,1.26,99,4.35,-10.30,1.38,0.00,0.00,13.05
227085,-6.25,2.34,14.13,13.60,178,0.24,1172,0.00,0.00,33.33,16,15.50,1.25,99,4.35,-10.30,1.36,0.00,0.00,13.05
227351,-6.25,2.34,14.13,13.60,178,0.24,1147,0.00,0.00,33.33,16,17.00,1.22,99,4.35,-10.16,1.38,0.00,0.00,13.05
227616,-7.03,2.34,14.01,13.52,178,0.25,1135,0.00,0.00,33.33,16,17.00,1.21,99,4.50,-10.16,1.36,0.00,0.00,13.05
227882,-7.03,2.34,14.36,13.52,178,0.27,1040,0.00,0.00,33.33,16,21.00,1.11,99,4.64,-10.01,1.36,0.00,0.00,13.05
228148,-7.81,2.34,14.36,13.44,178,0.29,987,0.00,0.00,33.33,16,21.00,1.26,99,4.79,-9.87,1.36,0.00,0.00,13.05
228414,-7.03,2.34,14.70,13.68,178,0.27,1010,0.00,0.00,33.33,16,19.00,1.29,99,5.08,-9.58,1.38,0.00,0.00,13.05
228680,-7.03,2.34,15.04,13.68,178,0.29,987,0.00,0.00,33.33,16,21.00,1.23,99,5.22,-9.43,1.38,0.00,0.00,13.05
228945,-7.03,2.34,15.04,13.60,178,0.30,931,0.00,0.00,33.33,16,20.00,1.22,99,5.22,-9.43,1.40,0.00,0.00,13.05
229211,-7.03,2.34,15.04,13.44,178,0.33,931,0.00,0.00,33.33,16,20.00,1.21,99,5.51,-9.14,1.42,0.00,0.39,13.05
229477,-6.25,2.34,15.04,13.44,178,0.44,914,0.00,0.00,33.33,16,4.50,1.39,99,6.09,-8.56,1.52,0.00,2.35,19.02
229743,-3.91,1.56,15.39,13.44,178,0.46,967,0.00,0.00,33.33,16,39.50,1.48,99,7.11,-7.55,1.56,0.00,2.75,26.41
230008,-3.91,1.56,15.16,13.28,178,0.51,887,0.00,0.00,33.33,16,26.00,1.51,99,7.69,-6.96,1.56,0.00,3.14,26.41
230274,-6.25,0.78,14.59,13.60,178,0.49,936,0.00,0.00,33.33,16,26.00,1.60,99,8.13,-6.53,1.58,0.00,3.92,26.41
230539,-6.25,-0.78,14.47,13.60,178,0.53,991,0.00,0.00,33.33,16,26.00,1.69,99,8.56,-6.09,1.64,0.00,4.31,26.41
230805,-3.12,-0.78,15.16,13.60,178,0.54,992,0.00,0.00,33.33,16,26.00,1.69,99,8.85,-5.80,1.66,0.00,4.31,40.82
231071,0.78,-0.78,15.73,13.52,178,0.57,1007,0.00,0.00,33.33,16,26.00,1.72,99,9.00,-5.66,1.70,0.00,5.10,33.09
231337,2.34,0.78,15.50,13.60,178,0.60,1039,0.00,0.00,33.33,16,26.00,2.00,99,9.43,-4.93,1.84,0.00,8.24,33.09
231603,5.47,0.78,15.39,13.60,178,0.74,1082,0.00,0.00,33.33,16,26.00,2.31,99,10.88,-3.48,1.86,0.00,9.41,26.41
231868,4.69,0.78,14.93,13.60,178,0.71,1152,0.00,0.00,33.33,16,26.00,2.46,99,11.32,-3.19,1.86,0.00,9.80,26.41
232134,5.47,0.78,14.93,13.60,178,0.70,1196,0.00,0.00,33.33,16,26.00,2.55,99,11.46,-3.19,1.90,0.00,10.20,28.87
232401,7.81,0.78,15.39,13.60,178,0.69,1251,0.00,0.00,33.33,16,30.50,2.67,99,11.46,-3.34,1.90,0.00,10.20,40.82
232667,7.81,0.78,14.81,13.52,178,0.69,1326,0.00,0.00,33.33,16,30.50,2.83,99,11.03,-3.63,1.94,0.00,10.20,31.33
232933,8.59,0.78,14.93,13.36,178,0.68,1368,0.00,0.00,33.33,16,28.00,2.92,99,10.59,-4.06,1.96,0.00,10.20,26.41
233198,6.25,0.78,14.59,13.36,178,0.67,1423,0.00,0.00,33.33,16,28.50,3.09,99,10.45,-4.21,1.96,0.00,10.20,26.41
233464,6.25,0.78,14.59,13.36,178,0.64,1509,0.00,0.00,33.33,16,36.50,3.16,99,10.16,-4.50,1.98,0.00,9.80,26.41
233730,4.69,0.78,14.47,13.28,178,0.62,1548,0.00,0.00,33.33,16,42.50,2.97,99,9.87,-4.79,1.96,0.00,9.80,26.41
233996,3.12,0.78,14.47,13.60,178,0.60,1601,0.00,0.00,33.33,16,43.50,3.03,99,9.58,-5.08,1.96,0.00,9.41,26.41
234262,3.12,0.78,14.59,13.68,178,0.59,1643,0.00,0.00,33.33,16,28.50,3.17,97,9.14,-5.51,1.96,0.00,9.41,26.41
234528,3.12,0.78,14.59,13.68,178,0.57,1676,0.00,0.00,33.33,16,28.50,2.86,97,8.85,-5.80,1.96,0.00,9.02,26.41
234793,3.12,0.78,14.70,13.68,178,0.55,1727,0.00,0.00,33.33,16,28.50,2.95,97,8.42,-6.24,1.94,0.00,9.02,26.41
