Time (msec),A/F Sensor #1 (AFR),Battery Voltage (V),Coolant Temperature (F),Engine Speed (rpm),Fuel Pump Duty (%),Ignition Total Timing (degrees),Injector Duty Cycle (%),Intake Air Temperature (C),Knock Correction Advance (degrees),Manifold Absolute Pressure (psi),Throttle Opening Angle (%),Vehicle Speed (mph),Manifold Relative Pressure (psi),Mass Airflow (g/s),Primary Wastegate Duty Cycle (%),Fine Learning Knock Correction* (degrees)
3017,14.59,13.68,192,849,74.90,15.00,1.63,46,0.00,4.93,0.00,0,-9.72,3.83,0.00,0.00
3079,14.59,13.68,192,847,74.90,14.00,1.63,46,0.00,4.93,0.00,0,-9.72,3.85,0.00,0.00
3140,14.59,13.60,192,852,74.90,13.50,1.64,46,0.00,4.93,0.00,0,-9.72,3.80,0.00,0.00
3202,14.59,13.68,192,858,74.90,13.00,1.65,46,0.00,4.93,0.00,0,-9.72,3.78,0.00,0.00
3264,14.59,13.60,192,855,74.90,13.50,1.64,46,0.00,4.93,0.00,0,-9.72,3.75,0.00,0.00
3325,14.59,13.68,192,856,74.90,13.50,1.64,46,0.00,4.93,0.00,0,-9.72,3.80,0.00,0.00
3386,14.70,13.60,192,851,74.90,14.00,1.63,46,0.00,4.93,0.00,0,-9.72,3.80,0.00,0.00
3448,14.59,13.68,192,854,74.90,14.00,1.64,46,0.00,4.93,0.00,0,-9.72,3.80,0.00,0.00
3511,14.59,13.60,192,857,74.90,13.00,1.65,46,0.00,4.93,0.00,0,-9.72,3.80,0.00,0.00
3573,14.70,13.68,192,862,74.90,13.00,1.66,46,0.00,4.93,0.00,0,-9.72,3.80,0.00,0.00
3633,14.59,13.60,192,864,74.90,13.00,1.66,46,0.00,4.93,0.00,0,-9.72,3.75,0.00,0.00
3694,14.70,13.68,192,865,74.90,13.00,1.66,46,0.00,4.93,0.00,0,-9.72,3.75,0.00,0.00
3756,14.70,13.60,192,864,74.90,13.00,1.66,46,0.00,4.93,0.00,0,-9.72,3.75,0.00,0.00
3818,14.70,13.60,192,864,74.90,14.00,1.66,46,0.00,4.93,0.00,0,-9.72,3.75,0.00,0.00
3879,14.70,13.60,192,854,74.90,14.00,1.64,46,0.00,4.93,0.00,0,-9.72,3.75,0.00,0.00
3941,14.70,13.52,192,850,74.90,14.00,1.63,46,0.00,4.93,0.00,0,-9.72,3.80,0.00,0.00
4002,14.70,13.60,192,840,74.90,15.50,1.61,46,0.00,4.93,0.00,0,-9.72,3.80,0.00,0.00
4063,14.81,13.60,192,838,74.90,15.50,1.61,46,0.00,4.93,0.00,0,-9.72,3.83,0.00,0.00
4125,14.81,13.60,192,846,74.90,14.50,1.63,46,0.00,4.93,0.00,0,-9.72,3.88,0.00,0.00
4187,14.81,13.68,192,855,74.90,13.50,1.64,46,0.00,4.93,0.00,0,-9.72,3.80,0.00,0.00
4249,14.81,13.60,192,858,74.90,13.00,1.65,46,0.00,4.93,0.00,0,-9.72,3.72,0.00,0.00
4309,14.81,13.68,192,860,74.90,13.00,1.65,46,0.00,4.93,0.00,0,-9.72,3.75,0.00,0.00
4371,14.93,13.52,192,852,74.90,14.00,1.64,46,0.00,4.93,0.00,0,-9.72,3.75,0.00,0.00
4433,14.81,13.68,192,856,74.90,13.50,1.64,46,0.00,4.93,0.00,0,-9.72,3.80,0.00,0.00
4496,14.81,13.60,192,848,74.90,13.50,1.63,46,0.00,4.93,0.00,0,-9.72,3.80,0.00,0.00
4556,14.81,13.68,192,852,74.90,14.00,1.64,46,0.00,4.93,0.00,0,-9.72,3.78,0.00,0.00
4618,14.81,13.60,192,854,74.90,14.00,1.64,46,0.00,4.93,0.00,0,-9.72,3.83,0.00,0.00
4680,14.81,13.68,192,853,74.90,14.00,1.64,46,0.00,4.93,0.00,0,-9.72,3.80,0.00,0.00
4743,14.81,13.52,192,861,74.90,13.00,1.64,46,0.00,4.93,0.00,0,-9.72,3.78,0.00,0.00
4802,14.81,13.68,192,859,74.90,13.00,1.65,46,0.00,4.93,0.00,0,-9.72,3.75,0.00,0.00
4864,14.81,13.60,192,859,74.90,13.00,1.65,46,0.00,4.93,0.00,0,-9.72,3.75,0.00,0.00
4926,14.81,13.60,192,860,74.90,14.00,1.65,46,0.00,4.93,0.00,0,-9.72,3.72,0.00,0.00
4988,14.81,13.60,192,854,74.90,14.00,1.64,46,0.00,4.93,0.00,0,-9.72,3.75,0.00,0.00
5048,14.81,13.68,192,852,74.90,14.00,1.64,46,0.00,4.93,0.00,0,-9.72,3.80,0.00,0.00
5110,14.70,13.60,192,850,74.90,14.00,1.63,46,0.00,4.93,0.00,0,-9.72,3.80,0.00,0.00
