Time (msec),A/F Sensor #1 (AFR),Battery Voltage (V),Coolant Temperature (F),Engine Speed (rpm),Fuel Pump Duty (%),Ignition Total Timing (degrees),Injector Duty Cycle (%),Intake Air Temperature (C),Knock Correction Advance (degrees),Manifold Absolute Pressure (psi),Throttle Opening Angle (%),Vehicle Speed (mph),Engine Load*  (g/rev),Feedback Knock Correction* (degrees),Manifold Relative Pressure (psi),Mass Airflow (g/s),Primary Wastegate Duty Cycle (%),MAF/SD Blend Percentage (%)
0,14.70,13.52,172,960,74.90,14.50,2.06,44,0.00,5.95,0.00,0,0.31,0.00,-8.85,5.07,0.00,0.0
70,14.59,13.44,172,972,74.90,14.00,2.07,44,0.00,5.95,0.00,0,0.31,0.00,-8.85,5.07,0.00,0.0
141,14.81,13.52,172,972,74.90,13.00,2.07,44,0.00,5.95,0.00,0,0.32,0.00,-8.85,5.07,0.00,0.0
211,14.59,13.44,172,972,74.90,13.00,2.07,44,0.00,5.95,0.00,0,0.31,0.00,-8.85,5.04,0.00,0.0
283,14.81,13.52,172,969,74.90,13.50,2.06,44,0.00,5.95,0.00,0,0.31,0.00,-8.85,5.00,0.00,0.0
354,14.70,13.52,172,965,74.90,14.00,2.06,44,0.00,5.95,0.00,0,0.32,0.00,-8.85,5.04,0.00,0.0
423,14.81,13.52,172,967,74.90,13.50,2.25,44,0.00,5.95,0.00,0,0.32,0.00,-8.85,7.63,0.00,0.0
494,14.70,13.44,172,957,74.90,14.50,2.26,44,0.00,5.95,0.00,0,0.32,0.00,-8.85,5.07,0.00,0.0
565,14.81,13.44,172,962,74.90,14.00,2.06,44,0.00,6.09,0.00,0,0.32,0.00,-8.85,5.07,0.00,0.0
636,14.70,13.52,172,966,74.90,13.50,2.08,44,0.00,6.09,0.00,0,0.32,0.00,-8.71,5.07,0.00,0.0
707,14.70,13.44,172,974,74.90,13.00,2.07,44,0.00,5.95,0.00,0,0.31,0.00,-8.85,5.07,0.00,0.0
778,14.70,13.52,172,970,74.90,13.00,2.07,44,0.00,5.95,0.00,0,0.31,0.00,-8.85,5.07,0.00,0.0
848,14.70,13.44,172,969,74.90,13.50,2.08,44,0.00,5.95,0.00,0,0.31,0.00,-8.85,5.00,0.00,0.0
919,14.59,13.52,172,964,74.90,14.00,2.06,44,0.00,5.95,0.00,0,0.31,0.00,-8.85,4.97,0.00,0.0
990,14.70,13.44,172,968,74.90,13.50,2.06,44,0.00,5.95,0.00,0,0.31,0.00,-8.85,5.04,0.00,0.0
1062,14.59,13.60,172,958,74.90,15.00,2.04,44,0.00,5.95,0.00,0,0.31,0.00,-8.85,5.07,0.00,0.0
1132,14.70,13.52,172,969,74.90,13.50,2.07,44,0.00,5.95,0.00,0,0.32,0.00,-8.85,5.07,0.00,0.0
1205,14.81,13.52,172,960,74.90,14.50,2.08,44,0.00,5.95,0.00,0,0.32,0.00,-8.85,5.07,0.00,0.0
1273,14.81,13.52,172,974,74.90,14.00,2.07,44,0.00,5.95,0.00,0,0.32,0.00,-8.85,5.07,0.00,0.0
1344,14.81,13.52,172,969,74.90,13.50,2.07,44,0.00,5.95,0.00,0,0.31,0.00,-8.85,5.10,0.00,0.0
1416,14.93,13.52,172,972,74.90,13.00,2.06,44,0.00,5.95,0.00,0,0.32,0.00,-8.85,5.07,0.00,0.0
1485,14.81,13.52,172,966,74.90,14.00,2.07,44,0.00,5.95,0.00,0,0.31,0.00,-8.85,5.07,0.00,0.0
1556,14.81,13.52,172,968,74.90,13.50,2.28,44,0.00,5.95,0.00,0,0.32,0.00,-8.85,5.07,0.00,0.0
1627,14.81,13.52,172,970,74.90,13.00,2.09,44,0.00,5.95,0.00,0,0.31,0.00,-8.85,5.07,0.00,0.0
1698,14.59,13.52,172,980,74.90,12.50,2.08,44,0.00,5.95,0.00,0,0.31,0.00,-8.85,5.07,0.00,0.0
1768,14.70,13.52,172,980,74.90,12.50,2.09,44,0.00,5.95,0.00,0,0.31,0.00,-8.85,5.07,0.00,0.0
1839,14.70,13.52,172,974,74.90,13.00,2.08,44,0.00,5.95,0.00,0,0.31,0.00,-8.85,5.07,0.00,0.0
1909,14.81,13.52,172,966,74.90,14.00,2.06,44,0.00,5.95,0.00,0,0.32,0.00,-8.85,5.07,0.00,0.0
1982,14.70,13.52,172,969,74.90,14.00,2.07,44,0.00,5.95,0.00,0,0.31,0.00,-8.85,5.13,0.00,0.0
2051,14.81,13.52,172,961,74.90,14.50,2.07,44,0.00,5.95,0.00,0,0.31,0.00,-8.85,5.07,0.00,0.0
2122,14.81,13.52,172,970,74.90,13.50,2.07,44,0.00,5.95,0.00,0,0.31,0.00,-8.85,5.07,0.00,0.0
2195,14.81,13.52,172,969,74.90,14.00,2.07,44,0.00,5.95,0.00,0,0.31,0.00,-8.85,5.07,0.00,0.0
2264,14.81,13.52,172,971,74.90,13.50,2.05,44,0.00,5.95,0.00,0,0.32,0.00,-8.85,5.07,0.00,0.0
2334,14.81,13.44,172,963,74.90,14.50,2.07,44,0.00,5.95,0.00,0,0.32,0.00,-8.85,5.10,0.00,0.0
2406,14.81,13.52,172,972,74.90,14.00,2.07,44,0.00,5.95,0.00,0,0.31,0.00,-8.85,5.07,0.00,0.0
2475,14.81,13.44,172,972,74.90,13.50,2.08,44,0.00,5.95,0.00,0,0.31,0.00,-8.85,5.04,0.00,0.0
2546,14.70,13.52,172,977,74.90,13.00,2.07,44,0.00,5.95,0.00,0,0.31,0.00,-8.85,5.07,0.00,0.0
2617,14.81,13.44,172,971,74.90,13.50,2.08,44,0.00,5.95,0.00,0,0.32,0.00,-8.85,5.07,0.00,0.0
2688,14.70,13.52,172,972,74.90,13.50,2.07,44,0.00,5.95,0.00,0,0.31,0.00,-8.85,5.07,0.00,0.0
2759,14.81,13.52,172,978,74.90,13.00,2.09,44,0.00,5.95,0.00,0,0.31,0.00,-8.85,5.07,0.00,0.0
2828,14.70,13.52,172,972,74.90,13.50,2.07,44,0.00,5.95,0.00,0,0.31,0.00,-8.85,5.07,0.00,0.0
2899,14.81,13.44,172,968,74.90,13.00,2.07,44,0.00,5.95,0.00,0,0.31,0.00,-8.85,5.07,0.00,0.0
2970,14.81,13.52,172,972,74.90,13.50,2.05,44,0.00,5.95,0.00,0,0.31,0.00,-8.85,5.07,0.00,0.0
3043,14.81,13.44,172,963,74.90,14.50,2.27,44,0.00,5.95,0.00,0,0.31,0.00,-8.85,5.07,0.00,0.0
3112,14.70,13.52,172,968,74.90,14.00,2.27,44,0.00,5.95,0.00,0,0.32,0.00,-8.85,5.10,0.00,0.0
3182,14.81,13.52,172,966,74.90,14.00,2.07,44,0.00,5.95,0.00,0,0.32,0.00,-8.85,5.13,0.00,0.0
3255,14.70,13.44,172,970,74.90,14.00,2.06,44,0.00,5.95,0.00,0,0.32,0.00,-8.85,5.07,0.00,0.0
3324,14.70,13.52,172,965,74.90,14.00,2.06,44,0.00,5.95,0.00,0,0.31,0.00,-8.85,5.10,0.00,0.0
3394,14.70,13.44,172,967,74.90,14.00,2.06,44,0.00,5.95,0.00,0,0.32,0.00,-8.85,5.07,0.00,0.0
3465,14.70,13.52,172,965,74.90,14.00,2.28,44,0.00,5.95,0.00,0,0.32,0.00,-8.85,5.13,0.00,0.0
3537,14.59,13.44,172,970,74.90,14.00,2.07,44,0.00,5.95,0.00,0,0.31,0.00,-8.85,5.07,0.00,0.0
3606,14.70,13.52,172,976,74.90,13.00,2.08,44,0.00,5.95,0.00,0,0.31,0.00,-8.85,5.07,0.00,0.0
3678,14.59,13.52,172,968,74.90,14.00,2.06,44,0.00,5.95,0.00,0,0.31,0.00,-8.85,5.07,0.00,0.0
3749,14.70,13.52,172,971,74.90,13.50,2.07,44,0.00,5.95,0.00,0,0.32,0.00,-8.85,5.07,0.00,0.0
3822,14.70,13.44,172,970,74.90,13.50,2.07,44,0.00,5.95,0.00,0,0.31,0.00,-8.85,5.07,0.00,0.0
3890,14.81,13.60,172,972,74.90,13.50,2.07,44,0.00,5.95,0.00,0,0.32,0.00,-8.85,5.07,0.00,0.0
3961,14.70,13.44,172,970,74.90,13.50,2.06,44,0.00,5.95,0.00,0,0.32,0.00,-8.85,5.07,0.00,0.0
4031,14.81,13.52,172,964,74.90,13.00,2.07,44,0.00,5.95,0.00,0,0.31,0.00,-8.85,5.07,0.00,0.0
4103,14.81,13.52,172,970,74.90,13.50,2.05,44,0.00,5.95,0.00,0,0.31,0.00,-8.85,5.10,0.00,0.0
4173,14.81,13.44,172,960,74.90,15.00,2.25,44,0.00,5.95,0.00,0,0.32,0.00,-8.85,5.10,0.00,0.0
4243,14.70,13.52,172,959,74.90,15.00,2.24,44,0.00,6.09,0.00,0,0.32,0.00,-8.71,5.10,0.00,0.0
4315,14.70,13.44,172,955,74.90,15.50,2.05,44,0.00,6.09,0.00,0,0.31,0.00,-8.71,5.07,0.00,0.0
4385,14.70,13.52,172,963,74.90,14.00,2.05,44,0.00,6.09,0.00,0,0.31,0.00,-8.71,5.07,0.00,0.0
4455,14.70,13.52,172,969,74.90,13.50,2.07,44,0.00,6.09,0.00,0,0.31,0.00,-8.71,5.07,0.00,0.0
4527,14.70,13.52,172,970,74.90,13.50,2.07,44,0.00,6.09,0.00,0,0.32,0.00,-8.71,5.10,0.00,0.0
4597,14.70,13.44,172,974,74.90,13.50,2.08,44,0.00,6.09,0.00,0,0.32,0.00,-8.71,5.07,0.00,0.0
4670,14.59,13.52,172,968,74.90,14.00,2.07,44,0.00,5.95,0.00,0,0.31,0.00,-8.85,5.07,0.00,0.0
4739,14.70,13.52,172,973,74.90,13.00,2.06,44,0.00,6.09,0.00,0,0.32,0.00,-8.85,5.07,0.00,0.0
4810,14.70,13.52,172,967,74.90,14.00,2.07,44,0.00,6.09,0.00,0,0.32,0.00,-8.71,5.10,0.00,0.0
4880,14.81,13.52,172,970,74.90,13.50,2.29,44,0.00,6.09,0.00,0,0.32,0.00,-8.71,5.13,0.00,0.0
4951,14.70,13.52,172,974,74.90,13.00,2.09,44,0.00,6.09,0.00,0,0.31,0.00,-8.71,5.07,0.00,0.0
5022,14.81,13.52,172,980,74.90,12.50,2.07,44,0.00,6.09,0.00,0,0.31,0.00,-8.71,5.10,0.00,0.0
5093,14.81,13.52,172,970,74.90,13.50,2.08,44,0.00,5.95,0.00,0,0.32,0.00,-8.85,5.10,0.00,0.0
5163,14.70,13.52,172,974,74.90,13.00,2.07,44,0.00,5.95,0.00,0,0.31,0.00,-8.85,5.07,0.00,0.0
5234,14.81,13.52,172,969,74.90,13.50,2.26,44,0.00,5.95,0.00,0,0.32,0.00,-8.85,5.10,0.00,0.0
5304,14.81,13.52,172,965,74.90,14.00,2.07,44,0.00,5.95,0.00,0,0.31,0.00,-8.85,5.07,0.00,0.0
5375,14.81,13.52,172,964,74.90,14.00,2.06,44,0.00,5.95,0.00,0,0.31,0.00,-8.85,5.07,0.00,0.0
5448,14.81,13.52,172,970,74.90,13.50,2.07,44,0.00,5.95,0.00,0,0.31,0.00,-8.85,5.00,0.00,0.0
5519,14.81,13.52,172,967,74.90,14.00,2.06,44,0.00,5.95,0.00,0,0.32,0.00,-8.85,5.10,0.00,0.0
5588,14.81,13.52,172,970,74.90,14.00,2.26,44,0.00,5.95,0.00,0,0.32,0.00,-8.85,5.13,0.00,0.0
5658,14.81,13.52,172,961,74.90,14.50,2.26,44,0.00,5.95,0.00,0,0.32,0.00,-8.85,5.13,0.00,0.0
5729,14.93,13.44,172,964,74.90,14.50,2.26,44,0.00,6.09,0.00,0,0.32,0.00,-8.85,2.57,0.00,0.0
5799,14.81,13.52,172,962,74.90,14.00,2.07,44,0.00,6.09,0.00,0,0.31,0.00,-8.71,7.63,0.00,0.0
5870,14.93,13.52,172,969,74.90,13.50,2.07,44,0.00,6.09,0.00,0,0.31,0.00,-8.71,5.07,0.00,0.0
5940,14.70,13.44,172,972,74.90,13.00,2.08,44,0.00,5.95,0.00,0,0.31,0.00,-8.71,5.07,0.00,0.0
6012,14.59,13.52,172,975,74.90,13.00,2.07,44,0.00,5.95,0.00,0,0.31,0.00,-8.85,5.07,0.00,0.0
6082,14.81,13.44,172,971,74.90,13.50,2.08,44,0.00,5.95,0.00,0,0.32,0.00,-8.85,5.10,0.00,0.0
6154,14.59,13.52,172,976,74.90,13.00,2.07,44,0.00,5.95,0.00,0,0.32,0.00,-8.85,5.10,0.00,0.0
6225,14.81,13.44,172,978,74.90,13.00,2.09,44,0.00,5.95,0.00,0,0.31,0.00,-8.85,5.07,0.00,0.0
6295,14.70,13.52,172,976,74.90,13.00,2.08,44,0.00,5.95,0.00,0,0.31,0.00,-8.85,5.07,0.00,0.0
6366,14.70,13.44,172,966,74.90,14.00,2.06,44,0.00,5.95,0.00,0,0.31,0.00,-8.85,5.07,0.00,0.0
6437,14.70,13.60,172,968,74.90,14.00,2.07,44,0.00,5.95,0.00,0,0.31,0.00,-8.85,5.07,0.00,0.0
6507,14.81,13.44,172,967,74.90,14.00,2.07,44,0.00,5.95,0.00,0,0.31,0.00,-8.85,5.07,0.00,0.0
6578,14.70,13.52,172,972,74.90,13.50,2.06,44,0.00,5.95,0.00,0,0.32,0.00,-8.85,5.07,0.00,0.0
6649,14.81,13.44,172,968,74.90,14.00,2.08,44,0.00,5.95,0.00,0,0.31,0.00,-8.85,5.10,0.00,0.0
6719,14.81,13.44,172,976,74.90,13.00,2.07,44,0.00,5.95,0.00,0,0.31,0.00,-8.85,5.07,0.00,0.0
6790,14.81,13.52,172,970,74.90,14.00,2.08,44,0.00,5.95,0.00,0,0.31,0.00,-8.85,5.07,0.00,0.0
6862,14.70,13.44,172,973,74.90,13.50,2.06,44,0.00,5.95,0.00,0,0.32,0.00,-8.85,5.07,0.00,0.0
6932,14.81,13.52,172,965,74.90,14.00,2.07,44,0.00,5.95,0.00,0,0.31,0.00,-8.85,5.07,0.00,0.0
7002,14.70,13.44,172,970,74.90,14.00,2.06,44,0.00,5.95,0.00,0,0.32,0.00,-8.85,5.07,0.00,0.0
7073,14.81,13.52,172,969,74.90,14.00,2.07,44,0.00,6.09,0.00,0,0.32,0.00,-8.71,5.07,0.00,0.0
7145,14.70,13.52,172,970,74.90,13.50,2.07,44,0.00,5.95,0.00,0,0.31,0.00,-8.85,5.07,0.00,0.0
7216,14.70,13.52,172,974,74.90,13.00,2.08,44,0.00,5.95,0.00,0,0.31,0.00,-8.85,5.07,0.00,0.0
7285,14.59,13.44,172,970,74.90,13.50,2.07,44,0.00,6.09,0.00,0,0.32,0.00,-8.71,5.10,0.00,0.0
7357,14.70,13.52,172,971,74.90,13.50,2.07,44,0.00,6.09,0.00,0,0.32,0.00,-8.71,5.13,0.00,0.0
7427,14.70,13.44,172,968,74.90,14.00,2.26,44,0.00,5.95,0.00,0,0.32,0.00,-8.71,5.13,0.00,0.0
7499,14.70,13.52,172,965,74.90,14.00,2.08,44,0.00,5.95,0.00,0,0.31,0.00,-8.85,5.07,0.00,0.0
7569,14.81,13.44,172,974,74.90,13.00,2.06,44,0.00,5.95,0.00,0,0.31,0.00,-8.85,5.07,0.00,0.0
7639,14.81,13.44,172,968,74.90,14.00,2.08,44,0.00,5.95,0.00,0,0.31,0.00,-8.85,5.07,0.00,0.0
7714,14.81,13.52,172,974,74.90,13.00,2.07,44,0.00,5.95,0.00,0,0.31,0.00,-8.85,5.07,0.00,0.0
7781,14.70,13.52,172,969,74.90,14.00,2.07,44,0.00,5.95,0.00,0,0.31,0.00,-8.85,5.07,0.00,0.0
7852,14.81,13.52,172,972,74.90,13.50,2.06,44,0.00,5.95,0.00,0,0.31,0.00,-8.85,5.10,0.00,0.0
7922,14.81,13.52,172,966,74.90,14.00,2.27,44,0.00,5.95,0.00,0,0.32,0.00,-8.85,5.10,0.00,0.0
7992,14.81,13.52,172,964,74.90,14.00,2.26,44,0.00,6.09,0.00,0,0.32,0.00,-8.71,5.13,0.00,0.0
8064,14.93,13.52,172,970,74.90,13.50,2.28,44,0.00,6.09,0.00,0,0.32,0.00,-8.71,5.16,0.00,0.0
8135,14.81,13.52,172,969,74.90,14.00,2.27,44,0.00,6.09,0.00,0,0.32,0.00,-8.71,5.10,0.00,0.0
8205,14.81,13.52,172,975,74.90,13.00,2.08,44,0.00,6.09,0.00,0,0.31,0.00,-8.71,5.07,0.00,0.0
8276,14.70,13.52,172,976,74.90,13.00,2.09,44,0.00,6.09,0.00,0,0.31,0.00,-8.85,5.07,0.00,0.0
8347,14.81,13.52,172,980,74.90,12.50,2.06,44,0.00,6.09,0.00,0,0.32,0.00,-8.71,5.13,0.00,0.0
8417,14.70,13.52,172,964,74.90,14.00,2.25,44,0.00,6.09,0.00,0,0.32,0.00,-8.71,5.13,0.00,0.0
8487,14.70,13.52,172,960,74.90,14.00,2.07,44,0.00,6.09,0.00,0,0.32,0.00,-8.71,5.13,0.00,0.0
8559,14.70,13.52,172,968,74.90,14.00,2.25,44,0.00,6.09,0.00,0,0.32,0.00,-8.71,5.10,0.00,0.0
8630,14.70,13.52,172,958,74.90,15.00,2.06,44,0.00,6.09,0.00,0,0.32,0.00,-8.71,5.10,0.00,0.0
8700,14.70,13.52,172,964,74.90,14.00,2.26,44,0.00,6.09,0.00,0,0.32,0.00,-8.71,5.13,0.00,0.0
8771,14.70,13.52,172,964,74.90,14.00,2.07,44,0.00,6.09,0.00,0,0.31,0.00,-8.71,5.07,0.00,0.0
8842,14.59,13.52,172,970,74.90,13.50,2.05,44,0.00,6.09,0.00,0,0.32,0.00,-8.71,5.07,0.00,0.0
8912,14.70,13.52,172,965,74.90,14.00,2.06,44,0.00,6.09,0.00,0,0.31,0.00,-8.71,5.07,0.00,0.0
8984,14.70,13.52,172,959,74.90,14.50,2.25,44,0.00,6.09,0.00,0,0.32,0.00,-8.71,5.13,0.00,0.0
9054,14.81,13.44,172,972,74.90,14.00,2.28,44,0.00,6.09,0.00,0,0.32,0.00,-8.71,5.13,0.00,0.0
9124,14.70,13.52,172,969,74.90,13.50,2.08,44,0.00,6.09,0.00,0,0.31,0.00,-8.71,5.13,0.00,0.0
9195,14.81,13.44,172,973,74.90,13.00,2.06,44,0.00,6.09,0.00,0,0.32,0.00,-8.71,5.07,0.00,0.0
9265,14.70,13.52,172,966,74.90,14.00,2.27,44,0.00,6.09,0.00,0,0.32,0.00,-8.71,5.10,0.00,0.0
9337,14.81,13.44,172,969,74.90,13.50,2.26,44,0.00,6.09,0.00,0,0.32,0.00,-8.71,2.57,0.00,0.0
9407,14.70,13.44,172,962,74.90,14.00,2.28,44,0.00,6.09,0.00,0,0.32,0.00,-8.71,5.13,0.00,0.0
9478,14.81,13.52,172,970,74.90,13.00,2.26,44,0.00,6.09,0.00,0,0.32,0.00,-8.71,5.13,0.00,0.0
9548,14.81,13.52,172,963,74.90,14.00,2.28,44,0.00,6.09,0.00,0,0.32,0.00,-8.71,5.10,0.00,0.0
9619,14.70,13.52,172,970,74.90,13.00,2.06,44,0.00,6.09,0.00,0,0.32,0.00,-8.71,5.07,0.00,0.0
9690,14.81,13.44,172,964,74.90,14.00,2.26,44,0.00,6.09,0.00,0,0.32,0.00,-8.71,5.13,0.00,0.0
9761,14.70,13.52,172,968,74.90,13.50,2.27,44,0.00,6.09,0.00,0,0.31,0.00,-8.71,5.13,0.00,0.0
9832,14.81,13.44,172,958,74.90,14.50,2.25,44,0.00,6.09,0.00,0,0.32,0.00,-8.71,5.07,0.00,0.0
9902,14.70,13.52,172,960,74.90,14.00,2.25,44,0.00,6.09,0.00,0,0.32,0.00,-8.71,5.13,0.00,0.0
9973,14.70,13.44,172,962,74.90,14.00,2.26,44,0.00,6.09,0.00,0,0.32,0.00,-8.71,5.13,0.00,0.0
10044,14.70,13.60,172,968,74.90,13.50,2.18,44,0.00,6.09,0.00,0,0.32,0.00,-8.71,5.13,0.00,0.0
10113,14.70,13.44,172,960,74.90,14.00,1.92,44,0.00,6.09,0.00,0,0.32,0.00,-8.71,5.07,0.00,0.0
10185,14.70,13.52,172,965,74.90,14.00,2.25,44,0.00,6.09,0.00,0,0.32,0.00,-8.71,7.66,0.00,0.0
10256,14.81,13.44,172,958,74.90,14.50,2.27,44,0.00,6.09,0.00,0,0.32,0.00,-8.71,2.57,0.00,0.0
10327,14.81,13.44,172,967,74.90,13.50,2.07,44,0.00,6.09,0.00,0,0.32,0.00,-8.71,5.10,0.00,0.0
10398,14.81,13.52,172,968,74.90,13.50,2.07,44,0.00,6.09,0.00,0,0.32,0.00,-8.71,5.13,0.00,0.0
10469,14.59,13.44,172,972,74.90,13.00,2.08,44,0.00,6.09,0.00,0,0.32,0.00,-8.71,5.10,0.00,0.0
10539,14.70,13.52,172,974,74.90,13.00,2.09,44,0.00,6.09,0.00,0,0.32,0.00,-8.71,5.13,0.00,0.0
10610,14.59,13.52,172,978,74.90,12.50,2.08,44,0.00,6.09,0.00,0,0.31,0.00,-8.71,5.07,0.00,0.0
10681,14.81,13.60,172,977,74.90,13.00,2.08,44,0.00,6.09,0.00,0,0.32,0.00,-8.71,5.13,0.00,0.0
10752,14.70,13.44,172,970,74.90,13.50,2.07,44,0.00,6.09,0.00,0,0.32,0.00,-8.71,5.10,0.00,0.0
10821,14.81,13.52,172,970,74.90,13.00,2.07,44,0.00,6.09,0.00,0,0.32,0.00,-8.71,5.13,0.00,0.0
10893,14.81,13.44,172,973,74.90,13.00,2.27,44,0.00,6.09,0.00,0,0.31,0.00,-8.71,5.13,0.00,0.0
10964,14.93,13.52,172,969,74.90,14.00,2.08,44,0.00,6.09,0.00,0,0.31,0.00,-8.71,5.07,0.00,0.0
11034,14.93,13.44,172,974,74.90,13.00,2.25,44,0.00,6.09,0.00,0,0.32,0.00,-8.71,5.10,0.00,0.0
11106,14.93,13.52,172,960,74.90,14.50,2.26,44,0.00,6.09,0.00,0,0.32,0.00,-8.71,5.10,0.00,0.0
11176,14.93,13.52,172,964,74.90,14.00,2.25,44,0.00,6.09,0.00,0,0.32,0.00,-8.71,5.13,0.00,0.0
11246,14.93,13.52,172,960,74.90,14.50,2.27,44,0.00,6.09,0.00,0,0.32,0.00,-8.71,5.13,0.00,0.0
11316,14.93,13.52,172,969,74.90,14.00,2.26,44,0.00,6.09,0.00,0,0.32,0.00,-8.71,5.13,0.00,0.0
11388,14.93,13.52,172,965,74.90,14.00,2.27,44,0.00,6.09,0.00,0,0.32,0.00,-8.71,5.10,0.00,0.0
11458,14.70,13.52,172,968,74.90,14.00,2.26,44,0.00,6.09,0.00,0,0.32,0.00,-8.71,5.13,0.00,0.0
11529,14.81,13.52,172,973,74.90,13.00,2.08,44,0.00,6.09,0.00,0,0.32,0.00,-8.71,5.13,0.00,0.0
11600,14.70,13.52,172,969,74.90,13.50,2.07,44,0.00,6.09,0.00,0,0.31,0.00,-8.71,5.13,0.00,0.0
11670,14.81,13.52,172,974,74.90,13.00,2.08,44,0.00,6.09,0.00,0,0.32,0.00,-8.71,5.13,0.00,0.0
11741,14.70,13.60,172,972,74.90,13.00,2.07,44,0.00,6.09,0.00,0,0.31,0.00,-8.71,5.13,0.00,0.0
11812,14.81,13.52,172,980,74.90,12.50,2.09,44,0.00,6.09,0.00,0,0.31,0.00,-8.71,5.13,0.00,0.0
11882,14.70,13.52,174,980,74.90,12.50,2.07,44,0.00,5.95,0.00,0,0.31,0.00,-8.71,5.13,0.00,0.0
11954,14.70,13.52,174,971,74.90,12.50,2.08,44,0.00,6.09,0.00,0,0.32,0.00,-8.85,5.13,0.00,0.0
12025,14.81,13.52,174,976,74.90,13.00,2.08,44,0.00,5.95,0.00,0,0.32,0.00,-8.71,5.13,0.00,0.0
12095,14.81,13.52,174,973,74.90,13.50,2.09,44,0.00,5.95,0.00,0,0.31,0.00,-8.85,5.10,0.00,0.0
12165,14.81,13.52,174,979,74.90,13.00,2.08,44,0.00,5.95,0.00,0,0.31,0.00,-8.85,5.07,0.00,0.0
12237,14.81,13.52,174,977,74.90,13.00,2.08,44,0.00,5.95,0.00,0,0.31,0.00,-8.85,5.07,0.00,0.0
12308,14.81,13.52,174,977,74.90,13.50,2.06,44,0.00,5.95,0.00,0,0.32,0.00,-8.85,5.10,0.00,0.0
12378,14.81,13.44,174,965,74.90,14.50,2.06,44,0.00,5.95,0.00,0,0.31,0.00,-8.85,5.07,0.00,0.0
12449,14.81,13.52,174,978,74.90,13.00,2.09,44,0.00,5.95,0.00,0,0.32,0.00,-8.85,5.07,0.00,0.0
12520,14.93,13.44,174,982,74.90,13.00,2.09,44,0.00,5.95,0.00,0,0.31,0.00,-8.85,5.07,0.00,0.0
12590,14.81,13.52,174,976,74.90,13.50,2.08,44,0.00,5.95,0.00,0,0.31,0.00,-8.85,5.07,0.00,0.0
12661,14.93,13.44,174,981,74.90,13.00,2.08,44,0.00,5.95,0.00,0,0.31,0.00,-8.85,5.07,0.00,0.0
12730,14.81,13.52,174,976,74.90,13.50,2.09,44,0.00,5.95,0.00,0,0.31,0.00,-8.85,5.07,0.00,0.0
12802,14.93,13.52,174,978,74.90,13.00,2.08,44,0.00,5.95,0.00,0,0.32,0.00,-8.85,5.13,0.00,0.0
12873,14.81,13.52,174,974,74.90,14.00,2.07,44,0.00,5.95,0.00,0,0.31,0.00,-8.85,7.63,0.00,0.0
12944,14.81,13.52,174,970,74.90,13.00,2.07,44,0.00,5.95,0.00,0,0.31,0.00,-8.85,5.07,0.00,0.0
13015,14.81,13.44,174,970,74.90,14.00,2.26,44,0.00,5.95,0.00,0,0.32,0.00,-8.85,5.13,0.00,0.0
13086,14.70,13.52,174,965,74.90,14.50,2.07,44,0.00,5.95,0.00,0,0.31,0.00,-8.85,5.10,0.00,0.0
13156,14.81,13.44,174,972,74.90,14.00,2.27,44,0.00,5.95,0.00,0,0.32,0.00,-8.85,5.07,0.00,0.0
13227,14.81,13.52,174,966,74.90,14.50,2.26,44,0.00,5.95,0.00,0,0.32,0.00,-8.85,5.13,0.00,0.0
13297,14.81,13.44,174,962,74.90,15.00,2.26,44,0.00,6.09,0.00,0,0.32,0.00,-8.71,5.13,0.00,0.0
13368,14.81,13.52,174,969,74.90,14.00,2.07,44,0.00,6.09,0.00,0,0.32,0.00,-8.71,5.13,0.00,0.0
13439,14.81,13.44,174,962,74.90,14.50,2.05,44,0.00,6.09,0.00,0,0.32,0.00,-8.71,5.07,0.00,0.0
13511,14.81,13.52,174,978,74.90,13.00,2.09,44,0.00,6.09,0.00,0,0.31,0.00,-8.71,5.07,0.00,0.0
13581,14.59,13.44,174,976,74.90,13.00,2.09,44,0.00,5.95,0.00,0,0.32,0.00,-8.71,5.07,0.00,0.0
13651,14.81,13.52,174,978,74.90,13.00,2.07,44,0.00,5.95,0.00,0,0.32,0.00,-8.85,5.10,0.00,0.0
13721,14.59,13.44,174,970,74.90,14.00,2.08,44,0.00,6.09,0.00,0,0.32,0.00,-8.85,2.57,0.00,0.0
13793,14.70,13.52,174,974,74.90,13.50,2.07,44,0.00,6.09,0.00,0,0.32,0.00,-8.71,5.13,0.00,0.0
13863,14.59,13.60,174,970,74.90,14.00,2.07,44,0.00,6.09,0.00,0,0.32,0.00,-8.71,5.13,0.00,0.0
13934,14.70,13.44,174,972,74.90,13.50,2.29,44,0.00,6.09,0.00,0,0.32,0.00,-8.71,5.13,0.00,0.0
14004,14.81,13.52,174,975,74.90,13.00,2.08,44,0.00,6.09,0.00,0,0.32,0.00,-8.71,5.13,0.00,0.0
14075,14.70,13.44,174,974,74.90,13.50,2.09,44,0.00,5.95,0.00,0,0.32,0.00,-8.85,5.10,0.00,0.0
14145,14.70,13.52,174,980,74.90,13.00,2.08,44,0.00,5.95,0.00,0,0.31,0.00,-8.85,5.07,0.00,0.0
14217,14.70,13.44,174,977,74.90,13.00,2.08,44,0.00,5.95,0.00,0,0.31,0.00,-8.85,5.07,0.00,0.0
