Time (msec),A/F Sensor #1 (AFR),Battery Voltage (V),Coolant Temperature (F),Engine Speed (rpm),Fuel Pump Duty (%),Ignition Total Timing (degrees),Injector Duty Cycle (%),Intake Air Temperature (C),Knock Correction Advance (degrees),Manifold Absolute Pressure (psi),Throttle Opening Angle (%),Vehicle Speed (mph),Manifold Relative Pressure (psi),Mass Airflow (g/s),Primary Wastegate Duty Cycle (%),Engine Load*  (g/rev)
34632,14.81,13.68,190,2265,74.90,33.50,3.87,48,0.00,4.50,4.31,12,-10.16,8.74,0.00,0.23
34696,14.81,13.68,190,2255,74.90,33.50,3.85,48,0.00,4.50,4.31,12,-10.16,8.56,0.00,0.23
34760,14.93,13.60,190,2266,74.90,33.50,3.87,48,0.00,4.50,4.31,12,-10.16,8.64,0.00,0.23
34825,14.81,13.68,190,2236,74.90,33.00,3.82,48,0.00,4.50,4.31,12,-10.16,8.56,0.00,0.23
34887,14.93,13.60,190,2241,74.90,33.00,3.83,48,0.00,4.50,4.31,12,-10.16,8.47,0.00,0.23
34951,14.93,13.60,190,2232,74.90,33.00,3.81,48,0.00,4.50,3.92,12,-10.16,8.47,0.00,0.23
35015,14.81,13.68,190,2246,74.90,33.00,3.83,48,0.00,4.50,3.92,12,-10.16,8.39,0.00,0.23
35079,14.81,13.68,190,2231,74.90,33.00,3.81,48,0.00,4.35,3.92,12,-10.30,8.39,0.00,0.23
35143,14.81,13.68,190,2237,74.90,33.00,3.82,48,0.00,4.35,3.92,12,-10.30,8.36,0.00,0.23
35208,14.81,13.60,190,2235,74.90,33.00,3.81,48,0.00,4.35,3.92,12,-10.30,8.39,0.00,0.22
35271,14.81,13.68,190,2221,74.90,33.00,3.79,48,0.00,4.35,3.92,12,-10.30,8.36,0.00,0.22
35335,14.81,13.60,190,2231,74.90,33.00,3.79,48,0.00,4.35,3.92,12,-10.30,8.19,0.00,0.22
35399,14.70,13.68,190,2216,74.90,33.00,3.81,48,0.00,4.35,3.92,12,-10.30,8.14,0.00,0.22
35462,14.70,13.60,190,2220,74.90,33.00,3.78,48,0.00,4.35,3.92,12,-10.30,8.06,0.00,0.22
35527,14.70,13.68,190,2204,74.90,33.00,3.79,48,0.00,4.35,3.92,12,-10.30,7.98,0.00,0.22
35591,14.81,13.60,190,2205,74.90,33.00,3.76,48,0.00,4.35,3.92,12,-10.30,7.94,0.00,0.21
35655,14.81,13.68,190,2200,74.90,33.00,3.76,48,0.00,4.35,3.53,12,-10.30,7.90,0.00,0.22
35719,14.81,13.60,190,2185,74.90,33.00,3.75,48,0.00,4.21,3.53,12,-10.45,7.82,0.00,0.21
35782,14.81,13.76,190,2188,74.90,33.00,3.73,48,0.00,4.21,3.53,12,-10.45,7.74,0.00,0.21
35846,14.81,13.68,190,2176,74.90,33.00,3.73,48,0.00,4.21,3.53,12,-10.45,7.62,0.00,0.21
35909,14.81,13.68,190,2176,74.90,33.00,3.25,48,0.00,4.21,3.14,12,-10.45,7.54,0.00,0.21
35974,14.81,13.60,190,2184,74.90,33.00,3.71,48,0.00,4.21,3.14,12,-10.45,7.57,0.00,0.21
36037,14.81,13.68,190,2169,74.90,33.00,3.26,48,0.00,4.21,3.14,12,-10.45,7.41,0.00,0.20
36101,14.81,13.68,190,2178,74.90,33.00,3.24,48,0.00,4.21,3.14,12,-10.45,7.33,0.00,0.20
36165,14.81,13.68,190,2176,74.90,33.00,3.25,48,0.00,4.21,3.14,12,-10.45,7.29,0.00,0.20
36229,14.93,13.60,190,2166,74.90,33.00,3.25,48,0.00,4.06,3.14,12,-10.45,7.29,0.00,0.20
36293,14.93,13.68,190,2174,74.90,33.00,3.23,48,0.00,4.06,3.14,12,-10.59,7.24,0.00,0.20
36357,14.93,13.76,190,2174,74.90,33.00,3.25,48,0.00,4.06,3.14,12,-10.59,7.21,0.00,0.20
36421,14.93,13.68,190,2154,74.90,33.00,3.22,48,0.00,4.06,3.14,12,-10.59,7.21,0.00,0.20
36486,14.81,13.60,190,2146,74.90,33.00,3.21,48,0.00,4.06,3.14,12,-10.59,7.24,0.00,0.20
36549,14.93,13.68,190,2148,74.90,33.00,3.21,48,0.00,4.06,3.14,12,-10.59,7.24,0.00,0.20
36613,14.93,13.68,190,2132,74.90,33.00,3.18,48,0.00,4.06,3.14,12,-10.59,7.17,0.00,0.20
36678,14.81,13.68,190,2130,74.90,33.00,3.18,48,0.00,4.06,3.14,12,-10.59,7.10,0.00,0.20
36742,14.81,13.68,190,2126,74.90,33.00,3.18,48,0.00,4.06,3.14,12,-10.59,7.10,0.00,0.20
36806,14.70,13.68,190,2115,74.90,33.00,3.16,48,0.00,4.06,2.75,12,-10.59,7.03,0.00,0.20
36869,14.70,13.68,190,2116,74.90,33.00,3.16,48,0.00,4.06,2.75,12,-10.59,7.03,0.00,0.20
36934,14.70,13.68,190,2131,74.90,33.00,3.18,48,0.00,4.06,2.75,12,-10.59,6.95,0.00,0.20
36997,14.70,13.68,190,2104,74.90,33.00,3.14,48,0.00,4.06,2.75,12,-10.59,6.99,0.00,0.20
37061,14.70,13.68,190,2096,74.90,33.00,3.13,48,0.00,4.06,2.75,12,-10.59,6.95,0.00,0.20
37125,14.70,13.76,190,2100,74.90,33.00,3.14,48,0.00,4.06,2.75,12,-10.59,6.95,0.00,0.20
37189,14.70,13.68,190,2090,74.90,33.00,3.12,48,0.00,4.06,2.75,12,-10.59,6.88,0.00,0.20
37254,14.70,13.68,190,2070,74.90,33.00,3.09,48,0.00,4.06,2.75,12,-10.59,6.95,0.00,0.20
37317,14.70,13.68,190,2070,74.90,33.00,3.09,48,0.00,4.06,2.75,11,-10.59,6.92,0.00,0.20
37381,14.70,13.76,190,2080,74.90,33.00,3.11,48,0.00,4.06,2.75,11,-10.59,6.95,0.00,0.20
37446,14.70,13.68,190,2078,74.90,33.00,3.10,48,0.00,4.06,2.75,11,-10.59,6.95,0.00,0.20
37508,14.70,13.76,190,2070,74.90,33.00,3.09,48,0.00,4.06,2.75,11,-10.59,6.99,0.00,0.20
37572,14.70,13.68,190,2063,74.90,33.00,3.08,48,0.00,4.06,2.75,11,-10.59,7.03,0.00,0.20
37636,14.70,13.68,190,2067,74.90,33.00,3.09,48,0.00,4.06,2.75,11,-10.59,7.03,0.00,0.20
37700,14.70,13.68,190,2066,74.90,33.00,3.09,48,0.00,4.06,2.75,11,-10.59,6.95,0.00,0.20
37765,14.70,13.60,190,2048,74.90,32.50,3.06,48,0.00,4.06,2.75,11,-10.59,6.95,0.00,0.21
37828,14.70,13.76,190,2045,74.90,32.50,3.05,48,0.00,4.06,2.75,11,-10.59,6.99,0.00,0.21
37892,14.70,13.60,190,2040,74.90,32.50,3.48,48,0.00,4.21,2.75,11,-10.45,6.95,0.00,0.21
37957,14.70,13.68,190,2036,74.90,32.50,3.48,48,0.00,4.06,2.75,11,-10.59,7.03,0.00,0.21
38020,14.70,13.60,190,2024,74.90,32.50,3.48,48,0.00,4.21,2.75,11,-10.45,7.03,0.00,0.20
38084,14.70,13.68,190,2012,74.90,32.50,3.02,48,0.00,4.21,2.75,11,-10.45,6.95,0.00,0.21
38147,14.70,13.68,190,2020,74.90,32.50,3.43,48,0.00,4.21,2.75,11,-10.45,6.95,0.00,0.21
38212,14.59,13.68,190,2025,74.90,32.50,3.45,48,0.00,4.21,2.75,11,-10.45,6.95,0.00,0.21
38276,14.59,13.60,190,2022,74.90,32.50,3.02,48,0.00,4.21,2.75,11,-10.45,6.95,0.00,0.21
38340,14.70,13.68,190,2011,74.90,32.50,3.45,48,0.00,4.21,2.75,11,-10.45,6.95,0.00,0.21
38405,14.70,13.60,190,2007,74.90,32.50,3.43,48,0.00,4.21,2.75,11,-10.45,6.92,0.00,0.21
38467,14.70,13.68,190,2011,74.90,32.50,3.00,48,0.00,4.21,2.75,11,-10.45,6.95,0.00,0.21
38531,14.70,13.68,190,2008,74.90,32.50,3.43,48,0.00,4.21,2.75,11,-10.45,6.95,0.00,0.21
38595,14.70,13.68,190,2002,74.90,32.50,3.00,48,0.00,4.21,2.75,11,-10.45,6.92,0.00,0.21
38659,14.70,13.60,189,1981,74.90,32.50,3.42,48,0.00,4.21,2.75,11,-10.45,6.92,0.00,0.21
38724,14.81,13.68,189,1982,74.90,32.00,3.38,48,0.00,4.21,2.75,11,-10.45,6.95,0.00,0.21
38787,14.81,13.60,190,1975,74.90,32.00,3.38,48,0.00,4.21,2.75,11,-10.45,6.92,0.00,0.21
38851,14.81,13.68,190,1977,74.90,32.00,3.37,48,0.00,4.21,2.75,11,-10.45,6.95,0.00,0.21
38915,14.70,13.60,190,1971,74.90,32.00,3.37,48,0.00,4.21,2.75,11,-10.45,6.95,0.00,0.21
38980,14.81,13.68,190,1968,74.90,32.00,3.36,48,0.00,4.21,2.75,11,-10.45,6.95,0.00,0.21
39043,14.81,13.60,190,1950,74.90,32.00,3.36,48,0.00,4.21,2.75,11,-10.45,6.92,0.00,0.21
39108,14.81,13.68,190,1950,74.90,32.00,3.33,48,0.00,4.21,2.75,11,-10.45,6.95,0.00,0.21
39173,14.81,13.68,190,1947,74.90,32.00,3.32,48,0.00,4.21,2.75,11,-10.45,6.99,0.00,0.21
39236,14.81,13.68,190,1943,74.90,32.00,3.32,48,0.00,4.21,2.75,11,-10.45,6.95,0.00,0.22
39300,14.70,13.60,190,1938,74.90,32.00,3.31,48,0.00,4.21,2.75,11,-10.45,7.03,0.00,0.22
39364,14.81,13.68,190,1948,74.90,32.00,3.32,48,0.00,4.21,2.75,11,-10.45,6.95,0.00,0.22
39427,14.70,13.68,189,1949,74.90,32.00,3.33,48,0.00,4.21,2.75,11,-10.45,6.95,0.00,0.22
39490,14.70,13.68,189,1948,74.90,32.00,3.33,48,0.00,4.21,2.75,11,-10.45,6.99,0.00,0.22
39555,14.70,13.68,189,1945,74.90,32.00,3.32,48,0.00,4.21,2.75,11,-10.45,6.99,0.00,0.22
39619,14.70,13.68,189,1931,74.90,32.00,3.30,48,0.00,4.21,2.75,11,-10.45,6.95,0.00,0.22
39684,14.70,13.60,189,1925,74.90,32.00,3.29,48,0.00,4.21,2.75,11,-10.45,6.95,0.00,0.22
39747,14.70,13.68,189,1919,74.90,32.00,3.27,48,0.00,4.21,2.75,11,-10.45,6.99,0.00,0.22
39811,14.70,13.68,189,1918,74.90,32.00,3.27,48,0.00,4.21,2.75,11,-10.45,6.99,0.00,0.25
39874,14.70,13.68,189,1916,74.90,31.50,3.27,48,0.00,4.21,2.75,11,-10.45,7.03,0.00,0.25
39939,14.81,13.68,189,1926,74.90,32.00,3.29,48,0.00,4.21,2.75,11,-10.45,6.99,0.00,0.22
40002,14.81,13.68,189,1920,74.90,32.00,3.28,48,0.00,4.21,2.75,11,-10.45,6.99,0.00,0.22
40067,14.81,13.76,189,1905,74.90,31.50,3.25,48,0.00,4.21,2.75,11,-10.45,6.95,0.00,0.22
40131,14.81,13.68,189,1894,74.90,31.50,3.23,48,0.00,4.21,2.75,11,-10.45,7.03,0.00,0.22
40195,14.81,13.68,189,1900,74.90,31.50,3.24,48,0.00,4.21,2.75,11,-10.45,7.03,0.00,0.22
40258,14.81,13.68,189,1899,74.90,31.50,3.24,48,0.00,4.21,2.75,11,-10.45,6.95,0.00,0.22
40323,14.81,13.68,189,1909,74.90,31.50,3.26,48,0.00,4.21,2.75,11,-10.45,6.99,0.00,0.22
40387,14.93,13.68,189,1906,74.90,31.50,3.25,48,0.00,4.21,2.75,11,-10.45,6.99,0.00,0.22
40450,14.81,13.68,189,1904,74.90,31.50,3.25,48,0.00,4.21,2.75,11,-10.45,7.06,0.00,0.22
40513,14.93,13.68,189,1892,74.90,31.50,3.23,48,0.00,4.21,2.75,11,-10.45,7.06,0.00,0.22
40579,14.93,13.68,189,1876,74.90,31.00,3.20,48,0.00,4.21,2.75,11,-10.45,6.99,0.00,0.23
40642,14.93,13.68,189,1872,74.90,31.00,3.20,48,0.00,4.21,2.75,11,-10.45,7.06,0.00,0.22
40706,14.93,13.68,189,1877,74.90,31.00,3.20,48,0.00,4.21,2.75,11,-10.45,7.10,0.00,0.22
40769,14.93,13.76,189,1877,74.90,31.00,3.20,48,0.00,4.21,2.75,11,-10.45,7.06,0.00,0.22
40834,14.81,13.60,189,1887,74.90,31.00,3.20,48,0.00,4.21,2.75,11,-10.45,7.06,0.00,0.22
40898,14.81,13.68,189,1888,74.90,31.50,3.22,48,0.00,4.21,2.75,11,-10.45,7.03,0.00,0.22
40961,14.81,13.68,189,1880,74.90,31.00,3.22,48,0.00,4.21,2.75,11,-10.45,6.99,0.00,0.22
41025,14.81,13.76,189,1876,74.90,31.00,3.21,48,0.00,4.21,2.75,11,-10.45,7.03,0.00,0.22
41090,14.81,13.68,189,1872,74.90,31.00,3.20,48,0.00,4.21,2.75,11,-10.45,7.03,0.00,0.23
41153,14.81,13.76,189,1872,74.90,31.00,3.19,48,0.00,4.21,2.75,11,-10.45,7.06,0.00,0.23
41218,14.81,13.68,189,1872,74.90,31.00,3.19,48,0.00,4.35,2.75,11,-10.30,7.03,0.00,0.23
41282,14.81,13.68,189,1871,74.90,31.00,3.20,48,0.00,4.35,2.75,11,-10.30,7.03,0.00,0.22
41346,14.81,13.68,189,1866,74.90,31.00,3.19,48,0.00,4.21,2.75,11,-10.45,6.95,0.00,0.22
41409,14.81,13.68,189,1858,74.90,31.00,3.18,48,0.00,4.21,2.75,11,-10.45,6.99,0.00,0.23
41473,14.81,13.60,189,1848,74.90,31.00,3.17,48,0.00,4.35,2.75,11,-10.45,7.03,0.00,0.23
41537,14.81,13.68,189,1848,74.90,30.50,3.15,48,0.00,4.35,2.75,11,-10.30,7.06,0.00,0.23
41600,14.81,13.60,189,1852,74.90,30.50,3.15,48,0.00,4.35,2.75,11,-10.30,7.03,0.00,0.23
41665,14.81,13.60,189,1854,74.90,31.00,3.16,48,0.00,4.35,2.75,11,-10.30,7.03,0.00,0.23
41729,14.81,13.60,189,1842,74.90,31.00,3.16,48,0.00,4.21,2.75,11,-10.30,7.03,0.00,0.23
41793,14.81,13.68,189,1842,74.90,31.00,3.14,48,0.00,4.21,2.75,11,-10.45,7.06,0.00,0.23
41856,14.81,13.60,189,1835,74.90,30.50,3.13,48,0.00,4.21,2.75,11,-10.45,7.03,0.00,0.23
41920,14.81,13.68,189,1827,74.90,30.50,3.12,48,0.00,4.35,2.75,11,-10.30,6.99,0.00,0.23
41984,14.70,13.60,189,1830,74.90,30.50,3.12,48,0.00,4.21,2.75,10,-10.45,6.95,0.00,0.23
42048,14.81,13.68,189,1834,74.90,30.50,3.13,48,0.00,4.35,2.75,10,-10.30,7.03,0.00,0.23
42112,14.70,13.60,189,1838,74.90,30.50,3.14,48,0.00,4.21,2.75,10,-10.45,6.99,0.00,0.23
42176,14.70,13.68,189,1838,74.90,30.50,3.14,48,0.00,4.21,2.75,10,-10.45,7.03,0.00,0.23
42240,14.81,13.60,189,1843,74.90,31.00,3.15,48,0.00,4.21,2.75,10,-10.45,7.10,0.00,0.23
42304,14.70,13.68,189,1838,74.90,30.50,3.14,48,0.00,4.35,2.75,10,-10.30,7.03,0.00,0.23
42368,14.70,13.60,189,1828,74.90,30.50,3.12,48,0.00,4.35,2.75,10,-10.30,7.03,0.00,0.23
42431,14.70,13.68,189,1827,74.90,30.50,3.12,48,0.00,4.35,2.75,10,-10.30,7.06,0.00,0.23
42495,14.70,13.60,189,1824,74.90,30.50,3.11,48,0.00,4.35,2.75,10,-10.30,7.03,0.00,0.23
42561,14.70,13.68,189,1826,74.90,30.50,3.12,48,0.00,4.35,2.75,10,-10.30,7.06,0.00,0.23
42623,14.70,13.60,189,1830,74.90,30.50,3.12,48,0.00,4.35,2.75,10,-10.30,7.10,0.00,0.23
42686,14.70,13.68,189,1830,74.90,30.50,3.12,48,0.00,4.35,2.75,10,-10.30,6.99,0.00,0.23
42750,14.70,13.60,189,1824,74.90,30.50,3.11,48,0.00,4.35,2.75,10,-10.30,7.06,0.00,0.23
42814,14.70,13.68,189,1817,74.90,30.50,3.10,48,0.00,4.35,2.75,10,-10.30,7.10,0.00,0.23
42879,14.70,13.60,189,1824,74.90,30.50,3.11,48,0.00,4.35,2.75,10,-10.30,7.06,0.00,0.23
42942,14.70,13.60,189,1822,74.90,30.50,3.11,48,0.00,4.35,2.75,10,-10.30,7.06,0.00,0.23
43006,14.70,13.68,189,1823,74.90,30.50,3.11,48,0.00,4.35,2.75,10,-10.30,6.99,0.00,0.23
43070,14.70,13.60,189,1820,74.90,30.50,3.11,48,0.00,4.35,2.75,10,-10.30,7.03,0.00,0.23
43134,14.70,13.68,189,1819,74.90,30.50,3.10,48,0.00,4.35,2.75,10,-10.30,7.03,0.00,0.23
43198,14.70,13.60,189,1820,74.90,30.50,3.11,48,0.00,4.35,2.75,10,-10.30,7.10,0.00,0.23
43262,14.70,13.68,189,1820,74.90,30.50,3.11,48,0.00,4.35,2.75,10,-10.30,7.06,0.00,0.23
43325,14.70,13.60,189,1819,74.90,30.50,3.11,48,0.00,4.35,2.75,10,-10.30,7.06,0.00,0.23
43389,14.81,13.60,189,1822,74.90,30.50,3.10,48,0.00,4.35,2.75,10,-10.30,7.03,0.00,0.23
43453,14.70,13.60,189,1815,74.90,30.50,3.11,48,0.00,4.35,2.75,10,-10.30,7.03,0.00,0.24
43516,14.81,13.60,189,1818,74.90,30.50,3.10,48,0.00,4.35,2.75,10,-10.30,7.03,0.00,0.23
43580,14.81,13.60,189,1826,74.90,30.50,3.10,48,0.00,4.35,2.75,10,-10.30,7.03,0.00,0.23
43645,14.70,13.60,189,1828,74.90,30.50,3.12,48,0.00,4.35,2.75,10,-10.30,7.03,0.00,0.23
43709,14.81,13.60,189,1828,74.90,30.50,3.12,48,0.00,4.35,2.75,10,-10.30,6.95,0.00,0.23
43773,14.70,13.68,189,1814,74.90,30.50,3.12,48,0.00,4.35,2.75,10,-10.30,6.99,0.00,0.23
43835,14.81,13.68,189,1801,74.90,30.50,3.10,48,0.00,4.35,2.75,10,-10.30,6.99,0.00,0.23
43899,14.81,13.68,189,1801,74.90,30.50,3.07,48,0.00,4.35,2.75,10,-10.30,7.03,0.00,0.23
43964,14.81,13.68,189,1805,74.90,30.50,3.07,48,0.00,4.35,2.75,10,-10.30,7.03,0.00,0.23
44028,14.93,13.68,189,1812,74.90,30.50,3.08,48,0.00,4.35,2.75,10,-10.30,7.06,0.00,0.23
44091,14.81,13.76,189,1819,74.90,30.50,3.09,48,0.00,4.35,2.75,10,-10.30,7.03,0.00,0.23
44155,14.81,13.68,189,1821,74.90,30.50,3.10,48,0.00,4.35,2.75,10,-10.30,7.03,0.00,0.23
44220,14.81,13.76,189,1810,74.90,30.50,3.11,48,0.00,4.35,2.75,10,-10.30,7.03,0.00,0.23
44283,14.81,13.68,189,1800,74.90,30.50,3.09,48,0.00,4.35,2.75,10,-10.30,7.03,0.00,0.24
44347,14.81,13.76,189,1806,74.90,30.50,3.07,48,0.00,4.35,2.75,10,-10.30,7.06,0.00,0.24
44411,14.81,13.68,189,1806,74.90,30.50,3.08,48,0.00,4.35,2.75,10,-10.30,7.10,0.00,0.23
44475,14.81,13.68,189,1814,74.90,30.50,3.10,48,0.00,4.35,2.75,10,-10.30,7.03,0.00,0.23
44540,14.81,13.68,189,1814,74.90,30.50,3.10,48,0.00,4.35,2.75,10,-10.30,7.03,0.00,0.24
44603,14.81,13.68,189,1812,74.90,30.50,3.09,48,0.00,4.35,2.75,10,-10.30,7.10,0.00,0.24
44666,14.81,13.68,189,1812,74.90,30.50,3.09,48,0.00,4.35,2.75,10,-10.30,7.03,0.00,0.23
44730,14.81,13.68,189,1813,74.90,30.50,3.09,48,0.00,4.35,2.75,10,-10.30,7.06,0.00,0.23
44793,14.81,13.60,189,1802,74.90,30.50,3.07,48,0.00,4.35,2.75,10,-10.30,7.10,0.00,0.23
44857,14.70,13.68,189,1801,74.90,30.50,3.07,48,0.00,4.35,2.75,10,-10.30,7.06,0.00,0.23
44922,14.70,13.60,189,1796,74.90,30.50,3.07,48,0.00,4.35,2.75,10,-10.30,7.03,0.00,0.23
44986,14.70,13.68,189,1800,74.90,30.50,3.07,48,0.00,4.35,2.75,10,-10.30,6.99,0.00,0.23
45050,14.70,13.60,189,1800,74.90,30.50,3.07,48,0.00,4.35,2.75,10,-10.30,7.03,0.00,0.23
45114,14.70,13.68,189,1808,74.90,30.50,3.09,48,0.00,4.35,2.75,10,-10.30,7.03,0.00,0.23
45177,14.70,13.60,189,1808,74.90,30.50,3.09,48,0.00,4.35,2.75,10,-10.30,7.03,0.00,0.23
45241,14.70,13.68,189,1808,74.90,30.50,3.09,48,0.00,4.35,2.75,10,-10.30,7.06,0.00,0.23
45306,14.81,13.60,189,1800,74.90,30.50,3.07,48,0.00,4.35,2.75,10,-10.30,7.03,0.00,0.23
45369,14.81,13.68,189,1800,74.90,30.50,3.07,48,0.00,4.35,2.75,10,-10.30,7.06,0.00,0.23
45432,14.81,13.60,189,1802,74.90,30.50,3.07,48,0.00,4.35,2.75,10,-10.30,7.03,0.00,0.23
45497,14.81,13.68,189,1794,74.90,30.50,3.06,48,0.00,4.35,2.75,10,-10.30,7.06,0.00,0.23
45561,14.81,13.68,189,1786,74.90,30.50,3.05,48,0.00,4.35,2.75,10,-10.30,7.06,0.00,0.24
45625,14.81,13.60,189,1780,74.90,30.00,3.04,48,0.00,4.35,2.75,10,-10.30,7.03,0.00,0.24
45689,14.81,13.68,189,1782,74.90,30.00,3.04,48,0.00,4.35,2.75,10,-10.30,7.03,0.00,0.24
45753,14.81,13.60,189,1786,74.90,30.50,3.05,48,0.00,4.35,2.75,9,-10.30,7.03,0.00,0.23
45816,14.81,13.68,189,1794,74.90,30.50,3.06,48,0.00,4.35,2.75,9,-10.30,7.06,0.00,0.23
45880,14.81,13.60,189,1790,74.90,30.50,3.06,48,0.00,4.35,2.75,9,-10.30,6.99,0.00,0.24
45944,14.93,13.68,189,1791,74.90,30.50,3.05,48,0.00,4.35,2.75,9,-10.30,7.03,0.00,0.24
46008,14.81,13.60,189,1794,74.90,30.50,3.06,48,0.00,4.35,2.75,9,-10.30,7.10,0.00,0.24
46071,14.81,13.68,189,1799,74.90,30.50,3.06,48,0.00,4.35,2.75,9,-10.30,7.03,0.00,0.23
46135,14.81,13.60,189,1786,74.90,30.50,3.07,48,0.00,4.35,2.75,9,-10.30,6.95,0.00,0.24
46199,14.70,13.76,189,1773,74.90,30.00,3.05,48,0.00,4.35,2.75,9,-10.30,6.99,0.00,0.24
46263,14.70,13.68,189,1770,74.90,30.00,3.03,48,0.00,4.35,2.75,10,-10.30,7.03,0.00,0.24
46327,14.70,13.68,189,1780,74.90,30.00,3.02,48,0.00,4.35,2.75,10,-10.30,7.03,0.00,0.24
46391,14.81,13.60,189,1776,74.90,30.00,3.04,48,0.00,4.35,2.75,10,-10.30,7.03,0.00,0.24
46454,14.81,13.68,189,1779,74.90,30.00,3.03,48,0.00,4.35,2.75,10,-10.30,7.03,0.00,0.24
46518,14.81,13.60,189,1766,74.90,30.00,3.04,48,0.00,4.35,2.75,10,-10.30,7.03,0.00,0.24
46582,14.81,13.68,189,1754,74.90,30.00,3.01,48,0.00,4.35,2.75,10,-10.30,7.06,0.00,0.24
46646,14.81,13.60,189,1754,74.90,30.00,3.37,48,0.00,4.35,2.75,10,-10.30,7.10,0.00,0.24
46710,14.81,13.68,189,1753,74.90,30.00,2.99,48,0.00,4.35,2.75,10,-10.30,7.10,0.00,0.24
46774,14.81,13.68,189,1751,74.90,30.00,2.99,48,0.00,4.35,2.75,10,-10.30,7.06,0.00,0.24
46838,14.81,13.68,189,1759,74.90,30.00,2.99,48,0.00,4.35,2.75,10,-10.30,7.03,0.00,0.24
46902,14.81,13.60,189,1758,74.90,30.00,3.00,48,0.00,4.35,2.75,10,-10.30,7.03,0.00,0.24
46966,14.81,13.68,189,1755,74.90,30.00,3.00,48,0.00,4.35,2.75,10,-10.30,6.99,0.00,0.24
47029,14.81,13.68,189,1755,74.90,30.00,3.00,48,0.00,4.35,2.75,10,-10.30,6.99,0.00,0.24
47093,14.81,13.68,189,1747,74.90,29.50,2.98,48,0.00,4.35,2.75,10,-10.30,6.99,0.00,0.24
47158,14.81,13.76,189,1738,74.90,29.50,2.97,48,0.00,4.35,2.75,10,-10.30,7.03,0.00,0.24
47222,14.81,13.68,189,1738,74.90,29.50,3.34,48,0.00,4.50,2.75,10,-10.16,7.03,0.00,0.24
47285,14.81,13.68,189,1733,74.90,29.50,3.33,48,0.00,4.50,2.75,10,-10.16,7.03,0.00,0.24
47349,14.81,13.68,189,1738,74.90,29.50,2.97,48,0.00,4.50,2.75,10,-10.16,7.03,0.00,0.24
47413,14.81,13.76,189,1736,74.90,29.50,2.96,48,0.00,4.50,2.75,10,-10.16,6.99,0.00,0.24
47477,14.70,13.68,189,1722,74.90,29.50,3.31,48,0.00,4.50,2.75,10,-10.16,7.10,0.00,0.25
47541,14.70,13.68,189,1726,74.90,29.50,3.31,48,0.00,4.50,2.75,10,-10.16,7.03,0.00,0.25
47605,14.70,13.68,189,1731,74.90,29.50,3.32,48,0.00,4.50,2.75,10,-10.16,7.03,0.00,0.25
47669,14.81,13.68,189,1734,74.90,29.50,3.33,48,0.00,4.50,2.75,9,-10.16,7.06,0.00,0.24
47733,14.81,13.68,189,1742,74.90,29.50,2.97,48,0.00,4.50,2.75,9,-10.16,7.03,0.00,0.24
47797,14.81,13.68,189,1742,74.90,29.50,3.34,48,0.00,4.50,2.75,9,-10.16,7.06,0.00,0.24
47861,14.81,13.60,189,1730,74.90,29.50,3.32,48,0.00,4.50,2.75,9,-10.16,7.06,0.00,0.25
47924,14.70,13.68,189,1726,74.90,29.50,3.31,48,0.00,4.50,2.75,9,-10.16,7.14,0.00,0.25
47989,14.70,13.68,189,1729,74.90,29.50,3.32,48,0.00,4.50,2.75,9,-10.16,7.14,0.00,0.25
48053,14.81,13.68,189,1733,74.90,29.50,3.33,48,0.00,4.50,2.75,9,-10.16,7.14,0.00,0.25
48117,14.81,13.68,189,1736,74.90,29.50,3.33,48,0.00,4.50,2.75,9,-10.16,7.14,0.00,0.24
48181,14.81,13.68,189,1740,74.90,29.50,3.34,48,0.00,4.50,2.75,9,-10.16,7.14,0.00,0.28
48245,14.81,13.68,189,1733,74.90,29.50,3.33,48,0.00,4.50,3.14,9,-10.16,7.17,0.00,0.28
48309,14.81,13.68,189,1734,74.90,29.50,3.33,48,0.00,4.50,3.14,9,-10.16,7.17,0.00,0.25
48373,14.81,13.68,189,1736,74.90,29.50,3.33,48,0.00,4.50,3.14,9,-10.16,7.21,0.00,0.25
48436,14.81,13.60,189,1735,74.90,29.50,3.33,48,0.00,4.50,3.14,9,-10.16,7.21,0.00,0.25
48501,14.70,13.60,189,1744,74.90,29.50,3.35,48,0.00,4.64,3.14,9,-10.01,7.29,0.00,0.25
48563,14.70,13.60,189,1741,74.90,29.50,3.35,48,0.00,4.64,3.14,9,-10.01,7.46,0.00,0.26
48628,14.70,13.68,189,1730,74.90,29.50,3.34,48,0.00,4.64,3.14,9,-10.01,7.46,0.00,0.26
48692,14.70,13.60,189,1729,74.90,29.50,3.32,48,0.00,4.64,3.14,9,-10.01,7.54,0.00,0.27
48756,14.70,13.68,189,1751,74.90,30.00,3.32,48,0.00,4.64,3.14,9,-10.01,7.66,0.00,0.26
48821,14.59,13.60,189,1765,74.90,30.00,3.36,48,0.00,4.64,3.14,9,-10.01,7.66,0.00,0.26
48884,14.59,13.60,189,1766,74.90,30.00,3.39,48,0.00,4.64,3.53,9,-10.01,7.66,0.00,0.26
48948,14.47,13.60,189,1754,74.90,30.00,3.39,48,0.00,4.64,3.53,9,-10.01,7.70,0.00,0.27
