Time (msec),A/F Learning #1 (%),A/F Sensor #1 (AFR),Battery Voltage (V),Coolant Temperature (F),Engine Load*  (g/rev),Engine Speed (rpm),Feedback Knock Correction* (degrees),Ignition Total Timing (degrees),Injector Duty Cycle (%),Intake Air Temperature (F),Knock Correction Advance (degrees),Knock Count (Combined) (Knock Events),Manifold Absolute Pressure (psi),Manifold Relative Pressure (psi),Mass Airflow (g/s),Mass Airflow Sensor Voltage (V),Throttle Opening Angle (%),Throttle Sensor Voltage (V),Volumetric Efficiency* (Load Multiplier),MAF/SD Blend Percentage (%),Primary Wastegate Duty Cycle (%)
0,-3.12,14.93,13.60,190,0.58,3221,0.00,36.00,10.31,117,0.00,0,8.85,-5.95,31.30,2.38,12.16,0.94,83.8470,0.0,0.00
81,-3.12,14.93,13.60,190,0.58,3210,0.00,36.00,10.27,117,0.00,0,8.85,-5.95,31.19,2.40,12.16,0.94,83.8470,0.0,0.00
161,-3.12,14.93,13.60,190,0.58,3227,0.00,36.00,10.33,117,0.00,0,8.71,-6.09,31.18,2.40,12.16,0.92,83.6029,0.0,0.00
240,-3.12,14.70,13.60,190,0.57,3219,0.00,36.00,10.30,117,0.00,0,8.71,-6.09,30.98,2.38,11.76,0.92,83.4015,0.0,0.00
320,-3.12,14.70,13.60,190,0.57,3217,0.00,36.50,10.35,117,0.00,0,8.71,-6.24,30.32,2.38,11.76,0.92,83.3099,0.0,0.00
400,-3.12,14.81,13.52,190,0.57,3231,0.00,36.50,10.34,117,0.00,0,8.56,-6.24,30.43,2.38,11.76,0.92,83.1024,0.0,0.00
480,-3.12,14.81,13.60,190,0.56,3246,0.00,36.50,9.70,117,0.00,0,8.56,-6.24,30.54,2.38,11.76,0.92,82.9742,0.0,0.00
560,-3.12,14.70,13.60,190,0.55,3224,0.00,36.50,9.63,117,0.00,0,8.42,-6.38,29.55,2.36,11.76,0.92,82.9620,0.0,0.00
640,-3.12,14.70,13.60,190,0.55,3241,0.00,36.50,9.68,117,0.00,0,8.42,-6.38,29.44,2.36,11.76,0.92,82.8674,0.0,0.00
721,-3.12,14.81,13.60,190,0.55,3234,0.00,37.00,9.69,117,0.00,0,8.42,-6.38,29.66,2.36,11.76,0.92,82.7301,0.0,0.00
800,-3.12,14.93,13.60,190,0.55,3238,0.00,37.00,9.67,117,0.00,0,8.42,-6.38,29.66,2.36,11.76,0.92,82.6233,0.0,0.00
881,-3.12,14.81,13.60,190,0.55,3251,0.00,37.00,9.71,117,0.00,0,8.42,-6.38,29.00,2.36,11.76,0.92,82.6233,0.0,0.00
962,-3.12,14.93,13.60,190,0.54,3241,0.00,37.00,9.68,117,0.00,0,8.42,-6.38,29.23,2.34,11.76,0.92,82.6843,0.0,0.00
1042,-3.12,14.81,13.60,190,0.56,3255,0.00,37.00,9.70,117,0.00,0,8.42,-6.38,29.88,2.36,11.76,0.92,82.6782,0.0,0.00
1123,-3.12,14.81,13.52,190,0.55,3255,0.00,36.50,10.42,117,0.00,0,8.42,-6.38,29.99,2.36,11.76,0.94,82.8735,0.0,0.00
1201,-3.12,14.59,13.60,190,0.58,3252,0.00,36.00,10.41,117,0.00,0,8.42,-6.24,30.64,2.42,12.55,0.96,83.6578,0.0,0.00
1281,-3.12,14.59,13.52,190,0.63,3254,0.00,35.00,11.11,117,0.00,0,9.00,-5.80,34.00,2.46,13.73,1.00,84.9182,0.0,0.00
1361,-3.12,14.59,13.60,190,0.68,3270,0.00,33.50,13.26,117,0.00,0,9.43,-5.37,36.76,2.52,15.69,1.06,86.4380,0.0,0.00
1441,-3.12,14.47,13.52,190,0.74,3282,0.00,32.00,13.30,115,0.00,0,10.16,-4.21,40.16,2.58,16.47,1.08,87.7991,0.0,0.00
1520,-3.12,14.47,13.52,190,0.78,3274,0.00,31.50,13.97,115,0.00,0,10.59,-3.63,41.38,2.60,16.86,1.10,88.5681,0.0,0.00
1600,-3.12,14.70,13.52,190,0.81,3291,0.00,30.50,14.04,115,0.00,0,11.32,-3.48,44.23,2.64,17.65,1.12,89.2303,0.0,0.00
1680,-3.12,14.81,13.52,190,0.84,3295,0.00,29.50,14.76,115,0.00,0,11.75,-3.05,46.15,2.68,18.04,1.14,89.7980,0.0,0.00
1760,-2.34,14.81,13.52,190,0.88,3296,0.00,29.00,15.52,115,0.00,0,12.04,-2.18,47.79,2.72,19.22,1.16,90.6677,0.0,0.00
1841,-2.34,14.81,13.44,190,0.93,3312,0.00,27.50,16.25,115,0.00,0,12.62,-1.89,49.88,2.74,20.00,1.20,91.4795,0.0,0.00
1922,-2.34,14.59,13.44,190,0.97,3326,0.00,26.00,17.03,115,0.00,0,12.91,-1.45,51.53,2.80,20.78,1.22,92.2882,0.0,0.00
2001,0.00,14.59,13.52,190,1.00,3340,0.00,25.00,17.82,115,0.00,0,13.78,-1.02,55.57,2.84,21.96,1.26,93.1000,21.0,0.00
2081,0.00,14.36,13.44,190,1.03,3333,0.00,24.00,18.49,115,0.00,0,14.22,-0.58,56.43,2.86,22.35,1.28,93.8477,39.6,0.00
2161,0.00,14.13,13.52,190,1.06,3357,0.00,23.50,21.52,115,0.00,0,14.65,0.15,58.11,2.90,23.53,1.30,94.3573,52.0,0.00
2242,0.00,14.36,13.44,190,1.10,3377,0.00,22.50,22.33,115,0.00,0,14.95,0.58,60.07,2.90,23.92,1.32,94.8303,56.7,6.67
2321,0.00,13.90,13.44,190,1.13,3381,0.00,21.00,23.08,115,0.00,0,15.82,1.02,63.90,2.96,24.71,1.34,95.3033,61.8,6.67
2403,0.00,12.40,13.44,190,1.17,3415,0.00,20.50,24.04,115,0.00,0,16.25,1.45,66.33,3.00,25.49,1.38,95.8130,66.6,6.27
2481,0.00,12.40,13.36,190,1.21,3395,0.00,19.50,25.56,115,0.00,0,16.69,2.18,67.97,3.02,25.88,1.38,96.4935,71.0,5.49
2562,0.00,12.06,13.44,190,1.25,3438,0.00,19.00,25.67,115,0.00,0,16.98,2.61,70.37,3.06,26.67,1.40,97.1924,74.8,5.49
2641,0.00,12.06,13.44,190,1.28,3461,0.00,18.50,27.32,115,0.00,0,17.41,2.90,71.92,3.08,27.06,1.42,97.7692,78.6,5.49
2721,0.00,11.83,13.44,190,1.32,3458,0.00,17.50,27.29,115,0.00,0,17.99,3.19,75.81,3.10,27.45,1.42,98.3765,82.7,5.49
2801,0.00,11.83,13.44,190,1.34,3478,0.00,17.50,28.94,115,0.00,0,18.28,3.48,77.68,3.12,27.45,1.44,98.7122,84.8,3.92
2881,0.00,11.83,13.44,190,1.36,3510,0.00,17.50,29.20,115,0.00,0,18.43,3.77,78.86,3.12,27.84,1.44,98.8953,86.3,3.14
2961,0.00,11.83,13.44,190,1.37,3528,0.00,17.00,29.35,115,0.00,0,18.57,3.92,79.90,3.12,27.84,1.44,98.9960,87.2,3.14
