Time (msec),A/F Sensor #1 (AFR),Battery Voltage (V),Coolant Temperature (F),Engine Load (Calculated) (g/rev),Engine Speed (rpm),Fuel Pump Duty (%),Ignition Total Timing (degrees),Injector Duty Cycle (%),Intake Air Temperature (C),Knock Correction Advance (degrees),Manifold Absolute Pressure (psi),Throttle Opening Angle (%),Vehicle Speed (mph),Manifold Relative Pressure (psi),Mass Airflow (g/s),Primary Wastegate Duty Cycle (%)
0,14.59,14.08,79,0.39,1412,100.00,6.50,3.59,27,0.00,6.24,0.00,0,-8.56,9.14,0.00
68,14.59,14.08,79,0.39,1408,100.00,7.00,3.61,27,0.00,6.24,0.00,0,-8.56,9.18,0.00
137,14.59,14.08,79,0.39,1404,100.00,7.50,3.59,27,0.00,6.24,0.00,0,-8.56,9.09,0.00
205,14.59,14.00,79,0.39,1406,100.00,7.00,3.60,27,0.00,6.24,0.00,0,-8.56,9.09,0.00
274,14.47,14.00,79,0.38,1410,100.00,7.00,3.61,27,0.00,6.24,0.00,0,-8.56,9.05,0.00
341,14.47,14.08,79,0.39,1401,100.00,8.00,3.59,27,0.00,6.24,0.00,0,-8.56,9.00,0.00
411,14.47,14.08,79,0.38,1406,100.00,7.00,3.60,27,0.00,6.24,0.00,0,-8.56,8.96,0.00
479,14.47,14.08,79,0.38,1399,100.00,8.00,3.58,27,0.00,6.24,0.00,0,-8.56,8.92,0.00
547,14.47,14.08,79,0.38,1404,100.00,7.00,3.59,27,0.00,6.24,0.00,0,-8.56,8.92,0.00
616,14.47,14.08,79,0.38,1391,100.00,8.50,3.56,27,0.00,6.24,0.00,0,-8.56,8.92,0.00
685,14.47,14.08,79,0.39,1396,100.00,8.00,3.57,27,0.00,6.24,0.00,0,-8.56,8.96,0.00
753,14.47,14.08,79,0.39,1392,100.00,8.00,3.56,27,0.00,6.24,0.00,0,-8.56,9.14,0.00
822,14.47,14.00,79,0.39,1399,100.00,7.00,3.58,27,0.00,6.38,0.00,0,-8.42,9.14,0.00
890,14.47,14.00,79,0.39,1389,100.00,8.00,3.56,27,0.00,6.38,0.00,0,-8.42,9.14,0.00
959,14.47,14.08,79,0.39,1397,100.00,7.00,3.56,27,0.00,6.38,0.00,0,-8.42,9.18,0.00
1027,14.47,14.08,79,0.40,1391,100.00,8.00,3.57,27,0.00,6.38,0.00,0,-8.42,9.22,0.00
1096,14.47,14.08,79,0.40,1396,100.00,7.00,3.56,27,0.00,6.38,0.00,0,-8.42,9.27,0.00
1164,14.36,14.08,79,0.39,1392,100.00,7.50,3.58,27,0.00,6.38,0.00,0,-8.42,9.18,0.00
1233,14.36,14.08,79,0.40,1400,100.00,7.00,3.56,27,0.00,6.38,0.00,0,-8.42,9.36,0.00
1301,14.36,14.08,79,0.40,1392,100.00,7.50,3.58,27,0.00,6.38,0.00,0,-8.42,9.31,0.00
1370,14.36,14.00,79,0.40,1400,100.00,7.00,3.56,27,0.00,6.53,0.00,0,-8.27,9.36,0.00
1439,14.36,14.00,79,0.41,1392,100.00,7.50,3.56,27,0.00,6.53,0.00,0,-8.27,9.40,0.00
1507,14.36,14.00,79,0.40,1392,100.00,6.50,3.89,27,0.00,6.53,0.00,0,-8.27,9.44,0.00
1576,14.36,14.08,79,0.40,1403,100.00,7.00,3.88,27,0.00,6.53,0.00,0,-8.27,9.40,0.00
1644,14.36,14.00,79,0.40,1406,100.00,6.00,3.90,27,0.00,6.53,0.00,0,-8.27,9.44,0.00
1712,14.24,14.08,79,0.41,1404,100.00,6.50,3.89,27,0.00,6.53,0.00,0,-8.27,9.49,0.00
1781,14.24,14.08,79,0.40,1410,100.00,6.00,3.61,27,0.00,6.53,0.00,0,-8.27,9.44,0.00
1851,14.24,14.08,79,0.40,1408,100.00,6.50,3.60,27,0.00,6.53,0.00,0,-8.27,9.36,0.00
1918,14.24,14.08,79,0.40,1413,100.00,6.00,3.62,27,0.00,6.53,0.00,0,-8.27,9.31,0.00
1986,14.24,14.08,79,0.40,1406,100.00,7.00,3.60,27,0.00,6.53,0.00,0,-8.27,9.36,0.00
2055,14.24,14.08,79,0.40,1409,100.00,6.50,3.61,27,0.00,6.53,0.00,0,-8.27,9.36,0.00
2124,14.24,14.08,79,0.40,1405,100.00,7.00,3.60,27,0.00,6.53,0.00,0,-8.27,9.44,0.00
2193,14.13,14.08,79,0.40,1414,100.00,6.00,3.62,27,0.00,6.53,0.00,0,-8.27,9.36,0.00
2261,14.13,14.08,79,0.40,1408,100.00,7.00,3.61,27,0.00,6.53,0.00,0,-8.27,9.27,0.00
2329,14.13,14.08,79,0.39,1408,100.00,6.00,3.61,27,0.00,6.38,0.00,0,-8.42,9.31,0.00
2397,14.13,14.00,79,0.39,1418,100.00,6.50,3.63,27,0.00,6.38,0.00,0,-8.42,9.27,0.00
2466,14.13,14.08,79,0.39,1410,100.00,7.00,3.61,27,0.00,6.38,0.00,0,-8.42,9.31,0.00
2534,14.13,14.08,79,0.40,1408,100.00,7.00,3.59,27,0.00,6.38,0.00,0,-8.42,9.31,0.00
2603,14.13,14.08,79,0.40,1403,100.00,7.50,3.61,27,0.00,6.38,0.00,0,-8.42,9.27,0.00
2671,14.01,14.08,79,0.38,1412,100.00,7.00,3.59,27,0.00,6.38,0.00,0,-8.42,9.31,0.00
2739,14.01,14.00,79,0.41,1402,100.00,8.00,3.61,27,0.00,6.38,0.00,0,-8.42,9.27,0.00
2808,14.01,14.00,79,0.38,1409,100.00,7.00,3.59,28,0.00,6.38,0.00,0,-8.42,9.31,0.00
2877,14.01,14.00,79,0.39,1403,100.00,7.50,3.61,28,0.00,6.38,0.00,0,-8.42,9.22,0.00
2948,14.01,14.00,79,0.40,1410,100.00,7.00,3.59,28,0.00,6.38,0.00,0,-8.42,9.27,0.00
3015,14.01,14.08,79,0.39,1402,100.00,7.50,3.61,28,0.00,6.38,0.00,0,-8.42,9.22,0.00
3082,14.01,14.08,79,0.40,1401,100.00,8.00,3.59,28,0.00,6.38,0.00,0,-8.42,9.27,0.00
3150,13.90,14.08,79,0.39,1407,100.00,7.00,3.60,28,0.00,6.38,0.00,0,-8.42,9.18,0.00
3219,13.90,14.00,79,0.39,1412,100.00,7.50,3.62,28,0.00,6.38,0.00,0,-8.42,9.27,0.00
3287,13.90,14.08,79,0.39,1408,100.00,7.00,3.60,28,0.00,6.38,0.00,0,-8.42,9.22,0.00
3357,13.90,14.08,79,0.39,1409,100.00,7.00,3.61,28,0.00,6.38,0.00,0,-8.42,9.22,0.00
3425,13.90,14.08,79,0.40,1400,100.00,8.00,3.58,28,0.00,6.38,0.00,0,-8.42,9.22,0.00
3494,13.90,14.08,79,0.39,1409,100.00,7.00,3.61,28,0.00,6.38,0.00,0,-8.42,9.27,0.00
3562,13.90,14.16,79,0.39,1398,100.00,8.00,3.58,28,0.00,6.38,0.00,0,-8.42,9.18,0.00
3631,13.90,14.00,79,0.39,1402,100.00,7.00,3.59,28,0.00,6.38,0.00,0,-8.42,9.18,0.00
3699,13.78,14.16,79,0.40,1396,100.00,8.00,3.57,28,0.00,6.38,0.00,0,-8.42,9.14,0.00
3767,13.78,14.08,79,0.39,1402,100.00,7.00,3.59,28,0.00,6.38,0.00,0,-8.42,9.18,0.00
3843,13.78,14.16,79,0.39,1398,100.00,7.50,3.58,28,0.00,6.38,0.00,0,-8.42,9.27,0.00
3903,13.78,14.00,79,0.39,1410,100.00,6.50,3.59,28,0.00,6.38,0.00,0,-8.42,9.18,0.00
3972,13.78,14.08,79,0.39,1402,100.00,7.00,3.60,28,0.00,6.38,0.00,0,-8.42,9.22,0.00
4041,13.67,14.08,79,0.39,1405,100.00,7.00,3.58,28,0.00,6.38,0.00,0,-8.42,9.22,0.00
4112,13.78,14.08,79,0.40,1399,100.00,7.50,3.59,28,0.00,6.38,0.00,0,-8.42,9.14,0.00
4180,13.67,14.00,79,0.40,1404,100.00,7.00,3.59,28,0.00,6.38,0.00,0,-8.42,9.27,0.00
4248,13.67,14.00,79,0.39,1403,100.00,8.00,3.58,28,0.00,6.38,0.00,0,-8.42,9.14,0.00
4315,13.67,14.08,79,0.39,1397,100.00,7.00,3.60,28,0.00,6.38,0.00,0,-8.42,9.22,0.00
4384,13.55,14.08,79,0.40,1404,100.00,7.00,3.57,28,0.00,6.38,0.00,0,-8.42,9.27,0.00
4452,13.55,14.16,79,0.40,1396,100.00,8.00,3.59,28,0.00,6.38,0.00,0,-8.42,9.36,0.00
4520,13.55,14.08,79,0.40,1402,100.00,7.00,3.58,28,0.00,6.53,0.00,0,-8.27,9.31,0.00
4588,13.44,14.08,79,0.40,1408,100.00,6.50,3.60,28,0.00,6.53,0.00,0,-8.27,9.36,0.00
4657,13.44,14.08,79,0.40,1402,100.00,7.00,3.59,28,0.00,6.53,0.00,0,-8.27,9.31,0.00
4725,13.44,14.08,79,0.40,1406,100.00,6.50,3.60,28,0.00,6.38,0.00,0,-8.42,9.27,0.00
4794,13.44,14.08,79,0.40,1395,100.00,8.00,3.57,28,0.00,6.38,0.00,0,-8.42,9.31,0.00
4862,13.32,14.08,79,0.40,1404,100.00,7.00,3.60,28,0.00,6.53,0.00,0,-8.27,9.27,0.00
4931,13.32,14.08,79,0.40,1402,100.00,7.00,3.59,28,0.00,6.53,0.00,0,-8.27,9.27,0.00
4999,13.32,14.08,79,0.39,1408,100.00,6.50,3.61,28,0.00,6.38,0.00,0,-8.42,9.27,0.00
5068,13.21,14.08,79,0.40,1401,100.00,7.00,3.59,28,0.00,6.38,0.00,0,-8.42,9.27,0.00
5137,13.21,14.08,79,0.40,1408,100.00,6.50,3.60,28,0.00,6.38,0.00,0,-8.42,9.27,0.00
5204,13.21,14.00,79,0.39,1404,100.00,7.50,3.59,28,0.00,6.38,0.00,0,-8.42,9.22,0.00
5272,13.21,14.00,79,0.40,1402,100.00,6.50,3.59,28,0.00,6.38,0.00,0,-8.42,9.27,0.00
5341,13.09,14.08,79,0.39,1410,100.00,6.50,3.61,28,0.00,6.38,0.00,0,-8.42,9.22,0.00
5409,13.09,14.08,79,0.39,1403,100.00,7.00,3.59,28,0.00,6.38,0.00,0,-8.42,9.27,0.00
5481,12.98,14.00,79,0.39,1411,100.00,6.00,3.59,28,0.00,6.38,0.00,0,-8.42,9.22,0.00
5548,12.98,14.08,79,0.39,1402,100.00,7.00,3.60,28,0.00,6.38,0.00,0,-8.42,9.18,0.00
5615,13.09,14.08,79,0.39,1407,100.00,7.00,3.59,28,0.00,6.38,0.00,0,-8.42,9.18,0.00
5684,12.98,14.08,79,0.39,1402,100.00,7.00,3.60,28,0.00,6.38,0.00,0,-8.42,9.18,0.00
5753,12.98,14.08,79,0.40,1406,100.00,7.00,3.58,28,0.00,6.38,0.00,0,-8.42,9.27,0.00
5821,12.98,14.16,79,0.40,1398,100.00,7.50,3.59,28,0.00,6.38,0.00,0,-8.42,9.27,0.00
5888,12.98,14.08,79,0.39,1404,100.00,7.00,3.58,28,0.00,6.38,0.00,0,-8.42,9.18,0.00
5956,12.98,14.16,79,0.39,1399,100.00,7.50,3.60,28,0.00,6.38,0.00,0,-8.42,9.18,0.00
6025,13.09,14.00,79,0.39,1406,100.00,7.00,3.59,28,0.00,6.38,0.00,0,-8.42,9.14,0.00
6094,12.98,14.08,79,0.39,1408,100.00,6.50,3.61,28,0.00,6.38,0.00,0,-8.42,9.09,0.00
6162,12.98,13.92,79,0.39,1406,100.00,7.50,3.60,28,0.00,6.38,0.00,0,-8.42,9.18,0.00
6230,12.98,14.08,79,0.39,1403,100.00,6.50,3.59,28,0.00,6.38,0.00,0,-8.42,9.09,0.00
6298,12.98,14.00,79,0.39,1406,100.00,7.00,3.60,28,0.00,6.38,0.00,0,-8.42,9.14,0.00
6367,12.98,14.08,79,0.39,1401,100.00,7.00,3.59,28,0.00,6.38,0.00,0,-8.42,9.14,0.00
6435,12.98,14.00,79,0.39,1409,100.00,6.50,3.61,28,0.00,6.38,0.00,0,-8.42,9.18,0.00
6504,12.98,14.08,79,0.39,1402,100.00,7.00,3.59,28,0.00,6.38,0.00,0,-8.42,9.18,0.00
6572,12.98,14.00,79,0.39,1408,100.00,6.50,3.61,28,0.00,6.38,0.00,0,-8.42,9.18,0.00
6641,12.98,14.08,79,0.39,1402,100.00,7.00,3.59,28,0.00,6.38,0.00,0,-8.42,9.14,0.00
6710,12.98,14.08,79,0.39,1408,100.00,6.50,3.60,28,0.00,6.38,0.00,0,-8.42,9.18,0.00
6779,12.98,14.08,79,0.39,1401,100.00,7.50,3.59,28,0.00,6.38,0.00,0,-8.42,9.09,0.00
6849,12.98,14.00,79,0.39,1407,100.00,7.00,3.60,28,0.00,6.38,0.00,0,-8.42,9.22,0.00
6915,12.98,14.08,79,0.40,1400,100.00,7.50,3.58,28,0.00,6.38,0.00,0,-8.42,9.09,0.00
6984,12.98,14.08,79,0.39,1406,100.00,7.00,3.58,28,0.00,6.38,0.00,0,-8.42,9.09,0.00
7052,12.98,14.08,79,0.39,1397,100.00,8.00,3.60,28,0.00,6.38,0.00,0,-8.42,9.09,0.00
7121,12.98,14.00,79,0.39,1405,100.00,7.00,3.59,28,0.00,6.38,0.00,0,-8.42,9.14,0.00
7188,13.09,14.00,79,0.39,1402,100.00,8.00,3.58,28,0.00,6.38,0.00,0,-8.42,9.18,0.00
7257,12.98,14.08,79,0.39,1398,100.00,7.00,3.59,28,0.00,6.38,0.00,0,-8.42,9.14,0.00
7326,13.09,14.08,79,0.39,1402,100.00,7.00,3.57,28,0.00,6.38,0.00,0,-8.42,9.09,0.00
7394,13.09,14.08,79,0.39,1396,100.00,7.50,3.59,28,0.00,6.38,0.00,0,-8.42,9.18,0.00
7462,12.98,14.08,79,0.39,1401,100.00,7.00,3.58,28,0.00,6.38,0.00,0,-8.42,9.18,0.00
7531,13.09,14.08,79,0.39,1398,100.00,7.50,3.59,28,0.00,6.38,0.00,0,-8.42,9.14,0.00
7599,12.98,14.08,79,0.39,1400,100.00,7.00,3.58,28,0.00,6.38,0.00,0,-8.42,9.09,0.00
7667,12.98,14.08,79,0.39,1405,100.00,6.50,3.60,28,0.00,6.38,0.00,0,-8.42,9.05,0.00
7735,12.98,14.00,79,0.39,1402,100.00,7.00,3.59,28,0.00,6.38,0.00,0,-8.42,9.09,0.00
7804,13.09,14.08,79,0.39,1406,100.00,6.50,3.60,28,0.00,6.38,0.00,0,-8.42,9.09,0.00
7873,12.98,14.00,79,0.39,1398,100.00,7.50,3.58,28,0.00,6.38,0.00,0,-8.42,9.09,0.00
7942,12.98,14.08,79,0.39,1405,100.00,7.00,3.60,28,0.00,6.38,0.00,0,-8.42,9.18,0.00
8010,12.98,14.08,79,0.39,1400,100.00,7.00,3.58,28,0.00,6.38,0.00,0,-8.42,9.09,0.00
8078,12.98,14.08,79,0.39,1404,100.00,7.00,3.59,28,0.00,6.38,0.00,0,-8.42,9.05,0.00
8147,13.09,14.08,81,0.39,1396,100.00,7.50,3.57,28,0.00,6.38,0.00,0,-8.42,9.09,0.00
8215,12.98,14.08,81,0.39,1399,100.00,7.00,3.58,28,0.00,6.38,0.00,0,-8.42,9.14,0.00
8284,12.98,14.00,81,0.39,1404,100.00,8.00,3.59,28,0.00,6.38,0.00,0,-8.42,9.09,0.00
8352,13.09,14.08,81,0.39,1399,100.00,7.50,3.58,28,0.00,6.38,0.00,0,-8.42,9.09,0.00
8420,13.09,14.00,81,0.39,1406,100.00,7.00,3.60,28,0.00,6.38,0.00,0,-8.42,9.09,0.00
8489,12.98,14.08,81,0.39,1402,100.00,7.50,3.61,28,0.00,6.38,0.00,0,-8.42,9.05,0.00
8558,12.98,14.08,81,0.38,1411,100.00,7.00,3.60,28,0.00,6.38,0.00,0,-8.42,9.00,0.00
8626,13.09,14.08,81,0.38,1406,100.00,7.00,3.61,28,0.00,6.24,0.00,0,-8.56,8.92,0.00
8695,13.09,14.00,81,0.38,1410,100.00,7.00,3.60,28,0.00,6.24,0.00,0,-8.56,9.00,0.00
8763,13.09,14.00,81,0.39,1404,100.00,8.00,3.61,28,0.00,6.24,0.00,0,-8.56,8.83,0.00
8832,12.98,14.08,81,0.36,1412,100.00,7.00,3.60,28,0.00,6.24,0.00,0,-8.56,8.92,0.00
8900,12.98,14.08,81,0.39,1404,100.00,8.00,3.61,28,0.00,6.24,0.00,0,-8.56,8.83,0.00
8967,12.98,14.08,81,0.38,1409,100.00,7.50,3.59,28,0.00,6.24,0.00,0,-8.56,8.92,0.00
9037,12.98,14.08,81,0.38,1401,100.00,9.00,3.60,28,0.00,6.24,0.00,0,-8.56,8.83,0.00
9105,12.98,14.08,81,0.38,1407,100.00,8.00,3.58,28,0.00,6.24,0.00,0,-8.56,8.74,0.00
9174,12.98,14.08,81,0.38,1398,100.00,8.50,3.28,28,0.00,6.24,0.00,0,-8.56,8.74,0.00
9242,12.98,14.00,81,0.37,1406,100.00,9.50,3.30,28,0.00,6.24,0.00,0,-8.56,8.74,0.00
9310,12.98,14.16,81,0.37,1398,100.00,9.50,3.28,28,0.00,6.24,0.00,0,-8.56,8.70,0.00
9379,12.98,14.00,81,0.37,1406,100.00,9.00,3.30,28,0.00,6.24,0.00,0,-8.56,8.65,0.00
9448,13.09,14.08,81,0.37,1398,100.00,9.50,3.28,28,0.00,6.24,0.00,0,-8.56,8.65,0.00
9517,13.09,14.00,81,0.37,1405,100.00,9.00,3.30,28,0.00,6.24,0.00,0,-8.56,8.74,0.00
9584,13.09,14.08,81,0.37,1398,100.00,9.50,3.28,28,0.00,6.09,0.00,0,-8.71,8.65,0.00
9654,13.09,14.00,81,0.37,1403,100.00,9.50,3.29,28,0.00,6.24,0.00,0,-8.56,8.70,0.00
9721,13.09,14.08,81,0.37,1397,100.00,10.00,3.28,28,0.00,6.09,0.00,0,-8.71,8.65,0.00
9790,13.09,14.08,81,0.36,1402,100.00,9.50,3.29,28,0.00,6.09,0.00,0,-8.71,8.61,0.00
9860,13.09,14.08,81,0.37,1394,100.00,10.50,3.27,28,0.00,6.09,0.00,0,-8.71,8.61,0.00
9928,13.09,14.00,81,0.37,1400,100.00,10.00,3.29,28,0.00,6.09,0.00,0,-8.71,8.56,0.00
9997,13.09,14.08,81,0.37,1393,100.00,10.50,3.28,28,0.00,6.09,0.00,0,-8.71,8.56,0.00
10064,13.09,14.08,81,0.37,1398,100.00,10.00,3.26,28,0.00,6.09,0.00,0,-8.71,8.52,0.00
10133,13.09,14.08,81,0.37,1390,100.00,11.00,3.28,28,0.00,6.09,0.00,0,-8.71,8.52,0.00
10201,13.09,14.08,81,0.37,1399,100.00,10.00,3.27,28,0.00,6.09,0.00,0,-8.71,8.48,0.00
10270,13.09,14.00,81,0.36,1392,100.00,10.50,3.28,28,0.00,6.09,0.00,0,-8.71,8.48,0.00
10339,13.09,14.00,81,0.36,1399,100.00,10.00,3.28,28,0.00,6.09,0.00,0,-8.71,8.48,0.00
10406,13.09,14.00,81,0.37,1396,100.00,11.00,3.26,28,0.00,6.09,0.00,0,-8.71,8.48,0.00
10475,13.09,14.08,81,0.36,1390,100.00,10.50,3.28,28,0.00,6.09,0.00,0,-8.71,8.48,0.00
10547,13.09,14.08,81,0.37,1396,100.00,10.50,3.27,28,0.00,6.09,0.00,0,-8.71,8.48,0.00
10612,13.09,14.08,81,0.36,1392,100.00,11.50,3.28,28,0.00,6.09,0.00,0,-8.71,8.48,0.00
10680,13.21,14.08,81,0.36,1391,100.00,11.50,3.26,28,0.00,6.09,0.00,0,-8.71,8.35,0.00
10752,13.09,14.08,81,0.36,1396,100.00,11.50,3.27,28,0.00,6.09,0.00,0,-8.71,8.40,0.00
10817,13.21,14.08,81,0.36,1390,100.00,11.50,3.26,28,0.00,6.09,0.00,0,-8.71,8.40,0.00
10886,13.21,14.08,81,0.36,1398,100.00,11.00,3.28,28,0.00,6.09,0.00,0,-8.71,8.40,0.00
10954,13.09,14.00,81,0.36,1391,100.00,11.50,3.26,28,0.00,6.09,0.00,0,-8.71,8.40,0.00
11023,13.09,14.08,81,0.36,1398,100.00,11.50,3.28,28,0.00,6.09,0.00,0,-8.71,8.35,0.00
11091,13.21,14.00,81,0.36,1392,100.00,11.50,3.27,28,0.00,5.95,0.00,0,-8.85,8.40,0.00
11159,13.21,14.08,81,0.36,1398,100.00,11.50,3.28,28,0.00,5.95,0.00,0,-8.85,8.44,0.00
11228,13.09,14.00,81,0.36,1392,100.00,12.00,3.27,28,0.00,5.95,0.00,0,-8.85,8.31,0.00
11296,13.09,14.08,81,0.35,1399,100.00,11.50,3.28,28,0.00,5.95,0.00,0,-8.85,8.35,0.00
11364,13.09,14.08,81,0.36,1394,100.00,12.00,3.27,28,0.00,5.95,0.00,0,-8.85,8.35,0.00
11434,13.09,14.08,81,0.36,1398,100.00,11.50,3.28,28,0.00,5.95,0.00,0,-8.85,8.31,0.00
11502,13.09,14.08,81,0.36,1392,100.00,12.50,3.28,28,0.00,5.95,0.00,0,-8.85,8.27,0.00
11571,13.09,14.08,81,0.36,1397,100.00,11.50,3.26,28,0.00,5.95,0.00,0,-8.85,8.35,0.00
11639,13.09,14.08,81,0.36,1388,100.00,13.00,3.27,28,0.00,5.95,0.00,0,-8.85,8.27,0.00
11709,13.09,14.00,81,0.36,1395,100.00,11.50,3.25,28,0.00,5.95,0.00,0,-8.85,8.31,0.00
11776,13.21,14.08,81,0.36,1387,100.00,13.00,3.25,28,0.00,5.95,0.00,0,-8.85,8.35,0.00
11845,13.21,14.00,81,0.36,1385,100.00,12.00,3.26,28,0.00,5.95,0.00,0,-8.85,8.31,0.00
11913,13.21,14.08,81,0.36,1389,100.00,13.00,3.24,28,0.00,5.95,0.00,0,-8.85,8.35,0.00
11981,13.32,14.08,81,0.36,1383,100.00,12.00,3.26,28,0.00,5.95,0.00,0,-8.85,8.35,0.00
12050,13.32,14.08,81,0.37,1389,100.00,13.00,2.95,28,0.00,5.95,0.00,0,-8.85,8.40,0.00
12118,13.44,14.16,81,0.37,1380,100.00,13.00,2.95,28,0.00,5.95,0.00,0,-8.85,8.44,0.00
12187,13.55,14.08,81,0.37,1376,100.00,13.00,2.94,28,0.00,6.09,0.00,0,-8.71,8.48,0.00
12255,13.67,14.08,81,0.37,1378,100.00,13.00,2.94,28,0.00,6.09,0.00,0,-8.71,8.44,0.00
12324,13.67,14.08,81,0.37,1370,100.00,13.50,2.92,28,0.00,6.09,0.00,0,-8.71,8.48,0.00
12392,13.78,14.16,81,0.37,1375,100.00,13.00,2.93,28,0.00,6.09,0.00,0,-8.71,8.44,0.00
12461,13.90,14.00,81,0.37,1368,100.00,13.50,2.92,28,0.00,6.09,0.00,0,-8.71,8.48,0.00
12528,13.90,14.08,81,0.37,1371,100.00,13.00,2.93,28,0.00,6.24,0.00,0,-8.56,8.56,0.00
12597,13.90,14.00,81,0.38,1363,100.00,14.00,2.91,28,0.00,6.24,0.00,0,-8.56,8.65,0.00
12665,14.01,14.16,81,0.38,1364,100.00,13.50,2.91,28,0.00,6.24,0.00,0,-8.56,8.70,0.00
12733,14.13,14.00,81,0.39,1354,100.00,14.00,3.18,28,0.00,6.38,0.00,0,-8.42,8.87,0.00
12802,14.13,14.08,81,0.41,1360,100.00,14.00,3.19,28,0.00,6.53,0.00,0,-8.27,9.22,0.00
12871,14.13,14.00,81,0.41,1353,100.00,13.50,3.18,28,0.00,6.53,0.00,0,-8.27,9.36,0.00
12940,14.13,14.08,81,0.42,1352,100.00,14.00,3.17,28,0.00,6.53,0.00,0,-8.27,9.44,0.00
13008,14.24,14.08,81,0.42,1362,100.00,13.00,3.19,28,0.00,6.67,0.00,0,-8.13,9.44,0.00
13076,14.24,14.08,81,0.42,1360,100.00,13.00,3.21,28,0.00,6.67,0.00,0,-8.13,9.53,0.00
13145,14.24,14.08,81,0.42,1370,100.00,11.50,3.20,28,0.00,6.67,0.00,0,-8.13,9.62,0.00
13214,14.36,14.00,81,0.42,1365,100.00,12.00,3.22,28,0.00,6.82,0.00,0,-7.98,9.66,0.00
13282,14.36,14.08,81,0.43,1373,100.00,11.50,3.21,28,0.00,6.82,0.00,0,-7.98,9.75,0.00
13350,14.36,14.08,81,0.43,1366,100.00,12.00,3.23,28,0.00,6.82,0.00,0,-7.98,9.80,0.00
13418,14.47,14.16,81,0.43,1375,100.00,11.00,3.22,28,0.00,6.82,0.00,0,-7.98,9.89,0.00
13486,14.47,14.08,81,0.43,1372,100.00,11.50,3.25,28,0.00,6.82,0.00,0,-7.98,9.84,0.00
13556,14.47,14.08,81,0.43,1383,100.00,10.50,3.22,28,0.00,6.96,0.00,0,-7.84,9.94,0.00
13623,14.59,14.08,81,0.43,1372,100.00,11.50,3.25,28,0.00,6.96,0.00,0,-7.84,9.94,0.00
13692,14.59,14.08,81,0.44,1378,100.00,11.50,3.23,28,0.00,6.96,0.00,0,-7.84,10.04,0.00
13761,14.59,14.08,81,0.43,1393,100.00,10.00,3.27,28,0.00,6.96,0.00,0,-7.84,9.99,0.00
13829,14.59,14.00,81,0.43,1394,100.00,10.00,3.27,28,0.00,6.96,0.00,0,-7.84,10.04,0.00
13897,14.70,14.00,81,0.44,1378,100.00,11.50,3.23,28,0.00,6.96,0.00,0,-7.84,10.04,0.00
13965,14.70,14.08,81,0.43,1381,100.00,11.50,3.24,28,0.00,6.96,0.00,0,-7.84,9.99,0.00
14035,14.81,14.00,81,0.44,1379,100.00,11.50,3.24,28,0.00,6.96,0.00,0,-7.84,10.14,0.00
14103,14.81,14.08,81,0.44,1392,100.00,11.50,3.27,28,0.00,6.96,0.00,0,-7.84,10.19,0.00
14171,14.81,14.08,81,0.44,1380,100.00,12.00,3.24,28,0.00,7.11,0.00,0,-7.69,10.14,0.00
14240,14.81,14.08,81,0.44,1388,100.00,11.00,3.26,28,0.00,7.11,0.00,0,-7.69,10.19,0.00
14307,14.93,14.00,81,0.44,1382,100.00,11.50,3.24,28,0.00,7.11,0.00,0,-7.69,10.24,0.00
14376,14.93,14.08,81,0.45,1389,100.00,11.00,3.26,28,0.00,7.11,0.00,0,-7.69,10.34,0.00
14446,14.93,14.00,81,0.45,1385,100.00,11.50,3.25,28,0.00,7.11,0.00,0,-7.69,10.24,0.00
14513,15.04,14.08,81,0.44,1396,100.00,10.50,3.28,28,0.00,7.11,0.00,0,-7.69,10.29,0.00
14582,15.04,14.00,81,0.44,1396,100.00,10.50,3.30,28,0.00,7.11,0.00,0,-7.69,10.34,0.00
14650,15.04,14.08,81,0.44,1406,100.00,10.00,3.30,28,0.00,7.11,0.00,0,-7.69,10.34,0.00
14718,15.16,14.00,81,0.44,1405,100.00,10.00,3.29,28,0.00,7.11,0.00,0,-7.69,10.24,0.00
14787,15.16,14.00,81,0.44,1402,100.00,10.50,3.27,28,0.00,7.11,0.00,0,-7.69,10.29,0.00
14856,15.16,14.08,81,0.46,1395,100.00,11.50,3.31,28,0.00,7.11,0.00,0,-7.69,10.24,0.00
14924,15.16,14.08,81,0.42,1409,100.00,10.50,3.30,28,0.00,7.11,0.00,0,-7.69,10.29,0.00
14993,15.16,14.08,81,0.43,1404,100.00,10.50,3.31,28,0.00,7.11,0.00,0,-7.69,10.14,0.00
15062,15.16,14.00,81,0.44,1412,100.00,10.00,3.31,28,0.00,7.11,0.00,0,-7.69,10.29,0.00
15130,15.27,14.08,81,0.43,1408,100.00,10.50,3.34,28,0.00,7.11,0.00,0,-7.69,10.24,0.00
15198,15.27,14.00,81,0.43,1422,100.00,9.50,3.35,28,0.00,6.96,0.00,0,-7.84,10.24,0.00
15267,15.27,14.08,81,0.43,1422,100.00,10.00,3.34,28,0.00,6.96,0.00,0,-7.84,10.19,0.00
15337,15.27,14.00,81,0.42,1432,100.00,9.50,3.36,28,0.00,6.96,0.00,0,-7.84,10.09,0.00
15404,15.27,14.08,81,0.42,1430,100.00,9.50,3.36,28,0.00,6.96,0.00,0,-7.84,10.09,0.00
