Time (msec),A/F Correction #1 (%),A/F Learning #1 (%),A/F Sensor #1 (AFR),Battery Voltage (V),Coolant Temperature (F),Engine Load (Calculated) (g/rev),Engine Speed (rpm),Feedback Knock Correction* (degrees),Fine Learning Knock Correction* (degrees),Fuel Pump Duty (%),IAM* (raw ecu value),Ignition Total Timing (degrees),Injector Duty Cycle (%),Intake Air Temperature (F),Knock Correction Advance (degrees),Manifold Relative Pressure (psi),Mass Airflow Sensor Voltage (V),Primary Wastegate Duty Cycle (%),Throttle Opening Angle (%)
0,0.00,0.00,15.62,12.80,196,0.24,804,0.00,0.00,100.00,16,14.00,1.03,109,0.00,-10.30,1.26,0.00,0.00
256,0.00,0.00,15.50,12.96,196,0.27,787,0.00,0.00,100.00,16,15.00,1.01,108,0.00,-10.16,1.28,0.00,0.00
514,0.00,0.00,15.62,13.20,196,0.26,812,0.00,0.00,100.00,16,11.50,1.04,108,0.00,-10.01,1.28,0.00,0.00
771,0.00,0.00,15.85,13.20,196,0.24,841,0.00,0.00,100.00,16,9.00,1.08,108,0.00,-10.16,1.24,0.00,0.00
1028,0.00,0.00,15.62,13.20,196,0.24,810,0.00,0.00,100.00,16,13.00,1.04,108,0.00,-10.30,1.24,0.00,0.00
1285,0.00,0.00,15.50,13.20,196,0.25,803,0.00,0.00,100.00,16,13.00,1.03,108,0.00,-10.30,1.24,0.00,0.00
1541,0.00,0.00,15.39,13.20,196,0.25,808,0.00,0.00,100.00,16,12.50,1.03,108,0.00,-10.16,1.24,0.00,0.00
1798,0.00,0.00,15.39,13.28,196,0.25,794,0.00,0.00,100.00,16,13.00,1.02,108,0.00,-10.16,1.26,0.00,0.00
2055,0.00,0.00,15.39,13.28,196,0.26,795,0.00,0.00,100.00,16,14.50,1.02,108,0.00,-10.16,1.26,0.00,0.00
2311,0.00,0.00,15.39,13.28,196,0.26,808,0.00,0.00,100.00,16,10.50,1.03,108,0.00,-10.01,1.26,0.00,0.00
2568,0.00,0.00,15.50,13.04,196,0.24,833,0.00,0.00,100.00,16,10.00,1.07,108,0.00,-10.16,1.26,0.00,0.00
2825,0.00,0.00,15.39,13.04,196,0.24,825,0.00,0.00,100.00,16,11.50,1.06,108,0.00,-10.30,1.26,0.00,0.00
3084,0.00,0.00,15.27,12.96,196,0.24,820,0.00,0.00,100.00,16,12.50,1.05,108,0.00,-10.30,1.24,0.00,0.00
3341,0.00,0.00,15.39,13.04,196,0.24,822,0.00,0.00,100.00,16,12.00,1.05,108,0.00,-10.30,1.24,0.00,0.00
3598,0.00,0.00,15.62,13.04,196,0.25,808,0.00,0.00,100.00,16,13.50,1.03,108,0.00,-10.30,1.24,0.00,0.00
3854,0.00,0.00,15.39,13.04,196,0.24,806,0.00,0.00,100.00,16,13.50,1.03,108,0.00,-10.30,1.24,0.00,0.00
4111,0.00,0.00,15.27,13.12,196,0.24,798,0.00,0.00,100.00,16,14.50,1.02,108,0.00,-10.30,1.24,0.00,0.00
4367,0.00,0.00,15.39,13.12,196,0.24,800,0.00,0.00,100.00,16,14.00,1.02,108,0.00,-10.30,1.26,0.00,0.00
4624,0.00,0.00,15.73,13.20,196,0.26,802,0.00,0.00,100.00,16,13.00,1.03,108,0.00,-10.16,1.26,0.00,0.00
4880,0.00,0.00,15.73,13.20,196,0.25,820,0.00,0.00,100.00,16,11.00,1.05,108,0.00,-10.16,1.26,0.00,0.00
5137,1.56,0.00,15.62,13.20,196,0.24,818,0.00,0.00,100.00,16,12.50,1.05,108,0.00,-10.16,1.26,0.00,0.00
5395,2.34,0.00,15.85,13.20,196,0.24,821,0.00,0.00,100.00,16,11.50,1.05,108,0.00,-10.16,1.26,0.00,0.00
5651,3.12,0.00,15.85,13.28,196,0.25,810,0.00,0.00,100.00,16,11.50,1.04,108,0.00,-10.16,1.24,0.00,0.00
5908,3.91,0.00,15.39,13.04,196,0.24,811,0.00,0.00,100.00,16,13.00,1.04,108,0.00,-10.30,1.24,0.00,0.00
