Time (msec),A/F Correction #1 (%),A/F Learning #1 (%),A/F Sensor #1 (AFR),Battery Voltage (V),Coolant Temperature (F),Engine Load (Calculated) (g/rev),Engine Speed (rpm),Feedback Knock Correction* (degrees),Fine Learning Knock Correction* (degrees),Fuel Pump Duty (%),IAM* (raw ecu value),Ignition Total Timing (degrees),Injector Duty Cycle (%),Intake Air Temperature (F),Knock Correction Advance (degrees),Manifold Relative Pressure (psi),Mass Airflow Sensor Voltage (V),Primary Wastegate Duty Cycle (%),Throttle Opening Angle (%)
0,0.00,0.00,13.67,12.80,171,0.27,832,0.00,0.00,100.00,16,13.00,1.06,82,0.00,-10.30,1.28,0.00,0.00
258,0.00,0.00,13.44,13.04,171,0.29,827,0.00,0.00,100.00,16,13.00,1.06,82,0.00,-10.16,1.28,0.00,0.00
515,0.00,0.00,13.78,13.28,171,0.28,841,0.00,0.00,100.00,16,11.50,1.08,82,0.00,-10.01,1.28,0.00,0.00
773,0.00,0.00,14.13,13.36,171,0.28,842,0.00,0.00,100.00,16,11.50,1.08,82,0.00,-10.01,1.30,0.00,0.00
1029,0.00,0.00,14.24,13.36,169,0.28,838,0.00,0.00,100.00,16,12.50,1.07,82,0.00,-10.01,1.28,0.00,0.00
1286,0.00,0.00,14.24,13.36,169,0.28,847,0.00,0.00,100.00,16,11.50,1.08,81,0.00,-10.01,1.28,0.00,0.00
1543,0.00,0.00,14.24,13.36,169,0.27,866,0.00,0.00,100.00,16,10.50,1.11,81,0.00,-10.01,1.28,0.00,0.00
1800,0.00,0.00,14.24,13.36,169,0.28,856,0.00,0.00,100.00,16,12.00,1.09,81,0.00,-10.01,1.30,0.00,0.00
2058,0.00,0.00,14.24,13.36,169,0.27,874,0.00,0.00,100.00,16,10.00,1.11,81,0.00,-10.01,1.28,0.00,0.00
2314,0.00,0.00,14.24,13.36,169,0.27,870,0.00,0.00,100.00,16,11.00,1.11,81,0.00,-10.01,1.30,0.00,0.00
2571,0.00,0.00,14.13,13.60,169,0.27,862,0.00,0.00,100.00,16,12.50,1.12,81,0.00,-10.01,1.28,0.00,0.00
2828,-1.56,0.00,14.01,13.52,169,0.27,880,0.00,0.00,100.00,16,10.50,1.13,81,0.00,-10.01,1.30,0.00,0.00
3085,-2.34,0.00,14.13,13.44,169,0.27,875,0.00,0.00,100.00,16,11.50,1.11,81,0.00,-10.01,1.30,0.00,0.00
3342,-3.12,0.00,14.24,13.44,169,0.28,878,0.00,0.00,100.00,16,11.50,1.12,81,0.00,-10.01,1.28,0.00,0.00
3599,-3.91,0.00,14.47,13.44,169,0.28,870,0.00,0.00,100.00,16,13.00,1.11,81,0.00,-10.01,1.30,0.00,0.00
3857,-3.91,0.00,14.59,13.44,169,0.28,868,0.00,0.00,100.00,16,13.00,1.11,81,0.00,-10.01,1.30,0.00,0.00
4114,-4.69,0.00,14.59,13.36,169,0.28,872,0.00,0.00,100.00,16,13.00,1.12,81,0.00,-10.01,1.28,0.00,0.00
4372,-5.47,0.00,14.59,13.36,169,0.28,877,0.00,0.00,100.00,16,12.00,1.12,81,0.00,-10.01,1.32,0.00,0.00
4629,-6.25,0.00,14.59,13.36,169,0.28,873,0.00,0.00,100.00,16,12.50,1.12,81,0.00,-10.01,1.30,0.00,0.00
4886,-6.25,0.00,14.59,13.36,169,0.28,890,0.00,0.00,100.00,16,11.50,1.13,81,0.00,-10.01,1.28,0.00,0.00
5144,-7.03,0.00,14.70,13.36,169,0.28,882,0.00,0.00,100.00,16,14.00,1.11,81,0.00,-10.01,1.30,0.00,0.00
5402,-6.25,0.00,14.81,13.36,169,0.26,886,0.00,0.00,100.00,16,14.00,1.10,81,0.00,-10.16,1.28,0.00,0.00
5659,-6.25,0.00,14.93,13.36,169,0.26,872,0.00,0.00,100.00,16,13.00,1.10,81,0.00,-10.16,1.26,0.00,0.00
5916,-6.25,0.00,15.04,13.44,169,0.25,876,0.00,0.00,100.00,16,12.50,1.12,81,0.00,-10.30,1.28,0.00,0.00
6173,-7.03,0.00,14.81,13.52,169,0.25,870,0.00,0.00,100.00,16,13.00,1.11,81,0.00,-10.45,1.24,0.00,0.00
6431,-7.81,0.00,14.59,13.44,169,0.25,852,0.00,0.00,100.00,16,14.50,1.09,81,0.00,-10.45,1.26,0.00,0.00
6688,-9.38,0.00,14.01,13.44,169,0.25,848,0.00,0.00,100.00,16,14.50,1.09,81,0.00,-10.45,1.24,0.00,0.00
6945,-11.72,0.00,13.67,13.44,169,0.25,851,0.00,0.00,100.00,16,14.00,1.08,81,0.00,-10.45,1.26,0.00,0.00
7203,-13.28,0.00,13.67,13.36,169,0.25,846,0.00,0.00,100.00,16,14.00,1.08,81,0.00,-10.45,1.24,0.00,0.00
7460,-15.62,0.00,13.67,13.36,169,0.25,830,0.00,0.00,100.00,16,15.50,1.06,81,0.00,-10.30,1.24,0.00,0.00
7717,-17.19,0.00,13.67,13.36,169,0.25,838,0.00,0.00,100.00,16,14.00,1.07,81,0.00,-10.30,1.26,0.00,0.00
7974,-19.53,0.00,13.55,13.36,169,0.25,835,0.00,0.00,100.00,16,14.00,1.07,81,0.00,-10.45,1.24,0.00,0.00
8232,-21.88,0.00,13.55,13.36,169,0.24,828,0.00,0.00,100.00,16,14.00,1.06,81,0.00,-10.45,1.24,0.00,0.00
8490,-23.44,0.00,13.55,13.36,169,0.25,828,0.00,0.00,100.00,16,14.00,1.06,81,0.00,-10.45,1.24,0.00,0.00
8747,-23.44,0.00,13.67,13.36,169,0.25,822,0.00,0.00,100.00,16,15.00,1.05,81,0.00,-10.45,1.24,0.00,0.00
9005,-23.44,0.00,13.67,13.44,169,0.24,829,0.00,0.00,100.00,16,12.50,1.07,81,0.00,-10.30,1.22,0.00,0.00
9262,-23.44,0.00,13.44,13.44,169,0.25,816,0.00,0.00,100.00,16,14.00,1.04,81,0.00,-10.30,1.24,0.00,0.00
9520,-23.44,0.00,13.21,13.44,169,0.26,804,0.00,0.00,100.00,16,15.50,1.03,81,0.00,-10.30,1.24,0.00,0.00
9777,-24.22,0.00,13.32,13.36,169,0.26,812,0.00,0.00,100.00,16,14.00,1.04,81,0.00,-10.16,1.26,0.00,0.00
10034,-24.22,0.00,13.67,13.36,169,0.26,800,0.00,0.00,100.00,16,14.50,1.02,81,0.00,-10.16,1.26,0.00,0.00
10291,-24.22,0.00,13.78,13.36,169,0.27,807,0.00,0.00,100.00,16,13.50,1.03,81,0.00,-10.16,1.26,0.00,0.00
10549,-24.22,0.00,13.90,13.36,169,0.27,810,0.00,0.00,100.00,16,13.00,1.04,81,0.00,-10.01,1.28,0.00,0.00
10806,-24.22,0.00,14.24,13.36,169,0.26,808,0.00,0.00,100.00,16,13.00,1.03,81,0.00,-10.01,1.26,0.00,0.00
11063,-24.22,0.00,14.36,13.28,169,0.27,794,0.00,0.00,100.00,16,14.00,1.02,81,0.00,-10.01,1.26,0.00,0.00
11320,-24.22,0.00,14.36,13.28,169,0.28,799,0.00,0.00,100.00,16,13.00,1.02,81,0.00,-9.87,1.28,0.00,0.00
11578,-24.22,0.00,14.59,13.28,169,0.29,791,0.00,0.00,100.00,16,14.00,1.01,81,0.00,-9.87,1.30,0.00,0.00
11835,-24.22,0.00,14.70,13.28,169,0.30,788,0.00,0.00,100.00,16,14.00,1.01,81,0.00,-9.72,1.30,0.00,0.00
12092,-24.22,0.00,15.04,13.28,169,0.32,773,0.00,0.00,100.00,16,14.50,1.00,81,0.00,-9.43,1.32,0.00,0.00
12350,-23.44,-0.78,15.27,13.20,169,0.34,765,0.00,0.00,100.00,16,17.00,0.96,81,0.00,-9.43,1.32,0.00,0.00
12607,-21.09,-0.78,15.85,12.88,169,0.39,732,0.00,0.00,100.00,16,18.50,0.90,81,0.00,-9.14,1.34,0.00,0.00
12864,-17.97,-0.78,16.77,13.20,169,0.48,721,0.00,0.00,100.00,16,21.00,1.13,81,0.00,-8.42,1.40,0.00,0.00
13122,-12.50,-0.78,17.46,13.44,167,0.33,905,0.00,0.00,100.00,16,4.50,1.18,81,0.00,-8.56,1.36,0.00,0.00
13379,-10.16,-0.78,17.46,13.36,167,0.32,926,0.00,0.00,100.00,16,4.50,1.19,81,0.00,-9.14,1.36,0.00,0.00
13636,-8.59,-0.78,16.42,13.36,167,0.33,905,0.00,0.00,100.00,16,5.50,1.17,81,0.00,-9.29,1.36,0.00,0.00
13893,-7.03,-0.78,16.08,13.36,167,0.32,916,0.00,0.00,100.00,16,6.00,1.19,81,0.00,-9.29,1.36,0.00,0.00
14150,-4.69,-0.78,15.73,13.36,167,0.29,922,0.00,0.00,100.00,16,7.00,1.18,81,0.00,-9.58,1.34,0.00,0.00
14407,-3.12,-0.78,15.50,13.36,167,0.28,923,0.00,0.00,100.00,16,8.00,1.18,81,0.00,-9.72,1.32,0.00,0.00
