Time (msec),A/F Correction #1 (%),A/F Learning #1 (%),A/F Sensor #1 (AFR),Battery Voltage (V),Coolant Temperature (F),Engine Load (Calculated) (g/rev),Engine Speed (rpm),Feedback Knock Correction* (degrees),Fine Learning Knock Correction* (degrees),Fuel Pump Duty (%),IAM* (raw ecu value),Ignition Total Timing (degrees),Injector Duty Cycle (%),Intake Air Temperature (F),Knock Correction Advance (degrees),Manifold Relative Pressure (psi),Mass Airflow Sensor Voltage (V),Primary Wastegate Duty Cycle (%),Throttle Opening Angle (%)
0,0.00,0.00,13.32,13.20,198,0.16,896,0.00,0.00,100.00,16,12.00,1.14,102,0.00,-10.88,1.24,0.00,0.00
261,0.00,0.00,13.21,13.20,198,0.17,905,0.00,0.00,100.00,16,12.00,1.15,102,0.00,-10.74,1.26,0.00,0.00
520,0.00,0.00,13.09,13.28,198,0.17,900,0.00,0.00,100.00,16,12.50,1.16,102,0.00,-10.59,1.28,0.00,0.00
776,0.00,0.00,13.09,13.20,198,0.17,919,0.00,0.00,100.00,16,10.50,1.17,102,0.00,-10.59,1.28,0.00,0.00
1034,0.00,0.00,13.21,13.28,198,0.17,919,0.00,0.00,100.00,16,11.00,1.17,100,0.00,-10.59,1.28,0.00,0.00
1291,0.00,0.00,13.32,13.36,198,0.17,919,0.00,0.00,100.00,16,11.50,1.18,100,0.00,-10.59,1.28,0.00,0.00
1548,0.00,0.00,13.44,13.36,198,0.17,934,0.00,0.00,100.00,16,10.50,1.18,100,0.00,-10.59,1.28,0.00,0.00
1805,0.00,0.00,13.44,13.36,198,0.17,930,0.00,0.00,100.00,16,11.00,1.17,100,0.00,-10.59,1.28,0.00,0.00
2062,0.00,0.00,13.44,13.36,198,0.17,940,0.00,0.00,100.00,16,10.00,1.20,100,0.00,-10.59,1.28,0.00,0.00
2319,0.00,0.00,13.32,13.36,198,0.17,926,0.00,0.00,100.00,16,12.00,1.19,100,0.00,-10.59,1.26,0.00,0.00
2576,0.00,0.00,13.32,13.36,198,0.17,931,0.00,0.00,100.00,16,12.00,1.19,100,0.00,-10.59,1.26,0.00,0.00
2834,0.00,0.00,13.44,13.36,198,0.17,942,0.00,0.00,100.00,16,11.00,1.21,100,0.00,-10.59,1.26,0.00,0.00
3091,0.00,0.00,13.32,13.36,198,0.17,941,0.00,0.00,100.00,16,11.50,1.20,100,0.00,-10.59,1.28,0.00,0.00
3349,0.00,0.00,13.44,13.28,198,0.17,948,0.00,0.00,100.00,16,11.50,1.22,100,0.00,-10.59,1.28,0.00,0.00
3606,0.00,0.00,13.44,13.28,198,0.16,961,0.00,0.00,100.00,16,11.00,1.22,100,0.00,-10.74,1.26,0.00,0.00
3863,0.00,0.00,13.32,13.28,198,0.16,960,0.00,0.00,100.00,16,10.50,1.23,100,0.00,-10.74,1.28,0.00,0.00
4120,0.00,0.00,13.32,13.20,198,0.16,965,0.00,0.00,100.00,16,10.50,1.24,100,0.00,-10.74,1.26,0.00,0.00
4377,0.00,0.00,13.21,13.28,198,0.16,964,0.00,0.00,100.00,16,11.50,1.23,100,0.00,-10.74,1.26,0.00,0.00
4635,0.00,0.00,13.21,13.28,198,0.16,962,0.00,0.00,100.00,16,12.00,1.23,100,0.00,-10.74,1.28,0.00,0.00
4892,0.00,0.00,13.21,13.28,198,0.16,966,0.00,0.00,100.00,16,11.50,1.24,100,0.00,-10.74,1.26,0.00,0.00
5149,0.00,0.00,13.09,13.28,198,0.16,968,0.00,0.00,100.00,16,11.50,1.25,100,0.00,-10.74,1.28,0.00,0.00
5406,0.00,0.00,13.09,13.28,198,0.16,957,0.00,0.00,100.00,16,13.00,1.23,100,0.00,-10.74,1.26,0.00,0.00
5663,-1.56,0.00,12.98,13.28,198,0.16,971,0.00,0.00,100.00,16,11.50,1.24,100,0.00,-10.74,1.26,0.00,0.00
5921,-5.47,0.00,12.98,13.28,198,0.16,978,0.00,0.00,100.00,16,11.50,1.25,100,0.00,-10.74,1.26,0.00,0.00
6178,-8.59,0.00,12.98,13.28,198,0.16,984,0.00,0.00,100.00,16,11.00,1.26,100,0.00,-10.74,1.26,0.00,0.00
6435,-12.50,0.00,12.86,13.28,198,0.16,976,0.00,0.00,100.00,16,12.00,1.25,100,0.00,-10.88,1.26,0.00,0.00
6692,-15.62,0.00,12.86,13.20,198,0.17,962,0.00,0.00,100.00,16,14.00,1.23,100,0.00,-10.88,1.28,0.00,0.00
6949,-17.97,0.00,12.98,13.20,198,0.16,979,0.00,0.00,100.00,16,11.50,1.26,100,0.00,-10.74,1.28,0.00,0.00
7206,-18.75,0.00,12.98,13.20,198,0.16,993,0.00,0.00,100.00,16,11.00,1.27,100,0.00,-10.88,1.26,0.00,0.00
7463,-19.53,0.00,12.98,13.12,198,0.16,985,0.00,0.00,100.00,16,11.50,1.26,100,0.00,-10.88,1.26,0.00,0.00
7720,-19.53,0.00,12.86,13.28,198,0.16,981,0.00,0.00,100.00,16,13.00,1.26,100,0.00,-10.88,1.28,0.00,0.00
7977,-19.53,0.00,12.98,13.36,198,0.16,984,0.00,0.00,100.00,16,12.00,1.26,100,0.00,-10.88,1.26,0.00,0.00
8234,-20.31,0.00,12.86,13.28,198,0.16,976,0.00,0.00,100.00,16,12.00,1.26,100,0.00,-10.88,1.28,0.00,0.00
8491,-20.31,0.00,12.86,13.36,198,0.16,974,0.00,0.00,100.00,16,13.50,1.25,100,0.00,-10.88,1.26,0.00,0.00
8748,-21.09,0.00,12.75,13.36,198,0.16,989,0.00,0.00,100.00,16,11.50,1.27,100,0.00,-10.88,1.26,0.00,0.00
9006,-21.09,0.00,12.75,13.36,198,0.16,988,0.00,0.00,100.00,16,12.00,1.26,100,0.00,-10.88,1.28,0.00,0.00
9263,-21.09,0.00,12.75,13.36,198,0.16,980,0.00,0.00,100.00,16,13.00,1.25,100,0.00,-10.88,1.26,0.00,0.00
9519,-21.09,0.00,12.86,13.36,198,0.16,985,0.00,0.00,100.00,16,13.00,1.26,100,0.00,-10.88,1.28,0.00,0.00
9777,-21.88,0.00,12.86,13.36,198,0.16,992,0.00,0.00,100.00,16,11.50,1.27,100,0.00,-10.88,1.26,0.00,0.00
