Time (msec),A/F Correction #1 (%),A/F Learning #1 (%),A/F Sensor #1 (AFR),Battery Voltage (V),Coolant Temperature (F),Engine Load (Calculated) (g/rev),Engine Speed (rpm),Feedback Knock Correction* (degrees),Fine Learning Knock Correction* (degrees),Fuel Pump Duty (%),IAM* (raw ecu value),Ignition Total Timing (degrees),Injector Duty Cycle (%),Intake Air Temperature (F),Knock Correction Advance (degrees),Manifold Relative Pressure (psi),Mass Airflow Sensor Voltage (V),Primary Wastegate Duty Cycle (%),Throttle Opening Angle (%)
0,-3.91,0.00,15.39,13.28,183,0.25,982,0.00,0.00,33.33,16,16.50,1.26,99,0.00,-10.30,1.32,0.00,0.00
257,-3.91,0.00,15.27,13.44,183,0.25,972,0.00,0.00,33.33,16,16.50,1.24,99,0.00,-10.16,1.32,0.00,0.00
514,-3.12,0.00,15.16,13.28,183,0.24,960,0.00,0.00,33.33,16,16.50,1.23,99,0.00,-10.16,1.30,0.00,0.00
770,-3.12,0.00,15.16,13.28,183,0.22,950,0.00,0.00,33.33,16,16.50,1.01,99,0.00,-10.30,1.26,0.00,0.00
1027,-3.12,0.00,15.27,13.28,183,0.27,916,0.00,0.00,33.33,16,19.00,0.98,99,0.00,-10.16,1.32,0.00,0.00
1284,-3.12,0.00,15.04,13.28,183,0.28,902,0.00,0.00,33.33,16,19.00,1.15,99,0.00,-10.01,1.32,0.00,0.00
1541,-3.12,0.00,15.04,13.36,183,0.27,938,0.00,0.00,33.33,16,12.50,1.22,99,0.00,-9.87,1.34,0.00,0.00
1797,-1.56,-0.78,15.27,13.36,183,0.54,942,0.00,0.00,33.33,16,19.00,1.62,99,0.00,-9.00,1.56,0.00,4.31
2053,0.00,-0.78,15.39,13.52,183,0.66,1208,0.00,0.00,33.33,16,10.50,2.32,99,0.00,-6.96,1.80,0.00,7.06
2311,-8.59,-0.78,13.67,13.36,183,0.62,1496,0.00,0.00,33.33,16,9.50,2.87,99,1.00,-6.82,1.82,0.00,7.06
2568,-11.72,-0.78,13.55,13.36,183,0.69,1366,0.00,0.00,33.33,16,9.50,2.62,99,0.50,-6.53,1.82,0.00,7.45
2824,-16.41,-0.78,13.78,13.36,183,0.79,1259,0.00,0.00,33.33,16,8.00,2.42,99,0.00,-5.66,1.84,0.00,7.84
3081,-18.75,-0.78,13.44,13.36,183,0.97,1189,0.00,0.00,33.33,16,8.00,2.54,99,0.00,-4.06,1.90,0.00,8.63
3337,-18.75,-0.78,13.32,13.44,183,0.94,1354,0.00,0.00,33.33,16,11.50,2.89,99,1.00,-4.06,1.94,0.00,9.41
3594,-18.75,-0.78,13.55,13.36,183,0.86,1500,0.00,0.00,33.33,16,32.50,3.20,99,2.00,-4.79,1.94,0.00,9.80
3850,-18.75,-0.78,13.90,13.36,183,0.83,1608,0.00,0.00,33.33,16,11.50,3.43,99,3.00,-5.37,1.94,0.00,9.41
4108,-18.75,-0.78,13.67,13.28,183,0.89,1537,0.00,0.00,33.33,16,11.00,3.28,99,2.00,-5.51,1.96,0.00,9.41
4364,-18.75,-0.78,13.67,13.44,183,0.93,1392,0.00,0.00,33.33,16,25.00,2.97,99,1.00,-4.64,1.92,0.00,9.80
4621,-18.75,-0.78,13.21,13.36,183,0.87,1491,0.00,0.00,33.33,16,30.50,3.27,99,2.00,-4.93,1.94,0.00,9.41
4877,-18.75,-0.78,13.78,13.36,183,0.80,1696,0.00,0.00,33.33,16,14.00,3.30,99,3.00,-5.51,1.96,0.00,9.80
5134,-18.75,-0.78,14.13,13.36,183,0.80,1708,0.00,0.00,33.33,16,7.00,3.28,99,3.50,-5.80,1.98,0.00,9.80
5391,-17.97,-0.78,14.13,13.36,183,0.78,1840,0.00,0.00,33.33,16,11.50,3.53,99,3.50,-6.38,1.98,0.00,9.80
5648,-17.19,-0.78,14.13,13.44,183,0.74,1972,0.00,0.00,33.33,16,27.50,3.79,99,3.00,-6.53,2.00,0.00,9.80
5905,-17.19,-0.78,14.01,13.44,183,0.75,2002,0.00,0.00,33.33,16,11.50,3.42,99,3.00,-6.67,2.02,0.00,9.80
6162,-17.19,-0.78,14.24,13.44,183,0.73,2125,0.00,0.00,33.33,16,27.00,3.63,99,3.00,-6.82,2.04,0.00,10.20
6418,-17.19,-0.78,14.13,13.44,183,0.74,2187,0.00,0.00,33.33,16,11.00,3.73,99,3.00,-6.82,2.04,0.00,10.20
6675,-17.19,-0.78,14.24,13.52,183,0.84,2255,0.00,0.00,33.33,16,28.00,4.33,99,3.50,-6.53,2.10,0.00,11.76
6932,-17.19,-0.78,13.55,13.44,183,0.84,2410,0.00,0.00,33.33,16,15.00,4.63,99,4.00,-6.38,2.14,0.00,12.16
7189,-17.19,-0.78,13.55,13.36,183,0.86,2503,0.00,0.00,33.33,16,36.50,4.81,100,4.50,-6.24,2.20,0.78,12.94
7445,-17.19,-0.78,14.01,13.36,183,0.85,2565,0.00,0.00,33.33,16,12.50,4.92,100,4.50,-6.24,2.24,1.18,13.73
7702,-17.19,-0.78,14.59,13.36,183,0.88,2672,0.00,0.00,33.33,16,33.50,5.15,100,4.50,-5.66,2.32,3.14,15.29
