Time (msec),A/F Correction #1 (%),A/F Learning #1 (%),A/F Sensor #1 (AFR),Battery Voltage (V),Coolant Temperature (F),Engine Load (Calculated) (g/rev),Engine Speed (rpm),Feedback Knock Correction* (degrees),Fine Learning Knock Correction* (degrees),Fuel Pump Duty (%),IAM* (raw ecu value),Ignition Total Timing (degrees),Injector Duty Cycle (%),Intake Air Temperature (F),Knock Correction Advance (degrees),Manifold Relative Pressure (psi),Mass Airflow Sensor Voltage (V),Primary Wastegate Duty Cycle (%),Throttle Opening Angle (%)
0,-19.53,0.00,15.39,12.88,199,0.23,925,0.00,0.00,100.00,16,15.00,1.18,151,0.00,-10.74,1.28,0.00,0.00
258,-18.75,0.00,15.39,13.20,199,0.23,922,0.00,0.00,100.00,16,14.50,1.18,151,0.00,-10.74,1.28,0.00,0.00
515,-17.97,0.00,15.50,13.20,199,0.23,946,0.00,0.00,100.00,16,11.50,1.21,151,0.00,-10.74,1.26,0.00,0.00
772,-17.19,0.00,15.39,13.12,199,0.23,946,0.00,0.00,100.00,16,11.00,1.22,151,0.00,-10.74,1.28,0.00,0.00
1030,-17.97,0.00,15.16,13.12,199,0.23,950,0.00,0.00,100.00,16,11.00,1.22,151,0.00,-10.74,1.30,0.00,0.00
1287,-17.97,0.00,14.93,13.12,199,0.23,948,0.00,0.00,100.00,16,12.00,1.21,151,0.00,-10.74,1.28,0.00,0.00
1544,-18.75,0.00,14.70,13.04,199,0.23,948,0.00,0.00,100.00,16,12.50,1.21,151,0.00,-10.74,1.28,0.00,0.00
1801,-18.75,0.00,14.70,13.04,199,0.24,944,0.00,0.00,100.00,16,13.00,1.21,151,0.00,-10.74,1.30,0.00,0.00
2058,-18.75,0.00,14.70,13.04,201,0.24,948,0.00,0.00,100.00,16,13.00,1.21,151,0.00,-10.59,1.28,0.00,0.00
2315,-19.53,0.00,14.70,13.04,201,0.23,961,0.00,0.00,100.00,16,11.50,1.23,151,0.00,-10.59,1.28,0.00,0.00
2571,-19.53,0.00,14.70,13.04,201,0.23,959,0.00,0.00,100.00,16,12.00,1.23,151,0.00,-10.59,1.30,0.00,0.00
2828,-19.53,0.00,14.70,13.04,201,0.24,950,0.00,0.00,100.00,16,13.00,1.22,151,0.00,-10.59,1.28,0.00,0.00
3084,-20.31,0.00,14.70,13.04,201,0.24,949,0.00,0.00,100.00,16,13.00,1.22,151,0.00,-10.59,1.28,0.00,0.00
3341,-20.31,0.00,14.81,13.04,201,0.23,962,0.00,0.00,100.00,16,13.00,1.22,151,0.00,-10.59,1.30,0.00,0.00
3597,-20.31,0.00,14.81,13.20,201,0.23,954,0.00,0.00,100.00,16,12.00,1.23,151,0.00,-10.59,1.28,0.00,0.00
3855,-20.31,0.00,15.04,13.20,201,0.23,964,0.00,0.00,100.00,16,13.00,1.22,151,0.00,-10.59,1.28,0.00,0.00
4112,-20.31,0.00,15.04,13.12,201,0.22,966,0.00,0.00,100.00,16,13.00,1.22,151,0.00,-10.59,1.30,0.00,0.00
4368,-19.53,0.00,15.27,13.12,201,0.24,957,0.00,0.00,100.00,16,13.50,1.21,151,0.00,-10.59,1.28,0.00,0.00
4626,-17.97,0.00,15.50,13.12,201,0.23,961,0.00,0.00,100.00,16,12.00,1.23,151,0.00,-10.59,1.28,0.00,0.00
4883,-17.97,0.00,15.39,13.12,201,0.23,968,0.00,0.00,100.00,16,11.50,1.24,151,0.00,-10.59,1.30,0.00,0.00
5140,-17.19,0.00,15.27,13.04,201,0.23,962,0.00,0.00,100.00,16,13.00,1.23,151,0.00,-10.74,1.28,0.00,0.00
5397,-17.19,0.00,15.16,13.04,201,0.23,968,0.00,0.00,100.00,16,12.00,1.24,151,0.00,-10.74,1.30,0.00,0.00
5653,-17.19,0.00,15.04,13.04,201,0.23,972,0.00,0.00,100.00,16,12.00,1.24,151,0.00,-10.74,1.28,0.00,0.00
5911,-17.19,0.00,15.04,13.04,201,0.23,959,0.00,0.00,100.00,16,14.00,1.23,151,0.00,-10.74,1.30,0.00,0.00
6168,-17.97,0.00,14.81,13.04,201,0.23,970,0.00,0.00,100.00,16,12.50,1.24,151,0.00,-10.74,1.28,0.00,0.00
6425,-17.97,0.00,14.81,13.04,201,0.23,976,0.00,0.00,100.00,16,12.50,1.24,151,0.00,-10.74,1.30,0.00,0.00
6682,-18.75,0.00,14.70,13.04,201,0.23,958,0.00,0.00,100.00,16,13.50,1.23,151,0.00,-10.74,1.28,0.00,0.00
6939,-19.53,0.00,14.59,13.20,201,0.23,969,0.00,0.00,100.00,16,13.00,1.23,151,0.00,-10.74,1.28,0.00,0.00
7196,-19.53,0.00,14.59,13.04,201,0.23,953,0.00,0.00,100.00,16,14.00,1.22,151,0.00,-10.59,1.28,0.00,0.00
7453,-19.53,0.00,14.70,13.04,201,0.25,958,0.00,0.00,100.00,16,12.50,1.23,151,0.00,-10.59,1.28,0.00,0.00
7710,-19.53,0.00,14.93,13.04,201,0.23,968,0.00,0.00,100.00,16,11.50,1.24,151,0.00,-10.59,1.30,0.00,0.00
7967,-17.97,0.00,15.39,13.04,201,0.23,965,0.00,0.00,100.00,16,12.50,1.24,151,0.00,-10.59,1.28,0.00,0.00
8225,-17.19,0.00,15.50,13.04,201,0.24,962,0.00,0.00,100.00,16,13.00,1.23,151,0.00,-10.59,1.30,0.00,0.00
8482,-17.19,0.00,15.39,13.04,201,0.23,993,0.00,0.00,100.00,16,10.00,1.27,151,0.00,-10.59,1.28,0.00,0.00
