Time (msec),A/F Correction #1 (%),A/F Learning #1 (%),A/F Sensor #1 (AFR),Battery Voltage (V),Coolant Temperature (F),Engine Load (Calculated) (g/rev),Engine Speed (rpm),Feedback Knock Correction* (degrees),Fine Learning Knock Correction* (degrees),Fuel Pump Duty (%),IAM* (raw ecu value),Ignition Total Timing (degrees),Injector Duty Cycle (%),Intake Air Temperature (F),Manifold Absolute Pressure (psi),Manifold Relative Pressure (psi),Mass Airflow Sensor Voltage (V),Primary Wastegate Duty Cycle (%),Throttle Opening Angle (%),CL/OL Fueling* (status)
0,-16.41,-4.69,14.36,12.80,180,0.24,836,0.00,0.00,33.33,16,13.50,1.07,106,4.64,-10.01,1.26,0.00,0.00,8
267,-17.19,-4.69,14.59,12.96,180,0.25,836,0.00,0.00,33.33,16,13.00,1.07,106,4.79,-9.87,1.28,0.00,0.00,8
533,-17.19,-4.69,14.59,13.44,180,0.25,841,0.00,0.00,33.33,16,12.00,0.90,106,4.79,-9.87,1.26,0.00,0.00,8
799,-17.19,-4.69,14.59,13.60,180,0.25,827,0.00,0.00,33.33,16,14.00,0.88,106,4.93,-9.72,1.26,0.00,0.00,8
1065,-17.19,-4.69,14.70,13.60,180,0.26,812,0.00,0.00,33.33,16,15.50,0.87,106,4.93,-9.72,1.26,0.00,0.00,8
1331,-16.41,-4.69,14.93,13.52,180,0.27,792,0.00,0.00,33.33,16,16.50,0.85,106,5.08,-9.58,1.28,0.00,0.00,8
1596,-14.84,-4.69,15.50,13.52,180,0.27,788,0.00,0.00,33.33,16,16.00,0.84,106,5.22,-9.43,1.28,0.00,0.00,8
1863,-12.50,-4.69,16.08,13.60,180,0.29,765,0.00,0.00,33.33,16,17.50,0.82,106,5.37,-9.29,1.28,0.00,0.00,8
2128,-10.16,-4.69,16.08,13.44,180,0.38,727,0.00,0.00,33.33,16,20.00,0.95,106,5.95,-8.71,1.36,0.00,0.00,8
2394,-7.03,-4.69,17.00,13.92,180,0.33,854,0.00,0.00,33.33,16,6.00,1.09,106,6.53,-8.13,1.40,0.00,0.00,8
2660,-2.34,-4.69,17.46,13.68,180,0.33,839,0.00,0.00,33.33,16,9.00,1.07,106,6.24,-8.42,1.36,0.00,0.00,8
2926,2.34,-4.69,17.80,13.76,180,0.29,881,0.00,0.00,33.33,16,6.00,1.13,106,6.09,-8.56,1.36,0.00,0.00,8
3192,6.25,-4.69,17.11,13.68,180,0.22,937,0.00,0.00,33.33,16,4.50,1.20,106,5.37,-9.29,1.26,0.00,0.00,8
3458,7.03,-4.69,16.42,13.60,180,0.25,872,0.00,0.00,33.33,16,10.50,1.12,106,5.08,-9.58,1.28,0.00,0.00,8
3723,8.59,-4.69,15.62,13.60,180,0.25,869,0.00,0.00,33.33,16,11.50,1.11,106,4.93,-9.72,1.30,0.00,0.00,8
3989,10.16,-4.69,15.04,13.68,180,0.25,874,0.00,0.00,33.33,16,11.50,1.12,106,4.93,-9.72,1.26,0.00,0.00,8
4255,10.94,-4.69,14.81,13.68,180,0.24,885,0.00,0.00,33.33,16,10.50,1.13,106,4.79,-9.87,1.26,0.00,0.00,8
4520,11.72,-4.69,14.70,13.52,180,0.23,873,0.00,0.00,33.33,16,12.50,1.12,106,4.64,-10.01,1.26,0.00,0.00,8
4786,11.72,-4.69,14.59,13.52,180,0.23,880,0.00,0.00,33.33,16,12.00,1.13,106,4.64,-10.01,1.24,0.00,0.00,8
5052,10.94,-4.69,14.59,13.52,180,0.22,869,0.00,0.00,33.33,16,12.50,0.93,106,4.50,-10.16,1.24,0.00,0.00,8
5318,10.16,-4.69,14.47,13.44,180,0.22,860,0.00,0.00,33.33,16,15.50,0.92,106,4.50,-10.16,1.24,0.00,0.00,8
5584,9.38,-4.69,14.24,13.36,180,0.22,841,0.00,0.00,33.33,16,15.00,0.90,106,4.50,-10.16,1.24,0.00,0.00,8
5849,7.81,-4.69,14.01,13.36,180,0.23,828,0.00,0.00,33.33,16,16.00,1.07,106,4.50,-10.16,1.22,0.00,0.00,8
6115,6.25,-4.69,13.90,13.36,180,0.23,814,0.00,0.00,33.33,16,16.50,1.05,106,4.50,-10.16,1.22,0.00,0.00,8
6380,5.47,-4.69,14.01,13.44,180,0.22,819,0.00,0.00,33.33,16,15.50,0.87,106,4.64,-10.01,1.24,0.00,0.00,8
6646,4.69,-4.69,14.01,13.52,180,0.22,803,0.00,0.00,33.33,16,16.50,0.86,106,4.50,-10.16,1.22,0.00,0.00,8
6912,3.91,-4.69,14.24,13.52,180,0.23,803,0.00,0.00,33.33,16,15.50,0.86,106,4.64,-10.01,1.24,0.00,0.00,8
7178,2.34,-4.69,13.90,13.60,180,0.24,800,0.00,0.00,33.33,16,15.00,0.85,106,4.79,-9.87,1.24,0.00,0.00,8
7444,0.78,-4.69,13.90,13.60,180,0.25,792,0.00,0.00,33.33,16,15.00,0.85,106,4.93,-9.72,1.24,0.00,0.00,8
7710,0.78,-4.69,14.36,13.44,180,0.25,786,0.00,0.00,33.33,16,15.00,0.84,106,4.93,-9.72,1.24,0.00,0.00,8
7976,0.78,-4.69,14.59,13.44,180,0.26,770,0.00,0.00,33.33,16,16.50,0.98,106,5.08,-9.58,1.26,0.00,0.00,8
8242,1.56,-4.69,14.93,13.44,180,0.28,792,0.00,0.00,33.33,16,13.00,1.01,106,5.22,-9.43,1.30,0.00,0.00,8
8507,3.12,-4.69,15.62,13.44,180,0.28,794,0.00,0.00,33.33,16,13.00,1.02,106,5.37,-9.29,1.30,0.00,0.00,8
8773,5.47,-4.69,15.96,13.36,180,0.26,823,0.00,0.00,33.33,16,10.00,1.05,106,5.37,-9.29,1.28,0.00,0.00,8
9039,7.03,-4.69,16.08,13.28,180,0.25,840,0.00,0.00,33.33,16,9.50,1.08,106,5.08,-9.43,1.24,0.00,0.00,8
9304,8.59,-4.69,16.08,13.28,180,0.25,838,0.00,0.00,33.33,16,10.00,1.07,106,5.08,-9.58,1.26,0.00,0.00,8
9570,9.38,-4.69,15.62,13.28,180,0.24,842,0.00,0.00,33.33,16,10.50,1.08,106,4.93,-9.72,1.26,0.00,0.00,8
9837,8.59,-4.69,15.04,13.36,180,0.24,852,0.00,0.00,33.33,16,10.50,1.09,106,4.79,-9.87,1.24,0.00,0.00,8
10103,8.59,-4.69,14.70,13.36,180,0.24,826,0.00,0.00,33.33,16,13.00,1.06,106,4.79,-9.87,1.24,0.00,0.00,8
10368,7.81,-4.69,14.59,13.44,180,0.24,829,0.00,0.00,33.33,16,12.50,1.06,106,4.79,-9.87,1.26,0.00,0.00,8
10634,8.59,-4.69,14.70,13.52,180,0.24,819,0.00,0.00,33.33,16,13.50,1.05,106,4.79,-9.87,1.24,0.00,0.00,8
10900,7.81,-4.69,14.81,13.52,180,0.24,824,0.00,0.00,33.33,16,12.50,1.05,106,4.79,-9.87,1.24,0.00,0.00,8
11166,7.81,-4.69,14.59,13.52,180,0.24,801,0.00,0.00,33.33,16,15.00,1.03,106,4.79,-9.87,1.22,0.00,0.00,8
11431,7.03,-4.69,14.59,13.52,180,0.25,802,0.00,0.00,33.33,16,14.00,1.02,106,4.93,-9.72,1.24,0.00,0.00,8
11697,7.03,-4.69,14.70,13.44,180,0.25,810,0.00,0.00,33.33,16,13.00,1.04,106,4.93,-9.72,1.24,0.00,0.00,8
11963,7.03,-4.69,14.70,13.36,180,0.24,811,0.00,0.00,33.33,16,13.00,1.04,106,4.79,-9.87,1.24,0.00,0.00,8
12228,7.03,-4.69,14.59,13.36,180,0.23,821,0.00,0.00,33.33,16,12.00,1.05,106,4.79,-9.87,1.24,0.00,0.00,8
12494,6.25,-4.69,14.70,13.36,180,0.24,818,0.00,0.00,33.33,16,12.50,1.05,106,4.79,-9.87,1.24,0.00,0.00,8
12760,7.03,-4.69,14.70,13.36,181,0.24,808,0.00,0.00,33.33,16,13.50,1.03,106,4.79,-9.87,1.24,0.00,0.00,8
13025,6.25,-4.69,14.59,13.44,180,0.24,802,0.00,0.00,33.33,16,14.00,1.03,106,4.93,-9.72,1.26,0.00,0.00,8
13291,5.47,-4.69,14.59,13.52,180,0.23,826,0.00,0.00,33.33,16,11.50,0.88,106,4.79,-9.87,1.24,0.00,0.00,8
13556,5.47,-4.69,14.59,13.52,181,0.24,807,0.00,0.00,33.33,16,13.00,0.86,106,4.79,-9.87,1.24,0.00,0.00,8
13846,6.25,-4.69,14.81,13.52,181,0.25,799,0.00,0.00,33.33,16,14.00,1.02,106,4.93,-9.87,1.26,0.00,0.00,8
14113,6.25,-4.69,14.93,13.60,181,0.25,808,0.00,0.00,33.33,16,13.00,1.04,106,4.93,-9.72,1.26,0.00,0.00,8
14379,6.25,-4.69,14.81,13.52,181,0.24,815,0.00,0.00,33.33,16,12.00,1.05,106,4.93,-9.72,1.24,0.00,0.00,8
14644,7.03,-4.69,15.04,13.52,181,0.23,820,0.00,0.00,33.33,16,11.50,0.88,106,4.79,-9.87,1.24,0.00,0.00,8
14910,7.03,-4.69,15.04,13.44,181,0.23,810,0.00,0.00,33.33,16,13.00,0.86,106,4.79,-9.87,1.22,0.00,0.00,8
15176,7.03,-4.69,14.93,13.36,181,0.24,804,0.00,0.00,33.33,16,13.00,1.03,106,4.79,-9.87,1.22,0.00,0.00,8
15441,7.03,-4.69,14.93,13.36,181,0.24,801,0.00,0.00,33.33,16,13.50,1.02,106,4.79,-9.87,1.24,0.00,0.00,8
15707,7.81,-4.69,14.93,13.36,181,0.25,798,0.00,0.00,33.33,16,13.50,1.02,106,4.93,-9.72,1.24,0.00,0.00,8
15973,6.25,-4.69,14.59,13.36,181,0.24,807,0.00,0.00,33.33,16,13.00,1.03,106,4.93,-9.72,1.24,0.00,0.00,8
16239,6.25,-4.69,14.59,13.44,181,0.24,813,0.00,0.00,33.33,16,12.00,1.04,106,4.79,-9.87,1.24,0.00,0.00,8
16505,6.25,-4.69,14.70,13.44,181,0.25,795,0.00,0.00,33.33,16,14.00,1.02,106,4.93,-9.72,1.24,0.00,0.00,8
16770,6.25,-4.69,14.81,13.44,181,0.25,804,0.00,0.00,33.33,16,13.00,1.03,106,4.93,-9.72,1.24,0.00,0.00,8
17036,6.25,-4.69,14.70,13.52,181,0.25,804,0.00,0.00,33.33,16,11.00,1.03,106,4.93,-9.72,1.24,0.00,0.00,8
17302,5.47,-4.69,14.59,13.60,181,0.24,826,0.00,0.00,33.33,16,11.50,0.88,106,4.93,-9.72,1.24,0.00,0.00,8
17568,7.03,-4.69,14.93,13.60,181,0.24,814,0.00,0.00,33.33,16,13.50,0.87,106,4.79,-9.87,1.26,0.00,0.00,8
17833,7.03,-4.69,15.04,13.60,181,0.25,808,0.00,0.00,33.33,16,12.00,1.03,106,4.93,-9.72,1.26,0.00,0.00,8
18099,7.03,-4.69,14.93,13.60,181,0.25,804,0.00,0.00,33.33,16,13.50,1.03,106,4.93,-9.72,1.26,0.00,0.00,8
18365,7.03,-4.69,14.93,13.60,181,0.25,815,0.00,0.00,33.33,16,12.00,1.05,106,4.93,-9.72,1.24,0.00,0.00,8
18631,7.81,-4.69,15.04,13.68,181,0.24,822,0.00,0.00,33.33,16,11.50,1.05,106,4.93,-9.72,1.24,0.00,0.00,8
18897,7.03,-4.69,14.93,13.68,181,0.24,827,0.00,0.00,33.33,16,10.50,0.88,106,4.79,-9.87,1.24,0.00,0.00,8
19163,7.03,-4.69,14.81,13.36,181,0.23,824,0.00,0.00,33.33,16,12.00,0.88,106,4.79,-9.87,1.24,0.00,0.00,8
19428,7.03,-4.69,14.81,13.36,181,0.23,818,0.00,0.00,33.33,16,13.00,0.87,106,4.79,-9.87,1.24,0.00,0.00,8
19694,7.03,-4.69,14.70,13.36,181,0.23,821,0.00,0.00,33.33,16,12.50,1.05,106,4.79,-9.87,1.24,0.00,0.00,8
19959,6.25,-4.69,14.59,13.44,181,0.24,809,0.00,0.00,33.33,16,14.00,1.04,106,4.79,-9.87,1.24,0.00,0.00,8
20225,5.47,-4.69,14.36,13.52,181,0.24,817,0.00,0.00,33.33,16,13.00,0.87,106,4.79,-9.87,1.24,0.00,0.00,8
20491,5.47,-3.91,14.47,13.52,181,0.24,811,0.00,0.00,33.33,16,13.00,0.87,106,4.93,-9.72,1.24,0.00,0.00,8
20757,5.47,-3.91,14.70,13.52,181,0.24,805,0.00,0.00,33.33,16,13.50,1.03,106,4.93,-9.72,1.24,0.00,0.00,8
21022,5.47,-3.91,14.81,13.60,181,0.25,806,0.00,0.00,33.33,16,13.00,1.03,106,4.93,-9.72,1.24,0.00,0.00,8
21288,5.47,-3.91,14.81,13.52,181,0.24,815,0.00,0.00,33.33,16,12.50,1.04,106,4.93,-9.72,1.24,0.00,0.00,8
21554,6.25,-3.91,15.04,13.60,181,0.23,846,0.00,0.00,33.33,16,9.50,0.90,106,4.79,-9.87,1.24,0.00,0.00,8
21819,6.25,-3.91,15.04,13.60,181,0.24,804,0.00,0.00,33.33,16,14.00,0.86,106,4.79,-9.87,1.24,0.00,0.00,8
22085,6.25,-3.91,14.93,13.60,181,0.25,792,0.00,0.00,33.33,16,14.00,0.84,106,4.93,-9.87,1.26,0.00,0.00,8
22351,6.25,-3.91,14.81,13.60,181,0.24,802,0.00,0.00,33.33,16,13.50,1.03,106,4.93,-9.72,1.26,0.00,0.00,8
22617,7.03,-3.91,14.93,13.68,181,0.23,822,0.00,0.00,33.33,16,11.00,0.88,106,4.79,-9.72,1.24,0.00,0.00,8
22883,6.25,-3.91,14.70,13.68,181,0.24,810,0.00,0.00,33.33,16,12.00,0.86,106,4.79,-9.87,1.24,0.00,0.00,8
23149,5.47,-3.91,14.59,13.60,181,0.24,808,0.00,0.00,33.33,16,13.00,0.87,106,4.79,-9.87,1.24,0.00,0.00,8
23415,5.47,-3.91,14.59,13.60,181,0.25,800,0.00,0.00,33.33,16,14.00,0.84,106,4.93,-9.72,1.24,0.00,0.00,8
23681,5.47,-3.91,14.81,13.44,181,0.24,808,0.00,0.00,33.33,16,13.00,0.86,106,4.93,-9.72,1.24,0.00,0.00,8
23947,5.47,-3.91,14.81,13.44,181,0.25,804,0.00,0.00,33.33,16,13.00,0.87,106,4.93,-9.72,1.24,0.00,0.00,8
24212,5.47,-3.91,14.70,13.52,181,0.24,808,0.00,0.00,33.33,16,13.00,0.86,106,4.93,-9.72,1.24,0.00,0.00,8
24477,5.47,-3.91,14.70,13.52,181,0.25,814,0.00,0.00,33.33,16,12.00,1.04,106,4.93,-9.72,1.24,0.00,0.00,8
24743,6.25,-3.91,15.04,13.52,181,0.24,821,0.00,0.00,33.33,16,11.50,1.05,106,4.93,-9.72,1.24,0.00,0.00,8
25009,6.25,-3.91,15.04,13.52,181,0.24,824,0.00,0.00,33.33,16,11.50,1.06,106,4.93,-9.72,1.24,0.00,0.00,8
25275,6.25,-3.91,14.93,13.52,181,0.23,832,0.00,0.00,33.33,16,11.00,1.06,106,4.79,-9.87,1.24,0.00,0.00,8
25541,6.25,-3.91,14.93,13.52,181,0.23,823,0.00,0.00,33.33,16,12.00,0.88,106,4.79,-9.87,1.24,0.00,0.00,8
25807,6.25,-3.91,14.81,13.60,181,0.23,832,0.00,0.00,33.33,16,11.50,0.89,106,4.79,-9.87,1.22,0.00,0.00,8
26074,6.25,-3.91,14.70,13.52,181,0.23,812,0.00,0.00,33.33,16,13.50,0.87,106,4.79,-9.87,1.22,0.00,0.00,8
26339,5.47,-3.91,14.59,13.52,181,0.24,814,0.00,0.00,33.33,16,13.50,0.87,106,4.79,-9.87,1.24,0.00,0.00,8
26604,5.47,-3.91,14.70,13.52,181,0.24,816,0.00,0.00,33.33,16,12.00,0.87,106,4.79,-9.87,1.24,0.00,0.00,8
26870,5.47,-3.91,14.81,13.60,181,0.24,821,0.00,0.00,33.33,16,11.50,0.88,106,4.79,-9.87,1.24,0.00,0.00,8
27136,4.69,-3.91,14.59,13.60,181,0.24,828,0.00,0.00,33.33,16,13.50,0.88,106,4.79,-9.87,1.24,0.00,0.00,8
27401,4.69,-3.91,14.59,13.52,181,0.25,791,0.00,0.00,33.33,16,14.00,1.01,106,4.93,-9.87,1.26,0.00,0.00,8
27667,5.47,-3.91,14.81,13.52,181,0.24,813,0.00,0.00,33.33,16,14.00,1.04,106,4.93,-9.72,1.24,0.00,0.00,8
27933,6.25,-3.91,15.04,13.44,181,0.24,812,0.00,0.00,33.33,16,13.00,1.05,106,4.79,-9.87,1.24,0.00,0.00,8
28199,6.25,-3.91,14.93,13.44,181,0.23,818,0.00,0.00,33.33,16,12.00,1.06,106,4.79,-9.87,1.24,0.00,0.00,8
28465,6.25,-3.91,14.93,13.60,181,0.24,818,0.00,0.00,33.33,16,12.00,1.04,106,4.79,-9.87,1.24,0.00,0.00,8
28730,6.25,-3.91,14.93,13.60,181,0.24,806,0.00,0.00,33.33,16,13.50,1.04,106,4.79,-9.87,1.22,0.00,0.00,8
28995,5.47,-3.91,14.70,13.52,181,0.25,793,0.00,0.00,33.33,16,15.00,1.02,106,4.79,-9.87,1.24,0.00,0.00,8
29262,5.47,-3.91,14.59,13.68,181,0.25,807,0.00,0.00,33.33,16,13.00,0.86,106,4.93,-9.72,1.24,0.00,0.00,8
29528,5.47,-3.91,14.81,13.60,181,0.24,814,0.00,0.00,33.33,16,11.50,0.87,106,4.79,-9.87,1.24,0.00,0.00,8
29794,5.47,-3.91,14.81,13.60,181,0.24,819,0.00,0.00,33.33,16,11.50,0.87,106,4.79,-9.87,1.24,0.00,0.00,8
30059,5.47,-3.91,14.59,13.60,181,0.24,808,0.00,0.00,33.33,16,13.00,0.86,106,4.79,-9.87,1.24,0.00,0.00,8
30325,4.69,-3.91,14.59,13.60,181,0.24,812,0.00,0.00,33.33,16,12.50,0.87,106,4.93,-9.72,1.24,0.00,0.00,8
30591,4.69,-3.91,14.81,13.60,181,0.25,802,0.00,0.00,33.33,16,13.50,1.03,106,4.93,-9.72,1.26,0.00,0.00,8
30857,5.47,-3.91,14.93,13.60,181,0.25,817,0.00,0.00,33.33,16,11.50,1.05,106,4.93,-9.72,1.26,0.00,0.00,8
31123,5.47,-3.12,14.81,13.52,181,0.25,814,0.00,0.00,33.33,16,12.00,1.04,106,4.93,-9.72,1.26,0.00,0.00,8
31388,5.47,-3.12,14.81,13.44,181,0.24,828,0.00,0.00,33.33,16,11.50,1.06,106,4.93,-9.72,1.26,0.00,0.00,8
31654,6.25,-3.12,15.04,13.44,181,0.25,814,0.00,0.00,33.33,16,13.00,1.04,106,4.93,-9.72,1.26,0.00,0.00,8
31919,6.25,-3.12,15.04,13.44,181,0.24,823,0.00,0.00,33.33,16,11.50,1.05,106,4.93,-9.72,1.24,0.00,0.00,8
32185,6.25,-3.12,14.81,13.36,181,0.23,836,0.00,0.00,33.33,16,11.00,1.07,108,4.79,-9.87,1.24,0.00,0.00,8
32451,6.25,-3.12,14.81,13.36,181,0.23,829,0.00,0.00,33.33,16,12.50,1.06,108,4.79,-9.87,1.24,0.00,0.00,8
32717,6.25,-3.12,14.81,13.36,181,0.23,834,0.00,0.00,33.33,16,11.50,1.07,108,4.79,-9.87,1.24,0.00,0.00,8
32982,5.47,-3.12,14.70,13.36,181,0.24,808,0.00,0.00,33.33,16,14.00,1.03,108,4.79,-9.87,1.24,0.00,3.53,8
33247,4.69,-3.12,14.59,13.84,181,0.27,915,0.00,0.00,33.33,16,4.50,1.28,108,5.51,-9.14,1.38,0.00,0.00,8
33514,5.47,-3.12,14.81,13.60,181,0.19,946,0.00,0.00,33.33,16,4.50,1.21,108,4.79,-9.87,1.22,0.00,0.00,8
33780,6.25,-3.12,15.04,13.60,181,0.23,868,0.00,0.00,33.33,16,12.50,0.93,108,4.50,-10.16,1.24,0.00,0.00,8
34046,5.47,-3.12,14.81,13.60,183,0.23,853,0.00,0.00,33.33,16,14.00,0.91,108,4.50,-10.16,1.24,0.00,0.00,8
34312,4.69,-3.12,14.59,13.44,183,0.24,826,0.00,0.00,33.33,16,16.50,0.88,108,4.64,-10.01,1.24,0.00,0.00,8
34578,3.91,-3.12,14.36,13.52,183,0.23,839,0.00,0.00,33.33,16,14.00,0.89,108,4.64,-10.01,1.24,0.00,0.00,8
34843,3.91,-3.12,14.59,13.44,183,0.23,826,0.00,0.00,33.33,16,15.50,0.88,108,4.64,-10.01,1.24,0.00,0.00,8
35109,3.91,-3.12,14.70,13.44,183,0.23,816,0.00,0.00,33.33,16,15.50,0.87,108,4.64,-10.01,1.24,0.00,0.00,8
35375,3.91,-3.12,14.81,13.44,183,0.23,818,0.00,0.00,33.33,16,14.50,0.87,108,4.64,-10.01,1.24,0.00,0.00,8
35641,3.91,-3.12,14.81,13.36,183,0.23,814,0.00,0.00,33.33,16,15.50,1.04,108,4.64,-10.01,1.22,0.00,0.00,8
35907,3.12,-3.12,14.59,13.28,183,0.23,794,0.00,0.00,33.33,16,15.50,1.02,108,4.79,-10.01,1.22,0.00,0.00,8
36173,3.12,-3.12,14.59,13.36,183,0.23,810,0.00,0.00,33.33,16,15.00,1.04,108,4.79,-9.87,1.22,0.00,0.00,8
36439,3.12,-3.12,14.70,13.44,183,0.24,800,0.00,0.00,33.33,16,14.00,0.85,108,4.79,-9.87,1.24,0.00,0.00,8
36704,3.12,-3.12,14.81,13.36,183,0.25,784,0.00,0.00,33.33,16,15.50,1.00,108,4.79,-9.87,1.24,0.00,0.00,8
36970,2.34,-3.12,14.70,13.52,183,0.25,786,0.00,0.00,33.33,16,14.00,1.01,108,4.93,-9.72,1.24,0.00,0.00,8
37236,2.34,-3.12,14.70,13.52,183,0.24,799,0.00,0.00,33.33,16,13.50,1.03,108,4.93,-9.72,1.24,0.00,0.00,8
37502,4.69,-3.12,15.27,13.60,183,0.25,812,0.00,0.00,33.33,16,11.50,1.02,108,4.93,-9.72,1.24,0.00,0.00,8
37767,4.69,-3.12,15.39,13.52,183,0.24,814,0.00,0.00,33.33,16,12.00,1.04,108,4.93,-9.72,1.24,0.00,0.00,8
38033,5.47,-3.12,15.16,13.44,183,0.24,810,0.00,0.00,33.33,16,12.50,1.04,108,4.93,-9.72,1.24,0.00,0.00,8
38299,6.25,-3.12,15.27,13.44,183,0.25,808,0.00,0.00,33.33,16,13.00,1.03,108,4.93,-9.72,1.26,0.00,0.00,8
38565,6.25,-3.12,15.27,13.44,183,0.24,822,0.00,0.00,33.33,16,11.50,1.05,108,4.93,-9.72,1.26,0.00,0.00,8
38830,6.25,-3.12,14.93,13.36,183,0.23,836,0.00,0.00,33.33,16,10.50,1.07,108,4.93,-9.72,1.26,0.00,0.00,8
39096,7.03,-3.12,14.93,13.36,183,0.24,817,0.00,0.00,33.33,16,13.00,1.05,108,4.79,-9.87,1.24,0.00,0.00,8
39362,7.03,-3.12,14.93,13.36,183,0.24,821,0.00,0.00,33.33,16,12.50,1.05,108,4.79,-9.87,1.24,0.00,0.00,8
39628,6.25,-3.12,14.70,13.36,183,0.23,828,0.00,0.00,33.33,16,11.50,1.06,108,4.79,-9.87,1.22,0.00,0.00,8
39894,5.47,-3.12,14.59,13.44,183,0.23,823,0.00,0.00,33.33,16,12.50,1.05,108,4.64,-9.87,1.22,0.00,0.00,8
40160,5.47,-3.12,14.47,13.52,183,0.22,831,0.00,0.00,33.33,16,11.50,0.89,108,4.64,-10.01,1.24,0.00,0.00,8
40426,5.47,-3.12,14.59,13.52,183,0.23,809,0.00,0.00,33.33,16,14.00,0.86,108,4.64,-10.01,1.24,0.00,0.00,8
40691,4.69,-3.12,14.70,13.52,183,0.23,794,0.00,0.00,33.33,16,15.00,0.85,108,4.64,-10.01,1.24,0.00,0.00,8
40957,4.69,-3.12,14.70,13.52,183,0.25,778,0.00,0.00,33.33,16,16.00,0.83,108,4.79,-9.87,1.24,0.00,0.00,8
41223,4.69,-3.12,14.70,13.60,183,0.25,794,0.00,0.00,33.33,16,13.00,1.02,108,5.08,-9.72,1.26,0.00,0.00,8
41488,4.69,-3.12,14.81,13.60,183,0.25,807,0.00,0.00,33.33,16,12.50,1.03,108,5.08,-9.58,1.26,0.00,0.00,8
41754,5.47,-3.12,15.04,13.60,183,0.24,826,0.00,0.00,33.33,16,11.50,1.06,108,4.93,-9.72,1.26,0.00,0.00,8
42020,5.47,-3.12,15.04,13.60,183,0.24,822,0.00,0.00,33.33,16,11.50,1.04,108,4.93,-9.72,1.24,0.00,0.00,8
42286,7.03,-3.12,15.27,13.60,183,0.24,816,0.00,0.00,33.33,16,12.00,1.05,108,4.93,-9.72,1.24,0.00,0.00,8
42552,6.25,-3.12,14.93,13.28,183,0.24,814,0.00,0.00,33.33,16,12.50,1.06,108,4.79,-9.87,1.24,0.00,0.00,8
42817,5.47,-3.12,14.70,13.28,183,0.24,816,0.00,0.00,33.33,16,11.00,0.88,108,4.79,-9.87,1.24,0.00,0.00,8
43083,5.47,-3.12,14.59,13.36,183,0.24,814,0.00,0.00,33.33,16,13.00,1.03,108,4.79,-9.87,1.24,0.00,0.00,8
43349,6.25,-3.12,14.81,13.36,183,0.24,818,0.00,0.00,33.33,16,12.50,1.05,108,4.79,-9.87,1.24,0.00,0.00,8
43615,5.47,-3.12,14.81,13.44,183,0.24,814,0.00,0.00,33.33,16,13.00,1.04,108,4.93,-9.72,1.26,0.00,0.00,8
43881,4.69,-3.12,14.59,13.44,183,0.25,804,0.00,0.00,33.33,16,13.50,1.03,108,4.93,-9.72,1.24,0.00,0.00,8
44146,4.69,-3.12,14.59,13.44,183,0.24,823,0.00,0.00,33.33,16,11.50,1.05,108,4.93,-9.72,1.24,0.00,0.00,8
44412,5.47,-3.12,14.81,13.52,183,0.24,806,0.00,0.00,33.33,16,13.00,1.03,108,4.93,-9.72,1.26,0.00,0.00,8
44677,5.47,-3.12,14.93,13.52,183,0.24,821,0.00,0.00,33.33,16,11.50,1.05,108,4.79,-9.87,1.26,0.00,0.00,8
44943,5.47,-3.12,14.81,13.52,183,0.23,819,0.00,0.00,33.33,16,12.00,1.05,108,4.79,-9.87,1.24,0.00,0.00,8
45209,5.47,-3.12,14.81,13.52,183,0.24,815,0.00,0.00,33.33,16,13.00,0.87,108,4.79,-9.87,1.24,0.00,0.00,8
45475,5.47,-3.12,14.81,13.52,183,0.23,818,0.00,0.00,33.33,16,13.50,1.05,108,4.79,-9.87,1.22,0.00,0.00,8
45741,4.69,-3.12,14.70,13.52,183,0.42,818,0.00,0.00,33.33,16,26.00,1.05,108,6.67,-9.14,1.56,0.00,6.27,8
46007,4.69,-3.12,14.59,14.00,183,0.18,1146,0.00,0.00,33.33,16,4.50,1.71,108,5.66,-7.84,1.32,0.00,0.39,8
46273,3.91,-3.12,15.16,13.60,183,0.45,1330,0.00,0.00,33.33,16,40.50,1.70,108,5.95,-9.29,1.64,0.00,6.67,8
46539,4.69,-3.12,14.93,13.36,183,0.16,1158,0.00,0.00,33.33,16,16.00,1.48,108,4.64,-9.87,1.24,0.00,0.39,8
46805,10.16,-3.12,16.31,12.72,183,0.74,622,0.00,0.00,33.33,16,21.00,1.31,108,7.55,-7.11,1.76,0.00,0.00,8
47070,7.81,-3.12,14.81,14.24,183,0.19,959,0.00,0.00,33.33,16,4.50,1.15,108,5.95,-8.71,1.24,0.00,0.00,8
47336,3.91,-3.12,13.32,13.52,183,0.13,1000,0.00,0.00,33.33,16,4.50,1.10,108,4.21,-10.45,1.08,0.00,0.00,8
47602,1.56,-3.12,13.32,13.28,183,0.21,844,0.00,0.00,33.33,16,12.50,1.15,108,4.06,-10.59,1.22,0.00,0.00,8
47868,-1.56,-3.12,13.21,13.52,183,0.24,827,0.00,0.00,33.33,16,14.00,0.88,108,4.50,-10.16,1.24,0.00,0.00,8
48134,-3.91,-3.12,13.09,13.52,183,0.23,822,0.00,0.00,33.33,16,14.00,0.88,108,4.64,-10.01,1.22,0.00,0.00,8
