Time (msec),A/F Correction #1 (%),A/F Learning #1 (%),A/F Sensor #1 (AFR),Battery Voltage (V),Coolant Temperature (F),Engine Load (Calculated) (g/rev),Engine Speed (rpm),Feedback Knock Correction* (degrees),Fine Learning Knock Correction* (degrees),Fuel Pump Duty (%),IAM* (raw ecu value),Ignition Total Timing (degrees),Injector Duty Cycle (%),Intake Air Temperature (F),Knock Correction Advance (degrees),Manifold Relative Pressure (psi),Mass Airflow Sensor Voltage (V),Primary Wastegate Duty Cycle (%),Throttle Opening Angle (%),Global Timing User Adjustment Value (degrees),Ignition Base Timing* (degrees)
96667,23.44,-0.78,15.50,13.52,183,0.79,1241,0.00,0.00,33.33,16,30.50,2.38,77,0.00,-4.21,1.84,0.00,8.24,0,39.77
96941,22.66,-0.78,14.70,13.44,183,0.82,1342,0.00,0.00,33.33,16,25.00,2.58,77,1.00,-4.93,1.86,0.00,8.24,0,26.41
97216,18.75,-0.78,14.13,13.44,183,0.86,1325,0.00,0.00,33.33,16,25.00,2.54,77,0.50,-5.08,1.88,0.00,8.24,0,33.79
97490,15.62,-0.78,14.01,13.44,183,0.84,1267,0.00,0.00,33.33,16,32.00,2.41,77,0.00,-4.93,1.86,0.00,8.24,0,29.57
97765,14.84,-0.78,14.01,13.68,183,0.88,1311,0.00,0.00,33.33,16,24.50,2.52,77,0.50,-4.79,1.88,0.00,9.02,0,31.68
98039,14.06,-0.78,14.47,13.68,183,0.96,1378,0.00,0.00,33.33,16,31.00,2.94,77,1.00,-4.64,1.94,0.00,9.80,0,41.17
98313,10.94,-0.78,14.13,13.68,183,0.96,1470,0.00,0.00,33.33,16,26.00,3.14,77,1.50,-4.35,1.98,0.00,10.59,0,26.41
98588,9.38,-0.78,14.24,13.68,183,0.96,1532,0.00,0.00,33.33,16,34.50,3.27,77,2.00,-4.21,2.00,0.00,11.37,0,34.14
98862,7.81,-0.78,14.36,13.60,183,0.97,1612,0.00,0.00,33.33,16,34.00,3.44,77,3.00,-4.35,2.02,0.00,11.76,0,30.62
99137,7.03,-0.78,14.59,13.60,183,1.04,1705,0.00,0.00,33.33,16,27.00,3.61,77,3.50,-4.50,2.06,0.00,12.55,0,29.57
99411,4.69,-0.78,14.24,13.60,183,1.09,1799,0.00,0.00,33.33,16,35.50,4.22,77,3.50,-4.35,2.14,0.78,13.33,0,40.82
99686,-0.78,-0.78,13.78,13.68,183,1.08,1884,0.00,0.00,33.33,16,32.00,4.02,77,4.00,-3.92,2.16,1.18,13.73,0,29.22
99960,0.78,-0.78,14.47,13.68,183,1.07,1954,0.00,0.00,33.33,16,16.00,4.17,77,4.50,-3.77,2.20,1.57,14.12,0,40.82
100235,0.00,-0.78,14.59,13.68,183,1.05,2046,0.00,0.00,33.33,16,43.50,4.37,77,4.50,-3.92,2.20,1.57,14.12,0,33.44
100508,1.56,-0.78,14.70,13.68,183,1.02,2128,0.00,0.00,33.33,16,29.00,4.54,77,4.50,-4.06,2.22,1.57,14.12,0,33.44
100784,3.12,-0.78,14.81,13.52,183,0.99,2225,0.00,0.00,33.33,16,36.50,4.75,77,4.50,-4.21,2.22,1.57,14.12,0,29.22
101058,3.12,-0.78,14.59,13.44,185,0.96,2303,0.00,0.00,33.33,16,33.50,4.91,77,4.50,-4.50,2.26,1.57,14.12,0,41.17
101333,3.91,-0.78,14.59,13.52,185,0.96,2399,0.00,0.00,33.33,16,43.00,4.61,77,4.50,-4.79,2.26,1.57,14.12,0,40.47
101607,5.47,-0.78,14.70,13.52,185,0.97,2441,0.00,0.00,33.33,16,34.00,5.21,77,4.50,-4.93,2.28,1.96,14.51,0,26.41
101882,7.81,-0.78,14.70,13.52,185,0.98,2536,0.00,0.00,33.33,16,35.00,5.46,77,4.50,-4.79,2.32,2.35,15.29,0,26.41
102156,7.03,-0.78,14.47,13.60,185,0.98,2621,0.00,0.00,33.33,16,31.50,5.59,77,4.50,-4.79,2.32,2.35,15.29,0,26.41
102431,5.47,-0.78,14.36,13.60,185,0.98,2695,0.00,0.00,33.33,16,36.50,5.75,77,4.50,-4.93,2.34,2.35,15.29,0,26.41
102710,3.12,-0.78,14.59,13.52,185,0.98,2780,0.00,0.00,33.33,16,29.00,5.93,77,4.50,-4.93,2.36,2.75,15.69,0,40.82
102984,0.78,-0.78,14.13,13.36,185,0.97,2858,0.00,0.00,66.67,16,35.50,6.10,77,4.50,-4.93,2.38,2.75,15.69,0,32.73
103259,0.00,-0.78,14.47,13.36,185,0.96,2919,0.00,0.00,66.67,16,37.00,6.23,77,4.50,-4.93,2.40,2.75,15.69,0,40.47
103533,-3.12,-0.78,14.47,13.60,185,0.96,3014,0.00,0.00,66.67,16,29.00,6.29,77,4.50,-4.93,2.42,2.75,15.69,0,26.41
103808,-4.69,-0.78,14.13,13.60,185,0.95,3086,0.00,0.00,66.67,16,43.50,5.93,75,4.50,-4.93,2.42,2.75,15.69,0,26.41
104083,-3.91,-0.78,14.59,13.60,185,0.93,3168,0.00,0.00,66.67,16,36.50,6.08,75,4.50,-4.79,2.44,2.75,15.69,0,26.41
104357,-3.91,-0.78,14.70,13.60,185,0.93,3190,0.00,0.00,66.67,16,29.00,6.12,75,4.50,-4.79,2.46,2.75,15.69,0,26.41
104632,-3.12,-0.78,14.47,13.60,185,0.91,3285,0.00,0.00,66.67,16,29.00,6.31,75,4.50,-4.93,2.46,2.75,15.69,0,34.14
104906,-7.03,-0.78,12.06,13.60,185,0.23,3301,0.00,0.00,66.67,16,27.50,3.49,75,0.00,-9.72,1.94,0.00,0.00,0,33.09
105181,0.00,-0.78,11.60,13.44,185,0.17,2882,0.00,0.00,66.67,16,20.00,0.00,75,0.00,-11.32,1.66,0.00,0.00,0,15.86
105455,0.00,-0.78,19.06,13.52,185,0.41,2454,0.00,0.00,33.33,16,15.00,3.14,75,0.00,-10.88,1.90,0.00,10.98,0,21.48
105729,0.00,-0.78,13.32,13.52,185,0.93,2304,0.00,0.00,33.33,16,28.50,5.41,75,4.50,-5.95,2.22,0.78,13.73,0,40.12
106004,-17.97,-0.78,11.94,13.60,185,0.91,2366,0.00,0.00,33.33,16,29.00,5.05,75,4.50,-5.37,2.24,1.18,13.73,0,32.73
106278,-19.53,-0.78,13.55,13.60,185,0.92,2412,0.00,0.00,33.33,16,34.50,5.17,73,4.50,-5.22,2.24,1.18,13.73,0,29.57
106553,-20.31,-0.78,13.78,13.44,185,0.93,2449,0.00,0.00,33.33,16,29.00,5.09,73,4.50,-5.22,2.26,1.57,14.12,0,41.17
106828,-11.72,-0.78,15.50,13.44,185,0.93,2504,0.00,0.00,33.33,16,29.00,4.81,73,4.50,-5.08,2.28,1.57,14.51,0,29.57
107103,6.25,-0.78,16.42,13.44,185,0.95,2546,0.00,0.00,33.33,16,15.50,5.43,73,4.50,-4.93,2.30,1.96,14.51,0,30.62
107377,9.38,-0.78,15.16,13.44,185,1.01,2558,0.00,0.00,33.33,16,29.00,5.46,73,4.50,-4.79,2.34,2.35,15.69,0,40.12
107652,7.81,-0.78,14.24,13.44,185,1.03,2586,0.00,0.00,33.33,16,32.50,6.06,73,4.50,-4.35,2.36,3.14,16.47,0,30.62
107927,3.12,-0.78,14.13,13.68,185,1.10,2608,0.00,0.00,33.33,16,34.50,6.12,73,4.50,-4.06,2.42,3.92,17.25,0,33.09
108201,0.00,-0.78,14.36,13.68,185,1.10,2672,0.00,0.00,33.33,16,36.50,6.27,73,4.50,-3.77,2.42,3.92,17.25,0,34.14
108476,-1.56,-0.78,14.59,13.68,185,1.10,2719,0.00,0.00,33.33,16,34.50,6.38,73,4.50,-3.63,2.44,4.31,17.65,0,26.41
108751,-3.91,-0.78,14.36,13.60,185,1.11,2753,0.00,0.00,33.33,16,33.50,6.46,73,4.50,-3.48,2.46,4.31,17.65,0,26.41
109026,-3.12,-0.78,14.59,13.60,185,1.11,2776,0.00,0.00,33.33,16,29.00,6.52,73,4.50,-3.48,2.48,4.31,17.65,0,32.38
109301,-2.34,-0.78,14.59,13.36,185,1.11,2802,0.00,0.00,66.67,16,36.50,6.63,73,4.50,-3.48,2.50,4.31,17.65,0,33.09
109576,-4.69,-0.78,14.47,13.52,185,1.09,2852,0.00,0.00,66.67,16,29.00,6.69,73,4.50,-3.48,2.50,4.31,17.65,0,26.41
109850,-3.12,-0.78,14.81,13.52,185,1.08,2883,0.00,0.00,66.67,16,29.00,6.77,73,4.50,-3.48,2.52,4.31,17.65,0,26.41
110125,-3.91,-0.78,14.59,13.52,185,1.07,2920,0.00,0.00,66.67,16,42.50,6.85,73,4.50,-3.48,2.50,4.31,17.25,0,26.41
110399,-3.91,-0.78,14.59,13.60,185,1.05,2965,0.00,0.00,66.67,16,36.50,6.96,73,4.50,-3.48,2.50,4.31,17.65,0,26.41
110674,-4.69,-0.78,14.59,13.52,185,1.05,3010,0.00,0.00,66.67,16,29.00,6.94,73,4.50,-3.48,2.50,4.31,17.25,0,30.27
110949,-3.91,-0.78,14.47,13.36,185,1.04,3036,0.00,0.00,66.67,16,29.00,7.13,73,4.50,-3.48,2.50,4.31,17.65,0,26.41
111224,-3.91,-0.78,14.70,13.44,185,1.03,3048,0.00,0.00,66.67,16,36.00,7.15,73,4.50,-3.63,2.52,4.31,17.65,0,34.14
111498,-3.12,-0.78,14.70,13.44,185,1.03,3102,0.00,0.00,66.67,16,43.00,7.28,73,4.50,-3.63,2.54,4.31,17.65,0,34.14
111773,-3.91,-0.78,14.59,13.44,185,1.02,3117,0.00,0.00,66.67,16,44.00,6.65,73,4.50,-3.48,2.54,4.31,18.04,0,26.41
112048,-2.34,-0.78,14.81,13.44,185,1.05,3136,0.00,0.00,66.67,16,29.00,7.46,73,4.50,-3.34,2.56,5.10,18.82,0,29.92
112323,-1.56,-0.78,14.81,13.52,185,1.06,3197,0.00,0.00,66.67,16,42.50,7.50,73,4.50,-2.90,2.60,5.88,19.22,0,26.41
112597,-0.78,-0.78,14.59,13.44,185,1.07,3214,0.00,0.00,66.67,16,43.00,7.54,73,4.50,-2.61,2.64,6.67,20.78,0,30.27
112872,0.00,-0.78,14.70,13.44,185,1.12,3244,0.00,0.00,66.67,16,29.00,8.30,73,4.50,-1.89,2.68,7.45,21.57,0,40.82
113145,-2.34,-0.78,14.24,13.44,185,1.11,3316,0.00,0.00,66.67,16,29.00,8.49,73,4.50,-1.60,2.72,7.84,21.96,0,26.41
113420,-3.91,-0.78,14.47,13.36,185,1.10,3369,0.00,0.00,66.67,16,29.00,8.56,73,4.50,-1.31,2.74,8.24,22.35,0,26.41
113695,-3.91,-0.78,14.59,13.52,185,1.11,3429,0.00,0.00,66.67,16,29.00,8.78,73,4.50,-1.16,2.78,9.02,23.53,0,31.68
113970,-3.91,-0.78,14.70,13.52,185,1.13,3474,0.00,0.00,66.67,16,31.50,9.63,73,4.50,-0.58,2.82,9.80,24.31,0,26.41
114245,-7.81,-0.78,14.36,13.52,185,1.17,3506,0.00,0.00,66.67,16,43.00,9.72,73,4.50,-0.15,2.88,10.20,25.10,0,32.73
114520,-9.38,-0.78,14.47,13.60,185,1.21,3592,0.00,0.00,66.67,16,29.00,9.96,73,4.50,0.29,2.92,10.20,25.49,0,30.27
114794,-10.94,-0.78,14.36,13.60,185,1.25,3606,0.00,0.00,66.67,16,43.00,10.00,73,4.50,0.58,2.96,10.20,25.49,0,31.68
115069,-10.16,-0.78,14.81,13.36,185,1.26,3687,0.00,0.00,66.67,16,33.00,11.01,73,4.50,0.87,3.00,10.20,25.49,0,26.41
115343,-10.94,-0.78,14.59,13.44,183,1.27,3782,0.00,0.00,66.67,16,32.00,11.30,73,4.50,1.02,3.02,10.20,25.10,0,29.22
115618,-10.16,-0.78,14.59,13.44,183,1.21,3836,0.00,0.00,66.67,16,42.50,10.64,73,4.50,0.44,2.98,8.63,22.35,0,26.41
115893,-13.28,-0.78,14.59,13.52,183,1.01,3844,0.00,0.00,66.67,16,29.00,9.02,73,4.50,-1.31,2.82,5.10,18.43,0,33.44
116167,-15.62,-0.78,14.47,13.52,183,0.91,3924,0.00,0.00,66.67,16,29.00,9.21,73,4.50,-3.19,2.70,3.92,16.86,0,32.73
116442,-20.31,-0.78,14.47,13.60,183,0.86,3958,0.00,0.00,66.67,16,29.00,8.44,73,4.50,-4.35,2.62,3.14,16.08,0,29.22
116717,-21.88,-0.78,14.47,13.60,183,0.81,3949,0.00,0.00,66.67,16,13.00,6.74,73,4.00,-5.37,2.54,2.35,15.29,0,26.41
116992,-11.72,-0.78,14.70,13.60,183,0.78,3962,0.00,0.00,66.67,16,28.00,7.61,73,3.50,-5.95,2.52,2.35,15.29,0,32.73
117267,-8.59,-0.78,14.93,13.52,183,0.60,4004,0.00,0.00,66.67,16,27.50,6.83,73,3.50,-6.38,2.48,1.96,7.84,0,40.82
117541,0.00,-0.78,11.48,13.44,183,0.26,4000,0.00,0.00,66.67,16,15.50,5.12,73,0.00,-11.46,1.98,0.00,0.00,0,15.86
117816,0.00,-0.78,11.25,13.44,183,0.20,3991,0.00,0.00,66.67,16,15.50,4.22,73,0.00,-11.75,1.84,0.00,0.00,0,15.86
118090,0.00,-0.78,14.59,13.68,183,0.17,3928,0.00,0.00,66.67,16,15.50,0.00,73,0.00,-11.75,1.66,0.00,0.00,0,15.86
118365,0.00,-0.78,23.54,13.68,183,0.15,3914,0.00,0.00,66.67,16,15.50,0.00,72,0.00,-11.90,1.58,0.00,0.00,0,15.86
118640,0.00,-1.56,23.66,13.68,183,0.11,3922,0.00,0.00,66.67,16,15.50,0.00,72,0.00,-11.90,1.52,0.00,0.00,0,15.86
118915,0.00,-0.78,23.43,13.68,183,0.13,3888,0.00,0.00,66.67,16,15.50,0.00,72,0.00,-11.61,1.62,0.00,0.00,0,15.86
119189,0.00,-0.78,23.43,13.68,183,0.14,3858,0.00,0.00,66.67,16,15.50,0.00,72,0.00,-11.75,1.60,0.00,0.00,0,15.86
119465,0.00,-1.56,23.31,13.60,183,0.13,3792,0.00,0.00,66.67,16,15.50,0.00,72,0.00,-11.90,1.50,0.00,0.00,0,15.86
119740,0.00,-2.34,23.77,13.60,183,0.14,3792,0.00,0.00,66.67,16,15.50,0.00,72,0.00,-11.90,1.54,0.00,0.00,0,15.86
120014,0.00,-3.12,23.54,13.68,183,0.11,3759,0.00,0.00,66.67,16,15.50,0.00,72,0.00,-11.90,1.42,0.00,0.00,0,15.86
120289,0.00,-3.91,23.66,13.60,183,0.12,3705,0.00,0.00,66.67,16,15.50,0.00,72,0.00,-11.90,1.48,0.00,0.00,0,15.86
120563,0.00,-4.69,23.66,13.60,183,0.13,3682,0.00,0.00,66.67,16,15.50,0.00,72,0.00,-12.04,1.48,0.00,0.00,0,15.86
120838,0.00,-5.47,23.77,13.60,183,0.14,3642,0.00,0.00,66.67,16,15.50,0.00,72,0.00,-12.04,1.56,0.00,0.00,0,15.86
121113,0.00,-5.47,23.77,13.68,183,0.15,3616,0.00,0.00,66.67,16,15.50,0.00,72,0.00,-12.04,1.50,0.00,0.00,0,15.86
121387,0.00,-7.81,23.77,13.36,183,0.14,3602,0.00,0.00,66.67,16,15.50,0.00,72,0.00,-12.04,1.56,0.00,0.00,0,15.86
121662,0.00,-7.81,23.77,13.36,183,0.16,3570,0.00,0.00,66.67,16,15.50,0.00,72,0.00,-11.90,1.58,0.00,0.00,0,15.86
121937,0.00,-7.81,23.89,13.44,183,0.14,3510,0.00,0.00,66.67,16,15.50,0.00,72,0.00,-11.90,1.46,0.00,0.00,0,15.86
122212,0.00,-7.81,23.43,13.44,183,0.15,3482,0.00,0.00,66.67,16,15.50,0.00,72,0.00,-11.90,1.56,0.00,0.00,0,15.86
122486,0.00,-7.81,23.89,13.44,183,0.13,3472,0.00,0.00,66.67,16,15.50,0.00,72,0.00,-11.90,1.48,0.00,0.00,0,15.86
122761,0.00,-7.81,23.89,13.52,181,0.14,3402,0.00,0.00,66.67,16,15.50,0.00,72,0.00,-11.75,1.52,0.00,0.00,0,15.86
123036,0.00,-7.81,23.77,13.52,181,0.17,3383,0.00,0.00,66.67,16,15.50,0.00,72,0.00,-11.75,1.56,0.00,0.00,0,15.86
123311,0.00,-7.81,24.00,13.44,181,0.17,3378,0.00,0.00,66.67,16,15.50,0.00,72,0.00,-11.75,1.56,0.00,0.00,0,15.86
123585,0.00,-7.81,23.54,13.44,181,0.15,3344,0.00,0.00,66.67,16,15.50,0.00,72,0.00,-11.75,1.50,0.00,0.00,0,15.86
123860,0.00,-7.81,23.89,13.44,181,0.16,3285,0.00,0.00,66.67,16,15.50,0.00,72,0.00,-11.75,1.56,0.00,0.00,0,15.86
124135,0.00,-7.81,23.43,13.36,181,0.15,3256,0.00,0.00,66.67,16,15.50,0.00,72,0.00,-11.75,1.52,0.00,0.00,0,15.86
124409,0.00,-7.81,24.00,13.68,181,0.15,3224,0.00,0.00,66.67,16,15.50,0.00,72,0.00,-11.75,1.52,0.00,0.00,0,15.86
124684,0.00,-7.81,23.54,13.68,181,0.16,3198,0.00,0.00,66.67,16,15.50,0.00,72,0.00,-11.61,1.50,0.00,0.00,0,15.86
124969,0.00,-7.81,23.89,13.68,181,0.15,3171,0.00,0.00,66.67,16,15.50,0.00,72,0.00,-11.61,1.48,0.00,0.00,0,15.86
125248,0.00,-7.81,23.89,13.68,181,0.15,3162,0.00,0.00,66.67,16,15.50,0.00,72,0.00,-11.61,1.50,0.00,0.00,0,15.86
125523,0.00,-7.81,23.66,13.52,181,0.15,3105,0.00,0.00,66.67,16,15.50,0.00,72,0.00,-11.61,1.50,0.00,0.00,0,15.86
125797,0.00,-7.03,23.54,13.52,181,0.28,3125,0.00,0.00,66.67,16,26.00,3.33,72,0.00,-10.74,1.82,0.00,5.88,0,25.35
126072,0.00,-6.25,15.16,13.52,181,0.46,3128,0.00,0.00,66.67,16,40.00,4.67,72,0.00,-9.87,1.96,0.00,7.45,0,30.27
126346,-17.19,-5.47,12.29,13.52,181,0.58,3065,0.00,0.00,66.67,16,25.00,4.58,72,1.00,-9.14,2.08,0.00,9.80,0,28.87
126621,-21.09,-4.69,13.78,13.52,181,0.70,3108,0.00,0.00,66.67,16,33.50,5.27,72,2.00,-7.98,2.22,0.00,12.55,0,30.62
126896,-14.84,-3.91,14.36,13.44,181,0.91,3093,0.00,0.00,66.67,16,41.50,5.94,72,3.50,-6.67,2.42,2.75,16.08,0,26.41
127171,0.78,-3.91,16.42,13.36,181,0.97,3114,0.00,0.00,66.67,16,29.00,6.64,72,4.50,-5.22,2.46,3.92,17.25,0,32.03
127445,7.81,-3.12,14.93,13.36,180,0.98,3167,0.00,0.00,66.67,16,29.00,6.76,72,4.50,-4.50,2.50,4.31,17.65,0,40.12
127720,6.25,-0.78,14.36,13.36,180,0.99,3188,0.00,0.00,66.67,16,29.00,7.48,72,4.50,-4.21,2.52,4.31,17.65,0,26.41
127994,0.00,-0.78,14.01,13.36,180,0.92,3206,0.00,0.00,66.67,16,42.50,6.84,72,4.50,-4.79,2.44,2.75,13.73,0,40.82
128270,-7.03,-0.78,13.90,13.44,180,0.34,3187,0.00,0.00,66.67,16,26.50,4.12,72,1.50,-7.84,2.04,0.00,3.14,0,26.41
128545,0.00,-0.78,12.63,13.68,180,0.20,3164,0.00,0.00,66.67,16,33.50,3.38,72,0.00,-11.32,1.82,0.00,0.00,0,26.05
128820,0.00,-1.56,11.71,13.68,180,0.21,3140,0.00,0.00,66.67,16,16.50,0.00,72,0.00,-11.75,1.54,0.00,0.00,0,15.86
129094,0.00,-0.78,11.94,13.68,180,0.19,3159,0.00,0.00,66.67,16,15.50,0.00,72,0.00,-11.61,1.56,0.00,0.00,0,15.86
129368,0.00,-1.56,22.16,13.52,180,0.14,3124,0.00,0.00,66.67,16,15.50,0.00,72,0.00,-11.61,1.42,0.00,0.00,0,15.86
129643,0.00,-3.12,23.66,13.52,180,0.16,3064,0.00,0.00,66.67,16,15.50,0.00,72,0.00,-11.61,1.48,0.00,0.00,0,15.86
129918,0.00,-3.12,23.89,13.60,180,0.20,3048,0.00,0.00,66.67,16,15.50,0.00,72,0.00,-11.17,1.56,0.00,0.00,0,15.86
130191,0.00,-3.91,23.54,13.60,180,0.17,3016,0.00,0.00,66.67,16,15.50,0.00,72,0.00,-11.32,1.50,0.00,0.00,0,15.86
130466,0.00,-4.69,23.54,13.60,180,0.20,2986,0.00,0.00,66.67,16,15.50,0.00,72,0.00,-11.46,1.62,0.00,0.00,0,15.86
130740,0.00,-4.69,24.00,13.60,180,0.21,2963,0.00,0.00,66.67,16,15.50,0.00,72,0.00,-11.32,1.58,0.00,0.00,0,15.86
131015,0.00,-3.91,24.00,13.68,180,0.21,2920,0.00,0.00,66.67,16,15.50,0.00,72,0.00,-11.32,1.62,0.00,0.00,0,15.86
131289,0.00,-4.69,23.54,13.44,180,0.15,2855,0.00,0.00,66.67,16,15.50,0.00,72,0.00,-11.46,1.50,0.00,0.00,0,15.86
131563,0.00,-4.69,23.54,13.44,180,0.23,2844,0.00,0.00,66.67,16,15.50,0.00,72,0.00,-11.46,1.64,0.00,0.00,0,15.86
131838,0.00,-4.69,23.54,13.52,178,0.22,2786,0.00,0.00,66.67,16,15.50,0.00,72,0.00,-11.46,1.60,0.00,0.00,0,15.86
132113,0.00,-5.47,23.43,13.52,178,0.21,2745,0.00,0.00,66.67,16,15.50,0.00,72,0.00,-11.46,1.56,0.00,0.00,0,15.86
132387,0.00,-4.69,23.77,13.52,178,0.22,2707,0.00,0.00,66.67,16,15.50,0.00,72,0.00,-11.46,1.62,0.00,0.00,0,15.86
132662,0.00,-4.69,23.54,13.68,178,0.21,2686,0.00,0.00,33.33,16,15.50,0.00,72,0.00,-11.46,1.56,0.00,0.00,0,15.86
132936,0.00,-3.91,23.54,13.52,178,0.24,2651,0.00,0.00,33.33,16,15.50,0.00,72,0.00,-11.46,1.64,0.00,0.00,0,15.86
133211,0.00,-3.91,23.89,13.44,178,0.23,2602,0.00,0.00,33.33,16,15.50,0.00,72,0.00,-11.46,1.58,0.00,0.00,0,15.86
133486,0.00,-3.91,23.77,13.44,178,0.23,2574,0.00,0.00,33.33,16,15.50,0.00,72,0.00,-11.46,1.58,0.00,0.00,0,15.86
133760,0.00,-4.69,23.77,13.44,178,0.22,2571,0.00,0.00,33.33,16,15.50,0.00,72,0.00,-11.32,1.52,0.00,0.00,0,15.86
134036,0.00,-5.47,23.77,13.44,178,0.22,2523,0.00,0.00,33.33,16,15.50,0.00,72,0.00,-11.32,1.58,0.00,0.00,0,15.86
134310,0.00,-5.47,24.00,13.68,178,0.23,2482,0.00,0.00,33.33,16,15.50,0.00,72,0.00,-11.32,1.58,0.00,0.00,0,15.86
134585,0.00,-5.47,23.43,13.68,178,0.25,2452,0.00,0.00,33.33,16,15.50,0.00,72,0.00,-11.17,1.62,0.00,0.00,0,15.86
134859,0.00,-5.47,24.12,13.68,178,0.24,2423,0.00,0.00,33.33,16,15.50,0.00,72,0.00,-11.17,1.58,0.00,0.00,0,15.86
135133,0.00,-5.47,23.43,13.76,178,0.24,2414,0.00,0.00,33.33,16,15.50,0.00,72,0.00,-11.17,1.58,0.00,0.00,0,15.86
135408,0.00,-7.81,23.43,13.68,178,0.19,2366,0.00,0.00,33.33,16,15.50,0.00,72,0.00,-11.03,1.46,0.00,0.00,0,15.86
135683,0.00,-7.81,23.66,13.60,178,0.22,2354,0.00,0.00,33.33,16,15.50,0.00,72,0.00,-11.03,1.56,0.00,0.00,0,15.86
135957,0.00,-7.81,23.54,13.68,178,0.22,2309,0.00,0.00,33.33,16,15.50,0.00,72,0.00,-10.88,1.56,0.00,0.00,0,15.86
136232,0.00,-7.81,23.54,13.68,178,0.26,2286,0.00,0.00,33.33,16,15.50,0.00,72,0.00,-10.74,1.60,0.00,0.00,0,15.86
136506,0.00,-7.81,23.43,13.68,178,0.25,2246,0.00,0.00,33.33,16,15.50,0.00,72,0.00,-10.74,1.52,0.00,0.00,0,15.86
136781,0.00,-7.81,23.77,13.68,178,0.25,2240,0.00,0.00,33.33,16,15.50,0.00,72,0.00,-10.74,1.52,0.00,0.00,0,15.86
137056,0.00,-7.81,23.66,13.52,178,0.27,2196,0.00,0.00,33.33,16,15.50,0.00,72,0.00,-10.59,1.58,0.00,0.00,0,15.86
137331,0.00,-7.03,23.66,13.44,176,0.28,2181,0.00,0.00,33.33,16,15.50,0.00,72,0.00,-10.59,1.62,0.00,0.00,0,15.86
137605,0.00,-6.25,23.77,13.44,176,0.29,2126,0.00,0.00,33.33,16,15.50,0.00,72,0.00,-10.45,1.62,0.00,0.00,0,15.86
137880,0.00,-7.81,23.43,13.52,176,0.29,2120,0.00,0.00,33.33,16,15.50,0.00,72,0.00,-10.30,1.60,0.00,0.00,0,15.86
138154,0.00,-7.81,23.43,13.44,176,0.30,2078,0.00,0.00,33.33,16,15.50,0.00,72,0.00,-10.30,1.60,0.00,0.00,0,15.86
138429,0.00,-7.81,24.12,13.44,176,0.29,1901,0.00,0.00,33.33,16,13.00,0.00,72,0.00,-10.16,1.60,0.00,0.00,0,13.05
138703,0.00,-7.81,23.77,13.60,176,0.34,1540,0.00,0.00,33.33,16,13.00,0.00,72,0.00,-10.59,1.52,0.00,0.00,0,13.05
138978,0.00,-7.81,23.77,13.60,176,0.38,1274,0.00,0.00,33.33,16,21.00,1.63,72,0.00,-9.87,1.52,0.00,0.00,0,13.05
139253,0.00,-7.81,23.31,13.68,176,0.25,1456,0.00,0.00,33.33,16,13.00,1.55,72,0.00,-10.45,1.42,0.00,0.00,0,13.05
139527,0.00,-7.81,13.32,13.52,176,0.21,1852,0.00,0.00,33.33,16,15.50,0.00,72,0.00,-11.46,1.42,0.00,0.00,0,15.86
139801,0.00,-7.81,14.47,13.52,176,0.21,1896,0.00,0.00,33.33,16,15.50,0.00,72,0.00,-11.32,1.44,0.00,0.00,0,15.86
140076,0.00,-7.81,23.54,13.60,176,0.22,1558,0.00,0.00,33.33,16,13.00,0.00,72,0.00,-11.17,1.40,0.00,0.00,0,13.05
140351,0.00,-7.81,23.54,13.52,176,0.30,1222,0.00,0.00,33.33,16,21.00,1.56,72,0.00,-10.59,1.42,0.00,0.00,0,13.05
140625,0.00,-7.81,23.31,13.68,176,0.27,1362,0.00,0.00,33.33,16,8.00,1.45,72,0.00,-10.45,1.44,0.00,0.00,0,13.05
140900,-1.56,-7.81,11.83,13.68,176,0.28,1312,0.00,0.00,33.33,16,13.50,1.40,72,0.00,-10.59,1.44,0.00,0.00,0,13.05
141174,0.00,-7.81,14.70,13.76,176,0.21,1762,0.00,0.00,33.33,16,15.50,1.78,72,0.00,-11.03,1.44,0.00,0.00,0,15.86
141449,0.00,-7.81,14.24,13.44,176,0.19,1949,0.00,0.00,33.33,16,15.50,2.15,72,0.00,-11.61,1.44,0.00,0.00,0,15.86
141723,0.00,-7.81,12.17,13.44,176,0.22,1776,0.00,0.00,33.33,16,15.50,0.00,72,0.00,-11.61,1.44,0.00,0.00,0,15.86
141998,0.00,-7.81,12.17,13.52,176,0.24,1633,0.00,0.00,33.33,16,15.50,0.00,72,0.00,-11.32,1.44,0.00,0.00,0,15.86
142273,0.00,-7.81,17.00,13.52,176,0.25,1570,0.00,0.00,33.33,16,15.00,0.00,72,0.00,-11.17,1.44,0.00,0.00,0,15.16
142548,0.00,-7.81,23.20,13.60,176,0.26,1519,0.00,0.00,33.33,16,14.00,0.00,72,0.00,-10.88,1.44,0.00,0.00,0,13.75
142822,0.00,-7.81,23.54,13.76,176,0.27,1429,0.00,0.00,33.33,16,13.50,0.00,72,0.00,-10.59,1.44,0.00,0.00,0,13.40
143097,0.00,-7.81,23.43,13.68,176,0.28,1399,0.00,0.00,33.33,16,21.00,0.00,72,0.00,-10.59,1.44,0.00,0.00,0,13.05
