Time (msec),A/F Correction #1 (%),A/F Learning #1 (%),A/F Sensor #1 (AFR),Battery Voltage (V),Coolant Temperature (F),Engine Load (Calculated) (g/rev),Engine Speed (rpm),Feedback Knock Correction* (degrees),Fine Learning Knock Correction* (degrees),Fuel Pump Duty (%),IAM* (raw ecu value),Ignition Total Timing (degrees),Injector Duty Cycle (%),Intake Air Temperature (F),Knock Correction Advance (degrees),Manifold Relative Pressure (psi),Mass Airflow Sensor Voltage (V),Primary Wastegate Duty Cycle (%),Throttle Opening Angle (%)
10029,-15.62,-3.12,11.94,13.60,187,1.09,2271,0.00,0.00,33.33,16,32.50,5.33,88,4.50,-3.19,2.32,5.10,16.86
10287,-17.19,-3.12,13.32,13.60,187,1.14,2273,0.00,0.00,33.33,16,30.50,5.82,88,4.50,-2.90,2.36,5.88,17.65
10544,-17.97,-3.12,13.78,13.60,187,1.17,2390,0.00,0.00,33.33,16,34.00,6.12,88,4.50,-2.47,2.40,7.45,18.82
10801,-19.53,-3.12,14.13,13.68,187,1.18,2377,0.00,0.00,33.33,16,8.00,6.39,88,4.50,-2.18,2.46,9.02,20.00
11058,-20.31,-1.56,14.47,13.60,187,1.26,2432,0.00,0.00,33.33,16,11.50,6.23,88,4.50,-1.74,2.48,9.80,20.78
11315,-19.53,-1.56,15.04,13.68,187,1.23,2574,0.00,0.00,33.33,16,30.50,6.59,88,4.50,-1.45,2.52,10.59,21.57
11573,-17.97,-1.56,15.16,13.68,187,1.20,2700,0.00,0.00,33.33,16,8.00,6.91,88,4.50,-1.31,2.56,10.98,21.57
11830,-17.97,-1.56,14.93,13.68,187,1.19,2827,0.00,0.00,66.67,16,8.00,7.24,88,4.50,-1.45,2.60,11.37,21.96
12088,-10.94,-1.56,15.27,13.60,187,1.26,2709,0.00,0.00,33.33,16,8.50,6.94,88,4.50,-1.02,2.62,11.76,21.96
12345,-10.16,-1.56,15.16,13.68,187,1.17,2977,0.00,0.00,66.67,16,35.00,7.62,88,4.50,-1.02,2.66,11.76,21.96
12603,-10.94,-1.56,14.81,13.60,187,1.23,2901,0.00,0.00,66.67,16,8.50,7.43,86,4.50,-1.02,2.68,11.76,22.35
12860,-10.16,-1.56,14.93,13.68,187,1.24,2896,0.00,0.00,66.67,16,30.50,7.41,86,4.50,-0.73,2.70,11.76,22.35
13117,-8.59,-1.56,14.70,13.52,187,1.18,3131,0.00,0.00,66.67,16,30.50,8.02,86,4.50,-0.73,2.70,12.16,22.35
13373,-10.16,-1.56,14.70,13.52,189,1.16,3202,0.00,0.00,66.67,16,11.50,8.20,86,4.50,-0.73,2.74,12.16,22.35
13631,-9.38,-1.56,14.93,13.44,189,1.13,3270,0.00,0.00,66.67,16,33.50,8.37,86,4.50,-0.73,2.74,12.16,22.35
13889,-10.16,-1.56,14.70,13.44,189,1.17,3238,0.00,0.00,66.67,16,8.00,8.29,86,4.50,-0.73,2.76,12.16,22.35
14146,-10.16,-1.56,14.93,13.52,189,1.13,3374,0.00,0.00,66.67,16,30.50,8.62,86,4.50,-0.73,2.78,12.16,22.35
14403,-8.59,-1.56,14.93,13.52,189,1.11,3482,0.00,0.00,66.67,16,32.50,8.85,86,4.50,-0.73,2.80,12.16,22.75
14660,-9.38,-1.56,14.81,13.60,189,1.11,3552,0.00,0.00,66.67,16,31.50,9.09,86,4.50,-0.73,2.82,12.16,22.75
14917,-6.25,-1.56,15.04,13.60,189,1.13,3571,0.00,0.00,66.67,16,8.00,9.14,86,4.50,-0.87,2.88,12.16,22.75
15174,-7.03,-1.56,14.70,13.60,189,1.14,3628,0.00,0.00,66.67,16,30.50,9.29,86,4.50,-0.58,2.86,12.16,22.75
15431,-3.91,-1.56,15.04,13.60,189,1.13,3788,0.00,0.00,66.67,16,11.50,9.70,84,4.50,-0.58,2.90,12.16,22.75
15689,-9.38,-1.56,14.59,13.68,189,1.11,3941,0.00,0.00,66.67,16,31.50,10.09,84,4.50,-0.73,2.94,12.16,22.75
15946,-9.38,-1.56,14.93,13.52,189,1.18,3874,0.00,0.00,66.67,16,30.50,10.74,84,4.50,-0.58,2.96,12.16,22.35
16203,-10.16,-1.56,14.70,13.52,189,1.14,4082,0.00,0.00,66.67,16,30.50,11.32,84,4.50,-0.15,3.00,12.16,22.35
16460,-12.50,-1.56,14.59,13.52,189,1.16,4176,0.00,0.00,66.67,16,30.50,11.47,84,4.50,-0.15,3.04,12.16,22.35
16717,-12.50,-1.56,14.70,13.60,189,1.18,4123,0.00,0.00,66.67,16,33.00,11.43,84,4.50,-0.29,3.06,11.76,22.35
16975,-10.16,-1.56,15.04,13.60,190,1.18,4178,0.00,0.00,66.67,16,8.50,11.59,84,4.50,-0.44,3.08,11.76,22.35
17233,0.00,-1.56,13.67,13.52,190,1.17,4355,0.00,0.00,66.67,16,30.50,14.87,84,4.50,-0.29,3.12,11.76,22.35
17489,0.00,-1.56,11.48,13.52,190,1.19,4376,0.00,0.00,66.67,16,8.50,15.87,84,4.50,-0.44,3.14,11.76,21.96
17747,0.00,-1.56,11.48,13.60,190,1.15,4542,0.00,0.00,66.67,16,8.50,16.47,82,4.50,-0.29,3.14,11.37,21.57
18005,0.00,-1.56,11.37,13.68,190,0.70,4355,0.00,0.00,66.67,16,9.50,9.29,82,0.00,-7.55,2.82,0.00,0.00
18262,0.00,-1.56,12.40,13.68,190,0.83,3902,0.00,-1.05,66.67,16,10.50,0.00,82,0.00,-10.45,2.52,0.00,0.00
