Time (msec),A/F Correction #1 (%),A/F Learning #1 (%),A/F Sensor #1 (AFR),Battery Voltage (V),Coolant Temperature (F),Engine Load (Calculated) (g/rev),Engine Speed (rpm),Feedback Knock Correction* (degrees),Fine Learning Knock Correction* (degrees),Fuel Pump Duty (%),IAM* (raw ecu value),Ignition Total Timing (degrees),Injector Duty Cycle (%),Intake Air Temperature (F),Knock Correction Advance (degrees),Manifold Relative Pressure (psi),Mass Airflow Sensor Voltage (V),Primary Wastegate Duty Cycle (%),Throttle Opening Angle (%),Ignition Base Timing* (degrees)
24772,7.03,0.00,14.47,13.60,171,0.37,2086,0.00,0.00,33.33,16,26.50,3.56,88,0.00,-7.55,1.96,0.00,9.02,29.57
25038,5.47,0.00,14.47,13.60,171,0.43,2186,0.00,0.00,33.33,16,26.00,3.27,88,0.00,-7.84,1.96,0.00,9.02,29.22
25304,4.69,0.00,14.59,13.60,171,0.42,2232,0.00,0.00,33.33,16,26.00,3.33,88,0.00,-8.13,1.98,0.00,9.02,30.98
25570,4.69,0.00,14.59,13.60,171,0.43,2296,0.00,0.00,33.33,16,31.50,3.43,88,0.00,-8.27,1.98,0.00,9.80,31.33
25836,4.69,0.00,14.59,13.68,171,0.44,2370,0.00,0.00,33.33,16,22.50,3.54,88,0.00,-8.27,2.02,0.00,9.80,40.47
26102,4.69,0.00,14.70,13.68,171,0.43,2439,0.00,0.00,33.33,16,40.50,3.71,86,0.00,-8.27,2.04,0.00,10.20,26.41
26368,4.69,0.00,14.59,13.76,171,0.44,2530,0.00,0.00,33.33,16,40.50,3.81,86,0.00,-8.42,2.06,0.00,10.59,41.17
26634,5.47,0.00,14.70,13.76,171,0.45,2605,0.00,0.00,33.33,16,26.50,3.89,86,0.00,-8.27,2.10,0.00,10.98,41.17
26900,7.03,0.00,14.93,13.84,171,0.47,2621,0.00,0.00,33.33,16,27.00,4.47,86,1.00,-8.13,2.12,0.00,11.37,26.41
27166,7.03,0.00,14.59,13.76,171,0.46,2684,0.00,0.00,33.33,16,27.00,4.58,86,1.00,-8.13,2.12,0.00,11.37,26.41
27437,6.25,0.78,14.36,13.68,171,0.45,2754,0.00,0.00,33.33,16,40.50,4.70,86,0.50,-8.27,2.12,0.00,11.37,40.82
27703,4.69,0.00,14.36,13.68,171,0.13,2736,0.00,0.00,33.33,16,26.00,2.92,86,0.00,-11.03,1.44,0.00,0.00,29.22
27969,0.00,0.00,12.06,13.60,171,0.10,2368,0.00,0.00,33.33,16,17.50,0.00,86,0.00,-12.33,1.32,0.00,0.00,16.56
28235,0.00,0.00,12.40,13.52,171,0.21,1882,0.00,0.00,33.33,16,16.00,2.01,86,0.00,-11.32,1.58,0.00,6.67,19.02
28501,0.00,0.78,19.41,13.60,171,0.74,1575,0.00,0.00,33.33,16,7.00,3.02,86,1.00,-5.80,2.10,0.00,12.55,26.41
28767,0.00,0.78,15.73,13.60,171,0.72,1618,0.00,0.00,33.33,16,16.50,3.45,86,4.50,-4.21,2.10,0.39,12.94,41.17
29033,0.00,0.78,15.85,13.52,171,0.74,1601,0.00,0.00,33.33,16,26.50,3.42,86,4.50,-4.06,2.10,0.39,12.94,26.41
29299,12.50,0.78,15.62,13.68,171,0.70,1742,0.00,0.00,33.33,16,34.00,4.09,86,4.50,-4.06,2.10,0.39,12.94,41.52
29565,14.84,0.78,14.59,13.68,171,0.71,1749,0.00,0.00,33.33,16,31.00,4.10,86,4.50,-4.21,2.12,0.78,13.33,39.77
29831,11.72,0.78,13.78,13.68,171,0.70,1839,0.00,0.00,33.33,16,38.00,4.32,86,4.50,-4.06,2.16,1.18,13.73,40.47
30097,9.38,0.78,14.13,13.76,171,0.70,1902,0.00,0.00,33.33,16,30.50,4.04,84,4.50,-4.06,2.18,1.18,13.73,26.41
30363,8.59,0.78,14.59,13.76,171,0.72,1963,0.00,0.00,33.33,16,33.50,4.24,84,4.50,-3.92,2.22,1.96,14.90,40.82
30629,8.59,0.78,14.70,13.76,171,0.74,2051,0.00,0.00,33.33,16,31.00,4.81,84,4.50,-3.63,2.24,2.35,15.29,40.47
30896,7.03,0.78,14.47,13.76,171,0.73,2114,0.00,0.00,33.33,16,46.00,4.51,84,4.50,-3.48,2.26,2.75,15.69,26.41
31162,7.81,0.78,14.59,13.84,171,0.74,2176,0.00,0.00,33.33,16,46.00,5.11,84,4.50,-3.63,2.28,2.75,15.69,41.52
31428,7.81,0.78,14.70,13.60,171,0.73,2258,0.00,0.00,33.33,16,31.00,5.30,84,4.50,-3.77,2.30,2.75,15.69,26.41
31694,7.03,0.78,14.59,13.52,171,0.72,2323,0.00,0.00,33.33,16,34.50,4.96,84,4.50,-3.92,2.32,2.75,15.69,33.09
31960,6.25,0.78,14.47,13.44,171,0.73,2363,0.00,0.00,33.33,16,38.00,5.04,84,4.50,-4.21,2.32,2.75,15.69,39.77
32226,5.47,0.78,14.59,13.44,171,0.71,2463,0.00,0.00,33.33,16,31.00,5.25,84,4.50,-4.35,2.34,2.75,15.69,28.87
32492,5.47,0.78,14.70,13.44,171,0.71,2476,0.00,0.00,33.33,16,35.00,5.28,84,4.50,-4.50,2.34,2.75,15.69,32.73
32758,2.34,0.78,14.24,13.44,171,0.37,2509,0.00,0.00,33.33,16,28.50,4.28,84,2.00,-7.40,1.90,0.00,1.96,26.41
33024,0.00,0.00,11.83,13.60,171,0.13,2389,0.00,0.00,33.33,16,29.50,0.00,84,0.00,-11.75,1.36,0.00,0.00,23.95
33290,0.00,0.00,11.94,13.60,171,0.13,2050,0.00,0.00,33.33,16,14.00,0.00,84,0.00,-12.04,1.44,0.00,0.00,13.05
33556,0.00,0.00,12.17,13.60,171,0.14,1613,0.00,0.00,33.33,16,13.00,0.00,82,0.00,-11.75,1.28,0.00,0.00,13.05
33822,0.00,0.00,13.78,13.52,171,0.26,1204,0.00,0.00,33.33,16,17.50,1.28,82,0.00,-10.88,1.48,0.00,9.80,21.48
34088,0.00,0.78,21.82,13.84,171,0.67,1872,0.00,0.00,33.33,16,9.00,3.19,82,2.00,-5.95,2.06,0.00,11.37,29.22
34354,0.00,0.78,16.08,13.68,171,0.61,1677,0.00,0.00,33.33,16,19.50,3.47,82,2.00,-5.37,2.06,0.00,10.98,41.17
34619,3.12,0.78,16.08,13.76,171,0.40,1742,0.00,0.00,33.33,16,28.50,2.93,82,2.00,-5.37,1.70,0.00,4.31,40.47
34885,7.03,0.00,14.81,13.76,171,0.14,1760,0.00,0.00,33.33,16,27.50,1.86,82,0.00,-9.87,1.30,0.00,0.00,26.41
35151,0.00,0.00,12.63,13.84,171,0.13,1709,0.00,0.00,33.33,16,18.50,0.00,82,0.00,-11.46,1.30,0.00,0.00,17.62
35416,0.00,0.00,12.29,13.68,172,0.12,1704,0.00,0.00,33.33,16,15.50,0.00,82,0.00,-11.90,1.26,0.00,0.00,15.86
35682,0.00,0.00,12.75,13.44,172,0.16,1352,0.00,0.00,33.33,16,13.50,0.00,82,0.00,-11.75,1.30,0.00,0.00,13.05
35948,0.00,0.00,16.19,13.52,172,0.18,1026,0.00,0.00,33.33,16,21.00,1.09,82,0.00,-11.17,1.24,0.00,0.00,13.05
36214,0.00,0.00,18.03,13.68,172,0.19,1077,0.00,0.00,33.33,16,19.00,1.15,82,0.00,-10.59,1.26,0.00,0.00,13.05
36480,-1.56,0.00,13.09,13.68,172,0.21,1078,0.00,0.00,33.33,16,16.00,1.15,82,0.00,-10.59,1.28,0.00,0.00,13.05
36746,-3.12,0.00,12.29,13.68,172,0.20,1056,0.00,0.00,33.33,16,17.50,1.13,82,0.00,-10.59,1.30,0.00,0.00,13.05
37012,-3.91,0.00,12.63,13.76,172,0.21,1058,0.00,0.00,33.33,16,16.50,1.13,82,0.00,-10.45,1.28,0.00,0.00,13.05
37278,-3.91,0.00,13.09,13.76,172,0.21,1054,0.00,0.00,33.33,16,15.50,1.12,82,0.00,-10.45,1.28,0.00,0.00,13.05
37543,-4.69,0.00,13.32,13.84,172,0.22,1038,0.00,0.00,33.33,16,16.50,1.11,82,0.00,-10.45,1.30,0.00,0.00,13.05
37809,-5.47,0.00,13.67,13.84,172,0.21,1037,0.00,0.00,33.33,16,15.50,1.11,82,0.00,-10.45,1.28,0.00,0.00,13.05
38075,-6.25,0.00,13.78,13.92,172,0.21,1035,0.00,0.00,33.33,16,15.00,1.10,82,0.00,-10.59,1.28,0.00,0.00,13.05
38342,-7.03,0.00,13.90,13.84,172,0.21,1025,0.00,0.00,33.33,16,15.50,1.09,82,0.00,-10.59,1.26,0.00,0.00,13.05
38607,-7.81,0.00,13.78,13.84,172,0.22,1007,0.00,0.00,33.33,16,16.50,1.07,82,0.00,-10.59,1.28,0.00,0.00,13.05
38873,-8.59,0.00,13.55,13.84,172,0.22,1005,0.00,0.00,33.33,16,15.50,1.07,82,0.00,-10.59,1.28,0.00,0.00,13.05
39139,-10.16,0.00,13.21,13.84,172,0.23,994,0.00,0.00,33.33,16,15.50,1.04,82,0.00,-10.59,1.28,0.00,0.00,13.05
39405,-10.94,0.00,13.21,13.92,172,0.23,995,0.00,0.00,33.33,16,15.00,1.05,82,0.00,-10.45,1.30,0.00,0.00,13.05
39671,-11.72,0.00,13.32,13.92,172,0.23,999,0.00,0.00,33.33,16,14.00,1.07,82,0.00,-10.45,1.28,0.00,0.00,13.05
39938,-12.50,0.00,13.67,13.92,172,0.23,984,0.00,0.00,33.33,16,14.50,1.05,82,0.00,-10.45,1.30,0.00,0.00,13.05
40203,-13.28,0.00,13.67,13.76,172,0.24,960,0.00,0.00,33.33,16,16.00,1.02,82,0.00,-10.45,1.30,0.00,0.00,13.05
40469,-14.06,0.00,13.78,13.76,174,0.25,932,0.00,0.00,33.33,16,16.50,0.99,82,0.00,-10.30,1.30,0.00,0.00,13.05
40735,-14.84,0.00,13.90,13.84,174,0.24,958,0.00,0.00,33.33,16,15.50,1.02,82,0.00,-10.16,1.28,0.00,0.00,13.05
41000,-15.62,0.00,13.90,13.84,174,0.24,923,0.00,0.00,33.33,16,16.50,0.98,82,0.00,-10.30,1.28,0.00,0.00,13.05
41266,-15.62,0.00,14.13,13.84,174,0.23,933,0.00,0.00,33.33,16,14.00,0.99,82,0.00,-10.16,1.28,0.00,0.00,13.05
41532,-15.62,0.00,14.36,13.84,174,0.24,929,0.00,0.00,33.33,16,14.50,0.99,82,0.00,-10.16,1.30,0.00,0.00,13.05
41798,-15.62,0.00,14.36,13.92,174,0.24,926,0.00,0.00,33.33,16,14.50,0.99,82,0.00,-10.16,1.30,0.00,0.00,13.05
42063,-16.41,0.00,14.24,13.84,174,0.25,905,0.00,0.00,33.33,16,16.00,0.97,82,0.00,-10.01,1.30,0.00,0.00,13.05
42329,-16.41,0.00,14.36,13.84,174,0.24,919,0.00,0.00,33.33,16,14.00,0.98,82,0.00,-10.01,1.30,0.00,0.00,13.05
42595,-16.41,0.00,14.36,13.92,174,0.25,899,0.00,0.00,33.33,16,15.50,0.96,82,0.00,-10.01,1.30,0.00,0.00,13.05
42860,-17.19,0.00,14.47,13.92,174,0.25,904,0.00,0.00,33.33,16,14.00,0.96,82,0.00,-9.87,1.30,0.00,0.00,13.05
43126,-17.19,0.00,14.59,13.84,174,0.26,897,0.00,0.00,33.33,16,14.00,0.96,82,0.00,-9.87,1.30,0.00,0.00,13.05
43392,-17.19,0.00,14.70,13.60,174,0.31,866,0.00,0.00,33.33,16,17.00,0.92,82,0.00,-9.72,1.34,0.00,0.78,13.05
43658,-16.41,0.00,15.04,13.60,174,0.39,864,0.00,0.00,33.33,16,31.50,1.18,82,0.00,-9.00,1.48,0.00,1.96,38.36
43923,-8.59,0.00,16.08,13.84,174,0.28,1220,0.00,0.00,33.33,16,31.50,1.63,82,0.00,-8.85,1.48,0.00,2.35,40.47
44189,-0.78,0.00,16.65,13.84,174,0.27,1379,0.00,0.00,33.33,16,30.50,1.79,82,0.00,-9.58,1.50,0.00,2.75,26.41
44456,11.72,0.00,17.00,13.76,174,0.25,1508,0.00,0.00,33.33,16,40.00,1.93,82,0.00,-10.01,1.50,0.00,2.75,26.41
44722,16.41,0.00,16.31,13.68,174,0.24,1594,0.00,0.00,33.33,16,41.00,2.04,82,0.00,-10.30,1.50,0.00,2.75,26.41
44987,13.28,0.00,14.36,13.84,174,0.22,1687,0.00,0.00,33.33,16,26.00,1.80,82,0.00,-10.74,1.48,0.00,2.75,26.41
45254,7.81,0.00,13.90,13.84,174,0.22,1710,0.00,0.00,33.33,16,31.50,1.82,82,0.00,-10.88,1.50,0.00,2.75,33.44
45519,4.69,0.00,14.13,13.84,174,0.22,1741,0.00,0.00,33.33,16,40.50,1.86,82,0.00,-11.03,1.50,0.00,2.75,34.14
45785,0.00,0.00,13.78,13.84,174,0.33,1638,0.00,0.00,33.33,16,26.00,2.10,82,0.00,-10.45,1.66,0.00,5.49,30.27
46051,-0.78,0.78,14.47,13.92,174,0.39,1722,0.00,0.00,33.33,16,26.00,2.20,82,0.00,-9.29,1.78,0.00,6.67,28.87
