Time (msec),A/F Correction #1 (%),A/F Learning #1 (%),A/F Sensor #1 (AFR),Battery Voltage (V),Coolant Temperature (F),Engine Load (Calculated) (g/rev),Engine Speed (rpm),Feedback Knock Correction* (degrees),Fine Learning Knock Correction* (degrees),Fuel Pump Duty (%),IAM* (raw ecu value),Ignition Total Timing (degrees),Injector Duty Cycle (%),Intake Air Temperature (F),Knock Correction Advance (degrees),Manifold Relative Pressure (psi),Mass Airflow Sensor Voltage (V),Primary Wastegate Duty Cycle (%),Throttle Opening Angle (%),Ignition Base Timing* (degrees)
0,-22.66,0.00,12.98,12.96,165,0.22,806,0.00,0.00,33.33,16,13.00,1.03,91,0.00,-10.16,1.24,0.00,0.00,13.05
266,-23.44,0.00,13.21,12.88,165,0.23,802,0.00,0.00,33.33,16,13.00,1.03,91,0.00,-10.16,1.24,0.00,0.00,13.05
531,-22.66,0.00,13.55,13.04,165,0.24,794,0.00,0.00,33.33,16,14.00,1.02,91,0.00,-10.01,1.24,0.00,0.00,13.05
798,-22.66,0.00,13.55,13.28,165,0.25,780,0.00,0.00,33.33,16,15.00,1.00,91,0.00,-9.87,1.24,0.00,0.00,13.05
1064,-22.66,0.00,13.55,13.28,165,0.26,780,0.00,0.00,33.33,16,14.50,1.00,91,0.00,-9.72,1.24,0.00,0.00,13.05
1330,-22.66,0.00,13.67,13.44,165,0.27,777,0.00,0.00,33.33,16,14.00,0.83,91,0.00,-9.58,1.26,0.00,0.00,13.05
1596,-22.66,0.00,14.01,13.52,165,0.28,791,0.00,0.00,33.33,16,14.00,0.99,91,0.00,-9.58,1.28,0.00,0.00,13.05
1862,-22.66,0.00,14.36,13.52,165,0.29,762,0.00,0.00,33.33,16,15.00,0.97,91,0.00,-9.29,1.30,0.00,0.00,13.05
2127,-22.66,0.00,14.70,13.44,165,0.31,772,0.00,0.00,33.33,16,13.00,0.99,91,0.00,-9.14,1.30,0.00,0.00,13.05
2393,-21.09,0.00,15.04,13.52,165,0.33,768,0.00,0.00,33.33,16,14.50,0.98,91,0.00,-8.85,1.34,0.00,0.00,13.05
2660,-17.19,0.00,16.42,13.20,165,0.42,740,0.00,0.00,33.33,16,16.00,0.95,91,0.00,-8.56,1.44,0.00,0.00,13.05
2925,-13.28,0.00,17.23,13.52,165,0.35,844,0.00,0.00,33.33,16,4.50,1.08,91,0.00,-7.84,1.38,0.00,1.18,13.05
3191,-7.03,0.00,17.80,13.84,165,0.37,986,0.00,0.00,33.33,16,26.00,1.26,91,0.00,-7.98,1.50,0.00,2.75,26.41
3457,3.91,0.00,17.34,13.92,165,0.31,1326,0.00,0.00,33.33,16,30.50,1.70,91,0.00,-8.56,1.54,0.00,3.53,40.12
3723,12.50,0.00,16.65,13.92,165,0.29,1624,0.00,0.00,33.33,16,28.50,2.08,91,0.00,-9.43,1.60,0.00,4.31,26.41
3989,18.75,0.00,15.62,13.84,165,0.30,1692,0.00,0.00,33.33,16,30.00,2.17,91,0.00,-10.01,1.62,0.00,4.31,26.41
4255,22.66,0.00,14.70,13.84,165,0.32,1620,0.00,0.00,33.33,16,26.00,2.07,91,0.00,-9.87,1.64,0.00,4.71,26.41
4521,18.75,0.00,13.55,13.84,165,0.33,1567,0.00,0.00,33.33,16,26.00,2.34,91,0.00,-9.58,1.64,0.00,4.71,26.41
4787,14.06,0.00,12.86,13.92,165,0.24,1639,0.00,0.00,33.33,16,15.00,2.10,91,0.00,-10.45,1.38,0.00,0.00,15.16
5053,0.00,0.00,12.63,13.92,165,0.13,1566,0.00,0.00,33.33,16,14.00,1.67,91,0.00,-11.61,1.26,0.00,0.00,14.45
5319,0.00,0.00,12.40,13.84,165,0.17,1353,0.00,0.00,33.33,16,21.00,1.44,91,0.00,-11.61,1.28,0.00,0.00,13.05
5585,0.00,0.00,12.06,13.84,165,0.18,1217,0.00,0.00,33.33,16,21.00,1.30,91,0.00,-11.32,1.28,0.00,0.00,13.05
5851,0.00,0.00,11.94,13.92,165,0.19,1178,0.00,0.00,33.33,16,21.00,1.26,91,0.00,-11.17,1.30,0.00,0.00,13.05
6117,0.00,0.00,11.94,13.92,165,0.19,1140,0.00,0.00,33.33,16,21.00,1.21,91,0.00,-11.03,1.28,0.00,0.00,13.05
6383,0.00,0.00,12.06,13.92,165,0.20,1081,0.00,0.00,33.33,16,21.00,1.15,91,0.00,-10.88,1.28,0.00,0.00,13.05
6649,-6.25,0.00,12.17,13.92,165,0.21,1060,0.00,0.00,33.33,16,21.00,1.13,91,0.00,-10.74,1.28,0.00,0.00,13.05
6915,-10.94,0.00,12.40,13.84,165,0.21,1056,0.00,0.00,33.33,16,21.00,1.13,91,0.00,-10.74,1.28,0.00,0.00,13.05
7182,-14.06,0.00,12.63,13.84,165,0.21,1046,0.00,0.00,33.33,16,20.50,1.12,91,0.00,-10.59,1.28,0.00,0.00,13.05
7448,-17.19,0.00,12.98,13.84,165,0.21,1053,0.00,0.00,33.33,16,18.50,1.12,91,0.00,-10.59,1.28,0.00,0.00,13.05
7713,-20.31,0.00,13.09,13.84,165,0.21,1039,0.00,0.00,33.33,16,18.50,1.11,91,0.00,-10.59,1.28,0.00,0.00,13.05
7980,-23.44,0.00,13.21,13.84,165,0.22,1020,0.00,0.00,33.33,16,17.50,1.09,91,0.00,-10.59,1.28,0.00,0.00,13.05
8245,-23.44,0.00,13.32,13.92,167,0.23,998,0.00,0.00,33.33,16,18.50,1.06,91,0.00,-10.59,1.30,0.00,0.00,13.05
8554,-23.44,0.00,13.55,13.84,167,0.26,995,0.00,0.00,33.33,16,17.50,1.06,91,0.00,-10.45,1.34,0.00,0.00,13.05
8821,-23.44,0.00,13.67,13.68,167,0.24,990,0.00,0.00,33.33,16,17.50,1.06,91,0.00,-10.30,1.30,0.00,0.00,13.05
9087,-23.44,0.00,13.78,13.68,167,0.23,966,0.00,0.00,33.33,16,18.00,1.03,91,0.00,-10.45,1.30,0.00,0.00,13.05
9352,-23.44,0.00,14.01,13.68,167,0.24,938,0.00,0.00,33.33,16,17.50,1.00,91,0.00,-10.30,1.28,0.00,0.00,13.05
9618,-22.66,0.00,14.24,13.76,167,0.25,931,0.00,0.00,33.33,16,18.00,0.99,91,0.00,-10.16,1.28,0.00,0.00,13.05
9885,-22.66,0.00,14.36,13.76,167,0.24,916,0.00,0.00,33.33,16,18.50,0.98,91,0.00,-10.16,1.28,0.00,0.00,13.05
10150,-22.66,0.00,14.36,13.76,167,0.24,910,0.00,0.00,33.33,16,17.50,0.97,91,0.00,-10.01,1.26,0.00,0.00,13.05
10416,-22.66,0.00,14.47,13.76,167,0.24,889,0.00,0.00,33.33,16,18.50,0.95,91,0.00,-10.01,1.26,0.00,0.00,13.05
10682,-22.66,0.00,14.59,13.76,167,0.24,866,0.00,0.00,33.33,16,19.50,0.92,91,0.00,-10.01,1.28,0.00,0.00,13.05
10947,-23.44,0.00,14.59,13.84,167,0.24,876,0.00,0.00,33.33,16,17.00,0.93,91,0.00,-10.01,1.28,0.00,0.00,13.05
11213,-23.44,0.00,14.70,13.84,167,0.23,866,0.00,0.00,33.33,16,17.00,0.92,91,0.00,-10.01,1.24,0.00,0.00,13.05
11479,-23.44,0.00,14.81,13.92,167,0.23,867,0.00,0.00,33.33,16,16.00,0.92,91,0.00,-10.16,1.26,0.00,0.00,13.05
11744,-22.66,0.00,14.81,13.68,167,0.23,855,0.00,0.00,33.33,16,16.50,0.91,91,0.00,-10.16,1.24,0.00,0.00,13.05
12009,-23.44,0.00,14.70,13.44,167,0.23,834,0.00,0.00,33.33,16,17.50,1.06,91,0.00,-10.16,1.26,0.00,0.00,13.05
12276,-23.44,0.00,14.59,13.44,167,0.27,834,0.00,0.00,33.33,16,16.50,1.06,91,0.00,-10.01,1.30,0.00,0.00,13.05
12541,-23.44,0.00,14.24,13.36,167,0.31,812,0.00,0.00,33.33,16,17.50,1.02,91,0.00,-9.58,1.34,0.00,0.78,13.05
12807,-22.66,0.00,14.36,13.44,167,0.53,779,0.00,0.00,33.33,16,18.00,1.16,91,0.00,-8.71,1.58,0.00,4.31,27.81
13073,-17.97,0.00,15.16,14.00,167,0.51,1060,0.00,0.00,33.33,16,41.00,1.58,91,0.00,-6.53,1.66,0.00,5.49,26.41
13338,0.00,0.00,17.69,13.92,167,0.44,1352,0.00,0.00,33.33,16,34.00,2.02,91,0.00,-6.53,1.70,0.00,5.49,26.41
13604,12.50,0.00,17.11,13.76,167,0.36,1651,0.00,0.00,33.33,16,26.00,2.47,91,0.00,-7.69,1.72,0.00,5.88,26.41
13870,15.62,0.00,15.04,13.76,167,0.36,1685,0.00,0.00,33.33,16,39.50,2.52,91,0.00,-8.85,1.72,0.00,5.49,41.52
14136,15.62,0.00,14.13,13.76,167,0.37,1615,0.00,0.00,33.33,16,33.50,2.41,91,0.00,-9.00,1.72,0.00,5.49,29.57
14402,12.50,0.00,13.44,13.76,167,0.40,1503,0.00,0.00,33.33,16,33.00,2.24,91,0.00,-8.71,1.72,0.00,5.49,26.41
14668,10.16,0.00,13.32,13.76,167,0.41,1447,0.00,0.00,33.33,16,41.00,2.16,91,0.00,-8.13,1.72,0.00,5.49,40.12
14934,4.69,0.00,13.67,13.76,169,0.42,1441,0.00,0.00,33.33,16,30.50,2.15,91,0.00,-7.98,1.72,0.00,5.49,29.22
15200,3.12,0.00,14.24,13.76,169,0.41,1398,0.00,0.00,33.33,16,31.00,2.09,91,0.00,-7.98,1.70,0.00,5.49,30.98
15466,3.12,0.00,14.59,13.84,169,0.24,1430,0.00,0.00,33.33,16,30.50,1.83,91,0.00,-9.00,1.46,0.00,1.96,39.77
15732,2.34,0.00,14.36,13.84,169,0.15,1498,0.00,0.00,33.33,16,25.00,1.60,91,0.00,-10.45,1.32,0.00,0.00,33.79
15998,0.00,0.00,14.13,13.76,169,0.15,1478,0.00,0.00,33.33,16,21.00,1.58,91,0.00,-11.32,1.28,0.00,0.00,21.48
16265,0.00,0.00,13.44,13.76,169,0.17,1346,0.00,0.00,33.33,16,21.00,1.44,91,0.00,-11.32,1.28,0.00,0.00,13.05
16531,0.00,0.00,12.17,13.68,169,0.18,1247,0.00,0.00,33.33,16,21.00,1.32,91,0.00,-11.32,1.30,0.00,0.00,13.05
16797,0.00,0.00,11.94,13.76,169,0.18,1215,0.00,0.00,33.33,16,21.00,1.29,91,0.00,-11.17,1.28,0.00,0.00,13.05
17062,0.00,0.00,12.06,13.68,169,0.19,1168,0.00,0.00,33.33,16,21.00,1.24,91,0.00,-11.17,1.28,0.00,0.00,13.05
17328,0.00,0.00,12.17,13.60,169,0.22,1062,0.00,0.00,33.33,16,21.00,1.13,91,0.00,-11.03,1.32,0.00,0.00,13.05
17594,-1.56,0.00,12.29,13.60,169,0.25,1038,0.00,0.00,33.33,16,21.00,1.11,91,0.00,-10.59,1.34,0.00,0.00,13.05
17860,-3.91,0.00,12.40,13.84,169,0.27,1064,0.00,0.00,33.33,16,18.50,1.13,91,0.00,-10.16,1.38,0.00,0.00,13.05
18126,-4.69,0.00,13.09,13.92,169,0.29,1031,0.00,0.00,33.33,16,21.00,1.10,90,0.00,-10.01,1.42,0.00,0.78,13.05
18391,-3.91,0.00,14.47,14.00,169,0.35,1040,0.00,0.00,33.33,16,20.50,1.33,90,0.00,-9.43,1.48,0.00,1.96,26.05
18657,-0.78,0.00,15.85,14.00,169,0.32,1211,0.00,0.00,33.33,16,40.00,1.55,90,0.00,-9.00,1.50,0.00,1.96,26.41
18922,-0.78,0.00,15.16,13.92,169,0.31,1278,0.00,0.00,33.33,16,41.00,1.64,90,0.00,-9.43,1.52,0.00,1.96,26.41
19189,3.91,0.00,15.62,13.92,169,0.34,1219,0.00,0.00,33.33,16,29.00,1.56,90,0.00,-9.43,1.54,0.00,2.35,26.41
19454,7.81,0.00,15.96,13.76,169,0.40,1098,0.00,0.00,33.33,16,41.00,1.64,90,0.00,-8.71,1.56,0.00,2.75,26.41
19720,4.69,0.00,14.93,13.92,169,0.43,1054,0.00,0.00,33.33,16,40.50,1.57,90,0.00,-7.98,1.60,0.00,3.14,30.27
19986,-1.56,0.00,13.55,13.92,169,0.44,1114,0.00,0.00,33.33,16,32.50,1.66,90,0.00,-7.55,1.60,0.00,3.53,30.98
20252,0.78,0.00,14.59,13.76,169,0.48,1101,0.00,0.00,33.33,16,30.50,1.64,90,0.00,-7.25,1.64,0.00,3.53,26.41
20518,6.25,0.00,15.73,13.76,171,0.49,1087,0.00,0.00,33.33,16,30.50,1.86,90,0.00,-6.82,1.66,0.00,3.92,26.41
20785,9.38,0.00,15.85,13.76,171,0.47,1144,0.00,0.00,33.33,16,40.00,1.95,90,0.00,-6.53,1.66,0.00,4.31,26.41
21051,7.81,0.00,15.16,13.76,171,0.46,1240,0.00,0.00,33.33,16,26.00,2.12,90,0.00,-6.96,1.68,0.00,4.31,26.41
21316,7.81,0.00,14.70,13.68,171,0.46,1258,0.00,0.00,33.33,16,32.50,2.11,90,0.00,-7.25,1.70,0.00,4.31,30.98
21582,7.03,0.00,14.70,13.52,171,0.55,1100,0.00,0.00,33.33,16,40.00,1.81,90,0.00,-6.82,1.70,0.00,4.31,31.33
21848,6.25,0.00,14.70,13.60,171,0.60,994,0.00,0.00,33.33,16,33.00,1.91,90,0.00,-6.09,1.70,0.00,4.71,33.79
22113,1.56,0.00,14.01,13.68,171,0.45,1114,0.00,0.00,33.33,16,29.50,1.90,90,0.00,-6.24,1.64,0.00,4.71,40.12
22379,0.78,0.00,14.13,13.76,171,0.42,1206,0.00,0.00,33.33,16,26.00,1.80,90,0.00,-6.96,1.64,0.00,4.71,26.41
22645,3.12,0.00,15.16,13.92,171,0.42,1293,0.00,0.00,33.33,16,29.50,1.93,90,0.00,-7.55,1.66,0.00,5.10,41.52
22911,3.91,0.00,15.16,14.00,171,0.46,1386,0.00,0.00,33.33,16,40.00,2.07,90,0.00,-7.84,1.74,0.00,6.27,40.47
23176,6.25,0.00,15.16,13.92,171,0.49,1474,0.00,0.00,33.33,16,40.50,2.52,88,0.50,-7.11,1.82,0.00,7.06,26.41
23442,10.16,0.00,15.39,13.84,171,0.50,1564,0.00,0.00,33.33,16,30.50,2.67,88,1.00,-6.96,1.86,0.00,8.24,26.41
23708,10.94,0.00,14.93,13.84,171,0.51,1682,0.00,0.00,33.33,16,33.00,2.87,88,2.00,-6.82,1.92,0.00,8.63,31.33
23974,10.94,0.00,14.70,13.68,171,0.49,1815,0.00,0.00,33.33,16,43.00,3.10,88,2.00,-7.11,1.94,0.00,9.02,26.41
24240,10.16,0.00,14.47,13.68,171,0.47,1920,0.00,0.00,33.33,16,27.50,3.28,88,1.00,-7.25,1.94,0.00,9.02,26.41
24506,8.59,0.00,14.36,13.60,171,0.46,1997,0.00,0.00,33.33,16,27.00,3.41,88,1.00,-7.40,1.94,0.00,9.02,26.41
