Time (msec),A/F Correction #1 (%),A/F Learning #1 (%),A/F Sensor #1 (AFR),Battery Voltage (V),Coolant Temperature (F),Engine Load (Calculated) (g/rev),Engine Speed (rpm),Feedback Knock Correction* (degrees),Fine Learning Knock Correction* (degrees),Fuel Pump Duty (%),IAM* (raw ecu value),Ignition Total Timing (degrees),Injector Duty Cycle (%),Intake Air Temperature (F),Manifold Absolute Pressure (psi),Manifold Relative Pressure (psi),Mass Airflow Sensor Voltage (V),Primary Wastegate Duty Cycle (%),Throttle Opening Angle (%)
10023,14.06,1.56,13.90,13.52,178,0.42,1352,0.00,0.00,33.33,16,26.00,2.31,109,6.67,-8.13,1.68,0.00,5.49
10280,11.72,1.56,13.32,13.52,178,0.44,1292,0.00,0.00,33.33,16,30.50,2.21,109,6.96,-7.84,1.70,0.00,5.49
10537,8.59,1.56,13.44,13.60,178,0.45,1312,0.00,0.00,33.33,16,29.50,2.24,109,7.40,-7.40,1.72,0.00,5.49
10794,3.12,2.34,13.44,13.52,178,0.45,1373,0.00,0.00,33.33,16,26.00,2.34,109,7.40,-7.40,1.72,0.00,5.49
11050,0.78,3.12,14.13,13.52,178,0.44,1404,0.00,0.00,33.33,16,31.00,2.40,109,7.40,-7.40,1.72,0.00,5.49
11308,-0.78,3.12,14.36,13.60,178,0.43,1443,0.00,0.00,33.33,16,26.00,2.13,109,7.40,-7.55,1.72,0.00,5.49
11564,-0.78,3.91,14.59,13.52,178,0.44,1410,0.00,0.00,33.33,16,26.00,2.49,109,7.25,-7.55,1.74,0.00,5.49
11822,-0.78,3.91,14.70,13.52,178,0.43,1375,0.00,0.00,33.33,16,26.00,2.05,109,7.25,-7.55,1.72,0.00,5.10
12077,-0.78,3.91,14.70,13.60,178,0.43,1346,0.00,0.00,33.33,16,26.00,2.01,109,7.25,-7.55,1.70,0.00,4.71
12336,-1.56,3.91,14.70,13.60,178,0.42,1326,0.00,0.00,33.33,16,31.50,1.98,109,7.11,-7.69,1.68,0.00,4.71
12593,-0.78,1.56,14.93,13.60,178,0.41,1307,0.00,0.00,33.33,16,26.00,1.95,109,6.96,-7.84,1.66,0.00,4.31
12849,0.78,1.56,15.04,13.60,178,0.44,1232,0.00,0.00,33.33,16,29.00,1.84,109,7.11,-7.69,1.66,0.00,4.31
13106,0.78,1.56,14.93,13.60,178,0.46,1166,0.00,0.00,33.33,16,32.00,1.74,109,7.40,-7.40,1.64,0.00,4.31
13364,-1.56,1.56,14.47,13.60,178,0.46,1164,0.00,0.00,33.33,16,41.00,1.74,109,7.84,-6.96,1.66,0.00,4.31
13620,-2.34,1.56,14.47,13.68,178,0.42,1258,0.00,0.00,33.33,16,41.00,1.88,109,7.55,-7.25,1.66,0.00,4.31
13877,-1.56,1.56,14.93,13.68,178,0.42,1313,0.00,0.00,33.33,16,41.00,1.96,109,7.11,-7.69,1.66,0.00,4.31
14134,2.34,1.56,15.50,13.60,178,0.40,1374,0.00,0.00,33.33,16,34.00,2.05,109,6.82,-7.98,1.66,0.00,4.31
14390,5.47,1.56,15.39,13.60,178,0.39,1355,0.00,0.00,33.33,16,29.50,2.12,109,6.82,-7.98,1.66,0.00,4.31
14647,3.91,1.56,14.70,13.52,178,0.38,1437,0.00,0.00,33.33,16,39.50,2.18,109,6.67,-8.13,1.68,0.00,4.71
14904,3.12,1.56,14.59,13.60,178,0.38,1504,0.00,0.00,33.33,16,33.00,2.25,109,6.53,-8.27,1.68,0.00,4.71
15160,3.12,1.56,14.70,13.68,178,0.37,1548,0.00,0.00,33.33,16,26.00,2.31,109,6.53,-8.27,1.70,0.00,4.71
15418,3.12,1.56,14.70,13.68,178,0.37,1616,0.00,0.00,33.33,16,31.50,2.41,109,6.24,-8.56,1.70,0.00,4.71
15675,2.34,2.34,14.59,13.68,178,0.38,1660,0.00,0.00,33.33,16,30.50,2.48,109,6.09,-8.71,1.72,0.00,5.49
15931,2.34,3.12,14.70,13.68,178,0.38,1723,0.00,0.00,33.33,16,41.00,2.57,109,5.95,-8.85,1.76,0.00,5.49
16188,1.56,3.12,14.70,13.68,178,0.38,1769,0.00,0.00,33.33,16,26.00,2.64,109,6.09,-8.71,1.78,0.00,6.27
16445,1.56,3.91,14.70,13.68,178,0.41,1833,0.00,0.00,33.33,16,26.00,2.74,108,6.38,-8.42,1.84,0.00,7.06
16703,1.56,3.91,14.59,13.68,178,0.42,1915,0.00,0.00,33.33,16,32.50,2.86,108,6.67,-8.13,1.88,0.00,7.45
