Time (msec),A/F Correction #1 (%),A/F Learning #1 (%),A/F Sensor #1 (AFR),Battery Voltage (V),Coolant Temperature (F),Engine Load (Calculated) (g/rev),Engine Speed (rpm),Fuel Pump Duty (%),Ignition Total Timing (degrees),Injector Duty Cycle (%),Intake Air Temperature (F),Manifold Absolute Pressure (psi),Manifold Relative Pressure (psi),Mass Airflow Sensor Voltage (V),Primary Wastegate Duty Cycle (%),Throttle Opening Angle (%)
0,-0.78,-17.97,14.47,13.76,171,0.29,873,33.33,12.50,1.49,115,5.22,-9.58,1.26,0.00,5.49
226,0.00,-17.97,14.59,14.08,171,0.29,862,33.33,13.50,1.48,115,5.22,-9.58,1.26,0.00,5.49
452,0.00,-17.97,14.47,14.16,171,0.31,862,33.33,13.50,1.45,115,5.22,-9.43,1.28,0.00,5.88
677,-0.78,-17.97,14.47,14.16,171,0.30,869,33.33,12.50,1.47,115,5.37,-9.43,1.26,0.00,5.88
903,0.00,-17.97,14.47,14.00,171,0.30,870,33.33,12.50,1.48,115,5.37,-9.43,1.28,0.00,5.88
1129,0.00,-17.97,14.59,14.08,171,0.30,854,33.33,14.00,1.48,115,5.37,-9.43,1.26,0.00,5.88
1355,0.00,-17.97,14.59,14.08,171,0.30,879,33.33,12.00,1.48,115,5.37,-9.43,1.28,0.00,5.49
1581,0.00,-17.97,14.59,14.16,171,0.30,871,33.33,12.50,1.47,115,5.37,-9.43,1.26,0.00,5.49
1806,0.00,-17.97,14.59,14.08,171,0.30,868,33.33,13.00,1.50,115,5.37,-9.43,1.28,0.00,5.88
2032,0.00,-17.97,14.59,14.08,171,0.30,864,33.33,13.00,1.48,115,5.37,-9.43,1.26,0.00,5.49
2258,0.00,-17.97,14.59,14.08,171,0.30,870,33.33,13.00,1.47,115,5.37,-9.43,1.28,0.00,5.49
2485,0.00,-17.97,14.59,14.08,171,0.30,868,33.33,13.00,1.48,115,5.37,-9.43,1.26,0.00,5.49
2711,0.00,-17.97,14.59,14.16,171,0.30,868,33.33,13.00,1.49,115,5.37,-9.43,1.28,0.00,5.49
2936,0.00,-17.97,14.59,14.08,171,0.30,850,33.33,14.50,1.47,115,5.37,-9.43,1.26,0.00,5.49
3162,0.78,-17.97,14.59,14.08,171,0.30,868,33.33,13.00,1.47,115,5.37,-9.43,1.28,0.00,5.49
3388,0.00,-17.97,14.47,14.08,171,0.30,871,33.33,12.50,1.47,115,5.37,-9.43,1.26,0.00,5.49
3614,0.00,-17.97,14.47,14.16,171,0.30,859,33.33,14.00,1.49,115,5.37,-9.43,1.28,0.00,5.49
3840,0.00,-17.97,14.47,14.00,171,0.30,866,33.33,13.00,1.48,115,5.37,-9.43,1.26,0.00,5.49
