Time (msec),A/F Correction #1 (%),A/F Learning #1 (%),A/F Sensor #1 (AFR),Battery Voltage (V),Coolant Temperature (F),Engine Load (Calculated) (g/rev),Engine Speed (rpm),Feedback Knock Correction* (degrees),Fine Learning Knock Correction* (degrees),Fuel Pump Duty (%),IAM* (raw ecu value),Ignition Total Timing (degrees),Injector Duty Cycle (%),Intake Air Temperature (F),Knock Correction Advance (degrees),Manifold Relative Pressure (psi),Mass Airflow Sensor Voltage (V),Primary Wastegate Duty Cycle (%),Throttle Opening Angle (%)
0,-25.00,0.00,11.94,12.88,192,0.18,971,0.00,0.00,33.33,16,12.50,1.24,88,0.00,-11.03,1.26,0.00,0.00
257,-25.00,0.00,11.94,12.96,192,0.18,985,0.00,0.00,33.33,16,11.50,1.27,88,0.00,-10.88,1.24,0.00,0.00
515,-25.00,0.00,11.94,13.28,192,0.18,994,0.00,0.00,33.33,16,11.00,1.27,88,0.00,-11.03,1.24,0.00,0.00
772,-25.00,0.00,11.94,13.44,192,0.18,988,0.00,0.00,33.33,16,12.00,1.27,88,0.00,-11.03,1.26,0.00,0.00
1029,-25.00,0.00,11.94,13.44,192,0.18,978,0.00,0.00,33.33,16,13.00,1.25,88,0.00,-10.88,1.24,0.00,0.00
1286,-25.00,0.00,12.06,13.44,192,0.18,980,0.00,0.00,33.33,16,13.00,1.25,88,0.00,-10.88,1.26,0.00,0.00
1543,-25.00,0.00,11.94,13.44,192,0.18,993,0.00,0.00,33.33,16,11.50,1.27,88,0.00,-10.88,1.26,0.00,0.00
1800,-25.00,0.00,12.06,13.44,192,0.18,981,0.00,0.00,33.33,16,13.00,1.26,88,0.00,-10.88,1.24,0.00,0.00
2058,-25.00,0.00,12.06,13.44,192,0.18,978,0.00,0.00,33.33,16,13.00,1.25,88,0.00,-10.88,1.26,0.00,0.00
2315,-25.00,0.00,12.06,13.44,192,0.18,985,0.00,0.00,33.33,16,12.50,1.26,88,0.00,-10.88,1.24,0.00,0.00
2573,-25.00,0.00,12.06,13.44,192,0.18,986,0.00,0.00,33.33,16,13.00,1.26,88,0.00,-10.88,1.26,0.00,0.00
2830,-25.00,0.00,12.06,13.52,192,0.18,976,0.00,0.00,33.33,16,13.00,1.26,88,0.00,-10.88,1.24,0.00,0.00
3087,-25.00,0.00,12.06,13.52,192,0.18,980,0.00,0.00,33.33,16,13.00,1.28,88,0.00,-10.88,1.26,0.00,0.00
3344,-25.00,0.00,12.06,13.52,192,0.18,997,0.00,0.00,33.33,16,11.50,1.28,88,0.00,-11.03,1.26,0.00,0.00
3602,-25.00,0.00,12.06,13.52,192,0.18,992,0.00,0.00,33.33,16,12.00,1.26,88,0.00,-11.03,1.24,0.00,0.00
3859,-25.00,0.00,12.06,13.44,192,0.18,991,0.00,0.00,33.33,16,12.50,1.27,88,0.00,-11.03,1.26,0.00,0.00
4116,-25.00,0.00,12.06,13.44,192,0.18,1000,0.00,0.00,33.33,16,11.50,1.28,88,0.00,-11.03,1.26,0.00,0.00
4374,-25.00,0.00,12.06,13.36,192,0.18,990,0.00,0.00,33.33,16,13.00,1.27,88,0.00,-11.03,1.24,0.00,0.00
4631,-25.00,0.00,12.17,13.36,192,0.18,999,0.00,0.00,33.33,16,13.00,1.28,88,0.00,-11.03,1.26,0.00,0.00
4888,-25.00,0.00,12.06,13.36,192,0.18,996,0.00,0.00,33.33,16,12.50,1.27,88,0.00,-11.03,1.26,0.00,0.00
5145,-25.00,0.00,12.06,13.36,192,0.18,992,0.00,0.00,33.33,16,13.00,1.27,88,0.00,-11.03,1.24,0.00,0.00
5403,-25.00,0.00,12.06,13.28,192,0.18,992,0.00,0.00,33.33,16,13.50,1.27,88,0.00,-11.03,1.26,0.00,0.00
5660,-25.00,0.00,12.06,13.36,192,0.18,996,0.00,0.00,33.33,16,12.00,1.27,88,0.00,-11.03,1.26,0.00,0.00
5918,-25.00,0.00,11.94,13.36,192,0.18,990,0.00,0.00,33.33,16,13.00,1.27,88,0.00,-11.03,1.24,0.00,0.00
6175,-25.00,0.00,12.06,13.44,192,0.17,994,0.00,0.00,33.33,16,12.00,1.28,88,0.00,-11.03,1.26,0.00,0.00
6432,-25.00,0.00,12.06,13.44,192,0.18,990,0.00,0.00,33.33,16,13.00,1.27,86,0.00,-11.03,1.26,0.00,0.00
6689,-25.00,0.00,12.06,13.44,192,0.18,991,0.00,0.00,33.33,16,13.00,1.27,86,0.00,-11.03,1.24,0.00,0.00
6948,-25.00,0.00,12.06,13.52,192,0.17,993,0.00,0.00,33.33,16,13.00,1.28,86,0.00,-11.03,1.26,0.00,0.00
7205,-25.00,0.00,12.06,13.52,192,0.17,998,0.00,0.00,33.33,16,12.50,1.28,86,0.00,-11.03,1.24,0.00,0.00
7463,-25.00,0.00,12.06,13.52,192,0.18,996,0.00,0.00,33.33,16,12.50,1.27,86,0.00,-11.03,1.24,0.00,0.00
7720,-25.00,0.00,12.06,13.44,192,0.18,994,0.00,0.00,33.33,16,13.00,1.28,86,0.00,-11.03,1.26,0.00,0.00
7978,-25.00,0.00,12.06,13.44,192,0.18,989,0.00,0.00,33.33,16,13.00,1.27,86,0.00,-11.03,1.26,0.00,0.00
8235,-25.00,0.00,12.06,13.44,192,0.18,989,0.00,0.00,33.33,16,13.00,1.27,86,0.00,-11.03,1.24,0.00,0.00
8492,-25.00,0.00,12.06,13.36,192,0.18,990,0.00,0.00,33.33,16,13.00,1.27,86,0.00,-11.03,1.26,0.00,0.00
8749,-25.00,0.00,12.06,13.36,192,0.18,987,0.00,0.00,33.33,16,13.00,1.26,86,0.00,-11.03,1.26,0.00,0.00
9007,-25.00,0.00,12.06,13.44,192,0.18,988,0.00,0.00,33.33,16,13.00,1.26,86,0.00,-10.88,1.24,0.00,0.00
9264,-25.00,0.00,12.06,13.44,192,0.18,1005,0.00,0.00,33.33,16,12.00,1.29,86,0.00,-10.88,1.26,0.00,0.00
