Time (msec),A/F Correction #1 (%),A/F Learning #1 (%),A/F Sensor #1 (AFR),Battery Voltage (V),Coolant Temperature (F),Engine Load (Calculated) (g/rev),Engine Speed (rpm),Feedback Knock Correction* (degrees),Fine Learning Knock Correction* (degrees),Fuel Pump Duty (%),IAM* (raw ecu value),Ignition Total Timing (degrees),Injector Duty Cycle (%),Intake Air Temperature (F),Manifold Absolute Pressure (psi),Manifold Relative Pressure (psi),Mass Airflow Sensor Voltage (V),Primary Wastegate Duty Cycle (%),Throttle Opening Angle (%)
0,0.00,0.00,11.94,13.12,194,0.14,1179,0.00,0.00,33.33,16,16.50,1.51,86,3.48,-11.46,1.28,0.00,0.00
257,0.00,0.00,11.94,12.72,194,0.15,1148,0.00,0.00,33.33,16,17.50,1.48,86,3.63,-11.32,1.30,0.00,0.00
514,0.00,0.00,11.94,13.20,194,0.26,1131,0.00,0.00,33.33,16,14.50,1.45,86,3.92,-11.03,1.48,0.00,2.75
771,-14.06,0.00,11.94,13.52,194,0.39,1294,0.00,0.00,33.33,16,27.00,1.66,86,5.37,-9.58,1.68,0.00,5.49
1028,-15.62,0.00,13.21,13.52,194,0.34,1668,0.00,0.00,33.33,16,30.50,2.13,86,5.95,-9.00,1.72,0.00,5.88
1341,0.00,0.00,16.08,13.52,194,0.12,1956,0.00,0.00,33.33,16,25.50,2.50,86,3.63,-11.32,1.36,0.00,0.00
1598,0.00,0.00,14.47,13.36,194,0.06,1721,0.00,0.00,33.33,16,13.00,2.20,86,2.76,-12.19,1.24,0.00,0.00
1856,0.00,0.00,13.32,13.36,194,0.09,1390,0.00,0.00,33.33,16,20.00,1.78,86,2.61,-12.33,1.26,0.00,0.00
2113,0.00,0.00,13.21,13.28,194,0.12,1094,0.00,0.00,33.33,16,20.00,1.40,86,3.05,-11.90,1.26,0.00,0.00
2370,0.00,0.00,13.44,13.52,194,0.15,988,0.00,0.00,33.33,16,20.00,1.26,86,3.48,-11.46,1.26,0.00,0.00
2627,0.00,0.00,12.75,13.60,194,0.18,1019,0.00,0.00,33.33,16,16.50,1.30,86,3.92,-11.03,1.30,0.00,0.00
