Time (msec),A/F Correction #1 (%),A/F Learning #1 (%),A/F Sensor #1 (AFR),Battery Voltage (V),Coolant Temperature (F),Engine Load (Calculated) (g/rev),Engine Speed (rpm),Feedback Knock Correction* (degrees),Fine Learning Knock Correction* (degrees),Fuel Pump Duty (%),IAM* (raw ecu value),Ignition Total Timing (degrees),Injector Duty Cycle (%),Intake Air Temperature (F),Manifold Absolute Pressure (psi),Manifold Relative Pressure (psi),Mass Airflow Sensor Voltage (V),Primary Wastegate Duty Cycle (%),Throttle Opening Angle (%)
0,-21.88,1.56,12.52,13.68,181,0.14,1028,0.00,0.00,33.33,16,11.00,1.32,88,3.92,-10.88,1.26,0.00,0.00
258,-21.88,1.56,12.40,13.68,181,0.14,1023,0.00,0.00,33.33,16,11.50,1.31,86,3.92,-10.88,1.26,0.00,0.00
516,-21.88,1.56,12.40,13.68,180,0.14,1022,0.00,0.00,33.33,16,11.50,1.31,86,3.92,-10.88,1.26,0.00,0.00
774,-21.88,1.56,12.52,13.68,180,0.14,1019,0.00,0.00,33.33,16,12.00,1.30,86,3.92,-10.88,1.26,0.00,0.00
1031,-21.88,1.56,12.40,13.68,180,0.14,1036,0.00,0.00,33.33,16,10.50,1.33,86,3.92,-10.88,1.26,0.00,0.00
1289,-21.88,1.56,12.40,13.68,181,0.15,1018,0.00,0.00,33.33,16,12.50,1.30,86,3.92,-10.88,1.28,0.00,0.00
1546,-21.88,1.56,12.40,13.68,181,0.14,1026,0.00,0.00,33.33,16,11.50,1.31,86,3.92,-10.88,1.26,0.00,0.00
1804,-21.88,1.56,12.52,13.68,181,0.14,1018,0.00,0.00,33.33,16,12.00,1.30,86,3.92,-10.88,1.26,0.00,0.00
2062,-21.88,1.56,12.52,13.68,180,0.14,1030,0.00,0.00,33.33,16,10.50,1.32,86,3.92,-10.88,1.26,0.00,0.00
2320,-21.88,1.56,12.40,13.60,180,0.14,1025,0.00,0.00,33.33,16,11.00,1.32,86,3.92,-10.88,1.26,0.00,0.00
2577,-21.88,1.56,12.40,13.52,181,0.14,1035,0.00,0.00,33.33,16,10.50,1.32,86,3.92,-10.88,1.26,0.00,0.00
2835,-21.88,1.56,12.40,13.52,180,0.14,1021,0.00,0.00,33.33,16,12.00,1.31,86,3.92,-10.88,1.26,0.00,0.00
3092,-21.88,1.56,12.52,13.68,180,0.14,1040,0.00,0.00,33.33,16,10.50,1.33,86,3.92,-10.88,1.26,0.00,0.00
3350,-21.88,1.56,12.40,13.68,180,0.14,1028,0.00,0.00,33.33,16,12.00,1.32,86,3.92,-10.88,1.26,0.00,0.00
3608,-21.88,1.56,12.40,13.68,180,0.14,1038,0.00,0.00,33.33,16,10.50,1.33,86,3.92,-10.88,1.26,0.00,0.00
3866,-21.88,1.56,12.40,13.68,180,0.14,1032,0.00,0.00,33.33,16,11.50,1.32,86,3.92,-10.88,1.26,0.00,0.00
4123,-21.88,1.56,12.40,13.68,180,0.14,1028,0.00,0.00,33.33,16,11.50,1.32,86,3.92,-10.88,1.26,0.00,0.00
4380,-21.88,1.56,12.40,13.76,180,0.14,1028,0.00,0.00,33.33,16,11.50,1.32,86,3.92,-10.88,1.26,0.00,0.00
4638,-21.88,1.56,12.40,13.68,180,0.14,1033,0.00,0.00,33.33,16,11.00,1.32,86,3.92,-10.88,1.26,0.00,0.00
4895,-21.88,1.56,12.40,13.76,180,0.14,1026,0.00,0.00,33.33,16,11.50,1.31,86,3.92,-10.88,1.26,0.00,0.00
5153,-21.88,1.56,12.40,13.68,180,0.14,1038,0.00,0.00,33.33,16,10.50,1.33,86,3.92,-10.88,1.26,0.00,0.00
5410,-21.88,1.56,12.40,13.68,180,0.15,1020,0.00,0.00,33.33,16,12.50,1.31,86,3.92,-10.88,1.26,0.00,0.00
5667,-21.88,1.56,12.52,13.60,180,0.15,1036,0.00,0.00,33.33,16,10.50,1.33,86,3.92,-10.88,1.28,0.00,0.00
5925,-21.88,1.56,12.52,13.60,180,0.14,1033,0.00,0.00,33.33,16,11.50,1.32,86,3.92,-10.88,1.26,0.00,0.00
6182,-21.88,1.56,12.52,13.52,180,0.14,1031,0.00,0.00,33.33,16,11.50,1.32,86,3.92,-10.88,1.26,0.00,0.00
6440,-21.88,1.56,12.40,13.52,180,0.14,1033,0.00,0.00,33.33,16,12.00,1.32,86,3.92,-10.88,1.28,0.00,0.00
6698,-21.88,1.56,12.52,13.44,180,0.14,1026,0.00,0.00,33.33,16,10.50,1.31,86,3.92,-10.88,1.26,0.00,0.00
6956,-21.88,1.56,12.52,13.60,180,0.15,1022,0.00,0.00,33.33,16,13.00,1.31,86,3.92,-10.88,1.26,0.00,0.00
7213,-21.88,1.56,12.52,13.68,180,0.15,1036,0.00,0.00,33.33,16,11.00,1.33,86,3.92,-10.88,1.28,0.00,0.00
7470,-21.88,1.56,12.40,13.68,180,0.14,1038,0.00,0.00,33.33,16,10.50,1.33,86,3.92,-10.88,1.26,0.00,0.00
7728,-21.88,1.56,12.40,13.68,180,0.14,1042,0.00,0.00,33.33,16,11.50,1.33,86,3.92,-10.88,1.28,0.00,0.00
7984,-21.88,1.56,12.52,13.68,180,0.15,1029,0.00,0.00,33.33,16,10.50,1.32,86,3.92,-10.88,1.26,0.00,0.00
8242,-21.88,1.56,12.52,13.68,180,0.14,1046,0.00,0.00,33.33,16,10.00,1.34,86,3.92,-10.88,1.26,0.00,0.00
