Time (msec),A/F Correction #1 (%),A/F Learning #1 (%),A/F Sensor #1 (AFR),Battery Voltage (V),Coolant Temperature (F),Engine Load (Calculated) (g/rev),Engine Speed (rpm),Feedback Knock Correction* (degrees),Fine Learning Knock Correction* (degrees),Fuel Pump Duty (%),IAM* (raw ecu value),Ignition Total Timing (degrees),Injector Duty Cycle (%),Intake Air Temperature (F),Knock Correction Advance (degrees),Manifold Relative Pressure (psi),Mass Airflow Sensor Voltage (V),Primary Wastegate Duty Cycle (%),Throttle Opening Angle (%)
0,-9.38,0.00,14.70,12.64,205,0.26,1034,0.00,0.00,33.33,16,14.00,1.32,140,0.00,-10.30,1.34,0.00,0.00
257,-9.38,0.00,14.70,12.80,205,0.26,1018,0.00,0.00,33.33,16,14.00,1.31,140,0.00,-10.16,1.34,0.00,0.00
514,-9.38,0.00,14.70,13.04,205,0.25,1048,0.00,0.00,33.33,16,12.00,1.34,140,0.00,-10.16,1.34,0.00,0.00
771,-9.38,0.00,14.81,12.96,205,0.26,1015,0.00,0.00,33.33,16,14.00,1.29,140,0.00,-10.16,1.34,0.00,0.00
1028,-9.38,0.00,14.93,12.96,205,0.32,1016,0.00,0.00,33.33,16,14.00,1.31,140,0.00,-10.01,1.38,0.00,0.78
1285,-9.38,0.00,15.16,13.28,205,0.40,1067,0.00,0.00,33.33,16,20.50,1.59,140,0.00,-9.58,1.46,0.00,1.57
1542,-9.38,0.00,14.70,13.44,205,0.34,1270,0.00,0.00,33.33,16,9.50,1.90,140,0.00,-9.43,1.48,0.00,1.96
1799,-17.19,0.00,13.09,13.36,205,0.37,1489,0.00,0.00,33.33,16,25.50,1.91,140,0.00,-9.87,1.54,0.00,4.31
2057,-23.44,-0.78,13.21,13.36,205,0.47,1647,0.00,0.00,33.33,16,30.50,2.46,140,0.00,-9.14,1.76,0.00,7.06
2314,-21.09,-0.78,14.81,13.36,205,0.65,1711,0.00,0.00,33.33,16,27.50,2.92,140,1.00,-7.98,1.90,0.00,10.20
2571,-18.75,-0.78,14.93,13.44,205,0.85,2006,0.00,0.00,33.33,16,12.00,4.28,140,3.50,-6.09,2.06,0.00,11.76
2828,-23.44,-0.78,12.98,13.28,205,0.90,1869,0.00,0.00,33.33,16,13.00,3.99,140,4.00,-5.66,2.08,0.00,11.76
3084,-23.44,-0.78,13.09,13.28,205,0.99,1648,0.00,0.00,33.33,16,33.00,3.87,140,3.00,-4.64,2.06,0.00,11.76
3341,-23.44,-0.78,12.52,13.20,205,1.00,1494,0.00,0.00,33.33,16,10.50,3.51,140,2.00,-3.92,2.02,0.00,11.76
3598,-23.44,-0.78,12.86,13.20,205,1.03,1397,0.00,0.00,33.33,16,24.50,3.30,140,1.00,-3.34,2.02,0.00,11.76
3855,-23.44,-0.78,13.32,13.20,205,1.02,1361,0.00,0.00,33.33,16,30.50,3.23,140,1.00,-3.05,2.00,0.00,12.16
4112,-22.66,-0.78,13.32,13.12,205,1.05,1332,0.00,0.00,33.33,16,24.00,3.42,140,1.00,-2.90,2.00,0.00,11.76
