Time (msec),A/F Correction #1 (%),A/F Learning #1 (%),A/F Sensor #1 (AFR),Battery Voltage (V),Coolant Temperature (F),Engine Load (Calculated) (g/rev),Engine Speed (rpm),Feedback Knock Correction* (degrees),Fine Learning Knock Correction* (degrees),Fuel Pump Duty (%),IAM* (raw ecu value),Ignition Total Timing (degrees),Injector Duty Cycle (%),Intake Air Temperature (F),Knock Correction Advance (degrees),Manifold Relative Pressure (psi),Mass Airflow Sensor Voltage (V),Primary Wastegate Duty Cycle (%),Throttle Opening Angle (%)
0,-14.06,0.00,15.62,12.80,180,0.36,1036,0.00,0.00,33.33,16,18.00,1.33,79,0.00,-9.00,1.42,0.00,0.00
256,-12.50,0.00,15.62,12.72,180,0.35,1044,0.00,0.00,33.33,16,16.00,1.34,79,0.00,-9.00,1.42,0.00,0.00
512,-12.50,0.00,15.16,12.88,180,0.35,1048,0.00,0.00,33.33,16,14.50,1.34,79,0.00,-9.00,1.42,0.00,0.00
770,-13.28,0.00,14.70,13.04,180,0.34,1027,0.00,0.00,33.33,16,26.00,1.31,79,0.00,-9.00,1.50,0.00,2.75
1028,-14.06,-0.78,14.59,13.60,180,0.67,1216,0.00,0.00,33.33,16,24.00,2.08,79,0.00,-7.25,1.80,0.00,6.27
1284,-16.41,-2.34,14.24,13.76,180,0.66,1774,0.00,0.00,33.33,16,10.50,2.73,79,2.00,-6.38,1.86,0.00,7.06
1541,-14.84,-2.34,14.59,13.76,180,0.55,2078,0.00,-0.70,33.33,16,9.50,3.10,79,0.50,-7.40,1.90,0.00,7.45
1799,-22.66,-2.34,13.55,13.68,180,0.51,2333,0.00,-0.70,33.33,16,9.00,2.99,79,0.00,-8.56,1.90,0.00,7.45
2056,-11.72,-2.34,15.85,13.60,180,0.54,2251,0.00,-0.70,33.33,16,32.00,2.88,79,0.00,-8.71,1.90,0.00,7.45
2313,-1.56,-2.34,15.73,13.76,180,0.52,2347,0.00,-0.70,33.33,16,9.50,3.51,79,0.00,-8.85,1.90,0.00,7.45
2571,-0.78,-2.34,14.59,13.60,180,0.50,2403,0.00,-0.70,33.33,16,9.50,3.59,79,0.00,-8.85,1.90,0.00,7.45
2827,-5.47,-2.34,14.24,13.52,180,0.51,2405,0.00,-0.70,33.33,16,9.50,3.59,79,0.00,-9.14,1.90,0.00,7.45
3084,-10.16,-2.34,14.01,13.60,180,0.33,2433,0.00,0.00,33.33,16,33.00,3.11,79,0.00,-9.14,1.66,0.00,0.00
3341,0.00,0.00,12.75,13.52,180,0.17,2180,0.00,0.00,33.33,16,15.00,2.33,79,0.00,-11.46,1.42,0.00,1.96
3599,-14.06,-0.78,11.60,13.44,180,0.86,2070,0.00,-0.35,33.33,16,31.50,3.97,79,1.50,-8.27,2.14,0.00,12.55
3856,-22.66,-2.34,13.44,13.60,180,0.83,2694,0.00,0.00,33.33,16,13.00,4.60,79,4.00,-6.24,2.20,0.78,12.16
4113,-23.44,-2.34,14.59,13.52,180,0.15,2762,0.00,0.00,66.67,16,15.00,2.95,79,0.00,-10.59,1.42,0.00,0.00
4370,0.00,0.00,11.94,13.68,180,0.16,2237,0.00,0.00,33.33,16,15.00,2.51,79,0.00,-11.75,1.42,0.00,0.00
4627,0.00,0.00,12.06,13.60,180,0.20,1760,0.00,0.00,33.33,16,15.00,2.00,79,0.00,-11.17,1.42,0.00,0.00
4885,0.00,0.00,11.60,13.68,180,0.23,1492,0.00,0.00,33.33,16,13.50,1.67,79,0.00,-11.17,1.42,0.00,0.00
5141,-2.34,0.00,11.48,13.60,180,0.28,1338,0.00,0.00,33.33,16,21.00,1.43,79,0.00,-10.74,1.42,0.00,0.00
5399,-10.16,0.00,11.60,13.60,180,0.30,1221,0.00,0.00,33.33,16,21.00,1.30,79,0.00,-10.30,1.44,0.00,0.00
5656,-14.06,0.00,12.29,13.60,180,0.34,1115,0.00,0.00,33.33,16,21.00,1.43,79,0.00,-9.87,1.44,0.00,0.00
5912,-16.41,0.00,13.09,13.44,180,0.37,1041,0.00,0.00,33.33,16,21.00,1.33,79,0.00,-9.29,1.44,0.00,0.00
6170,-17.19,0.00,13.78,13.36,180,0.41,1053,0.00,0.00,33.33,16,21.00,1.35,79,0.00,-9.00,1.46,0.00,1.57
6427,-17.19,0.00,14.47,13.52,180,0.56,1087,0.00,0.00,33.33,16,28.50,1.62,79,0.00,-8.27,1.62,0.00,3.92
6684,-20.31,-2.34,14.13,13.68,180,0.57,1377,0.00,0.00,33.33,16,30.50,2.06,79,0.00,-7.25,1.76,0.00,5.49
6941,-18.75,-2.34,15.04,13.52,180,0.55,1678,0.00,0.00,33.33,16,11.50,2.51,79,1.00,-7.11,1.82,0.00,6.27
7197,-10.16,-2.34,15.85,13.60,180,0.59,1660,0.00,0.00,33.33,16,25.50,2.48,79,1.00,-7.55,1.82,0.00,6.27
7455,-9.38,-2.34,15.27,13.60,180,0.66,1391,0.00,0.00,33.33,16,26.00,2.37,79,1.00,-7.25,1.84,0.00,6.27
7712,-5.47,-2.34,15.50,13.52,180,0.78,1199,0.00,0.00,33.33,16,10.50,2.11,79,0.00,-6.09,1.82,0.00,6.27
7969,3.91,-2.34,16.08,13.52,180,0.84,1124,0.00,0.00,33.33,16,9.50,2.15,79,0.00,-4.93,1.80,0.00,6.27
8226,5.47,-2.34,15.96,13.60,180,0.79,1113,0.00,0.00,33.33,16,10.00,1.91,79,0.00,-4.35,1.80,0.00,6.27
8484,17.19,-2.34,16.77,13.36,180,0.82,1038,0.00,0.00,33.33,16,8.50,1.99,79,0.00,-4.06,1.80,0.00,6.27
8741,19.53,-2.34,16.31,13.44,180,0.78,1098,0.00,0.00,33.33,16,26.00,2.11,79,0.00,-4.06,1.80,0.00,6.27
8997,21.88,-2.34,15.50,13.60,180,0.77,1193,0.00,0.00,33.33,16,10.50,2.29,79,0.00,-4.50,1.80,0.00,6.27
9255,24.22,-2.34,15.27,13.44,180,0.77,1232,0.00,0.00,33.33,16,27.00,2.37,79,0.00,-4.64,1.82,0.00,6.67
9512,21.88,-2.34,14.70,13.28,180,0.82,1252,0.00,0.00,33.33,16,8.50,2.40,79,0.00,-4.93,1.84,0.00,6.67
9769,21.09,-2.34,14.47,13.28,180,0.78,1302,0.00,0.00,33.33,16,9.50,2.50,79,0.00,-4.79,1.84,0.00,7.06
10026,16.41,-2.34,13.67,13.28,180,0.80,1346,0.00,0.00,33.33,16,10.00,2.59,79,1.00,-5.22,1.86,0.00,7.06
10283,14.06,-2.34,14.13,13.36,180,0.73,1446,0.00,0.00,33.33,16,11.50,2.78,79,2.00,-5.51,1.86,0.00,7.06
10541,12.50,-2.34,14.24,13.52,180,0.71,1562,0.00,0.00,33.33,16,13.00,2.67,79,2.50,-5.80,1.88,0.00,7.45
10797,11.72,-2.34,14.36,13.60,180,0.73,1559,0.00,0.00,33.33,16,31.50,2.99,79,3.00,-6.09,1.94,0.00,8.24
11055,8.59,-2.34,14.13,13.60,178,0.86,1696,0.00,-1.05,33.33,16,-3.50,3.26,79,2.00,-5.80,1.98,0.00,9.02
11312,5.47,-2.34,13.90,13.60,178,0.83,1786,0.00,-1.05,33.33,16,13.00,3.41,79,2.00,-5.80,2.02,0.00,9.41
11569,7.03,-2.34,14.70,13.68,178,0.87,1911,0.00,0.00,33.33,16,15.00,3.70,79,4.00,-5.51,2.06,0.00,10.20
11826,3.12,-2.34,13.90,13.68,178,0.90,1966,0.00,0.00,33.33,16,29.00,3.78,79,4.50,-5.37,2.08,0.00,10.59
12083,0.00,-2.34,14.13,13.68,178,0.94,2026,0.00,0.00,33.33,16,13.50,3.89,79,4.50,-5.22,2.10,0.00,11.37
12340,-0.78,-2.34,14.36,13.76,178,0.96,2130,0.00,0.00,33.33,16,13.00,4.09,79,4.50,-5.22,2.16,0.00,11.76
12597,-1.56,-2.34,14.47,13.60,180,0.93,2238,0.00,0.00,33.33,16,36.50,4.30,79,4.50,-5.37,2.16,0.00,12.16
12854,-0.78,-2.34,14.59,13.52,180,0.89,2422,0.00,0.00,33.33,16,14.00,4.65,79,4.50,-5.51,2.22,0.39,12.55
13111,0.78,-2.34,14.70,13.52,178,0.93,2372,0.00,0.00,33.33,16,30.50,4.55,79,4.50,-5.51,2.24,0.78,12.94
13369,6.25,-2.34,15.39,13.52,180,0.89,2501,0.00,0.00,33.33,16,34.50,4.80,79,4.50,-5.66,2.26,0.78,13.33
13626,11.72,-2.34,15.16,13.52,180,0.91,2624,0.00,0.00,33.33,16,13.50,5.04,79,4.50,-5.51,2.30,1.96,14.12
13883,10.94,-2.34,14.47,13.44,180,0.93,2729,0.00,0.00,33.33,16,13.50,5.82,79,4.50,-5.37,2.34,3.14,14.90
14141,7.03,-2.34,13.78,13.44,180,0.95,2820,0.00,0.00,66.67,16,33.00,6.02,79,4.50,-5.22,2.38,3.53,15.29
14398,1.56,-2.34,13.90,13.52,180,0.97,3007,0.00,0.00,66.67,16,29.00,6.29,79,4.50,-4.93,2.42,4.31,16.08
14655,2.34,-2.34,14.47,13.60,180,0.97,3130,0.00,0.00,66.67,16,14.00,6.58,79,4.50,-4.64,2.46,4.71,16.47
14913,-0.78,-0.78,14.47,13.60,180,0.96,3219,0.00,0.00,66.67,16,14.00,6.87,79,4.50,-4.50,2.50,5.49,17.25
15170,-2.34,-0.78,14.47,13.52,180,0.95,3394,0.00,0.00,66.67,16,15.00,7.24,77,4.50,-4.06,2.58,6.67,18.43
15427,-1.56,-0.78,14.70,13.60,180,0.98,3506,0.00,0.00,66.67,16,13.00,7.48,77,4.50,-3.63,2.64,8.24,19.22
15685,-1.56,-0.78,14.47,13.52,180,0.99,3595,0.00,0.00,66.67,16,14.00,8.44,77,4.50,-3.34,2.68,8.63,19.61
15942,-1.56,-0.78,14.59,13.36,180,0.99,3754,0.00,0.00,66.67,16,13.50,8.81,77,4.50,-3.19,2.72,9.02,20.00
16199,0.00,-0.78,14.70,13.36,180,0.98,3902,0.00,0.00,66.67,16,29.00,9.16,77,4.50,-2.90,2.78,9.41,20.39
16457,0.78,-0.78,14.59,13.52,180,1.01,4076,0.00,0.00,66.67,16,14.00,9.56,77,4.50,-2.32,2.88,10.20,21.18
16714,-1.56,-0.78,14.24,13.52,180,1.06,4220,0.00,0.00,66.67,16,29.00,10.80,77,4.50,-2.32,2.94,10.59,21.18
16972,0.00,-0.78,12.29,13.36,180,1.08,4417,0.00,0.00,66.67,16,14.00,13.19,77,4.50,-2.32,3.02,10.98,21.18
17229,0.00,-0.78,11.48,13.36,180,1.07,4744,0.00,0.00,66.67,16,14.00,16.19,77,4.50,-2.32,3.10,10.98,21.18
17485,0.00,-0.78,11.25,13.52,180,1.09,5027,0.00,0.00,66.67,16,29.00,17.16,77,4.50,-2.18,3.20,9.02,21.18
17743,0.00,-0.78,11.25,13.52,180,1.13,5244,0.00,0.00,66.67,16,33.00,19.02,77,4.50,-1.89,3.30,7.06,21.18
18000,0.00,-0.78,11.25,13.52,180,1.13,5458,0.00,0.00,66.67,16,15.50,19.80,77,4.50,-1.74,3.32,6.67,21.18
18258,0.00,-0.78,11.25,13.44,180,1.16,5699,0.00,0.00,66.67,16,37.00,20.67,77,4.50,-1.89,3.38,6.67,21.18
18515,0.00,-0.78,11.25,13.52,180,1.13,5878,0.00,0.00,66.67,16,13.00,21.32,77,4.50,-2.18,3.40,6.67,21.57
18772,0.00,-0.78,11.25,13.60,180,1.15,6014,0.00,0.00,66.67,16,37.00,21.81,77,4.50,-2.03,3.46,6.67,21.96
19030,0.00,-0.78,11.25,13.60,180,1.16,6147,0.00,0.00,66.67,16,17.50,22.29,75,4.50,-1.89,3.52,7.06,23.14
19287,0.00,-0.78,11.37,13.60,180,1.16,6383,0.00,0.00,66.67,16,36.00,24.51,75,4.50,-1.45,3.54,7.06,23.92
19545,0.00,-0.78,11.37,13.52,180,1.13,6708,0.00,0.00,66.67,16,38.50,24.33,75,4.50,-1.31,3.58,7.06,23.92
19802,0.00,-0.78,11.37,13.44,180,0.57,6620,0.00,0.00,66.67,16,35.50,32.48,75,4.50,-5.95,2.76,0.00,0.00
20060,0.00,-0.78,11.83,13.68,180,0.64,5836,0.00,0.00,66.67,16,13.50,0.00,75,0.00,-9.14,2.76,0.00,0.00
20317,0.00,-0.78,20.33,13.44,180,0.62,5060,0.00,0.00,66.67,16,10.50,10.80,75,1.50,-10.16,2.50,0.00,5.49
20574,0.00,-0.78,11.60,13.60,180,1.07,4750,0.00,0.00,66.67,16,27.00,14.19,75,4.50,-3.77,3.12,4.31,29.02
20831,0.00,-0.78,11.71,13.44,180,1.33,3987,0.00,0.00,66.67,16,14.00,15.31,75,4.50,1.16,3.16,11.76,32.16
21087,0.00,-0.78,11.37,13.36,180,1.49,4130,0.00,0.00,66.67,16,29.00,17.62,75,4.50,3.19,3.32,14.12,32.16
21346,0.00,-0.78,11.37,13.44,180,1.69,4180,0.00,0.00,66.67,16,15.50,20.51,75,4.50,4.93,3.48,5.49,32.16
21603,0.00,-0.78,11.48,13.44,180,1.74,4480,0.00,0.00,66.67,16,14.00,22.94,73,4.50,6.38,3.58,0.00,32.16
21860,0.00,-0.78,11.48,13.36,180,1.75,4545,0.00,0.00,66.67,16,13.50,23.06,73,4.50,6.53,3.62,0.00,32.55
22117,0.00,-0.78,11.48,13.52,180,1.81,4690,0.00,0.00,66.67,16,13.50,25.01,73,4.50,7.11,3.70,0.00,37.65
22375,0.00,-0.78,11.48,13.36,180,1.84,4963,0.00,0.00,66.67,16,29.00,27.53,73,4.50,7.55,3.78,0.00,38.82
22633,0.00,-0.78,11.48,13.60,180,1.96,5030,0.00,0.00,66.67,16,29.00,28.97,73,4.50,7.84,3.88,0.00,41.57
22891,0.00,-0.78,11.60,13.60,180,1.90,5274,0.00,0.00,66.67,16,15.50,30.38,73,4.50,7.84,3.92,0.00,41.96
