Time (msec),A/F Correction #1 (%),A/F Learning #1 (%),A/F Sensor #1 (AFR),Battery Voltage (V),Coolant Temperature (F),Engine Load (Calculated) (g/rev),Engine Speed (rpm),Feedback Knock Correction* (degrees),Fine Learning Knock Correction* (degrees),Fuel Pump Duty (%),IAM* (raw ecu value),Ignition Total Timing (degrees),Injector Duty Cycle (%),Intake Air Temperature (F),Knock Correction Advance (degrees),Manifold Relative Pressure (psi),Mass Airflow Sensor Voltage (V),Primary Wastegate Duty Cycle (%),Throttle Opening Angle (%)
0,-25.00,3.12,14.13,13.52,183,0.24,934,0.00,0.00,33.33,15,18.00,1.21,90,0.00,-10.01,1.28,0.00,0.00
266,-25.00,3.12,14.01,13.52,183,0.24,921,0.00,0.00,33.33,15,18.00,1.00,91,0.00,-9.87,1.28,0.00,0.00
517,-25.00,3.12,14.36,13.60,183,0.24,932,0.00,0.00,33.33,15,16.00,0.99,91,0.00,-9.87,1.28,0.00,0.00
768,-25.00,3.12,14.59,13.60,183,0.24,908,0.00,0.00,33.33,15,17.50,0.97,91,0.00,-9.87,1.28,0.00,0.00
1035,-25.00,3.12,14.81,13.68,183,0.24,923,0.00,0.00,33.33,15,14.50,0.98,91,0.00,-9.87,1.28,0.00,0.00
1285,-24.22,3.12,15.16,13.68,183,0.25,908,0.00,0.00,33.33,15,15.50,0.97,91,0.00,-9.72,1.28,0.00,0.00
1536,-22.66,3.12,15.39,13.68,185,0.25,900,0.00,0.00,33.33,15,15.50,0.96,91,0.00,-9.72,1.28,0.00,0.00
1803,-21.09,3.12,15.62,13.60,185,0.26,875,0.00,0.00,33.33,15,17.50,0.93,91,0.00,-9.72,1.28,0.00,0.00
2054,-18.75,3.12,15.96,13.68,185,0.26,880,0.00,0.00,33.33,15,16.00,0.94,91,0.00,-9.72,1.30,0.00,0.00
2320,-17.19,3.12,16.19,13.36,185,0.26,859,0.00,0.00,33.33,15,19.00,0.92,91,0.00,-9.72,1.28,0.00,0.00
2578,-14.84,3.12,16.19,13.60,185,0.26,866,0.00,0.00,33.33,15,15.50,0.92,91,0.00,-9.58,1.30,0.00,0.00
2835,-11.72,3.12,16.54,13.52,185,0.31,845,0.00,0.00,33.33,15,17.50,1.08,91,0.00,-9.43,1.36,0.00,1.96
3091,-7.03,2.34,16.77,13.92,185,0.64,992,0.00,0.00,33.33,15,25.50,1.69,91,0.00,-7.98,1.62,0.00,5.10
3348,-8.59,1.56,15.85,13.76,185,0.49,1558,0.00,0.00,33.33,15,29.50,2.62,91,0.00,-7.11,1.74,0.00,6.27
3604,-11.72,0.78,14.24,13.60,185,0.40,2000,0.00,0.00,33.33,15,26.00,2.99,91,0.00,-8.71,1.76,0.00,6.27
3861,-9.38,0.78,14.93,13.60,185,0.40,1970,0.00,0.00,33.33,15,26.00,2.52,91,0.00,-9.00,1.74,0.00,6.27
4118,-2.34,0.00,15.62,13.60,185,0.45,1808,0.00,0.00,33.33,15,26.00,2.31,91,0.00,-9.00,1.76,0.00,6.27
4375,10.16,-2.34,16.77,13.68,185,0.48,1669,0.00,0.00,33.33,15,40.50,2.49,91,0.00,-8.71,1.76,0.00,6.27
4631,14.06,-2.34,15.50,13.76,185,0.48,1689,0.00,0.00,33.33,15,26.50,2.52,93,0.00,-8.56,1.76,0.00,6.27
4889,19.53,-2.34,15.50,13.76,185,0.48,1708,0.00,0.00,33.33,15,29.50,2.55,93,0.00,-8.56,1.76,0.00,6.27
5146,23.44,-2.34,15.27,13.68,185,0.46,1775,0.00,0.00,33.33,15,26.00,2.65,93,0.00,-8.71,1.76,0.00,6.27
5402,22.66,-2.34,14.81,13.60,185,0.44,1809,0.00,0.00,33.33,15,26.00,2.70,93,0.00,-8.85,1.76,0.00,6.27
5659,17.97,-2.34,14.01,13.52,185,0.45,1805,0.00,0.00,33.33,15,26.00,2.70,93,0.00,-8.85,1.76,0.00,6.27
5917,15.62,-2.34,14.13,13.52,185,0.46,1766,0.00,0.00,33.33,15,26.00,2.64,93,0.00,-8.85,1.76,0.00,6.27
6174,15.62,-2.34,14.36,13.52,185,0.46,1746,0.00,0.00,33.33,15,41.00,2.61,93,0.00,-8.85,1.74,0.00,6.27
6431,14.06,-2.34,14.36,13.52,185,0.45,1774,0.00,0.00,33.33,15,40.50,2.65,93,0.00,-8.85,1.74,0.00,6.27
6688,13.28,-2.34,14.47,13.44,185,0.45,1750,0.00,0.00,33.33,15,26.00,2.61,93,0.00,-8.85,1.74,0.00,5.88
6944,12.50,-2.34,14.47,13.52,185,0.42,1787,0.00,0.00,33.33,15,26.00,2.67,93,0.00,-9.14,1.72,0.00,5.49
7200,9.38,-2.34,14.13,13.60,185,0.40,1798,0.00,0.00,33.33,15,32.50,2.68,93,0.00,-9.29,1.68,0.00,5.49
7458,7.03,-1.56,13.78,13.60,185,0.12,1828,0.00,0.00,33.33,15,34.50,1.95,93,0.00,-11.17,1.28,0.00,0.00
7715,0.00,-0.78,12.75,13.60,185,0.13,1725,0.00,0.00,33.33,15,18.00,1.84,93,0.00,-11.75,1.28,0.00,0.00
7972,0.00,0.00,11.71,13.44,185,0.17,1378,0.00,0.00,33.33,15,21.00,0.00,93,0.00,-11.46,1.30,0.00,0.00
8229,0.00,0.00,11.94,13.44,187,0.23,992,0.00,0.00,33.33,15,21.00,1.06,93,0.00,-11.03,1.28,0.00,0.00
