Time (msec),A/F Correction #1 (%),A/F Learning #1 (%),A/F Sensor #1 (AFR),Battery Voltage (V),Coolant Temperature (F),Engine Load (Calculated) (g/rev),Engine Speed (rpm),Feedback Knock Correction* (degrees),Fine Learning Knock Correction* (degrees),Fuel Pump Duty (%),IAM* (raw ecu value),Ignition Total Timing (degrees),Injector Duty Cycle (%),Intake Air Temperature (F),Knock Correction Advance (degrees),Manifold Relative Pressure (psi),Mass Airflow Sensor Voltage (V),Primary Wastegate Duty Cycle (%),Throttle Opening Angle (%)
0,0.00,3.12,12.52,13.20,185,0.20,1147,0.00,0.00,33.33,16,14.50,1.47,77,0.00,-10.88,1.30,0.00,0.00
257,0.00,3.12,12.40,13.12,185,0.20,1139,0.00,0.00,33.33,16,14.00,1.46,77,0.00,-10.88,1.30,0.00,0.00
514,0.00,3.12,12.40,13.52,185,0.20,1135,0.00,0.00,33.33,16,14.50,1.45,77,0.00,-10.88,1.30,0.00,0.00
771,-0.78,3.12,12.40,13.68,185,0.20,1128,0.00,0.00,33.33,16,14.50,1.45,77,0.00,-10.74,1.30,0.00,0.00
1027,-6.25,3.12,12.29,13.68,185,0.20,1133,0.00,0.00,33.33,16,14.00,1.21,77,0.00,-10.88,1.28,0.00,0.00
1284,-10.94,3.12,12.40,13.68,185,0.20,1128,0.00,0.00,33.33,16,14.00,1.20,77,0.00,-10.88,1.30,0.00,0.00
1541,-15.62,3.12,12.52,13.68,185,0.21,1113,0.00,0.00,33.33,16,15.50,1.19,77,0.00,-10.74,1.30,0.00,0.00
1798,-18.75,3.12,12.63,13.76,185,0.20,1123,0.00,0.00,33.33,16,13.50,1.20,77,0.00,-10.74,1.30,0.00,0.00
2056,-21.09,3.12,12.75,13.68,185,0.21,1111,0.00,0.00,33.33,16,14.00,1.19,77,0.00,-10.74,1.30,0.00,0.00
2313,-21.09,3.12,12.86,13.68,185,0.20,1112,0.00,0.00,33.33,16,14.00,1.19,77,0.00,-10.74,1.28,0.00,0.00
2570,-21.09,3.12,13.09,13.68,185,0.20,1114,0.00,0.00,33.33,16,14.00,1.19,77,0.00,-10.74,1.30,0.00,0.00
2826,-21.88,3.12,12.98,13.68,185,0.20,1100,0.00,0.00,33.33,16,14.00,1.17,77,0.00,-10.74,1.30,0.00,0.00
3084,-21.09,3.12,13.09,13.68,185,0.21,1112,0.00,0.00,33.33,16,12.00,1.19,79,0.00,-10.74,1.30,0.00,0.00
3340,-21.09,3.12,13.09,13.68,185,0.21,1097,0.00,0.00,33.33,16,13.00,1.17,79,0.00,-10.74,1.30,0.00,0.00
3598,-21.88,3.12,12.98,13.76,185,0.21,1114,0.00,0.00,33.33,16,13.00,1.19,79,0.00,-10.74,1.30,0.00,0.00
3855,-21.09,3.12,12.98,13.76,185,0.20,1118,0.00,0.00,33.33,16,11.50,1.19,79,0.00,-10.74,1.30,0.00,0.00
4112,-21.88,3.12,12.98,13.76,185,0.21,1100,0.00,0.00,33.33,16,14.00,1.18,79,0.00,-10.74,1.30,0.00,0.00
4370,-21.88,3.12,12.86,13.76,185,0.20,1107,0.00,0.00,33.33,16,13.00,1.18,79,0.00,-10.74,1.30,0.00,0.00
4627,-21.88,3.12,12.98,13.76,185,0.21,1100,0.00,0.00,33.33,16,14.00,1.17,79,0.00,-10.74,1.30,0.00,0.00
4885,-21.88,3.12,12.86,13.76,187,0.21,1102,0.00,0.00,33.33,16,13.00,1.18,79,0.00,-10.74,1.30,0.00,0.00
5142,-21.88,3.12,12.98,13.76,187,0.21,1102,0.00,0.00,33.33,16,13.00,1.18,79,0.00,-10.74,1.30,0.00,0.00
5400,-21.88,3.12,13.09,13.60,187,0.21,1089,0.00,0.00,33.33,16,14.00,1.16,79,0.00,-10.74,1.30,0.00,0.00
5657,-21.88,3.12,13.09,13.68,187,0.21,1100,0.00,0.00,33.33,16,13.00,1.17,79,0.00,-10.74,1.30,0.00,0.00
5914,-21.88,3.12,13.21,13.68,187,0.21,1089,0.00,0.00,33.33,16,14.00,1.16,79,0.00,-10.74,1.30,0.00,0.00
6170,-21.88,3.12,13.21,13.68,187,0.21,1096,0.00,0.00,33.33,16,12.50,1.17,79,0.00,-10.74,1.30,0.00,0.00
6428,-21.88,3.12,13.09,13.68,187,0.21,1096,0.00,0.00,33.33,16,13.00,1.17,79,0.00,-10.74,1.30,0.00,0.00
6685,-21.88,3.12,13.09,13.68,187,0.21,1086,0.00,0.00,33.33,16,14.00,1.16,79,0.00,-10.74,1.28,0.00,0.00
6942,-21.88,3.12,13.21,13.68,187,0.20,1094,0.00,0.00,33.33,16,12.00,1.17,79,0.00,-10.74,1.30,0.00,0.00
7200,-21.88,3.12,13.09,13.76,187,0.20,1107,0.00,0.00,33.33,16,11.50,1.18,79,0.00,-10.74,1.30,0.00,0.00
7457,-21.88,3.12,13.09,13.68,187,0.20,1114,0.00,0.00,33.33,16,11.00,1.19,79,0.00,-10.74,1.30,0.00,0.00
7714,-21.88,3.12,13.09,13.68,187,0.21,1098,0.00,0.00,33.33,16,13.00,1.17,79,0.00,-10.74,1.30,0.00,0.00
7972,-21.88,3.12,12.86,13.68,187,0.21,1102,0.00,0.00,33.33,16,13.00,1.18,79,0.00,-10.74,1.30,0.00,0.00
8229,-21.88,3.12,13.09,13.76,187,0.21,1100,0.00,0.00,33.33,16,13.00,1.17,79,0.00,-10.74,1.30,0.00,0.00
8486,-21.88,3.12,12.98,13.76,187,0.21,1101,0.00,0.00,33.33,16,13.00,1.17,79,0.00,-10.74,1.30,0.00,0.00
8744,-21.88,3.12,13.21,13.60,187,0.21,1096,0.00,0.00,33.33,16,13.00,1.17,79,0.00,-10.74,1.28,0.00,0.00
9001,-21.88,3.12,13.21,13.60,187,0.21,1090,0.00,0.00,33.33,16,13.50,1.16,79,0.00,-10.74,1.30,0.00,0.00
9258,-21.88,3.12,13.21,13.60,187,0.21,1084,0.00,0.00,33.33,16,14.00,1.16,79,0.00,-10.74,1.30,0.00,0.00
9516,-21.88,3.12,13.32,13.60,187,0.20,1099,0.00,0.00,33.33,16,11.50,1.17,79,0.00,-10.74,1.30,0.00,0.00
9773,-21.88,3.12,13.32,13.60,187,0.21,1094,0.00,0.00,33.33,16,12.50,1.17,79,0.00,-10.74,1.28,0.00,0.00
10030,-21.88,3.12,13.21,13.68,187,0.21,1096,0.00,0.00,33.33,16,14.00,1.17,79,0.00,-10.74,1.30,0.00,0.00
10287,-21.88,3.12,13.09,13.60,187,0.21,1094,0.00,0.00,33.33,16,12.50,1.17,79,0.00,-10.74,1.28,0.00,0.00
10544,-21.88,3.12,13.21,13.60,187,0.20,1086,0.00,0.00,33.33,16,12.50,1.16,79,0.00,-10.74,1.30,0.00,0.00
10801,-21.88,3.12,13.09,13.68,187,0.20,1104,0.00,0.00,33.33,16,11.50,1.18,79,0.00,-10.74,1.28,0.00,0.00
11058,-21.88,3.12,13.09,13.68,187,0.20,1098,0.00,0.00,33.33,16,12.50,1.18,79,0.00,-10.74,1.30,0.00,0.00
11316,-21.88,3.12,13.21,13.60,187,0.21,1095,0.00,0.00,33.33,16,13.00,1.17,79,0.00,-10.74,1.30,0.00,0.00
11573,-21.88,3.12,12.98,13.68,187,0.21,1087,0.00,0.00,33.33,16,13.50,1.16,79,0.00,-10.74,1.30,0.00,0.00
11830,-21.88,3.12,13.21,13.60,187,0.21,1094,0.00,0.00,33.33,16,13.00,1.17,79,0.00,-10.74,1.30,0.00,0.00
12087,-21.88,3.12,13.21,13.52,187,0.21,1100,0.00,0.00,33.33,16,12.00,1.17,79,0.00,-10.74,1.30,0.00,0.00
12345,-21.88,3.12,13.21,13.60,187,0.21,1094,0.00,0.00,33.33,16,13.00,1.17,79,0.00,-10.74,1.30,0.00,0.00
12602,-21.88,3.12,13.44,13.68,187,0.21,1091,0.00,0.00,33.33,16,13.00,1.16,79,0.00,-10.74,1.28,0.00,0.00
12859,-21.88,3.12,13.32,13.68,187,0.21,1105,0.00,0.00,33.33,16,11.50,1.18,79,0.00,-10.74,1.30,0.00,0.00
13117,-21.88,3.12,13.21,13.68,187,0.21,1099,0.00,0.00,33.33,16,12.50,1.17,79,0.00,-10.74,1.30,0.00,0.00
13374,-21.88,3.12,13.09,13.68,187,0.20,1107,0.00,0.00,33.33,16,13.00,1.18,79,0.00,-10.74,1.30,0.00,0.00
13631,-21.88,3.12,13.09,13.68,187,0.21,1098,0.00,0.00,33.33,16,13.00,1.17,79,0.00,-10.74,1.30,0.00,0.00
