Time (msec),A/F Correction #1 (%),A/F Learning #1 (%),A/F Sensor #1 (AFR),Battery Voltage (V),Coolant Temperature (F),Engine Load (Calculated) (g/rev),Engine Speed (rpm),Fuel Pump Duty (%),Ignition Total Timing (degrees),Injector Duty Cycle (%),Intake Air Temperature (F),Manifold Absolute Pressure (psi),Manifold Relative Pressure (psi),Mass Airflow Sensor Voltage (V),Primary Wastegate Duty Cycle (%),Throttle Opening Angle (%)
0,0.00,0.00,11.37,13.76,181,0.40,2154,100.00,40.00,5.60,118,3.34,-11.46,1.76,0.00,5.88
226,0.00,0.00,11.14,13.84,181,0.35,1874,100.00,36.50,4.48,118,2.90,-11.75,1.74,0.00,6.67
452,0.00,0.00,11.14,13.92,181,1.25,1655,100.00,28.00,9.15,118,9.58,-5.08,2.34,6.27,20.78
677,0.00,0.00,11.14,13.68,181,0.79,2345,100.00,34.50,11.50,118,13.06,-1.74,2.26,32.94,20.39
903,-16.41,0.00,11.14,13.92,181,0.15,3004,100.00,45.00,6.37,120,6.53,-8.13,1.44,0.00,7.06
1129,0.00,0.00,11.14,13.92,181,0.16,2917,100.00,45.00,3.76,120,3.48,-11.17,1.72,0.00,6.27
1355,0.00,0.00,11.48,13.76,181,0.34,2625,100.00,43.00,5.66,120,3.34,-11.32,1.86,0.00,8.24
1581,-2.34,0.00,13.21,13.84,181,0.47,2377,100.00,41.50,7.16,120,5.08,-9.58,1.82,0.00,11.76
1806,-16.41,0.00,11.83,14.00,181,0.16,2331,100.00,39.00,3.98,122,3.92,-10.74,1.46,0.00,7.45
2032,0.00,0.00,11.14,13.52,181,0.25,2237,100.00,38.00,3.36,122,3.48,-11.17,1.62,0.00,8.24
2258,-4.69,0.00,11.14,13.68,181,0.69,2118,100.00,41.50,6.27,122,6.09,-8.56,2.38,34.12,19.22
2484,-4.69,0.00,11.14,14.00,181,0.58,2832,100.00,42.00,10.41,122,10.16,-4.50,1.80,0.00,10.59
2711,-13.28,0.00,11.14,13.68,181,0.10,2936,100.00,45.00,4.41,122,4.21,-10.45,1.34,0.00,5.49
2937,0.00,0.00,11.14,13.92,183,0.26,2715,100.00,44.00,4.68,122,3.19,-11.46,1.76,0.00,7.84
3163,-4.69,0.00,12.17,13.84,183,0.60,2704,100.00,44.00,8.52,122,7.40,-7.40,2.04,0.00,14.12
3388,-9.38,0.00,11.14,14.00,183,0.10,2810,100.00,45.00,4.21,124,3.92,-10.74,1.34,0.00,4.71
3615,0.00,0.00,11.14,14.00,183,0.25,2524,100.00,41.50,3.86,124,2.90,-11.90,1.70,0.00,5.88
3841,0.00,0.00,12.06,13.92,183,0.32,2243,100.00,38.00,4.37,124,3.05,-11.75,1.74,0.00,7.45
4066,-0.78,0.00,12.63,13.92,183,0.38,1968,100.00,36.50,4.63,124,3.63,-11.03,1.74,0.00,9.41
4292,-4.69,0.00,12.17,13.84,183,0.92,1860,100.00,36.00,6.97,124,8.56,-6.09,2.26,8.63,18.43
4518,-4.69,0.00,11.14,13.68,183,0.80,2417,100.00,36.00,10.53,124,12.19,-2.47,2.32,57.65,20.78
4744,-22.66,0.00,11.14,14.00,183,0.77,2844,100.00,39.50,10.82,124,11.61,-3.05,2.40,23.92,20.78
4970,-25.00,0.00,12.06,13.76,183,0.80,2971,100.00,39.00,11.38,126,12.04,-2.61,2.46,22.35,21.18
5196,-25.00,0.00,13.32,13.68,183,0.78,2978,100.00,39.00,11.52,126,12.33,-2.32,2.44,18.43,20.39
5421,-25.00,0.00,13.67,13.92,183,0.79,2974,100.00,39.00,10.78,126,12.48,-2.18,2.44,12.94,20.00
5648,-25.00,-1.56,14.01,13.92,183,0.82,2990,100.00,38.00,10.76,127,12.77,-1.89,2.50,9.02,20.78
5874,-24.22,-1.56,14.59,13.52,183,0.84,2997,100.00,37.50,11.50,127,13.35,-1.45,2.50,6.27,21.18
6099,-23.44,-1.56,14.59,13.92,183,0.86,3004,100.00,38.50,11.62,129,13.20,-1.45,2.48,3.53,20.39
6325,-22.66,-1.56,14.59,13.84,183,0.81,2973,100.00,38.50,10.79,129,13.06,-1.60,2.36,0.00,18.04
6551,-23.44,0.00,14.47,13.84,183,0.72,2576,100.00,39.00,7.87,129,10.88,-3.77,2.24,0.00,16.08
6777,-21.09,0.00,15.04,13.92,183,0.35,1934,100.00,39.50,4.76,129,8.27,-6.38,1.58,0.00,10.20
7003,-25.00,0.00,13.44,13.92,183,0.77,1867,100.00,39.50,5.01,127,8.71,-5.95,2.16,0.00,15.69
7229,-3.91,0.00,15.50,13.92,183,0.68,1986,100.00,36.50,7.37,127,10.59,-4.21,1.84,0.00,11.76
7454,-17.19,0.00,12.75,13.84,185,0.75,2162,100.00,37.00,7.13,127,10.30,-4.50,2.30,21.18,18.43
7680,-4.69,0.00,13.67,13.92,185,0.45,2124,100.00,37.50,6.89,127,9.87,-4.79,1.80,0.00,10.59
7906,-22.66,0.00,12.06,13.84,185,0.80,2442,100.00,38.00,7.76,127,10.74,-3.92,2.32,6.27,18.43
8132,-7.03,0.00,14.24,13.84,185,0.71,2438,100.00,37.50,9.19,126,10.88,-3.77,2.28,7.06,17.25
8358,-17.19,0.00,13.21,13.92,185,0.79,2599,100.00,38.00,9.47,126,11.17,-3.48,2.36,3.53,18.43
8584,-14.84,0.00,14.70,13.84,185,0.76,2825,100.00,40.00,10.18,126,11.17,-3.48,2.40,0.39,18.82
8809,-15.62,0.00,14.47,13.76,185,0.84,2915,100.00,38.00,11.01,124,11.90,-2.90,2.48,9.41,20.78
9036,-19.53,-1.56,14.01,13.52,185,0.80,3096,100.00,38.00,12.56,124,12.62,-2.03,2.56,8.63,21.57
9262,-6.25,-1.56,14.59,12.96,185,1.04,3331,100.00,34.00,17.69,124,15.24,0.58,2.76,49.41,27.84
