Time (msec),A/F Correction #1 (%),A/F Learning #1 (%),A/F Sensor #1 (AFR),Battery Voltage (V),Coolant Temperature (F),Engine Load (Calculated) (g/rev),Engine Speed (rpm),Feedback Knock Correction* (degrees),Fine Learning Knock Correction* (degrees),Fuel Pump Duty (%),IAM* (raw ecu value),Ignition Total Timing (degrees),Injector Duty Cycle (%),Intake Air Temperature (F),Manifold Absolute Pressure (psi),Manifold Relative Pressure (psi),Mass Airflow Sensor Voltage (V),Primary Wastegate Duty Cycle (%),Throttle Opening Angle (%),Turbo Dynamics Burst* (absolute %)
10154,-21.88,-0.78,12.63,13.36,178,0.08,826,0.00,0.00,33.33,16,11.00,1.06,66,4.50,-10.30,1.20,0.00,0.00,0.00
10429,-21.88,-0.78,12.63,13.20,178,0.08,816,0.00,0.00,33.33,16,12.00,1.05,66,4.64,-10.30,1.20,0.00,0.00,0.00
10704,-21.88,-0.78,12.63,13.20,178,0.07,825,0.00,0.00,33.33,16,11.50,1.06,66,4.50,-10.30,1.20,0.00,0.00,0.00
10978,-21.09,-0.78,12.63,13.28,178,0.07,824,0.00,0.00,33.33,16,11.50,1.05,66,4.50,-10.30,1.18,0.00,0.00,0.00
11252,-21.88,-0.78,12.63,13.36,178,0.07,813,0.00,0.00,33.33,16,13.00,1.04,66,4.50,-10.30,1.18,0.00,0.00,0.00
11527,-21.88,-0.78,12.63,13.36,178,0.07,821,0.00,0.00,33.33,16,12.00,1.05,66,4.50,-10.30,1.18,0.00,0.00,0.00
11801,-21.88,-0.78,12.52,13.52,180,0.08,810,0.00,0.00,33.33,16,12.50,1.03,66,4.50,-10.30,1.18,0.00,0.00,0.00
12076,-21.88,-0.78,12.52,13.44,180,0.08,818,0.00,0.00,33.33,16,11.50,1.05,66,4.64,-10.16,1.20,0.00,0.00,0.00
12350,-21.88,-0.78,12.52,13.44,178,0.08,812,0.00,0.00,33.33,16,12.00,1.04,66,4.64,-10.16,1.20,0.00,0.00,0.00
12625,-21.88,-0.78,12.52,13.44,178,0.08,828,0.00,0.00,33.33,16,10.50,1.06,66,4.64,-10.16,1.20,0.00,0.00,0.00
12899,-21.88,-0.78,12.52,13.36,178,0.07,826,0.00,0.00,33.33,16,11.50,1.06,66,4.50,-10.30,1.20,0.00,0.00,0.00
13174,-21.88,-0.78,12.63,13.44,180,0.07,832,0.00,0.00,33.33,16,10.50,1.06,66,4.50,-10.30,1.18,0.00,0.00,0.00
13448,-21.88,-0.78,12.63,13.44,180,0.07,824,0.00,0.00,33.33,16,11.50,1.06,66,4.50,-10.30,1.18,0.00,0.00,0.00
13723,-21.88,-0.78,12.63,13.44,180,0.07,809,0.00,0.00,33.33,16,13.00,1.04,66,4.50,-10.30,1.18,0.00,0.00,0.00
13997,-21.88,-0.78,12.52,13.36,180,0.07,807,0.00,0.00,33.33,16,13.00,1.03,66,4.50,-10.30,1.18,0.00,0.00,0.00
14271,-21.88,-0.78,12.52,13.52,180,0.08,806,0.00,0.00,33.33,16,12.50,1.03,66,4.64,-10.16,1.20,0.00,0.00,0.00
14546,-21.88,-0.78,12.52,13.52,180,0.08,822,0.00,0.00,33.33,16,10.50,1.05,66,4.64,-10.16,1.20,0.00,0.00,0.00
14820,-21.88,-0.78,12.52,13.44,180,0.08,826,0.00,0.00,33.33,16,10.50,1.06,66,4.64,-10.16,1.20,0.00,0.00,0.00
15094,-21.88,-0.78,12.52,13.36,180,0.07,838,0.00,0.00,33.33,16,9.50,1.07,66,4.50,-10.30,1.20,0.00,0.00,0.00
15369,-21.88,-0.78,12.63,13.44,180,0.07,832,0.00,0.00,33.33,16,10.50,1.07,66,4.50,-10.30,1.18,0.00,0.00,0.00
15643,-21.88,-0.78,12.63,13.44,180,0.07,822,0.00,0.00,33.33,16,11.50,1.05,66,4.50,-10.30,1.18,0.00,0.00,0.00
15918,-21.88,-0.78,12.63,13.36,180,0.07,822,0.00,0.00,33.33,16,11.50,1.05,66,4.50,-10.30,1.18,0.00,0.00,0.00
16192,-21.88,-0.78,12.63,13.28,180,0.07,818,0.00,0.00,33.33,16,11.50,1.04,66,4.50,-10.30,1.18,0.00,0.00,0.00
16467,-21.88,-0.78,12.52,13.28,180,0.07,820,0.00,0.00,33.33,16,11.50,1.04,66,4.50,-10.30,1.20,0.00,0.00,0.00
16742,-21.88,-0.78,12.52,13.28,180,0.07,821,0.00,0.00,33.33,16,11.50,1.05,66,4.50,-10.30,1.20,0.00,0.00,0.00
17016,-21.88,-0.78,12.52,13.20,180,0.07,828,0.00,0.00,33.33,16,11.00,1.06,66,4.50,-10.30,1.20,0.00,0.00,0.00
17289,-21.88,-0.78,12.52,13.28,180,0.07,822,0.00,0.00,33.33,16,12.50,1.05,66,4.50,-10.30,1.18,0.00,0.00,0.00
17564,-21.88,-0.78,12.52,13.44,180,0.07,814,0.00,0.00,33.33,16,12.50,1.04,66,4.50,-10.30,1.20,0.00,0.00,0.00
17839,-21.88,-0.78,12.52,13.44,180,0.07,794,0.00,0.00,33.33,16,14.00,1.02,66,4.50,-10.30,1.20,0.00,0.00,0.00
18113,-21.88,-0.78,12.52,13.44,180,0.08,808,0.00,0.00,33.33,16,12.00,1.03,66,4.64,-10.16,1.20,0.00,0.00,0.00
18388,-21.88,-0.78,12.40,13.52,180,0.07,822,0.00,0.00,33.33,16,10.50,1.05,66,4.64,-10.16,1.18,0.00,0.00,0.00
18662,-21.88,-0.78,12.52,13.44,180,0.08,813,0.00,0.00,33.33,16,10.50,1.04,66,4.64,-10.16,1.18,0.00,0.00,0.00
18936,-21.88,-0.78,12.52,13.36,180,0.08,830,0.00,0.00,33.33,16,10.50,1.07,66,4.64,-10.30,1.20,0.00,0.00,0.00
19210,-21.88,-0.78,12.63,13.36,180,0.07,818,0.00,0.00,33.33,16,11.50,1.05,66,4.50,-10.30,1.18,0.00,0.00,0.00
19485,-21.88,-0.78,12.63,13.44,180,0.07,828,0.00,0.00,33.33,16,11.00,1.06,66,4.50,-10.30,1.20,0.00,0.00,0.00
19759,-21.88,-0.78,12.63,13.52,180,0.07,824,0.00,0.00,33.33,16,11.50,1.05,66,4.50,-10.30,1.20,0.00,0.00,0.00
20034,-21.88,-0.78,12.63,13.44,180,0.07,830,0.00,0.00,33.33,16,10.50,1.06,66,4.50,-10.30,1.18,0.00,0.00,0.00
20308,-21.88,-0.78,12.63,13.36,180,0.07,822,0.00,0.00,33.33,16,11.50,1.06,66,4.50,-10.30,1.18,0.00,0.00,0.00
20582,-21.88,-0.78,12.52,13.36,180,0.07,812,0.00,0.00,33.33,16,11.50,1.04,66,4.50,-10.30,1.18,0.00,0.00,0.00
20857,-21.88,-0.78,12.52,13.28,180,0.07,812,0.00,0.00,33.33,16,12.00,1.05,66,4.64,-10.16,1.18,0.00,0.00,0.00
21132,-21.88,-0.78,12.52,13.28,180,0.08,810,0.00,0.00,33.33,16,12.00,1.04,66,4.64,-10.16,1.20,0.00,0.00,0.00
21407,-21.88,-0.78,12.52,13.36,180,0.08,829,0.00,0.00,33.33,16,10.50,1.06,66,4.64,-10.16,1.20,0.00,0.00,0.00
21681,-21.88,-0.78,12.52,13.36,180,0.07,824,0.00,0.00,33.33,16,11.50,1.05,66,4.64,-10.16,1.20,0.00,0.00,0.00
21955,-21.88,-0.78,12.63,13.52,180,0.07,828,0.00,0.00,33.33,16,11.00,1.06,66,4.50,-10.30,1.20,0.00,0.00,0.00
22229,-21.88,-0.78,12.63,13.36,180,0.07,830,0.00,0.00,33.33,16,11.00,1.07,66,4.50,-10.30,1.18,0.00,0.00,0.00
