Time (msec),A/F Correction #1 (%),A/F Learning #1 (%),A/F Sensor #1 (AFR),Battery Voltage (V),Coolant Temperature (F),Engine Load (Calculated) (g/rev),Engine Speed (rpm),Feedback Knock Correction* (degrees),Fine Learning Knock Correction* (degrees),Fuel Pump Duty (%),IAM* (raw ecu value),Ignition Total Timing (degrees),Injector Duty Cycle (%),Intake Air Temperature (F),Manifold Absolute Pressure (psi),Manifold Relative Pressure (psi),Mass Airflow Sensor Voltage (V),Primary Wastegate Duty Cycle (%),Throttle Opening Angle (%),Turbo Dynamics Burst* (absolute %)
41160,-22.66,-0.78,12.40,13.44,181,0.07,820,0.00,0.00,33.33,16,11.50,1.06,66,4.50,-10.30,1.18,0.00,0.00,0.00
41435,-22.66,-0.78,12.40,13.44,181,0.07,834,0.00,0.00,33.33,16,10.00,0.99,66,4.50,-10.30,1.18,0.00,0.00,0.00
41709,-22.66,-0.78,12.52,13.36,181,0.07,818,0.00,0.00,33.33,16,11.50,1.05,66,4.50,-10.30,1.20,0.00,0.00,0.00
41984,-22.66,-0.78,12.63,13.36,181,0.07,816,0.00,0.00,33.33,16,11.50,1.04,66,4.50,-10.30,1.20,0.00,0.00,0.00
42258,-22.66,-0.78,12.63,13.44,181,0.08,820,0.00,0.00,33.33,16,11.50,1.04,66,4.64,-10.16,1.22,0.00,0.00,0.00
42532,-22.66,-0.78,12.52,13.36,181,0.08,830,0.00,0.00,33.33,16,10.50,1.06,66,4.64,-10.30,1.20,0.00,0.00,0.00
42807,-22.66,-0.78,12.52,13.28,181,0.07,819,0.00,0.00,33.33,16,11.50,1.07,66,4.50,-10.30,1.20,0.00,0.00,0.00
43081,-22.66,-0.78,12.63,13.20,181,0.07,826,0.00,0.00,33.33,16,11.50,1.06,66,4.50,-10.30,1.18,0.00,0.00,0.00
43355,-22.66,-0.78,12.52,13.12,181,0.07,834,0.00,0.00,33.33,16,10.50,1.07,66,4.50,-10.30,1.18,0.00,0.00,0.00
43630,-22.66,-0.78,12.63,13.20,181,0.07,828,0.00,0.00,33.33,16,13.00,1.06,68,4.50,-10.30,1.20,0.00,0.00,0.00
43904,-22.66,-0.78,12.63,13.36,181,0.07,813,0.00,0.00,33.33,16,13.00,1.05,68,4.50,-10.30,1.20,0.00,0.00,0.00
44179,-22.66,-0.78,12.63,13.36,181,0.07,808,0.00,0.00,33.33,16,13.00,1.03,68,4.50,-10.30,1.20,0.00,0.00,0.00
44453,-23.44,-0.78,12.40,13.44,181,0.07,814,0.00,0.00,33.33,16,12.00,1.04,68,4.50,-10.30,1.20,0.00,0.00,0.00
44727,-22.66,-0.78,12.40,13.52,181,0.07,818,0.00,0.00,33.33,16,11.50,1.05,68,4.50,-10.30,1.20,0.00,0.00,0.00
45002,-22.66,-0.78,12.40,13.44,181,0.07,805,0.00,0.00,33.33,16,11.50,1.03,68,4.50,-10.30,1.18,0.00,0.00,0.00
45276,-22.66,-0.78,12.40,13.52,181,0.07,816,0.00,0.00,33.33,16,11.50,1.06,68,4.64,-10.30,1.18,0.00,0.00,0.00
45550,-23.44,-0.78,12.52,13.36,181,0.07,818,0.00,0.00,33.33,16,11.50,1.07,68,4.50,-10.30,1.18,0.00,0.00,0.00
45825,-23.44,-0.78,12.52,13.44,181,0.07,836,0.00,0.00,33.33,16,10.00,1.07,68,4.50,-10.30,1.18,0.00,0.00,0.00
46099,-22.66,-0.78,12.63,13.44,181,0.07,826,0.00,0.00,33.33,16,11.50,1.06,68,4.50,-10.30,1.20,0.00,0.00,0.00
46373,-22.66,-0.78,12.63,13.44,181,0.07,818,0.00,0.00,33.33,16,12.00,1.05,68,4.50,-10.30,1.20,0.00,0.00,0.00
46647,-22.66,-0.78,12.52,13.44,181,0.07,802,0.00,0.00,33.33,16,13.50,1.03,68,4.50,-10.30,1.18,0.00,0.00,0.00
46922,-22.66,-0.78,12.52,13.44,181,0.07,812,0.00,0.00,33.33,16,11.50,1.03,68,4.50,-10.30,1.20,0.00,0.00,0.00
47196,-22.66,-0.78,12.40,13.44,181,0.07,807,0.00,0.00,33.33,16,12.50,1.05,68,4.50,-10.30,1.20,0.00,0.00,0.00
47470,-23.44,-0.78,12.40,13.44,181,0.07,828,0.00,0.00,33.33,16,10.50,1.06,68,4.50,-10.30,1.18,0.00,0.00,0.00
47745,-23.44,-0.78,12.40,13.36,181,0.07,823,0.00,0.00,33.33,16,10.50,1.05,68,4.50,-10.30,1.18,0.00,0.00,0.00
48019,-22.66,-0.78,12.40,13.36,181,0.08,813,0.00,0.00,33.33,16,11.00,1.04,68,4.50,-10.30,1.18,0.00,0.00,0.00
48293,-23.44,-0.78,12.52,13.44,181,0.08,817,0.00,0.00,33.33,16,11.50,1.05,68,4.50,-10.16,1.20,0.00,0.00,0.00
48567,-23.44,-0.78,12.52,13.44,181,0.07,831,0.00,0.00,33.33,16,10.50,1.06,68,4.50,-10.30,1.20,0.00,0.00,0.00
48842,-23.44,-0.78,12.40,13.44,181,0.07,830,0.00,0.00,33.33,16,10.50,1.14,68,4.50,-10.30,1.20,0.00,0.00,0.00
49117,-22.66,-0.78,12.52,13.36,181,0.07,817,0.00,0.00,33.33,16,12.50,1.05,68,4.50,-10.30,1.20,0.00,0.00,0.00
49391,-22.66,-0.78,12.63,13.28,181,0.07,818,0.00,0.00,33.33,16,11.50,1.05,68,4.50,-10.30,1.18,0.00,0.00,0.00
49665,-22.66,-0.78,12.63,13.20,181,0.07,814,0.00,0.00,33.33,16,13.50,1.04,68,4.50,-10.30,1.18,0.00,0.00,0.00
49940,-22.66,-0.78,12.63,13.36,181,0.07,799,0.00,0.00,33.33,16,14.00,1.03,68,4.50,-10.30,1.18,0.00,0.00,0.00
50215,-22.66,-0.78,12.52,13.44,181,0.07,812,0.00,0.00,33.33,16,11.50,1.04,68,4.50,-10.30,1.18,0.00,0.00,0.00
50489,-23.44,-0.78,12.52,13.36,181,0.07,812,0.00,0.00,33.33,16,11.50,1.04,68,4.64,-10.16,1.18,0.00,0.00,0.00
50764,-23.44,-0.78,12.40,13.36,181,0.08,825,0.00,0.00,33.33,16,10.50,1.06,68,4.64,-10.16,1.20,0.00,0.00,0.00
51038,-23.44,-0.78,12.40,13.44,181,0.07,826,0.00,0.00,33.33,16,10.50,1.05,68,4.50,-10.30,1.20,0.00,0.00,0.00
51312,-23.44,-0.78,12.52,13.36,181,0.07,831,0.00,0.00,33.33,16,10.50,1.07,68,4.50,-10.30,1.20,0.00,0.00,0.00
51586,-23.44,-0.78,12.52,13.28,181,0.07,818,0.00,0.00,33.33,16,12.00,1.07,68,4.50,-10.30,1.18,0.00,0.00,0.00
51861,-22.66,-0.78,12.52,13.28,181,0.07,816,0.00,0.00,33.33,16,11.50,1.04,68,4.50,-10.30,1.18,0.00,0.00,0.00
52135,-22.66,-0.78,12.52,13.36,181,0.07,818,0.00,0.00,33.33,16,12.00,1.05,68,4.50,-10.30,1.18,0.00,0.00,0.00
52410,-23.44,-0.78,12.52,13.36,181,0.07,811,0.00,0.00,33.33,16,12.50,1.04,68,4.50,-10.30,1.18,0.00,0.00,0.00
52684,-22.66,-0.78,12.52,13.28,181,0.07,813,0.00,0.00,33.33,16,12.00,1.05,68,4.50,-10.30,1.18,0.00,0.00,0.00
52959,-23.44,-0.78,12.40,13.28,181,0.07,805,0.00,0.00,33.33,16,13.00,1.02,68,4.50,-10.30,1.18,0.00,0.00,0.00
53234,-23.44,-0.78,12.40,13.36,181,0.07,831,0.00,0.00,33.33,16,10.00,1.06,68,4.50,-10.30,1.20,0.00,0.00,0.00
53508,-23.44,-0.78,12.40,13.36,181,0.07,825,0.00,0.00,33.33,16,11.00,1.06,68,4.50,-10.30,1.20,0.00,0.00,0.00
53782,-22.66,-0.78,12.40,13.36,181,0.07,838,0.00,0.00,33.33,16,10.50,1.07,68,4.50,-10.30,1.18,0.00,0.00,0.00
54057,-23.44,-0.78,12.52,13.28,181,0.07,817,0.00,0.00,33.33,16,12.50,1.07,68,4.35,-10.45,1.18,0.00,0.00,0.00
54332,-22.66,-0.78,12.52,13.36,181,0.07,804,0.00,0.00,33.33,16,13.50,1.04,68,4.35,-10.30,1.18,0.00,0.00,0.00
54606,-22.66,-0.78,12.52,13.44,181,0.07,809,0.00,0.00,33.33,16,13.00,1.04,68,4.50,-10.30,1.18,0.00,0.00,0.00
54880,-22.66,-0.78,12.52,13.44,181,0.08,796,0.00,0.00,33.33,16,13.50,1.02,68,4.64,-10.16,1.18,0.00,0.00,0.00
55154,-22.66,-0.78,12.40,13.44,181,0.08,822,0.00,0.00,33.33,16,10.50,1.05,68,4.64,-10.16,1.18,0.00,0.00,0.00
55428,-22.66,-0.78,12.40,13.52,181,0.07,824,0.00,0.00,33.33,16,10.50,1.05,68,4.50,-10.30,1.20,0.00,0.00,0.00
55702,-23.44,-0.78,12.40,13.36,181,0.07,823,0.00,0.00,33.33,16,11.00,1.05,68,4.50,-10.30,1.20,0.00,0.00,0.00
55977,-23.44,-0.78,12.52,13.36,181,0.07,824,0.00,0.00,33.33,16,11.00,1.05,68,4.50,-10.30,1.20,0.00,0.00,0.00
56251,-23.44,-0.78,12.52,13.36,181,0.07,837,0.00,0.00,33.33,16,10.00,1.07,68,4.50,-10.30,1.20,0.00,0.00,0.00
56526,-22.66,-0.78,12.63,13.36,181,0.07,828,0.00,0.00,33.33,16,11.50,1.06,68,4.50,-10.30,1.18,0.00,0.00,0.00
56800,-22.66,-0.78,12.63,13.36,181,0.07,814,0.00,0.00,33.33,16,11.50,1.04,68,4.50,-10.30,1.18,0.00,0.00,0.00
57075,-22.66,-0.78,12.52,13.20,181,0.07,800,0.00,0.00,33.33,16,13.50,1.03,68,4.50,-10.30,1.18,0.00,0.00,0.00
57349,-22.66,-0.78,12.52,13.20,181,0.08,813,0.00,0.00,33.33,16,11.50,1.03,68,4.50,-10.30,1.18,0.00,0.00,0.00
57623,-22.66,-0.78,12.52,13.28,181,0.08,817,0.00,0.00,33.33,16,11.50,1.05,68,4.50,-10.30,1.18,0.00,0.00,0.00
57897,-23.44,-0.78,12.40,13.28,181,0.07,822,0.00,0.00,33.33,16,11.00,1.05,68,4.50,-10.30,1.20,0.00,0.00,0.00
58172,-23.44,-0.78,12.40,13.36,181,0.07,832,0.00,0.00,33.33,16,10.50,1.06,68,4.50,-10.30,1.20,0.00,0.00,0.00
58446,-23.44,-0.78,12.52,13.36,181,0.07,823,0.00,0.00,33.33,16,11.50,1.05,68,4.50,-10.30,1.20,0.00,0.00,0.00
58720,-23.44,-0.78,12.52,13.52,181,0.07,839,0.00,0.00,33.33,16,10.00,1.06,68,4.50,-10.30,1.20,0.00,0.00,0.00
58994,-23.44,-0.78,12.52,13.44,181,0.07,830,0.00,0.00,33.33,16,11.00,1.06,68,4.35,-10.45,1.18,0.00,0.00,0.00
59269,-22.66,-0.78,12.52,13.36,181,0.07,812,0.00,0.00,33.33,16,13.00,1.04,68,4.35,-10.45,1.18,0.00,0.00,0.00
59543,-22.66,-0.78,12.52,13.36,181,0.07,810,0.00,0.00,33.33,16,13.00,1.04,68,4.50,-10.30,1.18,0.00,0.00,0.00
59817,-23.44,-0.78,12.52,13.36,181,0.08,796,0.00,0.00,33.33,16,13.00,1.02,68,4.50,-10.30,1.20,0.00,0.00,0.00
60092,-23.44,-0.78,12.40,13.36,181,0.08,820,0.00,0.00,33.33,16,11.00,1.06,68,4.64,-10.30,1.18,0.00,0.00,0.00
60366,-23.44,-0.78,12.29,13.36,181,0.07,823,0.00,0.00,33.33,16,11.00,1.05,68,4.50,-10.30,1.20,0.00,0.00,0.00
60639,-23.44,-0.78,12.40,13.44,181,0.07,828,0.00,0.00,33.33,16,10.50,1.06,68,4.50,-10.30,1.20,0.00,0.00,0.00
60914,-23.44,-0.78,12.40,13.44,181,0.07,815,0.00,0.00,33.33,16,12.00,1.04,68,4.50,-10.30,1.20,0.00,0.00,0.00
61188,-23.44,-0.78,12.52,13.44,181,0.07,820,0.00,0.00,33.33,16,11.00,1.05,68,4.50,-10.30,1.18,0.00,0.00,0.00
61463,-23.44,-0.78,12.52,13.44,181,0.07,821,0.00,0.00,33.33,16,11.50,1.06,68,4.50,-10.30,1.18,0.00,0.00,0.00
61737,-22.66,-0.78,12.52,13.44,181,0.07,828,0.00,0.00,33.33,16,10.50,1.05,68,4.50,-10.30,1.18,0.00,0.00,0.00
62012,-22.66,-0.78,12.52,13.36,181,0.07,826,0.00,0.00,33.33,16,11.50,1.14,68,4.35,-10.45,1.18,0.00,0.00,0.00
62286,-23.44,-0.78,12.40,13.36,181,0.07,810,0.00,0.00,33.33,16,13.00,1.04,68,4.35,-10.45,1.18,0.00,0.00,0.00
62560,-23.44,-0.78,12.52,13.36,181,0.07,812,0.00,0.00,33.33,16,12.50,1.04,68,4.50,-10.30,1.20,0.00,0.00,0.00
62835,-22.66,-0.78,12.52,13.44,181,0.07,797,0.00,0.00,33.33,16,13.50,1.03,68,4.50,-10.30,1.20,0.00,0.00,0.00
63109,-23.44,-0.78,12.52,13.28,181,0.08,816,0.00,0.00,33.33,16,11.00,1.03,68,4.50,-10.16,1.20,0.00,0.00,0.00
63384,-23.44,-0.78,12.40,13.28,181,0.08,813,0.00,0.00,33.33,16,11.50,1.04,68,4.64,-10.16,1.20,0.00,0.00,0.00
63658,-23.44,-0.78,12.40,13.28,181,0.07,826,0.00,0.00,33.33,16,10.50,1.06,68,4.50,-10.30,1.20,0.00,0.00,0.00
63932,-23.44,-0.78,12.40,13.28,181,0.07,826,0.00,0.00,33.33,16,10.50,1.06,68,4.50,-10.30,1.20,0.00,0.00,0.00
64207,-22.66,-0.78,12.52,13.12,181,0.07,823,0.00,0.00,33.33,16,10.00,1.05,68,4.50,-10.30,1.18,0.00,0.00,0.00
64481,-22.66,-0.78,12.52,13.44,181,0.07,830,0.00,0.00,33.33,16,10.50,1.06,68,4.50,-10.30,1.18,0.00,0.00,0.00
64756,-22.66,-0.78,12.63,13.44,181,0.07,821,0.00,0.00,33.33,16,11.50,1.05,68,4.50,-10.30,1.18,0.00,0.00,0.00
65030,-23.44,-0.78,12.63,13.44,181,0.07,816,0.00,0.00,33.33,16,12.00,1.05,68,4.50,-10.30,1.20,0.00,0.00,0.00
65305,-23.44,-0.78,12.52,13.52,181,0.07,813,0.00,0.00,33.33,16,12.50,1.04,68,4.50,-10.30,1.20,0.00,0.00,0.00
65578,-23.44,-0.78,12.52,13.44,181,0.07,818,0.00,0.00,33.33,16,10.50,1.05,68,4.50,-10.30,1.20,0.00,0.00,0.00
65852,-23.44,-0.78,12.40,13.44,181,0.07,824,0.00,0.00,33.33,16,11.00,1.05,68,4.50,-10.30,1.18,0.00,0.00,0.00
66127,-23.44,-0.78,12.40,13.44,181,0.07,826,0.00,0.00,33.33,16,10.50,1.05,68,4.50,-10.30,1.18,0.00,0.00,0.00
66401,-23.44,-0.78,12.40,13.36,181,0.07,828,0.00,0.00,33.33,16,11.00,1.06,68,4.50,-10.30,1.18,0.00,0.00,0.00
66675,-23.44,-0.78,12.52,13.36,181,0.07,799,0.00,0.00,33.33,16,14.00,1.02,68,4.50,-10.30,1.18,0.00,0.00,0.00
66949,-23.44,-0.78,12.52,13.44,181,0.07,813,0.00,0.00,33.33,16,12.00,1.04,68,4.50,-10.30,1.18,0.00,0.00,0.00
67223,-23.44,-0.78,12.52,13.52,181,0.07,812,0.00,0.00,33.33,16,12.00,1.05,68,4.50,-10.30,1.20,0.00,0.00,0.00
67498,-23.44,-0.78,12.40,13.28,181,0.07,825,0.00,0.00,33.33,16,10.50,1.06,68,4.50,-10.30,1.20,0.00,0.00,0.00
67772,-23.44,-0.78,12.40,13.36,181,0.07,818,0.00,0.00,33.33,16,11.50,1.05,68,4.50,-10.30,1.20,0.00,0.00,0.00
68046,-23.44,-0.78,12.40,13.44,181,0.07,822,0.00,0.00,33.33,16,11.50,1.05,68,4.50,-10.30,1.20,0.00,0.00,0.00
68321,-23.44,-0.78,12.52,13.36,181,0.07,807,0.00,0.00,33.33,16,13.00,1.03,68,4.50,-10.30,1.20,0.00,0.00,0.00
68596,-23.44,-0.78,12.52,13.36,181,0.07,819,0.00,0.00,33.33,16,11.00,1.05,68,4.50,-10.30,1.20,0.00,0.00,0.00
68870,-23.44,-0.78,12.52,13.52,181,0.07,820,0.00,0.00,33.33,16,11.50,1.06,68,4.50,-10.30,1.18,0.00,0.00,0.00
69145,-23.44,-0.78,12.52,13.44,181,0.07,820,0.00,0.00,33.33,16,11.50,1.07,68,4.50,-10.30,1.18,0.00,0.00,0.00
69419,-23.44,-0.78,12.52,13.28,181,0.07,829,0.00,0.00,33.33,16,11.00,1.14,68,4.35,-10.45,1.18,0.00,0.00,0.00
69694,-23.44,-0.78,12.52,13.28,181,0.07,817,0.00,0.00,33.33,16,12.00,1.05,68,4.35,-10.45,1.20,0.00,0.00,0.00
69968,-23.44,-0.78,12.52,13.28,181,0.07,823,0.00,0.00,33.33,16,11.50,1.05,68,4.35,-10.45,1.18,0.00,0.00,0.00
70242,-23.44,-0.78,12.52,13.28,181,0.07,808,0.00,0.00,33.33,16,13.00,1.04,68,4.50,-10.30,1.18,0.00,0.00,0.00
70516,-23.44,-0.78,12.52,13.36,181,0.07,811,0.00,0.00,33.33,16,12.00,1.03,68,4.50,-10.30,1.20,0.00,0.00,0.00
70791,-23.44,-0.78,12.40,13.44,181,0.07,804,0.00,0.00,33.33,16,13.00,1.03,68,4.50,-10.30,1.20,0.00,0.00,0.00
71065,-23.44,-0.78,12.40,13.44,181,0.07,822,0.00,0.00,33.33,16,10.00,1.05,68,4.50,-10.30,1.18,0.00,0.00,0.00
71340,-23.44,-0.78,12.40,13.44,181,0.07,837,0.00,0.00,33.33,16,9.50,1.07,68,4.50,-10.30,1.18,0.00,0.00,0.00
71614,-23.44,-0.78,12.40,13.44,181,0.07,822,0.00,0.00,33.33,16,11.50,1.06,68,4.50,-10.45,1.20,0.00,0.00,0.00
71888,-23.44,-0.78,12.40,13.20,181,0.07,823,0.00,0.00,33.33,16,11.50,1.06,68,4.35,-10.45,1.20,0.00,0.00,0.00
72162,-23.44,-0.78,12.52,13.36,181,0.07,815,0.00,0.00,33.33,16,12.00,1.04,68,4.35,-10.45,1.20,0.00,0.00,0.00
72437,-23.44,-0.78,12.52,13.36,181,0.07,824,0.00,0.00,33.33,16,11.50,1.05,68,4.35,-10.45,1.20,0.00,0.00,0.00
72711,-23.44,-0.78,12.52,13.28,181,0.07,812,0.00,0.00,33.33,16,12.50,1.04,68,4.50,-10.30,1.18,0.00,0.00,0.00
72986,-23.44,-0.78,12.40,13.28,181,0.07,804,0.00,0.00,33.33,16,13.00,1.03,68,4.50,-10.30,1.18,0.00,0.00,0.00
73260,-23.44,-0.78,12.40,13.28,181,0.07,799,0.00,0.00,33.33,16,13.50,1.04,68,4.50,-10.30,1.18,0.00,0.00,0.00
73535,-23.44,-0.78,12.40,13.36,181,0.07,806,0.00,0.00,33.33,16,12.50,1.02,68,4.50,-10.30,1.20,0.00,0.00,0.00
73809,-23.44,-0.78,12.40,13.36,181,0.07,820,0.00,0.00,33.33,16,11.50,1.05,68,4.50,-10.30,1.18,0.00,0.00,0.00
74083,-23.44,-0.78,12.40,13.36,181,0.07,816,0.00,0.00,33.33,16,11.50,1.04,68,4.50,-10.30,1.18,0.00,0.00,0.00
74358,-23.44,-0.78,12.40,13.28,181,0.07,826,0.00,0.00,33.33,16,10.00,1.06,68,4.50,-10.30,1.18,0.00,0.00,0.00
74632,-23.44,-0.78,12.40,13.28,181,0.07,822,0.00,0.00,33.33,16,11.50,1.04,68,4.50,-10.30,1.20,0.00,0.00,0.00
74907,-23.44,-0.78,12.52,13.52,181,0.07,831,0.00,0.00,33.33,16,10.50,1.07,68,4.50,-10.30,1.20,0.00,0.00,0.00
75181,-23.44,-0.78,12.52,13.52,181,0.07,822,0.00,0.00,33.33,16,11.50,1.05,68,4.35,-10.45,1.18,0.00,0.00,0.00
75456,-23.44,-0.78,12.52,13.44,181,0.07,819,0.00,0.00,33.33,16,12.50,1.05,68,4.35,-10.45,1.18,0.00,0.00,0.00
75730,-23.44,-0.78,12.52,13.36,181,0.07,827,0.00,0.00,33.33,16,11.50,1.06,68,4.35,-10.45,1.18,0.00,0.00,0.00
76005,-23.44,-0.78,12.52,13.28,181,0.07,805,0.00,0.00,33.33,16,13.50,1.04,68,4.35,-10.45,1.18,0.00,0.00,0.00
76279,-23.44,-0.78,12.52,13.36,181,0.07,808,0.00,0.00,33.33,16,13.00,1.03,68,4.35,-10.45,1.18,0.00,0.00,0.00
76553,-23.44,-0.78,12.40,13.44,181,0.07,798,0.00,0.00,33.33,16,13.50,1.02,68,4.50,-10.30,1.18,0.00,0.00,0.00
76828,-23.44,-0.78,12.40,13.36,181,0.07,814,0.00,0.00,33.33,16,11.50,1.04,68,4.64,-10.16,1.20,0.00,0.00,0.00
77102,-23.44,-0.78,12.29,13.44,181,0.07,819,0.00,0.00,33.33,16,11.00,1.05,68,4.50,-10.30,1.20,0.00,0.00,0.00
77376,-23.44,-0.78,12.29,13.44,181,0.07,828,0.00,0.00,33.33,16,10.50,1.06,68,4.50,-10.30,1.20,0.00,0.00,0.00
77651,-23.44,-0.78,12.40,13.20,181,0.07,813,0.00,0.00,33.33,16,12.00,1.04,68,4.50,-10.30,1.20,0.00,0.00,0.00
77926,-23.44,-0.78,12.40,13.20,181,0.07,822,0.00,0.00,33.33,16,11.00,1.04,68,4.50,-10.30,1.20,0.00,0.00,0.00
78199,-23.44,-0.78,12.52,13.28,181,0.07,833,0.00,0.00,33.33,16,10.50,0.98,68,4.50,-10.30,1.18,0.00,0.00,0.00
78474,-23.44,-0.78,12.52,13.28,181,0.07,821,0.00,0.00,33.33,16,11.50,1.05,68,4.50,-10.30,1.18,0.00,0.00,0.00
78749,-23.44,-0.78,12.52,13.28,181,0.07,824,0.00,0.00,33.33,16,11.00,1.05,68,4.50,-10.30,1.18,0.00,0.00,0.00
79023,-23.44,-0.78,12.40,13.28,181,0.07,821,0.00,0.00,33.33,16,11.50,1.05,68,4.35,-10.45,1.20,0.00,0.00,0.00
79297,-23.44,-0.78,12.40,13.36,181,0.07,828,0.00,0.00,33.33,16,11.00,1.06,68,4.35,-10.45,1.18,0.00,0.00,0.00
79571,-23.44,-0.78,12.52,13.36,181,0.07,802,0.00,0.00,33.33,16,13.50,1.03,68,4.35,-10.45,1.20,0.00,0.00,0.00
79846,-23.44,-0.78,12.52,13.36,181,0.07,796,0.00,0.00,33.33,16,13.50,1.02,68,4.50,-10.30,1.20,0.00,0.00,0.00
80120,-23.44,-0.78,12.40,13.36,181,0.07,794,0.00,0.00,33.33,16,13.50,1.02,68,4.64,-10.16,1.22,0.00,0.00,0.00
80394,-23.44,-0.78,12.40,13.36,181,0.08,823,0.00,0.00,33.33,16,10.00,1.04,68,4.64,-10.16,1.22,0.00,0.00,0.00
80669,-23.44,-0.78,12.29,13.68,181,0.07,831,0.00,0.00,33.33,16,9.50,1.06,68,4.50,-10.30,1.20,0.00,0.00,0.00
80943,-23.44,-0.78,12.40,13.60,181,0.07,831,0.00,0.00,33.33,16,9.50,1.07,68,4.50,-10.30,1.18,0.00,0.00,0.00
81218,-23.44,-0.78,12.52,13.52,181,0.07,834,0.00,0.00,33.33,16,10.50,1.07,68,4.35,-10.45,1.18,0.00,0.00,0.00
81492,-23.44,-0.78,12.63,13.52,181,0.07,819,0.00,0.00,33.33,16,12.00,1.05,68,4.35,-10.45,1.18,0.00,0.00,0.00
81766,-23.44,-0.78,12.63,13.44,181,0.07,813,0.00,0.00,33.33,16,11.50,1.04,68,4.50,-10.30,1.20,0.00,0.00,0.00
82041,-23.44,-0.78,12.52,13.36,181,0.07,811,0.00,0.00,33.33,16,12.50,1.05,68,4.50,-10.30,1.20,0.00,0.00,0.00
82314,-23.44,-0.78,12.52,13.36,181,0.07,814,0.00,0.00,33.33,16,12.00,1.04,68,4.50,-10.30,1.20,0.00,0.00,0.00
82589,-23.44,-0.78,12.40,13.44,181,0.07,809,0.00,0.00,33.33,16,12.00,1.04,68,4.50,-10.30,1.20,0.00,0.00,0.00
82864,-23.44,-0.78,12.40,13.44,181,0.07,830,0.00,0.00,33.33,16,10.00,1.06,68,4.50,-10.30,1.20,0.00,0.00,0.00
83138,-23.44,-0.78,12.40,13.36,181,0.07,832,0.00,0.00,33.33,16,11.00,1.06,68,4.50,-10.30,1.18,0.00,0.00,0.00
83413,-23.44,-0.78,12.40,13.36,181,0.07,823,0.00,0.00,33.33,16,11.00,1.04,68,4.50,-10.30,1.18,0.00,0.00,0.00
83687,-23.44,-0.78,12.52,13.20,181,0.07,822,0.00,0.00,33.33,16,11.50,1.05,68,4.50,-10.30,1.18,0.00,0.00,0.00
83961,-23.44,-0.78,12.52,13.12,181,0.07,819,0.00,0.00,33.33,16,11.50,1.05,68,4.50,-10.30,1.18,0.00,0.00,0.00
84235,-23.44,-0.78,12.40,13.12,181,0.07,830,0.00,0.00,33.33,16,10.50,1.06,68,4.50,-10.30,1.20,0.00,0.00,0.00
84509,-23.44,-0.78,12.52,13.12,181,0.07,829,0.00,0.00,33.33,16,11.00,1.06,68,4.35,-10.45,1.20,0.00,0.00,0.00
84783,-23.44,-0.78,12.52,13.20,181,0.07,820,0.00,0.00,33.33,16,12.00,1.04,68,4.35,-10.45,1.18,0.00,0.00,0.00
85058,-23.44,-0.78,12.52,13.44,181,0.07,815,0.00,0.00,33.33,16,12.50,1.05,68,4.35,-10.45,1.18,0.00,0.00,0.00
85332,-23.44,-0.78,12.40,13.44,181,0.07,810,0.00,0.00,33.33,16,12.00,1.03,68,4.50,-10.30,1.18,0.00,0.00,0.00
85606,-23.44,-0.78,12.40,13.44,181,0.07,812,0.00,0.00,33.33,16,12.00,1.04,68,4.50,-10.30,1.18,0.00,0.00,0.00
85880,-23.44,-0.78,12.40,13.44,181,0.07,812,0.00,0.00,33.33,16,12.00,1.04,68,4.50,-10.30,1.18,0.00,0.00,0.00
86155,-23.44,-0.78,12.40,13.36,181,0.07,832,0.00,0.00,33.33,16,10.50,1.06,68,4.50,-10.30,1.20,0.00,0.00,0.00
86429,-23.44,-0.78,12.40,13.28,181,0.07,826,0.00,0.00,33.33,16,11.00,1.07,68,4.50,-10.30,1.20,0.00,0.00,0.00
86703,-23.44,-0.78,12.40,13.44,181,0.07,833,0.00,0.00,33.33,16,10.50,1.07,68,4.35,-10.45,1.20,0.00,0.00,0.00
86977,-23.44,-0.78,12.52,13.52,181,0.07,833,0.00,0.00,33.33,16,11.00,1.07,68,4.35,-10.45,1.18,0.00,0.00,0.00
87251,-23.44,-0.78,12.52,13.52,181,0.07,822,0.00,0.00,33.33,16,12.00,1.05,68,4.35,-10.45,1.18,0.00,0.00,0.00
87525,-23.44,-0.78,12.52,13.44,181,0.07,813,0.00,0.00,33.33,16,12.00,1.04,68,4.35,-10.45,1.18,0.00,0.00,0.00
87800,-23.44,-0.78,12.52,13.44,181,0.07,804,0.00,0.00,33.33,16,13.00,1.02,68,4.50,-10.30,1.18,0.00,0.00,0.00
88074,-23.44,-0.78,12.40,13.36,181,0.07,813,0.00,0.00,33.33,16,11.50,1.04,68,4.50,-10.30,1.18,0.00,0.00,0.00
88348,-23.44,-0.78,12.40,13.44,181,0.07,822,0.00,0.00,33.33,16,11.00,1.05,68,4.50,-10.30,1.18,0.00,0.00,0.00
88623,-23.44,-0.78,12.29,13.44,181,0.07,832,0.00,0.00,33.33,16,10.00,1.06,68,4.50,-10.30,1.20,0.00,0.00,0.00
88897,-23.44,-0.78,12.29,13.44,181,0.07,826,0.00,0.00,33.33,16,11.00,1.06,68,4.50,-10.30,1.18,0.00,0.00,0.00
