Time (msec),A/F Correction #1 (%),A/F Learning #1 (%),A/F Sensor #1 (AFR),Battery Voltage (V),Coolant Temperature (F),Engine Load (Calculated) (g/rev),Engine Speed (rpm),Feedback Knock Correction* (degrees),Fine Learning Knock Correction* (degrees),Fuel Pump Duty (%),IAM* (raw ecu value),Ignition Total Timing (degrees),Injector Duty Cycle (%),Intake Air Temperature (F),Manifold Absolute Pressure (psi),Manifold Relative Pressure (psi),Mass Airflow Sensor Voltage (V),Primary Wastegate Duty Cycle (%),Throttle Opening Angle (%)
3081,-21.09,0.00,14.70,13.44,192,0.55,1718,0.00,0.00,33.33,12,30.50,2.89,138,6.96,-7.69,1.82,0.00,5.88
3338,-21.09,0.00,14.81,13.44,192,0.52,1796,0.00,0.00,33.33,12,30.50,2.68,138,6.67,-8.13,1.82,0.00,5.88
3594,-21.09,0.00,14.81,13.44,192,0.50,1867,0.00,0.00,33.33,12,31.00,2.79,138,6.38,-8.42,1.82,0.00,5.88
3851,-21.09,0.00,14.59,13.44,192,0.49,1916,0.00,0.00,33.33,12,33.50,2.86,138,6.24,-8.56,1.82,0.00,5.88
4108,-20.31,0.00,14.59,13.44,192,0.47,1996,0.00,0.00,33.33,12,33.50,2.98,138,6.09,-8.71,1.82,0.00,5.88
4365,-20.31,0.00,14.59,13.36,192,0.47,2065,0.00,0.00,33.33,12,34.00,3.08,138,6.09,-8.71,1.84,0.00,5.88
4620,-20.31,0.00,14.59,13.36,192,0.49,2136,0.00,0.00,33.33,12,34.00,3.17,138,6.09,-8.71,1.86,0.00,7.06
4878,-20.31,0.00,14.59,13.28,190,0.65,2215,0.00,0.00,33.33,12,32.50,3.76,138,6.82,-8.13,1.98,0.00,9.02
5135,-20.31,0.00,14.01,13.28,190,0.71,2285,0.00,0.00,33.33,12,30.50,4.40,138,7.40,-7.55,2.04,0.00,9.41
5391,-21.09,0.00,13.32,13.20,190,0.69,2420,0.00,0.00,33.33,12,31.50,4.06,138,7.25,-7.55,2.06,0.00,9.80
5649,-21.09,0.00,12.98,13.20,190,0.71,2534,0.00,0.00,33.33,12,32.00,4.86,138,6.96,-7.84,2.08,0.00,10.20
5905,-21.09,-0.78,12.75,13.36,190,0.70,2680,0.00,0.00,33.33,12,32.00,5.06,138,6.82,-7.84,2.10,0.00,10.20
6161,-21.09,-0.78,12.75,13.36,190,0.71,2785,0.00,0.00,33.33,12,32.50,5.24,138,6.82,-7.98,2.10,0.00,10.59
6418,-21.09,-0.78,12.75,13.28,190,0.71,2817,0.00,0.00,66.67,12,33.00,5.41,138,6.82,-7.98,2.14,0.00,10.98
6675,-21.09,-0.78,12.75,13.28,190,0.71,2927,0.00,0.00,66.67,12,33.00,5.00,138,6.96,-7.84,2.16,0.00,11.37
6932,-20.31,-0.78,12.63,13.28,190,0.68,3050,0.00,0.00,66.67,12,34.00,5.21,138,6.82,-7.98,2.16,0.00,11.37
7190,-20.31,-0.78,12.86,13.28,190,0.70,3154,0.00,0.00,66.67,12,35.00,5.38,138,6.96,-7.84,2.20,0.00,11.76
7446,-20.31,-0.78,12.86,13.28,190,0.69,3272,0.00,0.00,66.67,12,35.50,5.58,138,7.11,-7.69,2.22,0.00,12.16
7703,-20.31,-0.78,12.86,13.28,189,0.68,3363,0.00,0.00,66.67,12,35.50,5.72,138,7.11,-7.69,2.24,0.00,12.16
7961,-19.53,-0.78,12.86,13.20,189,0.66,3454,0.00,0.00,66.67,12,35.50,5.84,138,6.96,-7.84,2.22,0.00,12.16
8217,-19.53,-0.78,12.86,13.20,189,0.64,3578,0.00,0.00,66.67,12,36.00,6.06,138,6.82,-7.98,2.24,0.00,12.55
8473,-19.53,-0.78,12.86,13.28,189,0.63,3648,0.00,0.00,66.67,12,36.50,6.23,136,6.53,-8.27,2.24,0.00,11.76
8730,0.00,0.00,12.17,13.28,189,0.15,3570,0.00,0.00,66.67,12,34.00,3.81,136,2.90,-11.90,1.54,0.00,0.00
8987,0.00,0.00,11.94,13.36,189,0.18,3072,0.00,0.00,66.67,12,21.50,0.00,136,3.05,-11.75,1.56,0.00,0.00
9244,0.00,-0.78,16.19,13.52,189,0.77,2624,0.00,0.00,33.33,12,20.00,3.36,136,5.37,-9.43,2.20,0.39,12.94
9501,-9.38,-0.78,12.63,13.36,189,1.06,2194,0.00,0.00,33.33,12,26.00,6.11,135,9.29,-6.09,2.24,0.78,13.33
9758,-19.53,-0.78,11.83,13.36,189,1.01,2174,0.00,0.00,33.33,12,22.50,5.20,135,10.16,-4.64,2.20,0.78,13.33
10015,-19.53,-0.78,12.29,13.44,189,0.98,2309,0.00,0.00,33.33,12,23.50,5.21,135,10.16,-4.64,2.22,0.78,13.33
10272,-19.53,-0.78,12.40,13.28,189,0.98,2332,0.00,0.00,33.33,12,23.50,5.48,135,9.87,-4.79,2.24,0.78,13.73
10529,-19.53,-0.78,12.52,13.28,189,0.97,2404,0.00,0.00,33.33,12,23.50,5.50,133,9.87,-4.93,2.24,0.78,13.73
10786,-19.53,-0.78,12.52,13.20,189,1.00,2454,0.00,0.00,33.33,12,24.00,5.77,133,9.72,-4.93,2.26,1.18,14.12
11043,-19.53,-0.78,12.75,13.28,189,1.03,2501,0.00,0.00,33.33,12,24.00,5.85,133,10.01,-4.93,2.30,1.96,14.90
11299,-19.53,-0.78,12.98,13.36,189,1.03,2559,0.00,0.00,33.33,12,23.00,6.00,133,10.30,-4.50,2.34,2.35,15.69
11556,-18.75,-0.78,13.09,13.36,189,1.02,2616,0.00,0.00,33.33,12,23.00,6.14,131,10.30,-4.50,2.36,2.75,16.08
11813,-18.75,-0.78,13.32,13.36,189,1.03,2692,0.00,0.00,33.33,12,23.00,6.32,131,10.45,-4.35,2.38,2.75,16.47
12069,-18.75,-0.78,13.32,13.36,189,1.01,2755,0.00,0.00,33.33,12,23.50,6.47,129,10.45,-4.35,2.40,3.14,16.47
12326,-18.75,-0.78,13.32,13.28,189,1.01,2818,0.00,0.00,66.67,12,24.00,6.61,129,10.30,-4.50,2.40,3.14,16.47
12583,-18.75,-0.78,13.55,13.28,189,1.01,2862,0.00,0.00,66.67,12,25.00,6.72,129,10.30,-4.50,2.42,3.14,16.47
12840,-18.75,-0.78,13.55,13.28,189,0.99,2942,0.00,0.00,66.67,12,25.00,6.85,127,10.30,-4.50,2.44,3.14,16.47
13098,-17.97,-0.78,13.78,13.28,189,0.97,3004,0.00,0.00,66.67,14,26.00,6.30,127,10.16,-4.64,2.44,3.14,16.47
13354,-18.75,-0.78,13.90,13.28,189,0.96,3041,0.00,0.00,66.67,14,27.00,6.49,127,10.16,-4.64,2.44,3.14,16.47
13611,-17.97,-0.78,14.01,13.28,189,0.96,3082,0.00,0.00,66.67,14,27.50,6.57,126,10.16,-4.64,2.44,3.14,16.47
13868,-17.97,-0.78,13.90,13.28,189,0.93,3170,0.00,0.00,66.67,14,28.00,6.64,126,10.01,-4.79,2.46,3.14,16.08
14125,-17.97,-0.78,14.13,13.28,189,0.91,3188,0.00,0.00,66.67,14,29.50,6.81,124,9.87,-4.93,2.44,2.75,16.08
14382,-17.19,-0.78,14.01,13.28,189,0.89,3230,0.00,0.00,66.67,14,30.00,6.89,124,9.72,-5.08,2.44,2.75,15.69
14638,-17.19,-0.78,13.67,13.28,189,0.84,3304,0.00,0.00,66.67,14,32.00,6.34,124,9.29,-5.51,2.38,1.96,14.51
14895,-17.19,-0.78,13.44,13.28,189,0.83,3312,0.00,0.00,66.67,14,33.00,6.36,122,8.71,-6.09,2.38,1.57,14.12
15152,-17.19,-0.78,13.32,13.28,189,0.80,3378,0.00,0.00,66.67,14,34.00,6.49,122,8.42,-6.38,2.36,1.18,13.73
15409,-17.97,-0.78,13.44,13.28,189,0.74,3423,0.00,0.00,66.67,14,35.50,6.57,122,7.98,-6.82,2.30,0.78,12.16
15666,-17.97,-0.78,12.98,13.28,189,0.18,3377,0.00,0.00,66.67,14,39.00,5.04,120,4.50,-10.30,1.60,0.00,0.00
15923,0.00,-0.78,12.06,13.28,189,0.21,3098,0.00,0.00,66.67,14,22.50,0.00,120,2.90,-11.90,1.58,0.00,0.00
16180,0.00,-0.78,12.52,13.36,189,0.23,2597,0.00,0.00,33.33,14,16.50,0.00,120,2.90,-11.90,1.58,0.00,0.00
16437,0.00,-0.78,21.71,13.36,189,0.58,2421,0.00,0.00,33.33,14,21.50,3.51,118,5.22,-10.45,1.98,0.00,7.45
16694,-5.47,-0.78,14.01,13.36,189,0.59,2358,0.00,0.00,33.33,14,33.00,4.63,118,6.24,-8.56,1.96,0.00,7.84
16951,-18.75,-0.78,11.94,13.28,189,0.66,2401,0.00,0.00,33.33,14,33.00,4.10,118,6.82,-8.13,2.04,0.00,8.63
17209,-19.53,-0.78,12.75,13.44,189,0.69,2390,0.00,0.00,33.33,14,33.50,4.12,118,6.96,-7.84,2.04,0.00,9.02
17465,-19.53,-0.78,12.86,13.36,189,0.73,2407,0.00,0.00,33.33,14,33.50,4.62,118,7.25,-7.55,2.08,0.00,9.80
17722,-18.75,-0.78,12.52,13.36,189,0.80,2441,0.00,0.00,33.33,14,30.50,4.69,118,7.69,-7.11,2.14,0.00,12.55
17978,-19.53,-0.78,12.52,13.36,189,0.90,2437,0.00,0.00,33.33,14,28.50,5.20,117,8.71,-6.09,2.20,0.00,12.55
18234,-19.53,-0.78,12.52,13.36,189,0.91,2473,0.00,0.00,33.33,14,28.00,5.28,117,8.85,-5.95,2.22,0.00,12.55
18492,-19.53,-0.78,12.63,13.36,189,0.91,2502,0.00,0.00,33.33,14,28.00,5.34,117,8.85,-5.95,2.24,0.39,12.55
18749,-19.53,-0.78,12.75,13.44,189,0.93,2525,0.00,0.00,33.33,14,28.00,5.39,117,8.85,-5.95,2.24,0.78,12.94
19005,-19.53,-0.78,12.86,13.44,189,0.92,2548,0.00,0.00,33.33,14,28.00,5.38,117,9.00,-5.80,2.26,0.78,13.33
19262,-19.53,-0.78,12.86,13.44,189,0.94,2555,0.00,0.00,33.33,14,27.50,5.43,115,9.14,-5.66,2.26,0.78,13.73
19519,-19.53,-0.78,13.21,13.36,189,0.96,2595,0.00,0.00,33.33,14,27.00,5.53,115,9.43,-5.51,2.30,1.18,14.12
19776,-19.53,-0.78,13.09,13.44,189,0.96,2612,0.00,0.00,33.33,14,27.00,5.54,115,9.43,-5.37,2.30,1.18,14.12
20032,-19.53,-0.78,13.55,13.28,189,0.98,2622,0.00,0.00,33.33,14,27.00,5.59,115,9.72,-5.22,2.32,1.57,14.90
20290,-19.53,-0.78,13.55,13.28,189,1.00,2676,0.00,0.00,33.33,14,26.50,5.65,115,10.01,-4.93,2.36,2.35,15.29
20547,-19.53,-0.78,13.67,13.36,189,1.00,2693,0.00,0.00,33.33,14,26.00,5.74,113,10.01,-4.79,2.36,2.35,15.69
20804,-19.53,-0.78,13.78,13.36,189,1.02,2718,0.00,0.00,33.33,14,26.00,5.80,113,10.16,-4.64,2.38,2.75,15.69
21060,-18.75,-0.78,14.01,13.36,189,1.02,2743,0.00,0.00,33.33,16,26.50,5.85,113,10.16,-4.64,2.40,2.75,15.69
21317,-18.75,-0.78,13.90,13.36,189,1.02,2776,0.00,0.00,33.33,16,26.50,5.92,113,10.30,-4.50,2.40,2.75,15.69
21573,-18.75,-0.78,14.13,13.36,189,1.03,2786,0.00,0.00,33.33,16,26.50,5.97,113,10.30,-4.50,2.42,2.75,16.08
21830,-18.75,-0.78,14.24,13.28,189,1.03,2800,0.00,0.00,66.67,16,27.00,5.99,113,10.30,-4.50,2.42,2.75,15.69
22087,-18.75,-0.78,14.01,13.28,189,1.00,2833,0.00,0.00,66.67,16,27.00,6.03,113,10.30,-4.50,2.42,2.75,16.08
22344,-18.75,-0.78,14.36,13.28,189,1.02,2860,0.00,0.00,66.67,16,27.00,6.12,111,10.30,-4.50,2.42,2.75,16.08
22600,-18.75,-0.78,14.59,13.28,189,1.03,2872,0.00,0.00,66.67,16,27.00,6.12,111,10.45,-4.50,2.46,3.14,16.47
22857,-18.75,-0.78,14.59,13.20,189,1.01,2886,0.00,0.00,66.67,16,27.00,6.23,111,10.45,-4.35,2.44,3.14,16.47
23114,-17.97,-0.78,14.81,13.28,189,0.99,2939,0.00,0.00,66.67,16,27.00,6.30,111,10.59,-4.21,2.46,3.14,16.47
23370,-16.41,-0.78,14.81,13.28,189,1.01,2960,0.00,0.00,66.67,16,27.00,6.31,111,10.59,-4.21,2.46,3.53,16.86
23628,-16.41,0.00,14.93,13.28,189,1.02,2993,0.00,0.00,66.67,16,27.00,6.38,111,10.74,-4.06,2.48,3.53,17.25
23885,-15.62,0.00,14.81,13.28,189,1.04,2944,0.00,0.00,66.67,16,26.50,6.28,111,10.88,-3.92,2.50,3.53,17.25
24142,-14.84,0.00,14.93,13.28,189,1.01,3038,0.00,0.00,66.67,16,26.50,7.13,109,11.03,-3.77,2.50,3.92,17.65
24398,-13.28,0.00,14.93,13.28,189,1.04,3061,0.00,0.00,66.67,16,26.50,6.53,109,11.17,-3.63,2.54,4.31,18.04
24655,-12.50,0.00,14.93,13.28,189,1.04,3040,0.00,0.00,66.67,16,26.00,7.26,109,11.17,-3.63,2.52,4.31,18.04
24913,-12.50,0.00,14.81,13.28,189,1.03,3086,0.00,0.00,66.67,16,26.50,7.26,109,11.32,-3.48,2.54,4.31,18.04
25169,-11.72,0.00,14.81,13.28,189,1.02,3116,0.00,0.00,66.67,16,11.50,7.34,109,11.32,-3.48,2.54,4.31,18.04
25426,-10.16,0.00,14.93,13.28,189,1.02,3160,0.00,0.00,66.67,16,27.00,7.34,109,11.32,-3.48,2.56,4.31,18.04
25683,-10.16,0.00,14.81,13.28,189,1.02,3170,0.00,0.00,66.67,16,27.00,7.40,109,11.46,-3.48,2.54,4.31,18.04
25940,-10.16,0.00,14.70,13.20,189,1.02,3209,0.00,0.00,66.67,16,27.00,6.74,108,11.46,-3.48,2.54,4.31,18.04
26196,-7.81,0.00,15.04,13.20,187,1.02,3221,0.00,0.00,66.67,16,27.50,7.51,108,11.32,-3.48,2.56,4.31,18.04
26453,-8.59,0.00,14.81,13.20,187,0.99,3223,0.00,0.00,66.67,16,28.00,6.88,108,11.32,-3.48,2.54,4.31,18.04
26710,-8.59,0.00,14.70,13.28,187,0.99,3246,0.00,0.00,66.67,16,28.50,6.93,108,11.17,-3.63,2.54,4.31,18.04
26966,-8.59,0.00,14.70,13.28,187,0.97,3305,0.00,0.00,66.67,16,28.50,7.05,108,11.17,-3.63,2.54,4.31,18.04
27222,-8.59,0.00,14.81,13.28,187,0.98,3291,0.00,0.00,66.67,16,28.50,7.02,108,11.03,-3.77,2.54,4.31,17.65
27479,-7.81,0.00,14.81,13.28,187,0.94,3344,0.00,0.00,66.67,16,29.50,7.07,108,10.74,-3.92,2.52,3.53,16.86
27736,-9.38,0.00,14.59,13.28,187,0.92,3332,0.00,0.00,66.67,16,31.00,7.18,108,10.30,-4.35,2.50,3.14,16.47
27993,-10.16,0.00,14.59,13.28,187,0.90,3368,0.00,0.00,66.67,16,31.50,6.43,108,10.01,-4.79,2.46,2.75,15.69
28250,-12.50,-0.78,14.59,13.28,187,0.85,3402,0.00,0.00,66.67,16,33.00,6.46,106,9.43,-5.22,2.42,1.96,14.90
28507,-14.06,-0.78,14.70,13.28,187,0.81,3414,0.00,0.00,66.67,16,34.00,6.49,106,8.71,-5.95,2.38,1.18,13.33
28764,-17.97,-0.78,14.36,13.12,187,0.76,3431,0.00,0.00,66.67,16,36.50,5.80,106,7.98,-6.67,2.32,0.39,12.94
29021,-18.75,-0.78,14.70,13.20,187,0.74,3440,0.00,0.00,66.67,16,37.00,5.82,106,7.69,-6.96,2.32,0.39,12.55
29278,-14.84,-0.78,15.27,13.20,187,0.73,3445,0.00,0.00,66.67,16,38.00,5.88,106,7.69,-7.11,2.28,0.39,12.55
29534,-14.84,-0.78,14.81,13.20,187,0.72,3446,0.00,0.00,66.67,16,38.00,5.88,106,7.55,-7.25,2.28,0.39,12.55
29791,-14.84,-0.78,14.81,13.28,187,0.72,3428,0.00,0.00,66.67,16,38.50,5.85,106,7.40,-7.40,2.28,0.00,12.55
30048,-12.50,-0.78,14.93,13.28,187,0.71,3434,0.00,0.00,66.67,16,39.00,5.86,106,7.40,-7.40,2.28,0.00,12.55
30306,-13.28,-0.78,14.70,13.28,187,0.71,3456,0.00,0.00,66.67,16,38.50,5.90,104,7.40,-7.40,2.28,0.00,12.55
30563,-14.06,-0.78,14.59,13.28,187,0.70,3451,0.00,0.00,66.67,16,39.00,5.85,104,7.40,-7.40,2.26,0.00,12.55
30819,-11.72,-0.78,15.04,13.28,187,0.70,3458,0.00,0.00,66.67,16,39.00,5.84,104,7.25,-7.55,2.26,0.00,12.55
31076,-12.50,-0.78,14.70,13.28,187,0.71,3458,0.00,0.00,66.67,16,39.00,5.85,104,7.40,-7.55,2.26,0.00,12.55
31332,-10.94,-0.78,14.93,13.12,187,0.72,3453,0.00,0.00,66.67,16,38.50,5.84,104,7.55,-7.40,2.28,0.39,12.55
31589,-10.16,-0.78,14.81,13.20,187,0.74,3446,0.00,0.00,66.67,16,38.00,5.84,104,7.69,-7.11,2.30,0.78,13.33
31846,-7.81,-0.78,14.93,13.20,187,0.76,3429,0.00,0.00,66.67,16,36.50,5.85,104,7.84,-6.96,2.32,0.78,13.33
32103,-8.59,-0.78,14.70,13.20,187,0.76,3423,0.00,0.00,66.67,16,36.50,5.84,104,7.84,-6.96,2.32,0.78,13.33
32360,-7.03,-0.78,15.04,13.28,187,0.76,3428,0.00,0.00,66.67,16,36.50,5.85,104,7.98,-6.82,2.32,0.78,13.33
32617,-7.03,-0.78,14.70,13.28,187,0.77,3421,0.00,0.00,66.67,16,36.50,5.84,104,7.98,-6.82,2.32,0.78,13.33
32874,-5.47,-0.78,15.04,13.28,187,0.76,3420,0.00,0.00,66.67,16,36.50,5.84,104,7.98,-6.82,2.32,0.78,13.33
33130,-3.91,-0.78,14.81,13.28,187,0.77,3417,0.00,0.00,66.67,16,36.50,5.83,104,7.98,-6.82,2.32,0.78,13.33
33387,-7.03,-0.78,14.59,13.28,187,0.78,3417,0.00,0.00,66.67,16,36.50,5.87,104,7.98,-6.82,2.34,0.78,13.33
33644,-6.25,-0.78,14.70,13.28,187,0.77,3410,0.00,0.00,66.67,16,36.50,5.87,102,7.98,-6.82,2.32,0.78,13.33
33900,-4.69,-0.78,14.93,13.36,187,0.76,3434,0.00,0.00,66.67,16,36.50,5.86,102,7.98,-6.82,2.32,0.78,13.33
34156,-4.69,-0.78,14.70,13.12,187,0.76,3432,0.00,0.00,66.67,16,36.50,5.86,102,7.98,-6.82,2.32,0.78,13.33
34413,-4.69,-0.78,14.81,13.12,187,0.76,3401,0.00,0.00,66.67,16,36.50,5.86,102,7.98,-6.82,2.32,0.78,13.33
34671,-2.34,-0.78,14.81,13.20,187,0.76,3434,0.00,0.00,66.67,16,36.50,5.86,102,7.98,-6.82,2.32,0.78,13.33
34927,-1.56,-0.78,14.70,13.20,187,0.76,3434,0.00,0.00,66.67,16,36.50,5.86,102,7.98,-6.82,2.32,0.78,13.33
35184,-2.34,-0.78,14.70,13.28,187,0.76,3424,0.00,0.00,66.67,16,36.50,5.84,102,7.98,-6.82,2.32,0.78,13.33
35442,0.00,-0.78,15.04,13.28,187,0.76,3431,0.00,0.00,66.67,16,36.50,5.86,102,7.98,-6.82,2.32,0.78,13.33
35698,-0.78,-0.78,14.59,13.28,187,0.76,3438,0.00,0.00,66.67,16,36.50,5.86,102,7.84,-6.96,2.32,0.78,13.33
35955,1.56,-0.78,15.04,13.28,187,0.76,3432,0.00,0.00,66.67,16,36.50,5.87,102,7.98,-6.82,2.32,0.78,13.33
36212,1.56,-0.78,14.70,13.28,187,0.76,3432,0.00,0.00,66.67,16,36.50,5.82,102,7.84,-6.82,2.32,0.78,13.33
36468,1.56,-0.78,14.70,13.28,187,0.76,3431,0.00,0.00,66.67,16,36.50,5.83,102,7.84,-6.96,2.30,0.78,12.94
36725,1.56,-0.78,14.70,13.20,187,0.75,3437,0.00,0.00,66.67,16,36.50,5.87,102,7.84,-6.96,2.30,0.39,12.94
36982,1.56,-0.78,14.81,13.20,187,0.73,3443,0.00,0.00,66.67,16,37.00,5.87,102,7.69,-7.11,2.30,0.39,12.94
37239,0.78,-0.78,14.70,13.12,187,0.74,3412,0.00,0.00,66.67,16,37.50,5.82,102,7.69,-7.11,2.28,0.39,12.94
37496,0.00,-0.78,14.70,13.20,187,0.73,3418,0.00,0.00,66.67,16,38.00,5.83,102,7.55,-7.25,2.28,0.39,12.55
37752,-0.78,-0.78,14.70,13.20,187,0.73,3421,0.00,0.00,66.67,16,38.00,5.84,102,7.55,-7.25,2.28,0.00,12.55
38008,0.00,-0.78,14.81,13.28,187,0.73,3421,0.00,0.00,66.67,16,38.00,5.84,102,7.55,-7.25,2.28,0.39,12.55
38265,0.78,-0.78,14.93,13.28,185,0.72,3448,0.00,0.00,66.67,16,25.00,5.89,102,7.55,-7.25,2.28,0.00,12.55
38522,1.56,-0.78,14.70,13.28,185,0.72,3459,0.00,0.00,66.67,16,38.00,5.89,100,7.55,-7.25,2.30,0.39,12.55
38779,1.56,-0.78,14.70,13.28,185,0.72,3456,0.00,0.00,66.67,16,38.00,5.90,100,7.55,-7.25,2.28,0.00,12.55
39035,1.56,-0.78,14.70,13.28,185,0.73,3458,0.00,0.00,66.67,16,38.00,5.87,100,7.55,-7.25,2.28,0.00,12.55
39293,0.78,-0.78,14.59,13.20,185,0.72,3437,0.00,0.00,66.67,16,38.50,5.86,100,7.40,-7.25,2.28,0.39,12.55
39550,1.56,-0.78,14.70,13.20,185,0.72,3438,0.00,0.00,66.67,16,38.50,5.87,100,7.55,-7.25,2.28,0.00,12.55
39807,0.78,-0.78,14.70,13.12,185,0.69,3446,0.00,0.00,66.67,16,39.00,5.88,100,7.40,-7.40,2.22,0.00,0.00
40063,0.00,0.00,12.29,13.20,185,0.16,3272,0.00,0.00,66.67,16,28.50,0.00,100,3.05,-11.75,1.64,0.00,0.00
40320,0.00,0.00,14.01,13.04,185,0.15,2809,0.00,0.00,66.67,16,17.00,0.00,100,3.05,-11.75,1.50,0.00,0.00
40577,0.00,-0.78,22.74,13.20,185,1.04,2436,0.00,0.00,33.33,16,4.50,5.72,100,7.55,-7.25,2.32,1.57,15.29
40834,-12.50,-0.78,11.94,13.20,185,1.08,2412,0.00,0.00,33.33,16,15.50,6.69,100,10.59,-4.21,2.32,2.35,15.69
41091,-25.00,-0.78,12.29,13.28,185,1.09,2425,0.00,0.00,33.33,16,22.50,5.72,100,10.88,-3.92,2.34,2.75,15.69
41347,-24.22,-0.78,13.55,13.28,185,1.09,2470,0.00,0.00,33.33,16,21.50,5.71,100,11.03,-3.77,2.36,2.75,15.69
41605,-24.22,-0.78,13.44,13.28,185,1.11,2451,0.00,0.00,33.33,16,21.00,5.77,100,11.17,-3.77,2.36,2.75,15.69
41861,-24.22,-0.78,13.32,13.28,185,1.12,2448,0.00,0.00,33.33,16,21.00,5.82,100,11.17,-3.63,2.36,2.75,15.69
42118,-25.00,-0.78,13.32,13.36,185,1.09,2461,0.00,0.00,33.33,16,21.00,5.80,100,11.17,-3.77,2.36,2.75,15.69
42376,-24.22,-0.78,13.44,13.36,185,1.08,2486,0.00,0.00,33.33,16,22.00,5.81,100,11.03,-3.77,2.34,2.35,15.29
42633,-24.22,-0.78,13.32,13.44,185,1.06,2494,0.00,0.00,33.33,16,23.00,5.85,100,10.74,-3.92,2.36,1.96,14.51
42890,-25.00,-0.78,13.21,13.36,185,1.05,2503,0.00,0.00,33.33,16,23.50,5.87,100,10.59,-4.21,2.32,1.57,13.73
43146,-24.22,-0.78,13.09,13.28,185,0.96,2499,0.00,0.00,33.33,16,27.00,5.33,100,9.87,-4.93,2.26,0.39,12.94
43402,-24.22,-0.78,12.75,13.28,185,0.94,2503,0.00,0.00,33.33,16,27.50,5.34,100,9.43,-5.37,2.26,0.39,12.55
43659,-25.00,-0.78,12.75,13.28,185,0.93,2483,0.00,0.00,33.33,16,28.50,5.30,100,9.29,-5.51,2.24,0.00,12.16
43916,-25.00,-0.78,12.75,13.28,185,0.91,2489,0.00,0.00,33.33,16,28.50,5.31,100,9.00,-5.80,2.22,0.00,11.76
44173,-25.00,-0.78,12.75,13.20,185,0.90,2492,0.00,0.00,33.33,16,29.00,5.32,100,8.85,-5.95,2.22,0.00,11.76
44429,-25.00,-0.78,12.75,13.20,185,0.86,2473,0.00,0.00,33.33,16,29.50,4.77,100,8.56,-6.09,2.16,0.00,11.37
44686,-25.00,-0.78,12.63,13.28,185,0.85,2483,0.00,0.00,33.33,16,29.50,4.75,100,8.27,-6.53,2.16,0.00,10.98
44943,-25.00,-0.78,12.63,13.28,185,0.84,2489,0.00,0.00,33.33,16,29.50,4.75,100,8.27,-6.53,2.16,0.00,10.98
45200,-25.00,-0.78,12.52,13.28,185,0.81,2485,0.00,0.00,33.33,16,30.00,4.75,100,7.98,-6.67,2.16,0.00,10.59
45456,-25.00,-0.78,12.63,13.44,185,0.78,2485,0.00,0.00,33.33,16,32.00,4.78,100,7.84,-6.96,2.12,0.00,10.59
45713,-25.00,-0.78,12.75,13.44,185,0.81,2463,0.00,0.00,33.33,16,31.50,4.76,100,7.84,-7.11,2.12,0.00,10.98
45970,-25.00,-0.78,12.86,13.44,185,0.97,2465,0.00,0.00,33.33,16,29.00,5.26,100,8.85,-5.95,2.26,0.78,13.73
