Time (msec),A/F Correction #1 (%),A/F Learning #1 (%),A/F Sensor #1 (AFR),Battery Voltage (V),Coolant Temperature (F),Engine Load (Calculated) (g/rev),Engine Speed (rpm),Feedback Knock Correction* (degrees),Fine Learning Knock Correction* (degrees),Fuel Pump Duty (%),IAM* (raw ecu value),Ignition Total Timing (degrees),Injector Duty Cycle (%),Intake Air Temperature (F),Manifold Absolute Pressure (psi),Manifold Relative Pressure (psi),Mass Airflow Sensor Voltage (V),Primary Wastegate Duty Cycle (%),Throttle Opening Angle (%)
0,-21.09,0.00,14.59,13.20,194,0.66,1077,-2.11,0.00,33.33,12,17.50,1.84,138,8.56,-6.24,1.70,0.00,5.49
257,-20.31,0.00,14.93,12.80,194,0.68,1105,-2.11,0.00,33.33,12,15.50,2.12,138,9.00,-5.80,1.72,0.00,5.49
514,-18.75,0.00,15.39,12.80,194,0.74,1102,-2.11,0.00,33.33,12,14.50,2.35,138,9.58,-5.22,1.78,0.00,5.88
770,-18.75,0.00,15.04,12.88,194,0.76,1080,-2.11,0.00,33.33,12,13.00,2.31,138,10.01,-4.79,1.76,0.00,5.88
1027,-20.31,0.00,14.81,12.96,194,0.77,1039,-2.11,0.00,33.33,12,11.00,2.22,138,10.30,-4.50,1.76,0.00,5.88
1283,-19.53,0.00,15.04,13.04,194,0.78,1057,0.00,0.00,33.33,12,11.50,2.25,138,10.88,-3.92,1.78,0.00,5.88
1540,-21.09,0.00,14.81,13.12,194,0.71,1171,0.00,0.00,33.33,12,15.50,2.17,138,10.45,-4.21,1.78,0.00,5.88
1797,-18.75,0.00,15.16,13.20,194,0.67,1275,0.00,0.00,33.33,12,19.00,2.41,138,9.72,-4.93,1.80,0.00,5.88
2053,-16.41,0.00,15.50,13.12,194,0.65,1375,0.00,0.00,33.33,12,21.50,2.59,138,9.00,-5.66,1.82,0.00,5.88
2311,-18.75,0.00,14.93,13.36,192,0.62,1472,0.00,0.00,33.33,12,25.00,2.48,138,8.42,-6.24,1.82,0.00,5.88
2567,-20.31,0.00,14.59,13.20,192,0.58,1573,0.00,0.00,33.33,12,27.00,2.64,138,7.98,-6.82,1.82,0.00,5.88
2824,-21.09,0.00,14.70,13.44,192,0.57,1670,0.00,0.00,33.33,12,30.50,2.80,138,7.40,-7.11,1.82,0.00,5.88
