Time (msec),A/F Correction #1 (%),A/F Learning #1 (%),A/F Sensor #1 (AFR),Battery Voltage (V),Coolant Temperature (F),Engine Load (Calculated) (g/rev),Engine Speed (rpm),Feedback Knock Correction* (degrees),Fine Learning Knock Correction* (degrees),Fuel Pump Duty (%),IAM* (raw ecu value),Ignition Total Timing (degrees),Injector Duty Cycle (%),Intake Air Temperature (F),Knock Correction Advance (degrees),Manifold Relative Pressure (psi),Mass Airflow Sensor Voltage (V),Primary Wastegate Duty Cycle (%),Throttle Opening Angle (%)
0,-6.25,0.00,16.54,13.12,185,0.26,823,0.00,0.00,33.33,16,11.00,1.05,106,0.00,-9.58,1.28,0.00,0.00
258,-5.47,0.00,16.08,13.28,185,0.27,814,0.00,0.00,33.33,16,12.00,1.03,106,0.00,-9.58,1.28,0.00,0.00
515,-4.69,0.00,16.19,13.36,185,0.25,815,0.00,0.00,33.33,16,12.50,1.06,106,0.00,-9.58,1.24,0.00,0.00
772,-3.91,0.00,16.08,13.52,185,0.26,817,0.00,0.00,33.33,16,12.00,1.03,106,0.00,-9.58,1.26,0.00,0.00
1029,-3.12,0.00,15.62,13.44,185,0.27,799,0.00,0.00,33.33,16,14.00,1.03,106,0.00,-9.58,1.30,0.00,0.39
1286,-3.12,0.00,15.39,13.44,185,0.39,790,0.00,0.00,33.33,16,20.50,1.03,106,0.00,-9.14,1.62,0.00,5.88
1543,1.56,-0.78,15.62,14.00,185,0.82,1071,0.00,0.00,33.33,16,27.00,2.28,106,0.00,-5.51,1.82,0.00,7.84
1800,-4.69,-0.78,13.55,13.60,185,0.55,1878,-2.11,0.00,33.33,16,23.50,3.61,106,-0.50,-6.67,1.86,0.00,8.24
2056,-11.72,-0.78,13.32,13.28,185,0.54,1990,-2.11,0.00,33.33,16,25.00,3.40,106,-1.50,-7.98,1.86,0.00,8.24
2313,-17.97,-0.78,13.55,13.20,185,0.64,1681,-2.11,0.00,33.33,16,3.50,2.87,106,-1.00,-7.84,1.86,0.00,8.24
2571,-17.97,-0.78,13.90,13.20,185,0.77,1408,-2.11,0.00,33.33,16,8.00,2.70,106,-0.50,-6.67,1.86,0.00,8.24
2828,-17.97,-0.78,13.44,13.28,185,0.95,1330,-2.11,0.00,33.33,16,7.50,2.84,106,-1.50,-5.22,1.92,0.00,8.24
3084,-17.19,-0.78,13.09,13.36,185,0.88,1394,-2.11,0.00,33.33,16,23.50,2.97,106,-1.50,-4.79,1.90,0.00,8.24
