Time (msec),A/F Correction #1 (%),A/F Learning #1 (%),A/F Sensor #1 (AFR),Battery Voltage (V),Coolant Temperature (F),Engine Load (Calculated) (g/rev),Engine Speed (rpm),Feedback Knock Correction* (degrees),Fine Learning Knock Correction* (degrees),Fuel Pump Duty (%),IAM* (raw ecu value),Ignition Total Timing (degrees),Injector Duty Cycle (%),Intake Air Temperature (F),Manifold Absolute Pressure (psi),Manifold Relative Pressure (psi),Mass Airflow Sensor Voltage (V),Primary Wastegate Duty Cycle (%),Throttle Opening Angle (%)
10288,0.00,0.00,12.29,13.68,190,0.16,1160,0.00,0.00,33.33,16,11.50,1.48,86,3.92,-11.03,1.30,0.00,0.00
10545,0.00,0.00,12.29,13.68,190,0.15,1164,0.00,0.00,33.33,16,11.00,1.49,86,3.92,-11.03,1.30,0.00,0.00
10803,0.00,0.00,12.29,13.68,190,0.15,1171,0.00,0.00,33.33,16,10.50,1.50,86,3.92,-11.03,1.30,0.00,0.00
11060,0.00,0.00,12.29,13.68,190,0.15,1170,0.00,0.00,33.33,16,11.00,1.51,86,3.77,-11.17,1.30,0.00,0.00
11316,0.00,0.00,12.40,13.68,190,0.16,1178,0.00,0.00,33.33,16,12.00,1.51,86,3.77,-11.17,1.30,0.00,0.00
11574,0.00,0.00,12.40,13.68,190,0.15,1161,0.00,0.00,33.33,16,12.00,1.49,86,3.77,-11.17,1.30,0.00,0.00
11831,0.00,0.00,12.40,13.68,190,0.15,1157,0.00,0.00,33.33,16,12.50,1.48,88,3.77,-11.17,1.30,0.00,0.00
12088,0.00,0.00,12.29,13.76,190,0.16,1161,0.00,0.00,33.33,16,12.00,1.49,88,3.77,-11.17,1.30,0.00,0.00
12345,0.00,0.00,12.29,13.76,190,0.16,1164,0.00,0.00,33.33,16,11.00,1.49,88,3.77,-11.17,1.30,0.00,0.00
12602,0.00,0.00,12.29,13.76,190,0.16,1161,0.00,0.00,33.33,16,10.50,1.49,88,3.77,-11.17,1.30,0.00,0.00
12859,0.00,0.00,12.29,13.76,190,0.15,1174,0.00,0.00,33.33,16,11.50,1.50,88,3.77,-11.17,1.30,0.00,0.00
13116,0.00,0.00,12.29,13.76,190,0.15,1179,0.00,0.00,33.33,16,10.50,1.51,88,3.77,-11.17,1.30,0.00,0.00
13373,0.00,0.00,12.29,13.76,190,0.16,1165,0.00,0.00,33.33,16,12.00,1.49,88,3.77,-11.17,1.30,0.00,0.00
13630,0.00,0.00,12.29,13.76,190,0.15,1161,0.00,0.00,33.33,16,12.00,1.49,88,3.77,-11.17,1.30,0.00,0.00
13887,0.00,0.00,12.29,13.68,190,0.15,1161,0.00,0.00,33.33,16,12.00,1.49,88,3.77,-11.17,1.30,0.00,0.00
14144,0.00,0.00,12.29,13.68,190,0.15,1160,0.00,0.00,33.33,16,11.50,1.49,88,3.77,-11.17,1.30,0.00,0.00
14401,0.00,0.00,12.29,13.68,192,0.16,1145,0.00,0.00,33.33,16,12.50,1.48,88,3.92,-11.03,1.30,0.00,0.00
14658,0.00,0.00,12.29,13.76,192,0.16,1162,0.00,0.00,33.33,16,11.50,1.49,88,3.92,-11.03,1.30,0.00,0.00
14915,0.00,0.00,12.29,13.68,192,0.16,1157,0.00,0.00,33.33,16,12.00,1.48,88,3.92,-11.03,1.30,0.00,0.00
15172,0.00,0.00,12.29,13.68,192,0.16,1162,0.00,0.00,33.33,16,12.50,1.49,88,3.92,-11.03,1.30,0.00,0.00
15429,0.00,0.00,12.40,13.76,192,0.16,1160,0.00,0.00,33.33,16,13.00,1.49,88,3.92,-11.03,1.30,0.00,0.00
15686,0.00,0.00,12.29,13.76,192,0.16,1148,0.00,0.00,33.33,16,12.50,1.47,88,3.92,-11.03,1.30,0.00,0.00
15944,0.00,0.00,12.29,13.76,192,0.16,1152,0.00,0.00,33.33,16,11.50,1.48,88,3.92,-11.03,1.30,0.00,0.00
16200,0.00,0.00,12.29,13.76,192,0.16,1155,0.00,0.00,33.33,16,11.50,1.48,88,3.92,-11.03,1.30,0.00,0.00
16458,0.00,0.00,12.29,13.76,192,0.16,1165,0.00,0.00,33.33,16,10.50,1.49,88,3.92,-11.03,1.30,0.00,0.00
16715,0.00,0.00,12.40,13.76,192,0.16,1154,0.00,0.00,33.33,16,12.50,1.48,88,3.77,-11.17,1.30,0.00,0.00
16972,0.00,0.00,12.40,13.76,192,0.16,1155,0.00,0.00,33.33,16,12.00,1.48,88,3.92,-11.03,1.30,0.00,0.00
17229,0.00,0.00,12.29,13.60,192,0.16,1151,0.00,0.00,33.33,16,12.50,1.47,88,3.92,-11.03,1.30,0.00,0.00
17486,0.00,0.00,12.29,13.60,192,0.16,1165,0.00,0.00,33.33,16,11.00,1.49,88,3.92,-11.03,1.30,0.00,0.00
17743,0.00,0.00,12.29,13.60,192,0.15,1176,0.00,0.00,33.33,16,10.50,1.50,88,3.77,-11.17,1.30,0.00,0.00
18000,0.00,0.00,12.29,13.60,192,0.15,1165,0.00,0.00,33.33,16,10.50,1.49,88,3.77,-11.17,1.30,0.00,0.00
18257,0.00,0.00,12.40,13.68,192,0.15,1174,0.00,0.00,33.33,16,10.50,1.50,88,3.77,-11.17,1.30,0.00,0.00
18514,0.00,0.00,12.29,13.60,192,0.16,1162,0.00,0.00,33.33,16,11.50,1.49,88,3.77,-11.17,1.30,0.00,0.00
18771,0.00,0.00,12.29,13.68,192,0.15,1168,0.00,0.00,33.33,16,10.50,1.50,88,3.77,-11.17,1.30,0.00,0.00
19028,0.00,0.00,12.29,13.68,192,0.15,1172,0.00,0.00,33.33,16,12.00,1.50,88,3.77,-11.17,1.30,0.00,0.00
19286,0.00,0.00,12.29,13.68,192,0.15,1170,0.00,0.00,33.33,16,12.00,1.50,88,3.77,-11.17,1.30,0.00,0.00
19543,0.00,0.00,12.17,13.68,192,0.15,1172,0.00,0.00,33.33,16,10.50,1.50,88,3.92,-11.03,1.30,0.00,0.00
19799,0.00,0.00,12.29,13.68,192,0.16,1160,0.00,0.00,33.33,16,12.00,1.48,88,3.77,-11.17,1.30,0.00,0.00
20057,0.00,0.00,12.29,13.68,192,0.16,1160,0.00,0.00,33.33,16,12.00,1.49,90,3.77,-11.17,1.30,0.00,0.00
20314,0.00,0.00,12.40,13.68,192,0.16,1150,0.00,0.00,33.33,16,13.00,1.47,90,3.92,-11.03,1.30,0.00,0.00
20571,0.00,0.00,12.29,13.60,192,0.16,1162,0.00,0.00,33.33,16,11.50,1.49,90,3.92,-11.03,1.30,0.00,0.00
20829,0.00,0.00,12.29,13.60,192,0.16,1152,0.00,0.00,33.33,16,12.50,1.47,90,3.92,-11.03,1.30,0.00,0.00
21085,0.00,0.00,12.29,13.60,192,0.15,1157,0.00,0.00,33.33,16,11.50,1.47,90,3.92,-11.03,1.30,0.00,0.00
21343,0.00,0.00,12.40,13.68,192,0.16,1162,0.00,0.00,33.33,16,11.50,1.49,90,3.77,-11.17,1.30,0.00,0.00
21600,0.00,0.00,12.29,13.68,192,0.15,1168,0.00,0.00,33.33,16,10.50,1.50,90,3.77,-11.17,1.30,0.00,0.00
21857,0.00,0.00,12.40,13.68,192,0.15,1158,0.00,0.00,33.33,16,11.00,1.48,90,3.77,-11.17,1.30,0.00,0.00
22114,0.00,0.00,12.40,13.68,192,0.16,1149,0.00,0.00,33.33,16,11.00,1.47,90,3.77,-11.17,1.30,0.00,0.00
22371,0.00,0.00,12.29,13.68,192,0.15,1171,0.00,0.00,33.33,16,10.50,1.50,90,3.77,-11.17,1.30,0.00,0.00
22628,0.00,0.00,12.29,13.68,192,0.16,1160,0.00,0.00,33.33,16,11.50,1.48,90,3.77,-11.17,1.30,0.00,0.00
22885,0.00,0.00,12.29,13.68,192,0.16,1160,0.00,0.00,33.33,16,11.50,1.48,90,3.92,-11.03,1.30,0.00,0.00
23142,0.00,0.00,12.29,13.68,192,0.15,1170,0.00,0.00,33.33,16,10.50,1.50,90,3.92,-11.03,1.30,0.00,0.00
23399,0.00,0.00,12.29,13.68,192,0.15,1165,0.00,0.00,33.33,16,11.00,1.49,90,3.92,-11.03,1.30,0.00,0.00
23656,0.00,0.00,12.29,13.68,192,0.15,1179,0.00,0.00,33.33,16,10.00,1.51,90,3.92,-11.03,1.30,0.00,0.00
23913,0.00,0.00,12.40,13.60,192,0.15,1170,0.00,0.00,33.33,16,11.50,1.50,90,3.77,-11.17,1.30,0.00,0.00
24170,0.00,0.00,12.40,13.68,192,0.15,1166,0.00,0.00,33.33,16,12.00,1.49,90,3.77,-11.17,1.30,0.00,0.00
24427,0.00,0.00,12.40,13.68,192,0.16,1150,0.00,0.00,33.33,16,13.50,1.49,90,3.77,-11.17,1.30,0.00,0.00
24684,0.00,0.00,12.40,13.68,192,0.16,1152,0.00,0.00,33.33,16,13.00,1.47,90,3.92,-11.03,1.30,0.00,0.00
24941,0.00,0.00,12.29,13.68,192,0.16,1159,0.00,0.00,33.33,16,13.00,1.48,91,3.92,-11.03,1.30,0.00,0.00
25198,0.00,0.00,12.29,13.68,192,0.16,1153,0.00,0.00,33.33,16,12.00,1.48,91,3.92,-11.03,1.30,0.00,0.00
25455,0.00,0.00,12.29,13.76,192,0.15,1169,0.00,0.00,33.33,16,10.00,1.50,91,3.92,-11.03,1.30,0.00,0.00
25713,0.00,0.00,12.29,13.76,192,0.16,1159,0.00,0.00,33.33,16,11.50,1.48,91,3.92,-11.03,1.30,0.00,0.00
