Time (msec),A/F Correction #1 (%),A/F Learning #1 (%),A/F Sensor #1 (AFR),Battery Voltage (V),Coolant Temperature (F),Engine Load (Calculated) (g/rev),Engine Speed (rpm),Fuel Pump Duty (%),Ignition Total Timing (degrees),Injector Duty Cycle (%),Intake Air Temperature (F),Manifold Absolute Pressure (psi),Manifold Relative Pressure (psi),Mass Airflow Sensor Voltage (V),Primary Wastegate Duty Cycle (%),Throttle Opening Angle (%)
0,-23.44,0.00,11.48,13.92,181,0.29,752,100.00,11.50,1.29,99,5.22,-9.43,1.24,0.00,5.10
226,-25.00,0.00,12.06,13.92,181,0.33,732,100.00,11.50,1.25,99,5.51,-9.29,1.24,0.00,5.49
451,-25.00,0.00,12.63,14.00,181,0.37,662,100.00,11.50,1.14,99,5.66,-9.00,1.26,0.00,5.49
677,-25.00,0.00,13.21,13.92,181,0.36,684,100.00,14.00,1.16,99,5.95,-8.71,1.26,0.00,5.49
903,-24.22,0.00,13.90,14.00,181,0.34,744,100.00,14.00,1.23,99,6.09,-8.56,1.26,0.00,5.49
1129,-24.22,0.00,14.24,13.92,181,0.32,808,100.00,14.00,1.35,99,6.09,-8.71,1.28,0.00,5.49
1355,-25.00,0.00,14.24,14.00,181,0.30,861,100.00,13.50,1.47,99,5.80,-8.85,1.26,0.00,5.49
1581,-25.00,0.00,14.24,14.00,181,0.30,882,100.00,13.50,1.51,99,5.66,-9.00,1.28,0.00,5.49
1807,-25.00,0.00,14.36,13.92,181,0.30,869,100.00,13.50,1.48,99,5.51,-9.14,1.26,0.00,5.49
2032,-25.00,0.00,14.47,13.92,181,0.30,872,100.00,13.50,1.48,99,5.51,-9.14,1.28,0.00,5.49
2259,-24.22,0.00,14.59,13.92,181,0.30,848,100.00,13.00,1.45,99,5.51,-9.14,1.26,0.00,5.49
2485,-23.44,0.00,14.59,13.92,181,0.31,828,100.00,13.00,1.43,99,5.51,-9.14,1.28,0.00,5.49
2710,-23.44,0.00,14.59,14.00,181,0.31,840,100.00,13.00,1.44,99,5.51,-9.14,1.28,0.00,5.49
2936,-23.44,0.00,14.59,14.00,181,0.31,833,100.00,13.00,1.42,99,5.51,-9.14,1.26,0.00,5.49
3161,-23.44,0.00,14.59,13.76,181,0.32,843,100.00,13.00,1.43,99,5.51,-9.14,1.30,0.00,5.49
3387,-23.44,0.00,14.47,14.00,181,0.31,838,100.00,13.00,1.42,99,5.51,-9.14,1.28,0.00,5.49
3613,-23.44,0.00,14.47,14.00,181,0.31,852,100.00,12.00,1.45,99,5.51,-9.14,1.26,0.00,5.49
3839,-23.44,0.00,14.36,14.00,181,0.31,824,100.00,12.00,1.42,99,5.51,-9.14,1.28,0.00,5.49
4064,-23.44,0.00,14.47,13.92,181,0.31,822,100.00,12.00,1.43,99,5.51,-9.14,1.28,0.00,5.49
4290,-23.44,0.00,14.36,13.92,181,0.33,803,100.00,12.00,1.39,99,5.66,-9.14,1.28,0.00,5.49
4516,-23.44,0.00,14.47,14.00,181,0.33,810,100.00,12.00,1.40,99,5.66,-9.00,1.26,0.00,5.88
4742,-22.66,0.00,14.47,14.00,181,0.33,814,100.00,12.50,1.39,99,5.66,-9.00,1.28,0.00,5.88
4968,-22.66,0.00,14.47,13.92,181,0.33,822,100.00,12.50,1.39,99,5.80,-9.00,1.28,0.00,5.88
5194,-22.66,0.00,14.59,13.84,181,0.33,838,100.00,11.00,1.41,99,5.80,-9.00,1.30,0.00,5.88
5420,-22.66,0.00,14.59,14.00,181,0.33,830,100.00,12.00,1.40,99,5.80,-9.00,1.28,0.00,5.88
5646,-21.88,0.00,14.70,14.00,181,0.31,859,100.00,10.50,1.47,99,5.80,-9.00,1.28,0.00,5.88
5872,-21.88,0.00,14.59,13.92,181,0.32,856,100.00,10.00,1.46,99,5.66,-9.00,1.30,0.00,5.88
6098,-21.88,0.00,14.47,14.00,181,0.32,853,100.00,11.00,1.46,99,5.66,-9.00,1.28,0.00,5.88
6324,-22.66,0.00,14.47,13.92,181,0.32,854,100.00,11.00,1.45,99,5.66,-9.00,1.30,0.00,5.88
6550,-22.66,0.00,14.36,14.00,181,0.32,841,100.00,12.00,1.43,99,5.66,-9.00,1.28,0.00,5.88
6776,-21.88,0.00,14.47,14.00,181,0.33,850,100.00,12.50,1.45,99,5.66,-9.00,1.28,0.00,5.88
7002,-21.88,0.00,14.47,13.76,181,0.33,838,100.00,12.50,1.45,99,5.66,-9.00,1.32,0.00,5.88
7227,-21.88,0.00,14.47,14.00,181,0.32,852,100.00,11.50,1.45,99,5.80,-9.00,1.28,0.00,5.88
7453,-22.66,0.00,14.47,13.84,181,0.31,878,100.00,9.00,1.49,99,5.66,-9.00,1.30,0.00,5.88
7679,-22.66,0.00,14.36,14.00,181,0.32,858,100.00,11.50,1.46,99,5.66,-9.00,1.28,0.00,5.88
7906,-22.66,0.00,14.47,13.92,181,0.32,851,100.00,12.00,1.46,99,5.66,-9.00,1.30,0.00,5.88
8132,-22.66,0.00,14.47,14.00,181,0.32,855,100.00,11.50,1.46,99,5.66,-9.00,1.28,0.00,5.88
8358,-22.66,0.00,14.47,13.84,181,0.32,868,100.00,11.00,1.48,99,5.66,-9.00,1.30,0.00,5.88
8584,-22.66,0.00,14.47,14.00,181,0.31,867,100.00,11.00,1.48,99,5.66,-9.00,1.28,0.00,5.88
8809,-22.66,0.00,14.36,13.76,181,0.31,859,100.00,12.00,1.48,99,5.66,-9.00,1.30,0.00,5.88
9035,-22.66,0.00,14.47,14.00,181,0.33,842,100.00,13.50,1.45,99,5.66,-9.00,1.28,0.00,5.88
9262,-22.66,0.00,14.59,14.00,181,0.17,835,100.00,14.00,1.25,99,4.93,-9.72,1.08,0.00,3.14
9487,-21.88,0.00,14.59,14.00,181,0.20,758,100.00,17.00,1.13,99,4.64,-10.01,1.08,0.00,3.53
9713,-22.66,0.00,14.36,13.84,181,0.24,676,100.00,18.00,1.02,99,4.64,-10.01,1.14,0.00,3.53
9938,-23.44,0.00,14.13,13.92,181,0.27,654,100.00,21.50,0.97,99,4.79,-9.87,1.14,0.00,3.92
10164,-23.44,0.00,14.01,14.00,181,0.26,670,100.00,25.00,1.00,99,4.93,-9.72,1.14,0.00,3.92
10389,-24.22,0.00,14.01,13.76,181,0.26,663,100.00,24.50,1.00,99,5.08,-9.72,1.14,0.00,3.92
10615,-24.22,0.00,14.01,13.68,181,0.27,648,100.00,20.50,0.97,99,5.08,-9.58,1.14,0.00,3.92
10840,-24.22,0.00,14.13,13.60,181,0.29,604,100.00,17.50,0.90,99,5.22,-9.58,1.14,0.00,3.92
11066,-24.22,0.00,14.24,13.60,181,0.30,590,100.00,20.00,1.01,99,5.37,-9.43,1.22,0.00,5.10
11292,-24.22,0.00,14.36,13.36,181,0.42,559,100.00,20.00,0.94,100,5.66,-9.00,1.26,0.00,5.10
11518,-24.22,0.00,14.36,13.84,181,0.39,588,100.00,20.00,1.00,100,6.09,-8.71,1.20,0.00,5.10
11744,-24.22,0.00,14.59,13.92,181,0.34,662,100.00,16.00,1.11,100,6.24,-8.42,1.24,0.00,4.71
11970,-23.44,-0.78,14.70,14.00,181,0.31,723,100.00,10.00,1.23,100,6.09,-8.56,1.22,0.00,5.49
12196,-23.44,-0.78,14.59,13.92,181,0.33,756,100.00,8.00,1.27,100,6.09,-8.71,1.26,0.00,5.49
12422,-23.44,-0.78,14.59,14.00,181,0.32,751,100.00,9.00,1.28,100,5.95,-8.71,1.26,0.00,5.49
12647,-22.66,-0.78,14.59,13.92,181,0.34,745,100.00,11.00,1.27,100,5.95,-8.71,1.26,0.00,5.49
