Time (msec),A/F Correction #1 (%),A/F Learning #1 (%),A/F Sensor #1 (AFR),Battery Voltage (V),Coolant Temperature (F),Engine Load (Calculated) (g/rev),Engine Speed (rpm),Feedback Knock Correction* (degrees),Fine Learning Knock Correction* (degrees),Fuel Pump Duty (%),IAM* (raw ecu value),Ignition Total Timing (degrees),Injector Duty Cycle (%),Intake Air Temperature (F),Manifold Absolute Pressure (psi),Manifold Relative Pressure (psi),Mass Airflow Sensor Voltage (V),Primary Wastegate Duty Cycle (%),Throttle Opening Angle (%)
0,-17.19,2.34,14.13,13.28,183,0.77,1282,0.00,0.00,33.33,16,20.00,2.46,95,9.00,-5.95,1.84,0.00,7.45
257,-17.19,1.56,14.24,13.44,183,0.80,1190,0.00,0.00,33.33,16,15.50,2.28,95,9.72,-5.37,1.84,0.00,7.45
514,-17.19,0.00,14.36,13.52,183,0.77,1326,0.00,0.00,33.33,16,20.00,2.55,95,9.72,-4.93,1.84,0.00,7.45
772,-17.19,0.00,14.70,13.52,183,0.72,1372,0.00,0.00,33.33,16,25.00,2.45,95,9.14,-5.51,1.84,0.00,7.45
1029,-17.19,0.00,14.93,13.44,183,0.70,1502,0.00,0.00,33.33,16,29.50,2.56,95,8.71,-5.95,1.84,0.00,7.45
1286,-17.19,0.00,14.81,13.68,183,0.64,1591,0.00,0.00,33.33,16,30.50,2.72,95,8.27,-6.53,1.84,0.00,7.45
1544,-16.41,0.00,14.70,13.68,183,0.60,1680,0.00,0.00,33.33,16,31.00,2.87,95,7.55,-7.25,1.84,0.00,7.45
1801,-14.06,0.00,15.27,13.68,183,0.59,1755,0.00,0.00,33.33,16,31.00,2.62,95,7.11,-7.69,1.84,0.00,7.45
2059,-12.50,0.00,15.16,13.76,183,0.58,1802,0.00,0.00,33.33,16,31.50,2.69,95,6.96,-7.84,1.86,0.00,7.45
2316,-14.06,0.00,14.81,13.76,183,0.56,1861,0.00,0.00,33.33,16,31.50,2.78,95,6.82,-7.98,1.86,0.00,7.45
2573,-14.84,0.00,14.59,13.68,183,0.56,1904,0.00,0.00,33.33,16,31.50,2.84,95,6.82,-7.98,1.86,0.00,7.45
2831,-14.06,0.00,14.70,13.68,183,0.55,1961,0.00,0.00,33.33,16,31.50,2.93,95,6.82,-7.98,1.88,0.00,7.45
3087,-13.28,0.00,14.93,13.76,183,0.57,2031,0.00,0.00,33.33,16,32.00,3.03,95,6.82,-7.98,1.90,0.00,7.45
