Time (msec),A/F Correction #1 (%),A/F Learning #1 (%),A/F Sensor #1 (AFR),Battery Voltage (V),Coolant Temperature (F),Engine Load (Calculated) (g/rev),Engine Speed (rpm),Feedback Knock Correction* (degrees),Fine Learning Knock Correction* (degrees),Fuel Pump Duty (%),IAM* (raw ecu value),Ignition Total Timing (degrees),Injector Duty Cycle (%),Intake Air Temperature (F),Knock Correction Advance (degrees),Manifold Relative Pressure (psi),Mass Airflow Sensor Voltage (V),Primary Wastegate Duty Cycle (%),Throttle Opening Angle (%)
0,0.00,0.00,14.59,13.12,185,0.08,883,0.00,0.00,100.00,16,12.00,1.13,118,0.00,-10.88,1.24,0.00,0.00
257,0.00,0.00,14.01,12.64,185,0.12,875,0.00,0.00,100.00,16,14.00,1.11,118,0.00,-10.74,1.30,0.00,0.00
515,0.00,0.00,13.78,12.96,185,0.12,866,0.00,0.00,100.00,16,14.00,1.11,118,0.00,-10.45,1.32,0.00,0.00
772,0.00,0.00,13.90,13.04,185,0.13,853,0.00,0.00,100.00,16,15.00,1.09,118,0.00,-10.16,1.30,0.00,0.00
1029,0.00,0.00,14.59,13.12,185,0.11,859,0.00,0.00,100.00,16,14.00,1.10,118,0.00,-10.16,1.30,0.00,0.00
1286,0.00,0.00,15.27,13.12,185,0.09,875,0.00,0.00,100.00,16,11.50,1.12,118,0.00,-10.30,1.26,0.00,0.00
1543,0.00,0.00,16.08,13.12,185,0.08,871,0.00,0.00,100.00,16,12.50,1.11,118,0.00,-10.59,1.26,0.00,0.00
1800,0.00,0.00,16.54,13.04,185,0.08,860,0.00,0.00,100.00,16,13.50,1.10,118,0.00,-10.74,1.24,0.00,0.00
2057,0.00,0.00,16.42,13.04,185,0.08,852,0.00,0.00,100.00,16,13.50,1.10,118,0.00,-10.74,1.24,0.00,0.00
2313,0.00,0.00,16.08,13.04,185,0.08,864,0.00,0.00,100.00,16,13.00,1.11,118,0.00,-10.74,1.26,0.00,0.00
2571,0.00,0.00,15.39,13.12,185,0.08,851,0.00,0.00,100.00,16,14.00,1.09,118,0.00,-10.59,1.26,0.00,0.00
2828,0.00,0.00,15.04,13.36,185,0.08,856,0.00,0.00,100.00,16,13.00,1.10,118,0.00,-10.59,1.26,0.00,0.00
3085,0.00,0.00,15.16,13.28,185,0.08,861,0.00,0.00,100.00,16,13.00,1.10,118,0.00,-10.59,1.24,0.00,0.00
3342,0.00,0.00,15.39,13.20,185,0.08,854,0.00,0.00,100.00,16,13.00,1.10,118,0.00,-10.59,1.26,0.00,0.00
3599,0.00,0.00,15.39,13.28,185,0.08,856,0.00,0.00,100.00,16,13.00,1.11,118,0.00,-10.59,1.26,0.00,0.00
3856,0.00,0.00,15.16,13.20,185,0.08,855,0.00,0.00,100.00,16,13.00,1.09,118,0.00,-10.59,1.26,0.00,0.00
4112,0.00,0.00,14.93,13.12,185,0.08,851,0.00,0.00,100.00,16,13.00,1.09,118,0.00,-10.59,1.26,0.00,0.00
4369,0.00,0.00,14.93,13.20,185,0.08,862,0.00,0.00,100.00,16,12.50,1.10,118,0.00,-10.59,1.28,0.00,0.00
4626,0.00,0.00,15.04,13.20,185,0.08,867,0.00,0.00,100.00,16,12.00,1.11,118,0.00,-10.59,1.26,0.00,0.00
4883,0.00,0.00,15.16,13.20,185,0.08,854,0.00,0.00,100.00,16,13.50,1.09,118,0.00,-10.59,1.28,0.00,0.00
5141,0.00,0.00,15.16,13.20,185,0.08,868,0.00,0.00,100.00,16,11.50,1.11,118,0.00,-10.59,1.26,0.00,0.00
5398,0.00,0.00,15.04,13.12,185,0.08,866,0.00,0.00,100.00,16,13.00,1.10,118,0.00,-10.59,1.28,0.00,0.00
5655,0.00,0.00,14.93,13.12,185,0.08,864,0.00,0.00,100.00,16,12.50,1.10,118,0.00,-10.59,1.26,0.00,0.00
5912,0.00,0.00,14.93,13.28,185,0.08,870,0.00,0.00,100.00,16,11.50,1.12,118,0.00,-10.59,1.26,0.00,0.00
6168,0.00,0.00,15.16,13.36,185,0.08,880,0.00,0.00,100.00,16,11.50,1.10,118,0.00,-10.59,1.28,0.00,0.00
6425,0.00,0.00,15.27,13.28,185,0.09,870,0.00,0.00,100.00,16,12.50,1.11,118,0.00,-10.59,1.26,0.00,0.00
6683,0.00,0.00,15.39,13.28,185,0.09,877,0.00,0.00,100.00,16,11.50,1.12,118,0.00,-10.59,1.28,0.00,0.00
6940,0.00,0.00,15.27,13.20,185,0.09,878,0.00,0.00,100.00,16,11.50,1.12,118,0.00,-10.59,1.28,0.00,0.00
7196,0.00,0.00,15.16,13.20,183,0.09,883,0.00,0.00,100.00,16,11.50,1.13,118,0.00,-10.59,1.26,0.00,0.00
7453,0.00,0.00,15.16,13.20,183,0.09,870,0.00,0.00,100.00,16,13.00,1.11,118,0.00,-10.45,1.28,0.00,0.00
7711,0.00,0.00,15.27,13.12,183,0.10,854,0.00,0.00,100.00,16,14.50,1.09,118,0.00,-10.45,1.28,0.00,0.00
7967,0.00,0.00,15.27,13.12,183,0.09,866,0.00,0.00,100.00,16,13.00,1.11,118,0.00,-10.45,1.28,0.00,0.00
8224,0.00,0.00,15.62,13.12,183,0.10,862,0.00,0.00,100.00,16,13.00,1.10,118,0.00,-10.30,1.30,0.00,0.00
8480,0.00,0.00,15.96,13.12,183,0.09,888,0.00,0.00,100.00,16,11.50,1.12,118,0.00,-10.45,1.26,0.00,0.00
8738,0.00,0.00,16.08,13.12,183,0.09,872,0.00,0.00,100.00,16,14.00,1.10,118,0.00,-10.45,1.28,0.00,0.00
