Time (msec),A/F Correction #1 (%),A/F Learning #1 (%),A/F Sensor #1 (AFR),Battery Voltage (V),Coolant Temperature (F),Engine Load (Calculated) (g/rev),Engine Speed (rpm),Feedback Knock Correction* (degrees),Fine Learning Knock Correction* (degrees),Fuel Pump Duty (%),IAM* (raw ecu value),Ignition Total Timing (degrees),Injector Duty Cycle (%),Intake Air Temperature (F),Knock Correction Advance (degrees),Manifold Relative Pressure (psi),Mass Airflow Sensor Voltage (V),Primary Wastegate Duty Cycle (%),Throttle Opening Angle (%),Ignition Base Timing* (degrees)
154651,3.91,-0.78,14.81,13.60,198,0.80,2644,0.00,0.00,33.33,16,36.50,4.51,73,4.50,-6.96,2.20,1.18,13.73,32.03
154916,9.38,-0.78,15.16,13.60,198,0.78,2757,0.00,0.00,33.33,16,45.00,4.71,73,4.50,-6.96,2.24,1.18,14.12,40.82
155182,10.16,-0.78,14.59,13.52,198,0.80,2894,0.00,0.00,66.67,16,30.50,4.94,73,4.50,-6.82,2.28,1.96,14.51,26.41
155447,9.38,-0.78,14.59,13.44,198,0.79,3004,0.00,0.00,66.67,16,30.50,5.13,73,4.50,-6.67,2.30,1.96,14.90,26.41
155713,10.16,-0.78,14.59,13.52,198,0.77,3175,0.00,0.00,66.67,16,35.50,5.42,73,4.50,-6.82,2.30,1.96,14.90,30.98
155979,8.59,-0.78,14.47,13.60,198,0.74,3288,0.00,0.00,66.67,16,44.50,5.61,73,4.50,-6.82,2.32,1.96,14.90,33.79
156245,7.03,-0.78,14.24,13.68,198,0.14,3436,0.00,0.00,66.67,16,32.00,4.40,73,0.00,-8.56,1.94,0.00,0.00,32.73
156511,0.00,0.00,12.63,13.60,198,0.10,3084,0.00,0.00,66.67,16,25.00,0.00,73,0.00,-12.48,1.42,0.00,0.00,25.00
156777,0.00,-0.78,13.55,13.84,198,0.14,2481,0.00,0.00,33.33,16,17.00,0.00,73,0.00,-12.48,1.38,0.00,3.53,15.86
157043,0.00,-0.78,22.85,13.68,198,1.06,1909,0.00,0.00,33.33,16,16.00,4.63,73,4.50,-8.85,2.12,1.57,16.08,25.00
157308,-9.38,-0.78,11.94,13.68,198,1.14,2059,0.00,-1.05,33.33,16,18.00,5.71,73,3.50,-3.19,2.30,4.71,18.04,32.73
157574,-18.75,-0.78,12.52,13.84,198,1.17,2136,0.00,-1.05,33.33,16,29.50,5.47,73,3.50,-2.76,2.30,4.71,18.43,26.41
157839,-19.53,-0.78,13.55,13.84,198,1.20,2249,0.00,-1.05,33.33,16,29.50,5.76,73,3.50,-2.61,2.36,5.10,18.82,26.41
158105,-21.09,-0.78,13.67,13.60,198,1.21,2351,0.00,-1.05,33.33,16,35.00,5.52,73,3.50,-2.61,2.42,5.88,19.61,31.68
158371,-10.94,-0.78,15.62,13.60,198,1.25,2418,0.00,-1.05,33.33,16,44.00,5.67,73,3.50,-2.47,2.46,6.27,20.39,40.82
158637,-7.81,0.00,15.04,13.52,198,1.23,2518,0.00,-1.05,33.33,16,29.50,6.44,73,3.50,-2.32,2.50,6.67,20.78,26.41
158903,-5.47,0.00,14.93,13.52,198,1.21,2628,0.00,0.00,33.33,16,30.50,6.73,73,4.50,-2.18,2.54,7.06,20.78,26.41
159168,-4.69,0.00,14.81,13.60,198,1.20,2735,0.00,0.00,33.33,16,45.00,7.00,73,4.50,-2.18,2.56,7.06,21.18,26.41
159434,-4.69,0.00,14.59,13.44,198,1.20,2804,0.00,0.00,66.67,16,44.50,7.18,73,4.50,-2.32,2.58,7.06,21.18,40.47
159699,-7.03,0.00,14.47,13.60,198,1.17,2908,0.00,0.00,66.67,16,30.50,7.44,73,4.50,-2.18,2.60,7.06,21.18,29.22
159965,-4.69,0.00,14.70,13.60,198,1.12,3039,0.00,0.00,66.67,16,36.50,7.78,73,4.50,-2.18,2.62,7.06,21.18,40.12
160231,-3.12,0.00,14.70,13.68,198,1.13,3071,0.00,0.00,66.67,16,45.00,7.21,73,4.50,-2.32,2.64,7.06,20.78,26.41
160497,-3.12,0.00,14.70,13.68,198,1.09,3175,0.00,0.00,66.67,16,34.00,7.45,73,4.50,-2.32,2.64,7.06,20.78,30.62
160762,-3.12,0.00,14.59,13.68,198,1.07,3272,0.00,0.00,66.67,16,30.50,7.68,73,4.50,-2.47,2.66,6.67,20.78,26.41
161028,-3.91,0.00,14.47,13.68,198,1.04,3342,0.00,0.00,66.67,16,30.50,7.84,73,4.50,-2.61,2.66,6.27,20.00,31.68
161294,-5.47,0.00,14.36,13.68,198,0.97,3412,0.00,0.00,66.67,16,30.50,7.28,73,4.50,-3.34,2.60,4.71,17.65,41.52
161560,-9.38,-0.78,13.90,13.76,198,0.66,3451,0.00,0.00,66.67,16,45.50,5.25,73,4.50,-5.51,2.36,0.00,9.80,30.62
161826,0.00,-0.78,12.98,13.76,198,0.38,3324,0.00,0.00,66.67,16,25.00,0.00,73,0.00,-11.32,1.74,0.00,0.00,35.20
162092,0.00,-0.78,12.75,13.68,198,0.28,2896,0.00,0.00,66.67,16,19.00,0.00,73,0.00,-11.90,1.74,0.00,0.00,16.56
162357,0.00,-0.78,18.15,13.84,198,0.56,2400,0.00,0.00,33.33,16,14.00,3.58,73,0.00,-11.90,1.74,1.18,17.65,20.08
162623,0.00,0.00,13.78,13.76,198,1.23,2443,0.00,-1.05,33.33,16,29.50,7.30,73,3.50,-3.19,2.50,6.67,20.78,29.92
162889,-16.41,0.00,12.75,13.60,198,1.23,2481,0.00,-1.05,33.33,16,34.00,6.88,73,3.50,-2.47,2.48,7.06,20.78,30.62
163155,-18.75,0.00,13.44,13.68,199,1.24,2546,0.00,-1.05,33.33,16,33.50,7.06,73,3.50,-2.32,2.50,7.06,21.18,31.68
163420,-18.75,0.00,13.67,13.68,199,1.24,2590,0.00,0.00,33.33,16,46.00,6.63,73,4.50,-2.03,2.54,7.06,21.18,41.52
163686,-14.84,0.00,14.59,13.76,199,1.23,2636,0.00,0.00,33.33,16,30.50,6.19,73,4.50,-2.03,2.54,7.06,21.18,26.41
163951,-6.25,0.00,15.50,13.76,199,1.23,2663,0.00,0.00,33.33,16,36.50,6.82,73,4.50,-1.89,2.56,7.06,21.18,32.38
164216,-7.03,0.00,14.70,13.76,199,1.22,2722,0.00,0.00,33.33,16,30.50,6.97,73,4.50,-1.89,2.58,7.06,21.18,26.41
164483,-7.03,0.00,14.59,13.76,199,1.21,2755,0.00,0.00,33.33,16,30.50,7.05,73,4.50,-1.89,2.60,7.06,21.18,26.41
164749,-7.03,0.00,14.59,13.68,199,1.21,2814,0.00,0.00,66.67,16,30.50,7.20,73,4.50,-1.89,2.60,7.06,21.18,26.41
165015,-7.81,0.00,14.47,13.68,199,1.19,2881,0.00,-1.05,66.67,16,45.50,7.38,73,3.50,-1.89,2.60,7.06,20.78,26.41
165280,-8.59,0.00,14.47,13.68,199,1.17,2925,0.00,-2.11,66.67,16,34.00,7.49,73,2.50,-2.03,2.62,7.06,20.78,39.77
165546,-7.81,0.00,14.70,13.76,199,1.14,2943,0.00,-2.11,66.67,16,34.00,6.91,73,2.50,-2.03,2.62,6.67,20.39,40.12
165812,-7.03,0.00,14.70,13.76,199,1.11,2964,0.00,-2.11,66.67,16,28.50,6.96,73,2.50,-2.32,2.60,6.27,20.00,26.41
166078,-4.69,0.00,14.93,13.76,199,1.13,3051,0.00,-2.11,66.67,16,28.50,7.81,73,2.50,-2.32,2.62,6.27,20.00,26.41
166344,-3.91,0.00,14.70,13.76,199,1.10,3066,0.00,-2.11,66.67,16,36.50,7.19,73,2.50,-2.32,2.62,6.27,20.00,40.82
166609,-4.69,0.00,14.47,13.76,199,1.09,3125,0.00,-2.11,66.67,16,28.50,7.33,73,2.50,-2.32,2.62,6.27,20.00,30.62
166876,-5.47,0.00,14.59,13.76,199,1.08,3193,0.00,-1.76,66.67,16,29.00,7.49,73,3.00,-2.47,2.64,6.27,20.00,26.41
167142,-5.47,0.00,14.59,13.76,199,1.07,3228,0.00,0.00,66.67,16,30.50,7.58,72,4.50,-2.61,2.62,5.88,19.61,26.41
167407,-3.91,0.00,14.59,13.76,199,1.01,3265,0.00,0.00,66.67,16,38.00,6.97,72,4.50,-3.05,2.60,4.71,17.25,30.98
167673,-8.59,-0.78,14.13,13.68,199,0.59,3269,0.00,0.00,66.67,16,30.50,4.88,72,4.50,-4.79,2.40,0.00,0.00,26.41
167938,0.00,-0.78,11.94,13.60,199,0.32,3193,0.00,0.00,66.67,16,29.50,0.00,72,0.00,-11.32,1.96,0.00,0.00,26.41
168204,0.00,-0.78,12.63,13.76,199,0.23,2702,0.00,0.00,66.67,16,14.00,0.00,72,0.00,-11.90,1.48,0.00,0.00,14.80
168469,0.00,-0.78,22.16,13.84,199,0.18,2252,0.00,0.00,33.33,16,15.50,0.00,72,0.00,-11.75,1.60,0.00,0.00,15.86
168735,0.00,-0.78,22.85,13.92,199,0.55,2007,0.00,0.00,33.33,16,2.50,3.00,72,0.00,-9.43,1.92,0.00,9.41,30.27
169001,-3.91,-0.78,13.67,13.84,199,0.70,2339,0.00,0.00,33.33,16,13.00,4.49,72,2.50,-7.40,2.08,0.00,10.20,40.47
169267,-18.75,-0.78,12.17,13.84,199,0.80,2304,0.00,0.00,33.33,16,27.00,4.42,72,4.50,-6.82,2.12,0.00,10.59,33.44
169533,-24.22,-0.78,12.98,13.92,199,0.84,2320,0.00,0.00,33.33,16,41.50,4.46,72,4.50,-6.53,2.14,0.00,13.33,31.33
169798,-19.53,-0.78,14.36,13.92,199,1.03,2366,0.00,0.00,33.33,16,30.50,5.55,72,4.50,-4.64,2.30,2.35,15.69,34.49
170064,-17.19,-0.78,14.59,13.84,201,1.02,2387,0.00,0.00,33.33,16,33.00,4.58,72,4.50,-4.06,2.32,3.14,16.47,26.41
170329,-1.56,-0.78,16.54,13.92,201,1.13,2398,0.00,0.00,33.33,16,36.00,5.12,72,4.50,-3.63,2.34,3.92,16.86,31.33
170595,0.78,-0.78,15.04,13.84,201,1.09,2414,0.00,-1.05,33.33,16,29.50,5.66,72,3.50,-3.48,2.38,3.92,17.25,41.17
170861,0.00,-0.78,14.47,13.76,201,1.14,2389,0.00,-1.05,33.33,16,29.50,5.61,72,3.50,-3.34,2.38,4.31,17.25,26.41
171127,-3.12,-0.78,14.13,13.76,201,1.16,2440,0.00,-1.05,33.33,16,29.50,5.72,72,3.50,-3.19,2.40,4.31,17.25,41.52
171394,-4.69,-0.78,14.47,13.60,201,1.17,2449,0.00,-1.05,33.33,16,43.50,5.75,72,3.50,-3.19,2.40,4.31,17.25,39.77
171660,-4.69,-0.78,14.59,13.68,201,1.15,2476,0.00,-1.05,33.33,16,29.50,5.81,72,3.50,-3.19,2.40,4.31,17.25,26.41
171925,-4.69,-0.78,14.59,13.60,201,1.16,2492,0.00,-0.70,33.33,16,29.50,5.85,72,4.00,-3.19,2.42,4.31,17.25,26.41
172191,-5.47,-0.78,14.59,13.60,203,1.15,2510,0.00,-0.70,33.33,16,29.50,5.89,72,4.00,-3.34,2.42,4.31,17.25,26.41
172457,-6.25,-0.78,14.47,13.60,203,1.13,2537,0.00,-0.70,33.33,16,32.50,5.95,72,4.00,-3.34,2.42,4.31,17.25,26.41
172722,-3.91,-0.78,14.81,13.60,203,1.11,2544,0.00,-0.70,33.33,16,44.50,5.43,72,4.00,-3.34,2.42,4.31,17.25,41.17
172988,-0.78,-0.78,14.93,13.84,203,1.14,2556,0.00,-0.70,33.33,16,29.50,6.00,72,4.00,-3.34,2.42,3.92,17.25,26.41
173254,-3.12,-0.78,14.24,13.84,203,1.12,2610,0.00,-1.76,33.33,16,28.50,6.13,72,3.00,-3.48,2.44,3.92,17.25,26.41
173520,-3.91,-0.78,14.59,13.84,203,1.12,2591,0.00,-1.76,33.33,16,42.50,5.53,72,3.00,-3.48,2.42,3.92,17.25,41.17
173785,-3.12,-0.78,14.59,13.92,203,1.05,2625,0.00,-1.76,33.33,16,28.50,5.60,72,3.00,-3.63,2.40,3.92,17.25,26.41
174050,-1.56,-0.78,14.70,13.84,203,1.08,2642,0.00,-1.76,33.33,16,36.00,5.64,72,3.00,-3.63,2.42,3.92,17.25,31.33
174316,-0.78,-0.78,14.59,13.76,203,1.14,2618,0.00,-1.76,33.33,16,32.50,6.14,72,3.00,-3.63,2.44,3.92,17.25,29.57
174582,-3.91,-0.78,14.36,13.68,203,1.12,2654,0.00,-1.76,33.33,16,28.50,6.23,72,3.00,-3.63,2.46,3.92,17.25,26.41
174847,-3.91,-0.78,14.59,13.68,205,1.11,2665,0.00,-1.41,33.33,16,34.00,5.69,72,3.50,-3.63,2.44,3.92,17.25,29.57
175113,-3.12,-0.78,14.59,13.60,205,1.11,2658,0.00,-1.41,33.33,16,29.00,6.24,72,3.50,-3.63,2.44,3.92,17.25,26.41
175379,-3.12,-0.78,14.47,13.60,205,1.11,2683,0.00,-1.41,33.33,16,29.00,6.30,72,3.50,-3.63,2.46,3.92,17.25,26.41
175644,-3.12,-0.78,14.59,13.52,205,1.12,2688,0.00,-1.41,33.33,16,43.00,6.31,72,3.50,-3.63,2.44,3.92,17.25,26.41
175909,-3.12,-0.78,14.70,13.52,205,1.11,2680,0.00,-1.41,33.33,16,44.00,6.29,72,3.50,-3.63,2.46,3.92,17.25,41.52
176175,-3.12,-0.78,14.59,13.60,205,1.09,2681,0.00,-1.05,33.33,16,29.00,6.29,72,3.50,-3.63,2.44,3.92,17.25,26.41
176441,-3.12,-0.78,14.59,13.60,205,1.09,2722,0.00,-1.05,33.33,16,29.50,5.81,72,3.50,-3.63,2.46,3.92,17.25,34.14
176707,-0.78,0.00,14.81,13.68,205,1.09,2730,0.00,-1.05,33.33,16,36.00,6.41,72,3.50,-3.63,2.42,3.92,17.25,26.41
176972,-1.56,-0.78,14.47,13.68,205,1.08,2758,0.00,0.00,33.33,16,30.00,5.75,72,4.50,-3.63,2.44,3.92,17.25,26.41
177238,0.78,-0.78,14.81,13.76,205,1.07,2778,0.00,0.00,33.33,16,34.00,5.79,72,4.50,-3.77,2.46,3.92,17.25,40.47
177504,0.00,0.00,14.36,13.44,205,1.08,2767,0.00,0.00,33.33,16,43.50,6.49,72,4.50,-3.77,2.46,3.92,17.25,40.82
177771,-3.12,-0.78,14.13,13.76,205,1.07,2767,0.00,0.00,33.33,16,33.00,5.90,72,4.50,-3.77,2.46,3.92,17.25,29.57
178037,-2.34,-0.78,14.47,13.76,205,1.04,2804,0.00,0.00,33.33,16,43.50,5.98,72,4.50,-3.77,2.42,3.92,17.25,40.12
178302,0.00,-0.78,14.81,13.52,205,1.06,2788,0.00,0.00,66.67,16,34.50,6.54,72,4.50,-3.77,2.44,3.92,17.25,32.73
178568,-3.12,-0.78,14.36,13.60,205,1.05,2794,0.00,0.00,66.67,16,44.50,5.96,72,4.50,-3.92,2.42,3.92,16.86,40.82
178834,-1.56,0.00,14.70,13.36,207,1.06,2827,0.00,0.00,66.67,16,38.00,6.03,72,4.50,-3.92,2.46,3.92,16.86,40.12
179100,-3.91,0.00,14.47,13.52,207,1.06,2817,0.00,0.00,66.67,16,30.00,6.01,72,4.50,-4.06,2.44,3.53,16.86,26.41
179366,-3.91,-0.78,14.70,13.52,207,1.06,2812,0.00,0.00,66.67,16,32.50,6.00,72,4.50,-4.06,2.44,3.53,16.47,29.92
179632,-5.47,-0.78,14.36,13.52,207,1.04,2838,0.00,0.00,66.67,16,37.00,6.05,72,4.50,-4.21,2.44,3.53,16.47,39.77
179898,-4.69,-0.78,14.59,13.52,207,1.04,2841,0.00,0.00,66.67,16,36.50,6.06,72,4.50,-4.35,2.42,3.14,16.08,26.41
180164,0.78,-0.78,15.16,13.60,207,0.97,2841,0.00,0.00,66.67,16,44.50,6.06,72,4.50,-4.64,2.40,2.75,14.51,26.41
180429,-2.34,-0.78,14.13,13.68,207,0.30,2831,0.00,0.00,66.67,16,25.00,3.02,72,0.00,-9.00,1.52,0.00,0.00,40.12
180695,0.00,-0.78,12.75,13.60,207,0.22,2650,0.00,0.00,33.33,16,21.50,0.00,72,0.00,-11.61,1.76,0.00,0.00,24.65
180961,0.00,-0.78,17.46,13.68,207,0.18,2166,0.00,0.00,33.33,16,15.50,0.00,72,0.00,-11.46,1.50,0.00,0.00,13.05
181227,0.00,-0.78,24.58,13.68,207,0.28,1642,0.00,0.00,33.33,16,15.50,0.00,72,0.00,-11.03,1.48,0.00,4.71,15.86
181493,0.00,-0.78,23.54,13.84,207,0.52,2122,0.00,0.00,33.33,16,8.00,3.08,72,0.00,-8.85,1.86,0.00,7.45,30.62
181758,-4.69,-0.78,12.98,13.76,207,0.59,2073,0.00,0.00,33.33,16,20.50,3.65,72,2.00,-7.84,1.86,0.00,7.84,29.22
182024,-17.19,-0.78,12.40,13.76,208,0.58,2096,0.00,0.00,33.33,16,27.00,3.13,72,2.00,-7.55,1.88,0.00,7.84,29.92
182290,-13.28,-0.78,14.36,13.76,208,0.15,2083,0.00,0.00,33.33,16,25.00,2.22,72,0.00,-8.42,1.56,0.00,0.00,25.70
182557,0.00,0.00,12.86,13.60,208,0.15,2082,0.00,0.00,33.33,16,22.00,2.22,72,0.00,-10.88,1.38,0.00,0.00,21.48
182822,0.00,0.00,12.98,13.60,208,0.12,2075,0.00,0.00,33.33,16,15.50,0.00,72,0.00,-11.46,1.32,0.00,0.00,15.86
183087,0.00,-0.78,14.24,13.60,208,0.19,2062,0.00,0.00,33.33,16,15.50,0.00,72,0.00,-11.17,1.44,0.00,0.00,15.86
183353,0.00,-0.78,25.15,13.68,208,0.18,2039,0.00,0.00,33.33,16,15.50,0.00,72,0.00,-10.88,1.40,0.00,0.00,15.86
183619,0.00,0.00,23.20,13.68,208,0.13,1992,0.00,0.00,33.33,16,15.50,0.00,72,0.00,-11.03,1.34,0.00,0.00,15.86
183884,0.00,0.00,23.43,13.76,208,0.10,1962,0.00,0.00,33.33,16,15.50,0.00,72,0.00,-11.03,1.26,0.00,0.00,15.86
184149,0.00,-0.78,24.00,13.84,208,0.19,1936,0.00,0.00,33.33,16,15.50,0.00,72,0.00,-11.03,1.44,0.00,0.00,15.86
184415,0.00,0.00,23.20,13.76,208,0.13,1859,0.00,0.00,33.33,16,15.50,0.00,72,0.00,-11.03,1.38,0.00,0.00,15.86
184681,0.00,0.00,23.77,13.76,208,0.23,1439,0.00,0.00,33.33,16,21.00,0.00,72,0.00,-10.88,1.40,0.00,0.00,13.05
184947,0.00,0.00,23.89,13.84,208,0.26,1166,0.00,0.00,33.33,16,21.00,1.24,72,0.00,-10.01,1.36,0.00,0.00,13.05
185213,0.00,0.00,18.38,13.84,208,0.23,1267,0.00,0.00,33.33,16,14.00,1.35,72,0.00,-10.01,1.38,0.00,0.00,13.05
185479,-1.56,0.00,13.67,13.92,208,0.14,1470,0.00,0.00,33.33,16,13.50,1.57,72,0.00,-10.16,1.30,0.00,0.00,14.10
185745,0.00,0.00,15.50,13.92,208,0.16,2179,0.00,0.00,33.33,16,15.50,2.32,72,0.00,-11.17,1.38,0.00,0.00,15.86
186010,0.00,-0.78,12.98,13.92,208,0.18,2186,0.00,0.00,33.33,16,15.50,2.33,72,0.00,-11.61,1.42,0.00,0.00,15.86
186276,0.00,0.00,11.94,13.84,208,0.14,2110,0.00,0.00,33.33,16,15.50,0.00,72,0.00,-11.46,1.34,0.00,0.00,15.86
186542,0.00,0.00,14.93,13.92,208,0.15,1964,0.00,0.00,33.33,16,15.50,0.00,72,0.00,-11.17,1.38,0.00,0.00,15.86
186808,0.00,0.00,24.23,13.84,208,0.17,1516,0.00,0.00,33.33,16,13.00,0.00,72,0.00,-11.03,1.34,0.00,0.00,13.05
187074,0.00,-0.78,23.66,13.68,208,0.28,1187,0.00,0.00,33.33,16,21.00,1.52,72,0.00,-10.45,1.42,0.00,0.00,13.05
187340,0.00,0.00,23.77,13.76,208,0.18,1257,0.00,0.00,33.33,16,9.50,1.34,72,0.00,-9.87,1.32,0.00,0.00,13.05
187606,-0.78,0.00,12.86,13.76,208,0.20,1452,0.00,0.00,33.33,16,13.50,1.55,72,0.00,-10.16,1.38,0.00,0.00,13.75
187872,0.00,-0.78,15.39,13.84,210,0.17,2096,0.00,0.00,33.33,16,15.50,2.24,72,0.00,-11.17,1.42,0.00,0.00,15.86
188138,0.00,-0.78,13.55,13.76,210,0.17,2306,0.00,0.00,33.33,16,15.50,2.46,72,0.00,-12.04,1.44,0.00,0.00,15.86
188403,0.00,-0.78,12.06,13.84,210,0.16,2279,0.00,0.00,33.33,16,13.00,0.00,72,0.00,-11.75,1.44,0.00,0.00,15.86
188669,0.00,-0.78,13.90,13.84,210,0.18,2144,0.00,0.00,33.33,16,15.50,0.00,72,0.00,-11.61,1.44,0.00,0.00,13.05
188934,0.00,-0.78,24.35,13.84,210,0.19,2057,0.00,0.00,33.33,16,15.50,0.00,72,0.00,-11.32,1.44,0.00,0.00,15.86
189200,0.00,-0.78,23.77,13.76,210,0.24,1633,0.00,0.00,33.33,16,13.00,0.00,72,0.00,-11.17,1.44,0.00,0.00,13.05
189466,0.00,-0.78,23.77,13.68,210,0.34,1207,0.00,0.00,33.33,16,21.00,1.55,72,0.00,-10.45,1.44,0.00,0.00,13.05
189731,0.00,-0.78,23.89,14.00,210,0.33,1216,0.00,0.00,33.33,16,14.00,1.56,72,0.00,-9.87,1.44,0.00,0.00,13.05
189997,-1.56,-0.78,11.60,13.84,210,0.30,1284,0.00,0.00,33.33,16,8.00,1.64,72,0.00,-10.01,1.44,0.00,0.00,13.05
190263,-3.12,-0.78,12.17,13.92,210,0.27,1408,0.00,0.00,33.33,16,4.50,1.80,72,0.00,-10.16,1.44,0.00,0.00,13.40
190528,-3.91,-0.78,13.21,14.00,210,0.19,1800,0.00,0.00,33.33,16,15.50,1.92,72,0.00,-10.88,1.44,0.00,0.00,15.86
190794,0.00,-0.78,13.09,13.84,210,0.20,2009,0.00,0.00,33.33,16,15.50,2.14,72,0.00,-11.46,1.44,0.00,0.00,15.86
191060,0.00,-0.78,11.94,13.92,208,0.22,1796,0.00,0.00,33.33,16,15.50,0.00,72,0.00,-11.46,1.44,0.00,0.00,15.86
191326,0.00,-0.78,12.75,13.92,208,0.24,1647,0.00,0.00,33.33,16,15.50,0.00,72,0.00,-11.17,1.44,0.00,0.00,15.86
191591,0.00,-0.78,21.71,13.84,208,0.27,1554,0.00,0.00,33.33,16,15.00,0.00,72,0.00,-11.03,1.46,0.00,0.00,14.80
191857,0.00,-0.78,23.31,13.76,208,0.27,1494,0.00,0.00,33.33,16,14.00,0.00,72,0.00,-10.74,1.44,0.00,0.00,14.45
192123,0.00,-0.78,23.54,13.76,208,0.28,1460,0.00,0.00,33.33,16,13.50,0.00,72,0.00,-10.45,1.44,0.00,0.00,13.75
192388,0.00,-0.78,23.89,13.76,208,0.30,1404,0.00,0.00,33.33,16,21.00,0.00,72,0.00,-10.30,1.46,0.00,0.00,13.05
192654,0.00,-0.78,24.00,13.84,208,0.50,1446,0.00,0.00,33.33,16,2.50,2.16,72,0.00,-9.14,1.74,0.00,4.71,23.95
192920,0.00,-0.78,22.97,13.92,208,0.52,1440,0.00,0.00,33.33,16,32.50,2.46,72,1.00,-7.55,1.78,0.00,5.10,32.73
193186,-6.25,-0.78,13.32,13.84,208,0.57,1418,0.00,0.00,33.33,16,33.00,2.42,72,1.00,-7.11,1.80,0.00,5.49,26.41
193451,-3.12,-0.78,14.01,13.84,208,0.58,1467,0.00,0.00,33.33,16,26.00,2.50,72,1.00,-6.82,1.80,0.00,5.88,26.41
193717,-4.69,-0.78,13.67,13.84,208,0.62,1464,0.00,0.00,33.33,16,29.50,2.50,72,1.00,-6.82,1.82,0.00,5.88,29.57
193983,-7.03,-0.78,13.44,13.84,208,0.59,1510,0.00,0.00,33.33,16,40.50,2.25,72,1.00,-6.82,1.82,0.00,5.88,41.17
194249,-0.78,-0.78,14.81,13.84,208,0.63,1531,0.00,0.00,33.33,16,27.00,1.96,72,1.00,-6.96,1.84,0.00,6.27,40.47
194514,25.00,-0.78,19.29,13.84,208,0.63,1515,0.00,0.00,33.33,16,27.00,2.59,72,1.00,-6.96,1.84,0.00,6.27,26.41
194779,23.44,-0.78,15.27,13.76,208,0.61,1609,0.00,0.00,33.33,16,27.00,2.75,72,2.00,-6.96,1.86,0.00,6.27,26.41
195045,25.00,-0.78,14.93,13.76,208,0.63,1646,0.00,0.00,33.33,16,27.00,2.81,72,2.00,-7.25,1.86,0.00,6.67,26.41
195311,23.44,-0.78,13.55,13.68,208,0.79,1750,0.00,0.00,33.33,16,43.50,4.85,72,4.50,-3.92,2.12,0.00,7.84,33.09
195576,11.72,-0.78,13.09,13.60,208,0.75,1742,0.00,0.00,33.33,16,30.00,2.86,72,4.50,-6.24,1.94,0.00,8.24,41.52
195842,21.88,-0.78,14.93,13.60,208,0.72,1817,0.00,0.00,33.33,16,38.00,3.49,72,4.50,-6.53,1.96,0.00,8.24,26.41
196108,12.50,-0.78,13.32,13.60,208,0.71,1854,0.00,0.00,33.33,16,35.00,3.16,72,4.50,-6.67,1.96,0.00,8.24,33.79
196374,11.72,-0.78,14.24,13.52,208,0.71,1887,0.00,0.00,33.33,16,35.00,3.22,72,4.50,-6.67,1.96,0.00,8.24,30.62
196639,10.94,-0.78,14.36,13.52,208,0.70,1920,0.00,0.00,33.33,16,30.00,3.28,72,4.50,-6.82,1.98,0.00,8.24,26.41
196905,11.72,-0.78,14.59,13.76,208,0.68,1984,0.00,0.00,33.33,16,36.00,3.39,72,4.50,-6.82,1.98,0.00,8.24,32.73
197171,9.38,-0.78,14.24,13.84,208,0.67,2034,0.00,0.00,33.33,16,34.50,3.47,72,3.50,-6.96,1.98,0.00,8.24,31.33
197437,10.16,-0.78,14.59,13.84,207,0.64,2077,0.00,0.00,33.33,16,36.50,3.54,72,3.00,-7.11,1.98,0.00,8.24,34.49
197702,10.94,-0.78,14.59,13.84,208,0.65,2100,0.00,0.00,33.33,16,28.00,3.58,72,2.50,-7.25,1.98,0.00,8.24,26.41
197968,10.16,-0.78,14.47,13.84,207,0.65,2126,0.00,0.00,33.33,16,32.50,3.18,72,2.50,-7.40,1.98,0.00,8.24,30.27
198233,9.38,-0.78,14.36,13.76,207,0.64,2150,0.00,0.00,33.33,16,27.00,3.21,72,2.00,-7.55,1.98,0.00,8.24,26.41
198499,10.16,-0.78,14.70,13.68,207,0.62,2199,0.00,0.00,33.33,16,27.00,3.28,72,2.00,-7.69,1.98,0.00,8.24,41.52
198765,8.59,-0.78,14.47,13.68,207,0.60,2246,0.00,0.00,33.33,16,7.00,3.35,72,2.00,-7.84,1.98,0.00,8.24,26.41
199031,8.59,-0.78,14.36,13.60,207,0.60,2249,0.00,0.00,33.33,16,35.50,3.36,72,2.00,-7.98,1.98,0.00,8.24,40.47
199296,7.81,-0.78,14.47,13.60,207,0.61,2260,0.00,0.00,33.33,16,27.00,3.38,72,2.00,-7.98,1.98,0.00,8.24,26.41
199562,6.25,-0.78,14.24,13.52,207,0.60,2308,0.00,0.00,33.33,16,30.00,3.45,72,2.00,-8.13,1.98,0.00,8.24,29.92
199828,4.69,-0.78,14.24,13.52,207,0.59,2314,0.00,0.00,33.33,16,27.00,3.46,72,2.00,-8.27,1.98,0.00,8.24,26.41
200094,5.47,-0.78,14.59,13.52,207,0.59,2353,0.00,0.00,33.33,16,27.00,3.51,72,2.00,-8.42,1.98,0.00,8.24,26.41
200359,3.91,-0.78,14.36,13.52,207,0.58,2394,0.00,0.00,33.33,16,35.50,3.57,72,2.00,-8.42,1.98,0.00,8.24,40.47
200625,3.91,-0.78,14.59,13.60,207,0.58,2381,0.00,0.00,33.33,16,27.00,3.56,72,2.00,-8.56,1.98,0.00,8.24,26.41
